
BoundingBoxOO Length
 ==================== 
BoundingBoxOO Length A,BoundingBoxOO Length B,BoundingBoxOO Length C,Unit,Category,Collection,Time,ID,
2.00465,6.36328,12.1445,um,Surface,BoundingBoxOO Length,1,2531,
2.01287,4.08203,4.95313,um,Surface,BoundingBoxOO Length,1,2532,
2.00137,12.1055,15.5703,um,Surface,BoundingBoxOO Length,1,2533,
2.16351,2.55273,5.00391,um,Surface,BoundingBoxOO Length,1,2534,
2.00636,3.68359,5.62305,um,Surface,BoundingBoxOO Length,1,2535,
2.00469,6.6543,7.67969,um,Surface,BoundingBoxOO Length,1,2536,
2.00288,6.25,19.7734,um,Surface,BoundingBoxOO Length,1,2537,
2.0037,5.48438,10.207,um,Surface,BoundingBoxOO Length,1,2538,
2.00683,3.64844,3.74219,um,Surface,BoundingBoxOO Length,1,2539,
2.00421,9.45313,20.8047,um,Surface,BoundingBoxOO Length,1,2540,
2.00549,2.74609,3.58203,um,Surface,BoundingBoxOO Length,1,2541,
2.00133,12.8496,26.6055,um,Surface,BoundingBoxOO Length,1,2542,
2.00543,3.54688,3.74219,um,Surface,BoundingBoxOO Length,1,2543,
2.00537,5.02344,6.60156,um,Surface,BoundingBoxOO Length,1,2544,
2.05798,2.76953,3.58789,um,Surface,BoundingBoxOO Length,1,2545,
2.00629,6.9707,10.1875,um,Surface,BoundingBoxOO Length,1,2546,
2.02075,3.18359,3.82031,um,Surface,BoundingBoxOO Length,1,2547,
2.00693,3.82813,7.43555,um,Surface,BoundingBoxOO Length,1,2548,
2.0077,4.49219,11.3516,um,Surface,BoundingBoxOO Length,1,2549,
2.00281,4.20313,11.0664,um,Surface,BoundingBoxOO Length,1,2550,
2.01251,3.37109,5.10547,um,Surface,BoundingBoxOO Length,1,2551,
2.00194,7.32813,14.4355,um,Surface,BoundingBoxOO Length,1,2552,
2.00148,32.4141,45.9492,um,Surface,BoundingBoxOO Length,1,2553,
2.00163,11.959,22.3867,um,Surface,BoundingBoxOO Length,1,2554,
2.00031,6.68164,14.875,um,Surface,BoundingBoxOO Length,1,2555,
2.0047,4.08984,4.53711,um,Surface,BoundingBoxOO Length,1,2556,
2.00678,9.125,11.4805,um,Surface,BoundingBoxOO Length,1,2557,
