
Ellipsoid Axis Length C
 ==================== 
Ellipsoid Axis Length C,Unit,Category,Time,ID,
5.35098,um,Surface,1,2422,
5.27369,um,Surface,1,2423,
2.97729,um,Surface,1,2424,
4.80375,um,Surface,1,2425,
5.69264,um,Surface,1,2426,
7.37094,um,Surface,1,2427,
4.10381,um,Surface,1,2428,
7.13606,um,Surface,1,2429,
2.23647,um,Surface,1,2430,
2.38284,um,Surface,1,2431,
2.97707,um,Surface,1,2432,
2.74441,um,Surface,1,2433,
3.52098,um,Surface,1,2434,
5.43263,um,Surface,1,2435,
5.46448,um,Surface,1,2436,
8.56012,um,Surface,1,2437,
4.36977,um,Surface,1,2438,
3.80435,um,Surface,1,2439,
3.25047,um,Surface,1,2440,
5.02844,um,Surface,1,2441,
6.70378,um,Surface,1,2442,
1.66876,um,Surface,1,2443,
2.64748,um,Surface,1,2444,
6.66935,um,Surface,1,2445,
10.9935,um,Surface,1,2446,
4.09445,um,Surface,1,2447,
3.83842,um,Surface,1,2448,
6.39305,um,Surface,1,2449,
2.11125,um,Surface,1,2450,
3.09242,um,Surface,1,2451,
7.91464,um,Surface,1,2452,
2.50444,um,Surface,1,2453,
3.48788,um,Surface,1,2454,
3.38352,um,Surface,1,2455,
5.75998,um,Surface,1,2456,
5.15319,um,Surface,1,2457,
3.74737,um,Surface,1,2458,
4.65004,um,Surface,1,2459,
3.61048,um,Surface,1,2460,
4.80313,um,Surface,1,2461,
2.85967,um,Surface,1,2462,
5.45369,um,Surface,1,2463,
3.38217,um,Surface,1,2464,
7.28554,um,Surface,1,2465,
2.39338,um,Surface,1,2466,
8.11635,um,Surface,1,2467,
4.08676,um,Surface,1,2468,
3.91796,um,Surface,1,2469,
3.76584,um,Surface,1,2470,
1.97409,um,Surface,1,2471,
4.06565,um,Surface,1,2472,
1.95778,um,Surface,1,2473,
3.20229,um,Surface,1,2474,
4.15954,um,Surface,1,2475,
3.06628,um,Surface,1,2476,
3.02469,um,Surface,1,2477,
4.13249,um,Surface,1,2478,
5.23604,um,Surface,1,2479,
2.23341,um,Surface,1,2480,
3.59043,um,Surface,1,2481,
5.7955,um,Surface,1,2482,
3.24421,um,Surface,1,2483,
1.9317,um,Surface,1,2484,
3.69152,um,Surface,1,2485,
3.57719,um,Surface,1,2486,
6.70021,um,Surface,1,2487,
1.66892,um,Surface,1,2488,
4.46431,um,Surface,1,2489,
2.818,um,Surface,1,2490,
6.68977,um,Surface,1,2491,
10.3601,um,Surface,1,2492,
3.82868,um,Surface,1,2493,
5.58261,um,Surface,1,2494,
7.38776,um,Surface,1,2495,
3.01289,um,Surface,1,2496,
6.39023,um,Surface,1,2497,
2.73074,um,Surface,1,2498,
3.9611,um,Surface,1,2499,
5.36843,um,Surface,1,2500,
4.42664,um,Surface,1,2501,
4.18517,um,Surface,1,2502,
6.22675,um,Surface,1,2503,
2.01222,um,Surface,1,2504,
8.2973,um,Surface,1,2505,
7.55014,um,Surface,1,2506,
7.30333,um,Surface,1,2507,
4.58602,um,Surface,1,2508,
4.52985,um,Surface,1,2509,
2.6459,um,Surface,1,2510,
7.40129,um,Surface,1,2511,
3.94347,um,Surface,1,2512,
3.89987,um,Surface,1,2513,
4.07947,um,Surface,1,2514,
