
Intensity Max Ch=3 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
90,,Surface,3,Image 1,1,2422,
46,,Surface,3,Image 1,1,2423,
31,,Surface,3,Image 1,1,2424,
97,,Surface,3,Image 1,1,2425,
79,,Surface,3,Image 1,1,2426,
98,,Surface,3,Image 1,1,2427,
86,,Surface,3,Image 1,1,2428,
65,,Surface,3,Image 1,1,2429,
118,,Surface,3,Image 1,1,2430,
18,,Surface,3,Image 1,1,2431,
85,,Surface,3,Image 1,1,2432,
81,,Surface,3,Image 1,1,2433,
25,,Surface,3,Image 1,1,2434,
29,,Surface,3,Image 1,1,2435,
60,,Surface,3,Image 1,1,2436,
152,,Surface,3,Image 1,1,2437,
102,,Surface,3,Image 1,1,2438,
71,,Surface,3,Image 1,1,2439,
23,,Surface,3,Image 1,1,2440,
105,,Surface,3,Image 1,1,2441,
117,,Surface,3,Image 1,1,2442,
63,,Surface,3,Image 1,1,2443,
162,,Surface,3,Image 1,1,2444,
62,,Surface,3,Image 1,1,2445,
147,,Surface,3,Image 1,1,2446,
128,,Surface,3,Image 1,1,2447,
44,,Surface,3,Image 1,1,2448,
114,,Surface,3,Image 1,1,2449,
107,,Surface,3,Image 1,1,2450,
93,,Surface,3,Image 1,1,2451,
117,,Surface,3,Image 1,1,2452,
94,,Surface,3,Image 1,1,2453,
134,,Surface,3,Image 1,1,2454,
108,,Surface,3,Image 1,1,2455,
99,,Surface,3,Image 1,1,2456,
79,,Surface,3,Image 1,1,2457,
56,,Surface,3,Image 1,1,2458,
80,,Surface,3,Image 1,1,2459,
64,,Surface,3,Image 1,1,2460,
107,,Surface,3,Image 1,1,2461,
47,,Surface,3,Image 1,1,2462,
83,,Surface,3,Image 1,1,2463,
36,,Surface,3,Image 1,1,2464,
112,,Surface,3,Image 1,1,2465,
83,,Surface,3,Image 1,1,2466,
127,,Surface,3,Image 1,1,2467,
88,,Surface,3,Image 1,1,2468,
38,,Surface,3,Image 1,1,2469,
43,,Surface,3,Image 1,1,2470,
37,,Surface,3,Image 1,1,2471,
98,,Surface,3,Image 1,1,2472,
66,,Surface,3,Image 1,1,2473,
84,,Surface,3,Image 1,1,2474,
21,,Surface,3,Image 1,1,2475,
42,,Surface,3,Image 1,1,2476,
11,,Surface,3,Image 1,1,2477,
131,,Surface,3,Image 1,1,2478,
