
Intensity Max Ch=2 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
81,,Surface,2,Image 1,1,2422,
227,,Surface,2,Image 1,1,2423,
61,,Surface,2,Image 1,1,2424,
60,,Surface,2,Image 1,1,2425,
141,,Surface,2,Image 1,1,2426,
103,,Surface,2,Image 1,1,2427,
120,,Surface,2,Image 1,1,2428,
134,,Surface,2,Image 1,1,2429,
110,,Surface,2,Image 1,1,2430,
183,,Surface,2,Image 1,1,2431,
68,,Surface,2,Image 1,1,2432,
108,,Surface,2,Image 1,1,2433,
223,,Surface,2,Image 1,1,2434,
227,,Surface,2,Image 1,1,2435,
60,,Surface,2,Image 1,1,2436,
191,,Surface,2,Image 1,1,2437,
112,,Surface,2,Image 1,1,2438,
96,,Surface,2,Image 1,1,2439,
166,,Surface,2,Image 1,1,2440,
135,,Surface,2,Image 1,1,2441,
99,,Surface,2,Image 1,1,2442,
70,,Surface,2,Image 1,1,2443,
88,,Surface,2,Image 1,1,2444,
249,,Surface,2,Image 1,1,2445,
148,,Surface,2,Image 1,1,2446,
85,,Surface,2,Image 1,1,2447,
97,,Surface,2,Image 1,1,2448,
131,,Surface,2,Image 1,1,2449,
78,,Surface,2,Image 1,1,2450,
134,,Surface,2,Image 1,1,2451,
100,,Surface,2,Image 1,1,2452,
54,,Surface,2,Image 1,1,2453,
99,,Surface,2,Image 1,1,2454,
100,,Surface,2,Image 1,1,2455,
84,,Surface,2,Image 1,1,2456,
74,,Surface,2,Image 1,1,2457,
97,,Surface,2,Image 1,1,2458,
65,,Surface,2,Image 1,1,2459,
99,,Surface,2,Image 1,1,2460,
72,,Surface,2,Image 1,1,2461,
70,,Surface,2,Image 1,1,2462,
91,,Surface,2,Image 1,1,2463,
112,,Surface,2,Image 1,1,2464,
85,,Surface,2,Image 1,1,2465,
81,,Surface,2,Image 1,1,2466,
84,,Surface,2,Image 1,1,2467,
107,,Surface,2,Image 1,1,2468,
230,,Surface,2,Image 1,1,2469,
183,,Surface,2,Image 1,1,2470,
66,,Surface,2,Image 1,1,2471,
84,,Surface,2,Image 1,1,2472,
62,,Surface,2,Image 1,1,2473,
62,,Surface,2,Image 1,1,2474,
206,,Surface,2,Image 1,1,2475,
185,,Surface,2,Image 1,1,2476,
156,,Surface,2,Image 1,1,2477,
190,,Surface,2,Image 1,1,2478,
123,,Surface,2,Image 1,1,2479,
107,,Surface,2,Image 1,1,2480,
73,,Surface,2,Image 1,1,2481,
112,,Surface,2,Image 1,1,2482,
80,,Surface,2,Image 1,1,2483,
72,,Surface,2,Image 1,1,2484,
95,,Surface,2,Image 1,1,2485,
254,,Surface,2,Image 1,1,2486,
73,,Surface,2,Image 1,1,2487,
61,,Surface,2,Image 1,1,2488,
57,,Surface,2,Image 1,1,2489,
85,,Surface,2,Image 1,1,2490,
89,,Surface,2,Image 1,1,2491,
176,,Surface,2,Image 1,1,2492,
114,,Surface,2,Image 1,1,2493,
185,,Surface,2,Image 1,1,2494,
171,,Surface,2,Image 1,1,2495,
127,,Surface,2,Image 1,1,2496,
193,,Surface,2,Image 1,1,2497,
201,,Surface,2,Image 1,1,2498,
71,,Surface,2,Image 1,1,2499,
198,,Surface,2,Image 1,1,2500,
213,,Surface,2,Image 1,1,2501,
126,,Surface,2,Image 1,1,2502,
183,,Surface,2,Image 1,1,2503,
130,,Surface,2,Image 1,1,2504,
191,,Surface,2,Image 1,1,2505,
232,,Surface,2,Image 1,1,2506,
183,,Surface,2,Image 1,1,2507,
104,,Surface,2,Image 1,1,2508,
255,,Surface,2,Image 1,1,2509,
173,,Surface,2,Image 1,1,2510,
207,,Surface,2,Image 1,1,2511,
255,,Surface,2,Image 1,1,2512,
130,,Surface,2,Image 1,1,2513,
160,,Surface,2,Image 1,1,2514,
110,,Surface,2,Image 1,1,2515,
157,,Surface,2,Image 1,1,2516,
133,,Surface,2,Image 1,1,2517,
124,,Surface,2,Image 1,1,2518,
86,,Surface,2,Image 1,1,2519,
202,,Surface,2,Image 1,1,2520,
194,,Surface,2,Image 1,1,2521,
226,,Surface,2,Image 1,1,2522,
190,,Surface,2,Image 1,1,2523,
102,,Surface,2,Image 1,1,2524,
103,,Surface,2,Image 1,1,2525,
97,,Surface,2,Image 1,1,2526,
186,,Surface,2,Image 1,1,2527,
171,,Surface,2,Image 1,1,2528,
189,,Surface,2,Image 1,1,2529,
236,,Surface,2,Image 1,1,2530,
199,,Surface,2,Image 1,1,2531,
83,,Surface,2,Image 1,1,2532,
193,,Surface,2,Image 1,1,2533,
161,,Surface,2,Image 1,1,2534,
179,,Surface,2,Image 1,1,2535,
132,,Surface,2,Image 1,1,2536,
169,,Surface,2,Image 1,1,2537,
151,,Surface,2,Image 1,1,2538,
55,,Surface,2,Image 1,1,2539,
173,,Surface,2,Image 1,1,2540,
94,,Surface,2,Image 1,1,2541,
201,,Surface,2,Image 1,1,2542,
104,,Surface,2,Image 1,1,2543,
128,,Surface,2,Image 1,1,2544,
76,,Surface,2,Image 1,1,2545,
133,,Surface,2,Image 1,1,2546,
238,,Surface,2,Image 1,1,2547,
173,,Surface,2,Image 1,1,2548,
177,,Surface,2,Image 1,1,2549,
183,,Surface,2,Image 1,1,2550,
97,,Surface,2,Image 1,1,2551,
196,,Surface,2,Image 1,1,2552,
191,,Surface,2,Image 1,1,2553,
191,,Surface,2,Image 1,1,2554,
177,,Surface,2,Image 1,1,2555,
90,,Surface,2,Image 1,1,2556,
136,,Surface,2,Image 1,1,2557,
182,,Surface,2,Image 1,1,2558,
115,,Surface,2,Image 1,1,2559,
247,,Surface,2,Image 1,1,2560,
191,,Surface,2,Image 1,1,2561,
110,,Surface,2,Image 1,1,2562,
200,,Surface,2,Image 1,1,2563,
78,,Surface,2,Image 1,1,2564,
249,,Surface,2,Image 1,1,2565,
95,,Surface,2,Image 1,1,2566,
103,,Surface,2,Image 1,1,2567,
255,,Surface,2,Image 1,1,2568,
254,,Surface,2,Image 1,1,2569,
96,,Surface,2,Image 1,1,2570,
79,,Surface,2,Image 1,1,2571,
147,,Surface,2,Image 1,1,2572,
230,,Surface,2,Image 1,1,2573,
150,,Surface,2,Image 1,1,2574,
167,,Surface,2,Image 1,1,2575,
199,,Surface,2,Image 1,1,2576,
190,,Surface,2,Image 1,1,2577,
92,,Surface,2,Image 1,1,2578,
200,,Surface,2,Image 1,1,2579,
245,,Surface,2,Image 1,1,2580,
192,,Surface,2,Image 1,1,2581,
76,,Surface,2,Image 1,1,2582,
207,,Surface,2,Image 1,1,2583,
137,,Surface,2,Image 1,1,2584,
135,,Surface,2,Image 1,1,2585,
103,,Surface,2,Image 1,1,2586,
255,,Surface,2,Image 1,1,2587,
99,,Surface,2,Image 1,1,2588,
173,,Surface,2,Image 1,1,2589,
160,,Surface,2,Image 1,1,2590,
227,,Surface,2,Image 1,1,2591,
70,,Surface,2,Image 1,1,2592,
154,,Surface,2,Image 1,1,2593,
227,,Surface,2,Image 1,1,2594,
255,,Surface,2,Image 1,1,2595,
73,,Surface,2,Image 1,1,2596,
177,,Surface,2,Image 1,1,2597,
255,,Surface,2,Image 1,1,2598,
99,,Surface,2,Image 1,1,2599,
93,,Surface,2,Image 1,1,2600,
63,,Surface,2,Image 1,1,2601,
166,,Surface,2,Image 1,1,2602,
232,,Surface,2,Image 1,1,2603,
204,,Surface,2,Image 1,1,2604,
255,,Surface,2,Image 1,1,2605,
