
Intensity Max Ch=5 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
174,,Surface,5,Image 1,1,2579,
181,,Surface,5,Image 1,1,2580,
176,,Surface,5,Image 1,1,2581,
166,,Surface,5,Image 1,1,2582,
182,,Surface,5,Image 1,1,2583,
187,,Surface,5,Image 1,1,2584,
176,,Surface,5,Image 1,1,2585,
144,,Surface,5,Image 1,1,2586,
148,,Surface,5,Image 1,1,2587,
142,,Surface,5,Image 1,1,2588,
162,,Surface,5,Image 1,1,2589,
181,,Surface,5,Image 1,1,2590,
175,,Surface,5,Image 1,1,2591,
163,,Surface,5,Image 1,1,2592,
174,,Surface,5,Image 1,1,2593,
174,,Surface,5,Image 1,1,2594,
195,,Surface,5,Image 1,1,2595,
151,,Surface,5,Image 1,1,2596,
176,,Surface,5,Image 1,1,2597,
147,,Surface,5,Image 1,1,2598,
165,,Surface,5,Image 1,1,2599,
158,,Surface,5,Image 1,1,2600,
149,,Surface,5,Image 1,1,2601,
172,,Surface,5,Image 1,1,2602,
204,,Surface,5,Image 1,1,2603,
173,,Surface,5,Image 1,1,2604,
165,,Surface,5,Image 1,1,2605,
149,,Surface,5,Image 1,1,2606,
160,,Surface,5,Image 1,1,2607,
158,,Surface,5,Image 1,1,2608,
153,,Surface,5,Image 1,1,2609,
173,,Surface,5,Image 1,1,2610,
140,,Surface,5,Image 1,1,2611,
171,,Surface,5,Image 1,1,2612,
147,,Surface,5,Image 1,1,2613,
154,,Surface,5,Image 1,1,2614,
150,,Surface,5,Image 1,1,2615,
174,,Surface,5,Image 1,1,2616,
154,,Surface,5,Image 1,1,2617,
150,,Surface,5,Image 1,1,2618,
154,,Surface,5,Image 1,1,2619,
175,,Surface,5,Image 1,1,2620,
187,,Surface,5,Image 1,1,2621,
148,,Surface,5,Image 1,1,2622,
206,,Surface,5,Image 1,1,2623,
158,,Surface,5,Image 1,1,2624,
156,,Surface,5,Image 1,1,2625,
180,,Surface,5,Image 1,1,2626,
157,,Surface,5,Image 1,1,2627,
163,,Surface,5,Image 1,1,2628,
159,,Surface,5,Image 1,1,2629,
167,,Surface,5,Image 1,1,2630,
161,,Surface,5,Image 1,1,2631,
169,,Surface,5,Image 1,1,2632,
144,,Surface,5,Image 1,1,2633,
151,,Surface,5,Image 1,1,2634,
153,,Surface,5,Image 1,1,2635,
163,,Surface,5,Image 1,1,2636,
172,,Surface,5,Image 1,1,2637,
170,,Surface,5,Image 1,1,2638,
188,,Surface,5,Image 1,1,2639,
151,,Surface,5,Image 1,1,2640,
158,,Surface,5,Image 1,1,2641,
137,,Surface,5,Image 1,1,2642,
167,,Surface,5,Image 1,1,2643,
188,,Surface,5,Image 1,1,2644,
141,,Surface,5,Image 1,1,2645,
178,,Surface,5,Image 1,1,2646,
184,,Surface,5,Image 1,1,2647,
187,,Surface,5,Image 1,1,2648,
187,,Surface,5,Image 1,1,2649,
155,,Surface,5,Image 1,1,2650,
164,,Surface,5,Image 1,1,2651,
150,,Surface,5,Image 1,1,2652,
166,,Surface,5,Image 1,1,2653,
176,,Surface,5,Image 1,1,2654,
182,,Surface,5,Image 1,1,2655,
165,,Surface,5,Image 1,1,2656,
158,,Surface,5,Image 1,1,2657,
143,,Surface,5,Image 1,1,2658,
179,,Surface,5,Image 1,1,2659,
139,,Surface,5,Image 1,1,2660,
171,,Surface,5,Image 1,1,2661,
191,,Surface,5,Image 1,1,2662,
182,,Surface,5,Image 1,1,2663,
153,,Surface,5,Image 1,1,2664,
148,,Surface,5,Image 1,1,2665,
180,,Surface,5,Image 1,1,2666,
153,,Surface,5,Image 1,1,2667,
171,,Surface,5,Image 1,1,2668,
154,,Surface,5,Image 1,1,2669,
172,,Surface,5,Image 1,1,2670,
176,,Surface,5,Image 1,1,2671,
153,,Surface,5,Image 1,1,2672,
167,,Surface,5,Image 1,1,2673,
148,,Surface,5,Image 1,1,2674,
180,,Surface,5,Image 1,1,2675,
164,,Surface,5,Image 1,1,2676,
173,,Surface,5,Image 1,1,2677,
