
Center of Image Mass Ch=1 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,ID,
50362,38674.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2422,
50225.4,38812.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2423,
50426.5,38610.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2424,
50389.9,38652.1,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2425,
50362.4,38686,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2426,
50374.6,38679.5,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2427,
50413.6,38641.3,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2428,
50374.4,38688.5,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2429,
49871.1,39186.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2430,
50045.7,39013.3,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2431,
49949.5,39111.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2432,
50431,38640.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2433,
50240.6,38833,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2434,
50286.1,38795.7,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2435,
50374.6,38709,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2436,
50330.1,38764.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2437,
50421.2,38676.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2438,
50415.5,38684.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2439,
50102.6,38998.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2440,
50332.7,38783.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2441,
50355,38767.1,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2442,
49968.8,39148.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2443,
50285.1,38848.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2444,
50176.4,38964.3,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2445,
50374.9,38775.3,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2446,
50347.8,38810.6,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2447,
50174.3,39002.1,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2448,
50206,38982.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2449,
50224.7,38967.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2450,
50229.7,38983.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2451,
50310.1,38614.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2452,
50416.3,38504.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2453,
50244.1,38681.4,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2454,
50317.7,38611.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2455,
50415.5,38522.6,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2456,
50366.4,38576.7,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2457,
50268.6,38672.6,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2458,
50423,38525.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2459,
50257.7,38699,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2460,
50320.7,38640.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2461,
50340.1,38620.3,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2462,
50319.3,38653.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2463,
49953,39018.7,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2464,
50384.7,38599.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2465,
50286.4,38702.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2466,
50377.5,38618.3,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2467,
50367.6,38625.3,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2468,
50211.2,38800.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2469,
49767.4,39013.1,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2470,
49979.3,38800.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2471,
50303.5,38481.4,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2472,
50009.7,38782.4,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2473,
50305.7,38489.4,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2474,
49754.8,39048.4,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2475,
50376.1,38426.3,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2476,
49769.7,39037.4,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2477,
50041.3,38783.3,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2478,
50304.6,38520.7,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2479,
50411.4,38412.4,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2480,
50304.4,38530.7,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2481,
50249.2,38594.6,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2482,
50332,38514.6,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2483,
50372.9,38473.5,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2484,
50265.1,38587.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2485,
50341.3,38522.4,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2486,
50398.9,38487.5,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2487,
50195.6,38692.4,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2488,
50396.3,38498.3,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2489,
50255.1,38651.6,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2490,
50425.9,38488.7,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2491,
50112.6,38583.6,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2492,
50300.9,38387.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2493,
50148.2,38550.1,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2494,
50158.1,38544.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2495,
50190.3,38507.6,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2496,
50175.2,38527.4,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2497,
49955.8,38742.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2498,
50278.9,38422.3,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2499,
49955.2,38753.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2500,
50357.8,38350.6,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2501,
50345,38370.7,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2502,
50127.4,38592.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2503,
50401,38318.7,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2504,
50139.1,38590.3,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2505,
50365.7,38365.4,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2506,
50347.5,38384.3,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2507,
50354.1,38378.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2508,
50200.3,38535.6,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2509,
50002,38730.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2510,
50375.8,38368.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2511,
49867.9,38877.7,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2512,
50312.3,38436.4,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2513,
50098.4,38649.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2514,
50311,38444.4,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2515,
50155.8,38602.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2516,
50378.8,38387.6,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2517,
50222,38553.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2518,
50291.3,38343.7,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2519,
50157,38492.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2520,
50129.3,38534.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2521,
50098.1,38550.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2522,
50122.9,38557.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2523,
50388.4,38271.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2524,
50415.6,38239.3,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2525,
50353.6,38305.6,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2526,
50449.6,38221.4,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2527,
50168.9,38506.3,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2528,
50147.1,38535.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2529,
50344.4,38341.5,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2530,
50064.8,38623,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2531,
50292.8,38391.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2532,
50177.5,38518.5,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2533,
50094.9,38482,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2534,
50041.2,38540.1,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2535,
49981.4,38602.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2536,
50134,38460.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2537,
50194.1,38402.6,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2538,
50468.6,38126.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2539,
50042.7,38572.5,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2540,
50442.3,38164.3,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2541,
50148.8,38476.5,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2542,
50313.6,38297.3,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2543,
50321.7,38294.6,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2544,
50454.7,38164.4,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2545,
50117.7,38510.7,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2546,
50221.9,38404.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2547,
50255,38272.4,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2548,
50237.8,38294.4,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2549,
50164.6,38371.3,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2550,
50098.6,38435,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2551,
50068,38472.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2552,
49988.2,38579.4,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2553,
50147.3,38402.3,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2554,
50466.4,38077.3,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2555,
50273.1,38269.1,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2556,
50035.4,38513.5,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2557,
50077.2,38473.5,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2558,
49837.5,38711.1,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2559,
50231.1,38320.5,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2560,
50187.9,38379,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2561,
50480.2,38078.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2562,
50038.1,38523,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2563,
50254.8,38307.7,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2564,
50336.3,38235.7,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2565,
50235.1,38335.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2566,
50209.1,38367.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2567,
50273.6,38207.7,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2568,
50238.7,38232.6,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2569,
49762.5,38713.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2570,
50397.5,38077.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2571,
50253.7,38225.6,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2572,
50097.6,38397.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2573,
50443.3,38047,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2574,
49962.2,38538.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2575,
49964.7,38549.4,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2576,
50120.6,38392.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2577,
50413.2,38100.6,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2578,
50117.1,38409.6,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2579,
50133.6,38399.6,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2580,
49967.8,38570.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2581,
50343.6,38174.3,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2582,
50114.4,38317,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2583,
50265.4,38174.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2584,
49824.7,38615.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2585,
49887.6,38552.6,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2586,
50260.7,38196.1,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2587,
50192.9,38252.6,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2588,
50081.6,38377.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2589,
50478.1,37974.4,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2590,
50418.3,38037.7,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2591,
49806.5,38647.3,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2592,
50507.5,37949.3,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2593,
50413.4,38043.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2594,
50332,38127.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2595,
50444.9,38010.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2596,
50134.7,38333.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2597,
50245.7,38212.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2598,
50412.6,38050.4,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2599,
50505.4,37955.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2600,
49860.5,38600.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2601,
50482.6,37986.1,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2602,
50327.4,38140.4,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2603,
50166.6,38302.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2604,
50271.7,38130.5,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2605,
50260.7,38133.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2606,
50310.6,38071.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2607,
49983.6,38403.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2608,
50045.7,38356,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2609,
50101.6,38308,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2610,
50016.3,38387.5,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2611,
50448.6,37961.5,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2612,
50408.9,38000.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2613,
50236,38183.4,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2614,
50333.9,38087.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2615,
50064.5,38372.6,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2616,
50222.7,38204.4,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2617,
50276,38153.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2618,
50283.7,38145.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2619,
50508.9,37835.7,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2620,
50048.9,38341.5,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2621,
50258.6,38100,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2622,
50318.9,38039.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2623,
50285,38079.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2624,
50199.2,38164.5,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2625,
50485.3,37874.7,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2626,
50143.7,38213.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2627,
50266.4,38103.3,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2628,
49828.5,38533.6,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2629,
50280.5,38090,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2630,
50194.1,38173.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2631,
50097.6,38286,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2632,
50354.9,38009.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2633,
50220,38151.5,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2634,
50248.5,38124.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2635,
50363.7,38008.1,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2636,
50514,37861.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2637,
50277.1,38109.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2638,
50325.2,38056.5,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2639,
50246.7,38134.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2640,
50241.6,38145.5,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2641,
50182.9,38194,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2642,
50022.1,38365,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2643,
50036.8,38302.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2644,
50278.9,38018.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2645,
49777.9,38521.3,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2646,
50303.3,37997.7,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2647,
50486.5,37816.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2648,
49775.2,38530.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2649,
49904.6,38397,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2650,
50250.2,38055.7,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2651,
50274.3,38035.4,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2652,
49858.4,38453,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2653,
50482.2,37827.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2654,
49965.5,38348,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2655,
50048,38276.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2656,
49773.3,38541.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2657,
50154.5,38163.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2658,
49972.2,38353.7,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2659,
50299.7,38020.3,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2660,
50069.6,38285.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2661,
50507.6,37818.5,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2662,
50019.6,38320.1,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2663,
50234.5,38113.1,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2664,
49863.5,38478,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2665,
50052.7,38318.1,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2666,
50201.3,38141.1,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2667,
50267,38087.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2668,
50203,38148.8,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2669,
50158.4,38185.1,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2670,
49989.1,38372.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2671,
49859.6,38484.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2672,
49875.4,38395.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2673,
50166.5,38103.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2674,
50305.3,37963.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2675,
50272.3,38002.4,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2676,
50428.7,37843.5,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2677,
50013.2,38286.7,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2678,
49880.6,38402.1,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2679,
49950.7,38334.5,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2680,
50094.2,38246.9,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2681,
50456.1,37832.1,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2682,
49825.8,38466,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2683,
50195.1,38093.4,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2684,
49996.8,38293.2,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2685,
50148.1,38150,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2686,
50440.6,37850.5,0.5,um,Surface,1,Center of Image Mass,Image 1,1,2687,
