
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
11,,Surface,2,Image 1,1,2579,
14,,Surface,2,Image 1,1,2580,
13,,Surface,2,Image 1,1,2581,
13,,Surface,2,Image 1,1,2582,
30,,Surface,2,Image 1,1,2583,
11,,Surface,2,Image 1,1,2584,
21,,Surface,2,Image 1,1,2585,
30,,Surface,2,Image 1,1,2586,
26,,Surface,2,Image 1,1,2587,
26,,Surface,2,Image 1,1,2588,
21,,Surface,2,Image 1,1,2589,
7,,Surface,2,Image 1,1,2590,
30,,Surface,2,Image 1,1,2591,
20,,Surface,2,Image 1,1,2592,
17,,Surface,2,Image 1,1,2593,
30,,Surface,2,Image 1,1,2594,
25,,Surface,2,Image 1,1,2595,
15,,Surface,2,Image 1,1,2596,
15,,Surface,2,Image 1,1,2597,
30,,Surface,2,Image 1,1,2598,
13,,Surface,2,Image 1,1,2599,
11,,Surface,2,Image 1,1,2600,
12,,Surface,2,Image 1,1,2601,
15,,Surface,2,Image 1,1,2602,
21,,Surface,2,Image 1,1,2603,
7,,Surface,2,Image 1,1,2604,
16,,Surface,2,Image 1,1,2605,
20,,Surface,2,Image 1,1,2606,
16,,Surface,2,Image 1,1,2607,
17,,Surface,2,Image 1,1,2608,
21,,Surface,2,Image 1,1,2609,
21,,Surface,2,Image 1,1,2610,
26,,Surface,2,Image 1,1,2611,
27,,Surface,2,Image 1,1,2612,
15,,Surface,2,Image 1,1,2613,
9,,Surface,2,Image 1,1,2614,
27,,Surface,2,Image 1,1,2615,
7,,Surface,2,Image 1,1,2616,
11,,Surface,2,Image 1,1,2617,
25,,Surface,2,Image 1,1,2618,
18,,Surface,2,Image 1,1,2619,
30,,Surface,2,Image 1,1,2620,
11,,Surface,2,Image 1,1,2621,
33,,Surface,2,Image 1,1,2622,
26,,Surface,2,Image 1,1,2623,
12,,Surface,2,Image 1,1,2624,
7,,Surface,2,Image 1,1,2625,
23,,Surface,2,Image 1,1,2626,
9,,Surface,2,Image 1,1,2627,
26,,Surface,2,Image 1,1,2628,
37,,Surface,2,Image 1,1,2629,
26,,Surface,2,Image 1,1,2630,
5,,Surface,2,Image 1,1,2631,
17,,Surface,2,Image 1,1,2632,
6,,Surface,2,Image 1,1,2633,
22,,Surface,2,Image 1,1,2634,
29,,Surface,2,Image 1,1,2635,
18,,Surface,2,Image 1,1,2636,
23,,Surface,2,Image 1,1,2637,
17,,Surface,2,Image 1,1,2638,
12,,Surface,2,Image 1,1,2639,
22,,Surface,2,Image 1,1,2640,
11,,Surface,2,Image 1,1,2641,
11,,Surface,2,Image 1,1,2642,
16,,Surface,2,Image 1,1,2643,
11,,Surface,2,Image 1,1,2644,
18,,Surface,2,Image 1,1,2645,
29,,Surface,2,Image 1,1,2646,
36,,Surface,2,Image 1,1,2647,
20,,Surface,2,Image 1,1,2648,
31,,Surface,2,Image 1,1,2649,
20,,Surface,2,Image 1,1,2650,
20,,Surface,2,Image 1,1,2651,
28,,Surface,2,Image 1,1,2652,
36,,Surface,2,Image 1,1,2653,
30,,Surface,2,Image 1,1,2654,
23,,Surface,2,Image 1,1,2655,
22,,Surface,2,Image 1,1,2656,
31,,Surface,2,Image 1,1,2657,
14,,Surface,2,Image 1,1,2658,
20,,Surface,2,Image 1,1,2659,
14,,Surface,2,Image 1,1,2660,
13,,Surface,2,Image 1,1,2661,
22,,Surface,2,Image 1,1,2662,
20,,Surface,2,Image 1,1,2663,
19,,Surface,2,Image 1,1,2664,
20,,Surface,2,Image 1,1,2665,
11,,Surface,2,Image 1,1,2666,
20,,Surface,2,Image 1,1,2667,
5,,Surface,2,Image 1,1,2668,
20,,Surface,2,Image 1,1,2669,
20,,Surface,2,Image 1,1,2670,
14,,Surface,2,Image 1,1,2671,
23,,Surface,2,Image 1,1,2672,
30,,Surface,2,Image 1,1,2673,
16,,Surface,2,Image 1,1,2674,
29,,Surface,2,Image 1,1,2675,
9,,Surface,2,Image 1,1,2676,
34,,Surface,2,Image 1,1,2677,
9,,Surface,2,Image 1,1,2678,
43,,Surface,2,Image 1,1,2679,
21,,Surface,2,Image 1,1,2680,
9,,Surface,2,Image 1,1,2681,
12,,Surface,2,Image 1,1,2682,
25,,Surface,2,Image 1,1,2683,
18,,Surface,2,Image 1,1,2684,
11,,Surface,2,Image 1,1,2685,
8,,Surface,2,Image 1,1,2686,
1,,Surface,2,Image 1,1,2687,
21,,Surface,2,Image 1,1,2688,
1,,Surface,2,Image 1,1,2689,
39,,Surface,2,Image 1,1,2690,
10,,Surface,2,Image 1,1,2691,
3,,Surface,2,Image 1,1,2692,
9,,Surface,2,Image 1,1,2693,
16,,Surface,2,Image 1,1,2694,
39,,Surface,2,Image 1,1,2695,
17,,Surface,2,Image 1,1,2696,
35,,Surface,2,Image 1,1,2697,
29,,Surface,2,Image 1,1,2698,
18,,Surface,2,Image 1,1,2699,
13,,Surface,2,Image 1,1,2700,
25,,Surface,2,Image 1,1,2701,
18,,Surface,2,Image 1,1,2702,
14,,Surface,2,Image 1,1,2703,
31,,Surface,2,Image 1,1,2704,
18,,Surface,2,Image 1,1,2705,
16,,Surface,2,Image 1,1,2706,
23,,Surface,2,Image 1,1,2707,
24,,Surface,2,Image 1,1,2708,
60,,Surface,2,Image 1,1,2709,
35,,Surface,2,Image 1,1,2710,
38,,Surface,2,Image 1,1,2711,
21,,Surface,2,Image 1,1,2712,
13,,Surface,2,Image 1,1,2713,
33,,Surface,2,Image 1,1,2714,
17,,Surface,2,Image 1,1,2715,
9,,Surface,2,Image 1,1,2716,
26,,Surface,2,Image 1,1,2717,
34,,Surface,2,Image 1,1,2718,
17,,Surface,2,Image 1,1,2719,
26,,Surface,2,Image 1,1,2720,
15,,Surface,2,Image 1,1,2721,
43,,Surface,2,Image 1,1,2722,
3,,Surface,2,Image 1,1,2723,
5,,Surface,2,Image 1,1,2724,
9,,Surface,2,Image 1,1,2725,
13,,Surface,2,Image 1,1,2726,
16,,Surface,2,Image 1,1,2727,
43,,Surface,2,Image 1,1,2728,
60,,Surface,2,Image 1,1,2729,
27,,Surface,2,Image 1,1,2730,
25,,Surface,2,Image 1,1,2731,
19,,Surface,2,Image 1,1,2732,
25,,Surface,2,Image 1,1,2733,
38,,Surface,2,Image 1,1,2734,
38,,Surface,2,Image 1,1,2735,
27,,Surface,2,Image 1,1,2736,
14,,Surface,2,Image 1,1,2737,
27,,Surface,2,Image 1,1,2738,
29,,Surface,2,Image 1,1,2739,
19,,Surface,2,Image 1,1,2740,
47,,Surface,2,Image 1,1,2741,
19,,Surface,2,Image 1,1,2742,
24,,Surface,2,Image 1,1,2743,
17,,Surface,2,Image 1,1,2744,
18,,Surface,2,Image 1,1,2745,
20,,Surface,2,Image 1,1,2746,
19,,Surface,2,Image 1,1,2747,
21,,Surface,2,Image 1,1,2748,
16,,Surface,2,Image 1,1,2749,
21,,Surface,2,Image 1,1,2750,
20,,Surface,2,Image 1,1,2751,
23,,Surface,2,Image 1,1,2752,
33,,Surface,2,Image 1,1,2753,
21,,Surface,2,Image 1,1,2754,
34,,Surface,2,Image 1,1,2755,
28,,Surface,2,Image 1,1,2756,
26,,Surface,2,Image 1,1,2757,
27,,Surface,2,Image 1,1,2758,
47,,Surface,2,Image 1,1,2759,
15,,Surface,2,Image 1,1,2760,
15,,Surface,2,Image 1,1,2761,
42,,Surface,2,Image 1,1,2762,
36,,Surface,2,Image 1,1,2763,
51,,Surface,2,Image 1,1,2764,
39,,Surface,2,Image 1,1,2765,
22,,Surface,2,Image 1,1,2766,
16,,Surface,2,Image 1,1,2767,
17,,Surface,2,Image 1,1,2768,
28,,Surface,2,Image 1,1,2769,
17,,Surface,2,Image 1,1,2770,
17,,Surface,2,Image 1,1,2771,
12,,Surface,2,Image 1,1,2772,
10,,Surface,2,Image 1,1,2773,
37,,Surface,2,Image 1,1,2774,
33,,Surface,2,Image 1,1,2775,
18,,Surface,2,Image 1,1,2776,
27,,Surface,2,Image 1,1,2777,
27,,Surface,2,Image 1,1,2778,
22,,Surface,2,Image 1,1,2779,
35,,Surface,2,Image 1,1,2780,
26,,Surface,2,Image 1,1,2781,
29,,Surface,2,Image 1,1,2782,
57,,Surface,2,Image 1,1,2783,
7,,Surface,2,Image 1,1,2784,
7,,Surface,2,Image 1,1,2785,
46,,Surface,2,Image 1,1,2786,
35,,Surface,2,Image 1,1,2787,
21,,Surface,2,Image 1,1,2788,
19,,Surface,2,Image 1,1,2789,
54,,Surface,2,Image 1,1,2790,
9,,Surface,2,Image 1,1,2791,
21,,Surface,2,Image 1,1,2792,
21,,Surface,2,Image 1,1,2793,
7,,Surface,2,Image 1,1,2794,
11,,Surface,2,Image 1,1,2795,
24,,Surface,2,Image 1,1,2796,
17,,Surface,2,Image 1,1,2797,
40,,Surface,2,Image 1,1,2798,
22,,Surface,2,Image 1,1,2799,
30,,Surface,2,Image 1,1,2800,
12,,Surface,2,Image 1,1,2801,
39,,Surface,2,Image 1,1,2802,
29,,Surface,2,Image 1,1,2803,
30,,Surface,2,Image 1,1,2804,
7,,Surface,2,Image 1,1,2805,
17,,Surface,2,Image 1,1,2806,
13,,Surface,2,Image 1,1,2807,
22,,Surface,2,Image 1,1,2808,
7,,Surface,2,Image 1,1,2809,
13,,Surface,2,Image 1,1,2810,
13,,Surface,2,Image 1,1,2811,
21,,Surface,2,Image 1,1,2812,
19,,Surface,2,Image 1,1,2813,
22,,Surface,2,Image 1,1,2814,
36,,Surface,2,Image 1,1,2815,
9,,Surface,2,Image 1,1,2816,
24,,Surface,2,Image 1,1,2817,
33,,Surface,2,Image 1,1,2818,
11,,Surface,2,Image 1,1,2819,
21,,Surface,2,Image 1,1,2820,
37,,Surface,2,Image 1,1,2821,
18,,Surface,2,Image 1,1,2822,
48,,Surface,2,Image 1,1,2823,
47,,Surface,2,Image 1,1,2824,
49,,Surface,2,Image 1,1,2825,
29,,Surface,2,Image 1,1,2826,
23,,Surface,2,Image 1,1,2827,
43,,Surface,2,Image 1,1,2828,
40,,Surface,2,Image 1,1,2829,
26,,Surface,2,Image 1,1,2830,
22,,Surface,2,Image 1,1,2831,
8,,Surface,2,Image 1,1,2832,
11,,Surface,2,Image 1,1,2833,
13,,Surface,2,Image 1,1,2834,
30,,Surface,2,Image 1,1,2835,
40,,Surface,2,Image 1,1,2836,
10,,Surface,2,Image 1,1,2837,
33,,Surface,2,Image 1,1,2838,
39,,Surface,2,Image 1,1,2839,
25,,Surface,2,Image 1,1,2840,
20,,Surface,2,Image 1,1,2841,
44,,Surface,2,Image 1,1,2842,
20,,Surface,2,Image 1,1,2843,
44,,Surface,2,Image 1,1,2844,
22,,Surface,2,Image 1,1,2845,
11,,Surface,2,Image 1,1,2846,
0,,Surface,2,Image 1,1,2847,
17,,Surface,2,Image 1,1,2848,
18,,Surface,2,Image 1,1,2849,
18,,Surface,2,Image 1,1,2850,
15,,Surface,2,Image 1,1,2851,
30,,Surface,2,Image 1,1,2852,
10,,Surface,2,Image 1,1,2853,
12,,Surface,2,Image 1,1,2854,
23,,Surface,2,Image 1,1,2855,
13,,Surface,2,Image 1,1,2856,
18,,Surface,2,Image 1,1,2857,
43,,Surface,2,Image 1,1,2858,
18,,Surface,2,Image 1,1,2859,
43,,Surface,2,Image 1,1,2860,
14,,Surface,2,Image 1,1,2861,
9,,Surface,2,Image 1,1,2862,
13,,Surface,2,Image 1,1,2863,
55,,Surface,2,Image 1,1,2864,
11,,Surface,2,Image 1,1,2865,
