
Time
 ==================== 
Time,Unit,Category,Time,ID,
0,s,Surface,1,2422,
0,s,Surface,1,2423,
0,s,Surface,1,2424,
0,s,Surface,1,2425,
0,s,Surface,1,2426,
0,s,Surface,1,2427,
0,s,Surface,1,2428,
0,s,Surface,1,2429,
0,s,Surface,1,2430,
0,s,Surface,1,2431,
0,s,Surface,1,2432,
0,s,Surface,1,2433,
0,s,Surface,1,2434,
0,s,Surface,1,2435,
0,s,Surface,1,2436,
0,s,Surface,1,2437,
0,s,Surface,1,2438,
0,s,Surface,1,2439,
0,s,Surface,1,2440,
0,s,Surface,1,2441,
0,s,Surface,1,2442,
0,s,Surface,1,2443,
0,s,Surface,1,2444,
0,s,Surface,1,2445,
0,s,Surface,1,2446,
0,s,Surface,1,2447,
0,s,Surface,1,2448,
0,s,Surface,1,2449,
0,s,Surface,1,2450,
0,s,Surface,1,2451,
0,s,Surface,1,2452,
0,s,Surface,1,2453,
0,s,Surface,1,2454,
0,s,Surface,1,2455,
0,s,Surface,1,2456,
0,s,Surface,1,2457,
0,s,Surface,1,2458,
0,s,Surface,1,2459,
0,s,Surface,1,2460,
0,s,Surface,1,2461,
0,s,Surface,1,2462,
0,s,Surface,1,2463,
0,s,Surface,1,2464,
0,s,Surface,1,2465,
0,s,Surface,1,2466,
0,s,Surface,1,2467,
0,s,Surface,1,2468,
0,s,Surface,1,2469,
0,s,Surface,1,2470,
0,s,Surface,1,2471,
0,s,Surface,1,2472,
0,s,Surface,1,2473,
0,s,Surface,1,2474,
0,s,Surface,1,2475,
0,s,Surface,1,2476,
0,s,Surface,1,2477,
0,s,Surface,1,2478,
0,s,Surface,1,2479,
0,s,Surface,1,2480,
0,s,Surface,1,2481,
0,s,Surface,1,2482,
0,s,Surface,1,2483,
0,s,Surface,1,2484,
0,s,Surface,1,2485,
0,s,Surface,1,2486,
0,s,Surface,1,2487,
0,s,Surface,1,2488,
0,s,Surface,1,2489,
0,s,Surface,1,2490,
0,s,Surface,1,2491,
0,s,Surface,1,2492,
0,s,Surface,1,2493,
0,s,Surface,1,2494,
0,s,Surface,1,2495,
0,s,Surface,1,2496,
0,s,Surface,1,2497,
0,s,Surface,1,2498,
0,s,Surface,1,2499,
0,s,Surface,1,2500,
0,s,Surface,1,2501,
