
Ellipsoid Axis A
 ==================== 
Ellipsoid Axis A X,Ellipsoid Axis A Y,Ellipsoid Axis A Z,Unit,Category,Collection,Time,ID,
4.77367e-11,-1.05134e-11,1,um,Surface,Ellipsoid Axis A,1,2514,
5.74395e-12,7.74855e-12,1,um,Surface,Ellipsoid Axis A,1,2515,
1.3032e-12,-5.92107e-12,1,um,Surface,Ellipsoid Axis A,1,2516,
0,0,1,um,Surface,Ellipsoid Axis A,1,2517,
1.96597e-12,-2.1433e-12,1,um,Surface,Ellipsoid Axis A,1,2518,
0,0,1,um,Surface,Ellipsoid Axis A,1,2519,
-2.91664e-11,1.35013e-11,1,um,Surface,Ellipsoid Axis A,1,2520,
2.07455e-12,3.95018e-12,1,um,Surface,Ellipsoid Axis A,1,2521,
-4.28233e-11,5.34424e-12,1,um,Surface,Ellipsoid Axis A,1,2522,
-1.3134e-11,1.04106e-11,1,um,Surface,Ellipsoid Axis A,1,2523,
-1.45847e-12,-1.09751e-12,1,um,Surface,Ellipsoid Axis A,1,2524,
5.50496e-12,5.71534e-12,1,um,Surface,Ellipsoid Axis A,1,2525,
-1.86125e-12,-4.35698e-12,1,um,Surface,Ellipsoid Axis A,1,2526,
-2.13199e-12,1.11345e-13,1,um,Surface,Ellipsoid Axis A,1,2527,
2.34683e-12,1.00878e-11,1,um,Surface,Ellipsoid Axis A,1,2528,
-1.35314e-12,7.26128e-12,1,um,Surface,Ellipsoid Axis A,1,2529,
-1.89306e-12,-8.94924e-12,1,um,Surface,Ellipsoid Axis A,1,2530,
4.9932e-12,3.41598e-12,1,um,Surface,Ellipsoid Axis A,1,2531,
0,0,1,um,Surface,Ellipsoid Axis A,1,2532,
-7.54032e-12,-9.61947e-12,1,um,Surface,Ellipsoid Axis A,1,2533,
9.15321e-12,-6.86881e-12,1,um,Surface,Ellipsoid Axis A,1,2534,
9.13277e-13,-2.74899e-12,1,um,Surface,Ellipsoid Axis A,1,2535,
7.53312e-12,8.68808e-12,1,um,Surface,Ellipsoid Axis A,1,2536,
3.36554e-11,-4.69331e-11,1,um,Surface,Ellipsoid Axis A,1,2537,
-3.71269e-12,1.7144e-12,1,um,Surface,Ellipsoid Axis A,1,2538,
0,0,1,um,Surface,Ellipsoid Axis A,1,2539,
1.54249e-11,-5.6762e-12,1,um,Surface,Ellipsoid Axis A,1,2540,
0,0,1,um,Surface,Ellipsoid Axis A,1,2541,
5.58791e-13,-8.37781e-13,1,um,Surface,Ellipsoid Axis A,1,2542,
2.63312e-11,2.37225e-17,1,um,Surface,Ellipsoid Axis A,1,2543,
-2.55656e-12,-1.13653e-12,1,um,Surface,Ellipsoid Axis A,1,2544,
2.81379e-12,5.45202e-12,1,um,Surface,Ellipsoid Axis A,1,2545,
-1.2865e-11,1.59129e-11,1,um,Surface,Ellipsoid Axis A,1,2546,
3.0134e-11,1.39912e-11,1,um,Surface,Ellipsoid Axis A,1,2547,
1.64234e-12,1.98246e-12,1,um,Surface,Ellipsoid Axis A,1,2548,
1.49183e-12,4.27538e-13,1,um,Surface,Ellipsoid Axis A,1,2549,
4.03178e-12,-1.59039e-12,1,um,Surface,Ellipsoid Axis A,1,2550,
-9.72475e-12,-1.60085e-12,1,um,Surface,Ellipsoid Axis A,1,2551,
-3.67718e-12,-2.95345e-12,1,um,Surface,Ellipsoid Axis A,1,2552,
-1.41732e-12,-2.75884e-12,1,um,Surface,Ellipsoid Axis A,1,2553,
-1.42205e-11,2.87993e-11,1,um,Surface,Ellipsoid Axis A,1,2554,
8.51853e-12,-5.29449e-11,1,um,Surface,Ellipsoid Axis A,1,2555,
0,0,1,um,Surface,Ellipsoid Axis A,1,2556,
4.12788e-12,9.65863e-12,1,um,Surface,Ellipsoid Axis A,1,2557,
8.47555e-13,-5.33334e-13,1,um,Surface,Ellipsoid Axis A,1,2558,
1.91735e-12,-4.25719e-12,1,um,Surface,Ellipsoid Axis A,1,2559,
-7.11341e-12,3.46023e-12,1,um,Surface,Ellipsoid Axis A,1,2560,
3.79602e-12,-6.27202e-13,1,um,Surface,Ellipsoid Axis A,1,2561,
-1.29769e-12,-6.4106e-13,1,um,Surface,Ellipsoid Axis A,1,2562,
8.24759e-12,-6.46836e-13,1,um,Surface,Ellipsoid Axis A,1,2563,
-1.48307e-11,-1.07189e-12,1,um,Surface,Ellipsoid Axis A,1,2564,
5.37518e-13,-3.02589e-14,1,um,Surface,Ellipsoid Axis A,1,2565,
5.44431e-12,-5.60832e-12,1,um,Surface,Ellipsoid Axis A,1,2566,
-6.38326e-12,-2.73405e-12,1,um,Surface,Ellipsoid Axis A,1,2567,
-1.30489e-11,8.30961e-12,1,um,Surface,Ellipsoid Axis A,1,2568,
0,0,1,um,Surface,Ellipsoid Axis A,1,2569,
0,0,1,um,Surface,Ellipsoid Axis A,1,2570,
6.0901e-13,-1.83154e-12,1,um,Surface,Ellipsoid Axis A,1,2571,
1.31402e-11,1.94768e-11,1,um,Surface,Ellipsoid Axis A,1,2572,
1.44652e-11,-4.62903e-12,1,um,Surface,Ellipsoid Axis A,1,2573,
4.41858e-12,5.91544e-12,1,um,Surface,Ellipsoid Axis A,1,2574,
5.74218e-12,1.86416e-12,1,um,Surface,Ellipsoid Axis A,1,2575,
6.55563e-12,-1.46212e-11,1,um,Surface,Ellipsoid Axis A,1,2576,
8.14963e-12,-5.18345e-13,1,um,Surface,Ellipsoid Axis A,1,2577,
2.53139e-12,4.85321e-12,1,um,Surface,Ellipsoid Axis A,1,2578,
5.77915e-12,-6.69671e-12,1,um,Surface,Ellipsoid Axis A,1,2579,
-6.56263e-12,-9.57147e-13,1,um,Surface,Ellipsoid Axis A,1,2580,
4.37795e-12,-5.90569e-13,1,um,Surface,Ellipsoid Axis A,1,2581,
-4.13431e-12,-4.51555e-12,1,um,Surface,Ellipsoid Axis A,1,2582,
0,0,1,um,Surface,Ellipsoid Axis A,1,2583,
4.59639e-13,-1.33273e-12,1,um,Surface,Ellipsoid Axis A,1,2584,
7.89363e-12,2.50331e-12,1,um,Surface,Ellipsoid Axis A,1,2585,
6.52607e-13,-3.14724e-12,1,um,Surface,Ellipsoid Axis A,1,2586,
9.97646e-13,4.83877e-13,1,um,Surface,Ellipsoid Axis A,1,2587,
-2.57303e-12,1.31824e-12,1,um,Surface,Ellipsoid Axis A,1,2588,
-7.81121e-12,-7.05326e-12,1,um,Surface,Ellipsoid Axis A,1,2589,
-7.91886e-12,-2.31717e-12,1,um,Surface,Ellipsoid Axis A,1,2590,
1.87596e-12,-4.08927e-13,1,um,Surface,Ellipsoid Axis A,1,2591,
6.34974e-12,-2.15746e-13,1,um,Surface,Ellipsoid Axis A,1,2592,
