
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,ID,
63498.7,um,Surface,Distance from Origin,1,2422,
63474.7,um,Surface,Distance from Origin,1,2423,
63510.9,um,Surface,Distance from Origin,1,2424,
63506.8,um,Surface,Distance from Origin,1,2425,
63505.8,um,Surface,Distance from Origin,1,2426,
63511.3,um,Surface,Distance from Origin,1,2427,
63519.1,um,Surface,Distance from Origin,1,2428,
63516.7,um,Surface,Distance from Origin,1,2429,
63424.7,um,Surface,Distance from Origin,1,2430,
63455.6,um,Surface,Distance from Origin,1,2431,
63440.1,um,Surface,Distance from Origin,1,2432,
63532.4,um,Surface,Distance from Origin,1,2433,
63499.1,um,Surface,Distance from Origin,1,2434,
63512.3,um,Surface,Distance from Origin,1,2435,
63529.5,um,Surface,Distance from Origin,1,2436,
63528.2,um,Surface,Distance from Origin,1,2437,
63546.3,um,Surface,Distance from Origin,1,2438,
63547.1,um,Surface,Distance from Origin,1,2439,
63491.6,um,Surface,Distance from Origin,1,2440,
63541.9,um,Surface,Distance from Origin,1,2441,
63549.2,um,Surface,Distance from Origin,1,2442,
63478.5,um,Surface,Distance from Origin,1,2443,
63543.8,um,Surface,Distance from Origin,1,2444,
63528.6,um,Surface,Distance from Origin,1,2445,
63569.9,um,Surface,Distance from Origin,1,2446,
63570.2,um,Surface,Distance from Origin,1,2447,
63550.2,um,Surface,Distance from Origin,1,2448,
63563.4,um,Surface,Distance from Origin,1,2449,
63568.9,um,Surface,Distance from Origin,1,2450,
63582.7,um,Surface,Distance from Origin,1,2451,
63421,um,Surface,Distance from Origin,1,2452,
63438.2,um,Surface,Distance from Origin,1,2453,
63409.1,um,Surface,Distance from Origin,1,2454,
63425.1,um,Surface,Distance from Origin,1,2455,
63448.6,um,Surface,Distance from Origin,1,2456,
63442.4,um,Surface,Distance from Origin,1,2457,
63423.2,um,Surface,Distance from Origin,1,2458,
63456.3,um,Surface,Distance from Origin,1,2459,
63430.8,um,Surface,Distance from Origin,1,2460,
63445.1,um,Surface,Distance from Origin,1,2461,
63448,um,Surface,Distance from Origin,1,2462,
63452,um,Surface,Distance from Origin,1,2463,
63385.7,um,Surface,Distance from Origin,1,2464,
63470.7,um,Surface,Distance from Origin,1,2465,
63455.7,um,Surface,Distance from Origin,1,2466,
63476.7,um,Surface,Distance from Origin,1,2467,
63472.9,um,Surface,Distance from Origin,1,2468,
63456.1,um,Surface,Distance from Origin,1,2469,
63236.1,um,Surface,Distance from Origin,1,2470,
63272.8,um,Surface,Distance from Origin,1,2471,
63334.8,um,Surface,Distance from Origin,1,2472,
63285.4,um,Surface,Distance from Origin,1,2473,
63341.1,um,Surface,Distance from Origin,1,2474,
63248,um,Surface,Distance from Origin,1,2475,
63358.8,um,Surface,Distance from Origin,1,2476,
63253,um,Surface,Distance from Origin,1,2477,
63310.9,um,Surface,Distance from Origin,1,2478,
63359.3,um,Surface,Distance from Origin,1,2479,
63378.4,um,Surface,Distance from Origin,1,2480,
63365.1,um,Surface,Distance from Origin,1,2481,
63360.3,um,Surface,Distance from Origin,1,2482,
63377.4,um,Surface,Distance from Origin,1,2483,
63384.9,um,Surface,Distance from Origin,1,2484,
63368.4,um,Surface,Distance from Origin,1,2485,
63389.5,um,Surface,Distance from Origin,1,2486,
63414.4,um,Surface,Distance from Origin,1,2487,
63377.4,um,Surface,Distance from Origin,1,2488,
63418.4,um,Surface,Distance from Origin,1,2489,
63399.8,um,Surface,Distance from Origin,1,2490,
63436.6,um,Surface,Distance from Origin,1,2491,
63245.4,um,Surface,Distance from Origin,1,2492,
63275.7,um,Surface,Distance from Origin,1,2493,
63253.1,um,Surface,Distance from Origin,1,2494,
63257.4,um,Surface,Distance from Origin,1,2495,
63260.5,um,Surface,Distance from Origin,1,2496,
63260.6,um,Surface,Distance from Origin,1,2497,
63218.7,um,Surface,Distance from Origin,1,2498,
63279.1,um,Surface,Distance from Origin,1,2499,
63224.9,um,Surface,Distance from Origin,1,2500,
63298.3,um,Surface,Distance from Origin,1,2501,
63300.2,um,Surface,Distance from Origin,1,2502,
63262.6,um,Surface,Distance from Origin,1,2503,
63313.4,um,Surface,Distance from Origin,1,2504,
63270.6,um,Surface,Distance from Origin,1,2505,
63313.9,um,Surface,Distance from Origin,1,2506,
63310.8,um,Surface,Distance from Origin,1,2507,
63312.3,um,Surface,Distance from Origin,1,2508,
63285.5,um,Surface,Distance from Origin,1,2509,
63247.3,um,Surface,Distance from Origin,1,2510,
63323.2,um,Surface,Distance from Origin,1,2511,
63232,um,Surface,Distance from Origin,1,2512,
63314.2,um,Surface,Distance from Origin,1,2513,
63274,um,Surface,Distance from Origin,1,2514,
63317.9,um,Surface,Distance from Origin,1,2515,
63290.6,um,Surface,Distance from Origin,1,2516,
63337.3,um,Surface,Distance from Origin,1,2517,
63313.5,um,Surface,Distance from Origin,1,2518,
63241.3,um,Surface,Distance from Origin,1,2519,
63225.2,um,Surface,Distance from Origin,1,2520,
63228.4,um,Surface,Distance from Origin,1,2521,
63213.9,um,Surface,Distance from Origin,1,2522,
63237.9,um,Surface,Distance from Origin,1,2523,
63274.5,um,Surface,Distance from Origin,1,2524,
63277.1,um,Surface,Distance from Origin,1,2525,
63267.7,um,Surface,Distance from Origin,1,2526,
63293.6,um,Surface,Distance from Origin,1,2527,
63242.8,um,Surface,Distance from Origin,1,2528,
63243,um,Surface,Distance from Origin,1,2529,
63282.4,um,Surface,Distance from Origin,1,2530,
63231.5,um,Surface,Distance from Origin,1,2531,
63271.7,um,Surface,Distance from Origin,1,2532,
63256.9,um,Surface,Distance from Origin,1,2533,
63169.3,um,Surface,Distance from Origin,1,2534,
63162.2,um,Surface,Distance from Origin,1,2535,
63153.1,um,Surface,Distance from Origin,1,2536,
63187.7,um,Surface,Distance from Origin,1,2537,
