
Ellipsoid Axis Length B
 ==================== 
Ellipsoid Axis Length B,Unit,Category,Time,ID,
2.06931,um,Surface,1,3093,
3.63225,um,Surface,1,3094,
6.16782,um,Surface,1,3095,
4.75712,um,Surface,1,3096,
4.57627,um,Surface,1,3097,
2.61899,um,Surface,1,3098,
4.88442,um,Surface,1,3099,
5.81626,um,Surface,1,3100,
3.15346,um,Surface,1,3101,
4.20131,um,Surface,1,3102,
2.43249,um,Surface,1,3103,
6.37739,um,Surface,1,3104,
5.00191,um,Surface,1,3105,
6.63822,um,Surface,1,3106,
3.03659,um,Surface,1,3107,
5.43367,um,Surface,1,3108,
3.94506,um,Surface,1,3109,
2.74017,um,Surface,1,3110,
3.48623,um,Surface,1,3111,
2.99545,um,Surface,1,3112,
7.69077,um,Surface,1,3113,
3.83211,um,Surface,1,3114,
4.09901,um,Surface,1,3115,
5.67701,um,Surface,1,3116,
2.04179,um,Surface,1,3117,
3.74148,um,Surface,1,3118,
2.91579,um,Surface,1,3119,
5.93325,um,Surface,1,3120,
3.20496,um,Surface,1,3121,
7.06869,um,Surface,1,3122,
2.21247,um,Surface,1,3123,
4.90537,um,Surface,1,3124,
2.95501,um,Surface,1,3125,
3.35853,um,Surface,1,3126,
3.15442,um,Surface,1,3127,
4.06848,um,Surface,1,3128,
4.24149,um,Surface,1,3129,
4.14755,um,Surface,1,3130,
2.69672,um,Surface,1,3131,
3.87709,um,Surface,1,3132,
2.90147,um,Surface,1,3133,
1.6073,um,Surface,1,3134,
3.86686,um,Surface,1,3135,
8.49632,um,Surface,1,3136,
3.23299,um,Surface,1,3137,
3.64249,um,Surface,1,3138,
5.53633,um,Surface,1,3139,
2.59703,um,Surface,1,3140,
3.12848,um,Surface,1,3141,
4.12571,um,Surface,1,3142,
10.1239,um,Surface,1,3143,
3.08424,um,Surface,1,3144,
16.7402,um,Surface,1,3145,
5.20902,um,Surface,1,3146,
3.39754,um,Surface,1,3147,
13.8547,um,Surface,1,3148,
2.93275,um,Surface,1,3149,
3.27713,um,Surface,1,3150,
3.19502,um,Surface,1,3151,
5.20614,um,Surface,1,3152,
2.01222,um,Surface,1,3153,
4.57566,um,Surface,1,3154,
3.19683,um,Surface,1,3155,
3.23801,um,Surface,1,3156,
38.9908,um,Surface,1,3157,
2.35819,um,Surface,1,3158,
4.42571,um,Surface,1,3159,
6.05936,um,Surface,1,3160,
2.5138,um,Surface,1,3161,
7.07388,um,Surface,1,3162,
8.0953,um,Surface,1,3163,
8.385,um,Surface,1,3164,
9.14871,um,Surface,1,3165,
2.90676,um,Surface,1,3166,
11.7317,um,Surface,1,3167,
4.59348,um,Surface,1,3168,
7.15062,um,Surface,1,3169,
4.72547,um,Surface,1,3170,
2.92284,um,Surface,1,3171,
2.71968,um,Surface,1,3172,
16.3497,um,Surface,1,3173,
2.09231,um,Surface,1,3174,
3.57979,um,Surface,1,3175,
3.66679,um,Surface,1,3176,
3.10317,um,Surface,1,3177,
3.24201,um,Surface,1,3178,
12.2515,um,Surface,1,3179,
3.55494,um,Surface,1,3180,
6.07307,um,Surface,1,3181,
5.45316,um,Surface,1,3182,
20.7196,um,Surface,1,3183,
3.31944,um,Surface,1,3184,
3.10954,um,Surface,1,3185,
2.12924,um,Surface,1,3186,
3.19634,um,Surface,1,3187,
5.29407,um,Surface,1,3188,
6.53154,um,Surface,1,3189,
3.5888,um,Surface,1,3190,
6.00665,um,Surface,1,3191,
18.7901,um,Surface,1,3192,
3.23405,um,Surface,1,3193,
4.81388,um,Surface,1,3194,
7.7524,um,Surface,1,3195,
19.7692,um,Surface,1,3196,
18.3808,um,Surface,1,3197,
4.60714,um,Surface,1,3198,
6.99471,um,Surface,1,3199,
5.99946,um,Surface,1,3200,
5.15423,um,Surface,1,3201,
3.30671,um,Surface,1,3202,
7.77197,um,Surface,1,3203,
6.54913,um,Surface,1,3204,
3.73703,um,Surface,1,3205,
3.83784,um,Surface,1,3206,
2.13699,um,Surface,1,3207,
3.84075,um,Surface,1,3208,
3.53763,um,Surface,1,3209,
2.3942,um,Surface,1,3210,
2.81541,um,Surface,1,3211,
2.40084,um,Surface,1,3212,
2.43905,um,Surface,1,3213,
6.72291,um,Surface,1,3214,
2.09367,um,Surface,1,3215,
3.281,um,Surface,1,3216,
4.65696,um,Surface,1,3217,
2.80488,um,Surface,1,3218,
3.87709,um,Surface,1,3219,
3.33579,um,Surface,1,3220,
4.77556,um,Surface,1,3221,
3.42832,um,Surface,1,3222,
2.03189,um,Surface,1,3223,
1.62444,um,Surface,1,3224,
3.6785,um,Surface,1,3225,
