
Intensity Sum Ch=3 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
5990,,Surface,3,Image 1,1,2422,
2049,,Surface,3,Image 1,1,2423,
937,,Surface,3,Image 1,1,2424,
3674,,Surface,3,Image 1,1,2425,
9365,,Surface,3,Image 1,1,2426,
15439,,Surface,3,Image 1,1,2427,
6048,,Surface,3,Image 1,1,2428,
11077,,Surface,3,Image 1,1,2429,
3574,,Surface,3,Image 1,1,2430,
629,,Surface,3,Image 1,1,2431,
3845,,Surface,3,Image 1,1,2432,
2140,,Surface,3,Image 1,1,2433,
1823,,Surface,3,Image 1,1,2434,
3947,,Surface,3,Image 1,1,2435,
3224,,Surface,3,Image 1,1,2436,
20933,,Surface,3,Image 1,1,2437,
8718,,Surface,3,Image 1,1,2438,
2798,,Surface,3,Image 1,1,2439,
870,,Surface,3,Image 1,1,2440,
11529,,Surface,3,Image 1,1,2441,
15177,,Surface,3,Image 1,1,2442,
821,,Surface,3,Image 1,1,2443,
5847,,Surface,3,Image 1,1,2444,
4661,,Surface,3,Image 1,1,2445,
24318,,Surface,3,Image 1,1,2446,
6853,,Surface,3,Image 1,1,2447,
2233,,Surface,3,Image 1,1,2448,
9108,,Surface,3,Image 1,1,2449,
3118,,Surface,3,Image 1,1,2450,
3808,,Surface,3,Image 1,1,2451,
14396,,Surface,3,Image 1,1,2452,
3292,,Surface,3,Image 1,1,2453,
4091,,Surface,3,Image 1,1,2454,
2700,,Surface,3,Image 1,1,2455,
8720,,Surface,3,Image 1,1,2456,
4694,,Surface,3,Image 1,1,2457,
3218,,Surface,3,Image 1,1,2458,
4618,,Surface,3,Image 1,1,2459,
2449,,Surface,3,Image 1,1,2460,
12452,,Surface,3,Image 1,1,2461,
2621,,Surface,3,Image 1,1,2462,
7441,,Surface,3,Image 1,1,2463,
2061,,Surface,3,Image 1,1,2464,
13083,,Surface,3,Image 1,1,2465,
2827,,Surface,3,Image 1,1,2466,
16807,,Surface,3,Image 1,1,2467,
4255,,Surface,3,Image 1,1,2468,
2376,,Surface,3,Image 1,1,2469,
1409,,Surface,3,Image 1,1,2470,
915,,Surface,3,Image 1,1,2471,
7764,,Surface,3,Image 1,1,2472,
1548,,Surface,3,Image 1,1,2473,
3635,,Surface,3,Image 1,1,2474,
1053,,Surface,3,Image 1,1,2475,
1134,,Surface,3,Image 1,1,2476,
324,,Surface,3,Image 1,1,2477,
6910,,Surface,3,Image 1,1,2478,
6096,,Surface,3,Image 1,1,2479,
1303,,Surface,3,Image 1,1,2480,
4924,,Surface,3,Image 1,1,2481,
5829,,Surface,3,Image 1,1,2482,
3323,,Surface,3,Image 1,1,2483,
805,,Surface,3,Image 1,1,2484,
2767,,Surface,3,Image 1,1,2485,
3825,,Surface,3,Image 1,1,2486,
14128,,Surface,3,Image 1,1,2487,
418,,Surface,3,Image 1,1,2488,
5035,,Surface,3,Image 1,1,2489,
3259,,Surface,3,Image 1,1,2490,
21398,,Surface,3,Image 1,1,2491,
1830,,Surface,3,Image 1,1,2492,
3136,,Surface,3,Image 1,1,2493,
1203,,Surface,3,Image 1,1,2494,
1135,,Surface,3,Image 1,1,2495,
322,,Surface,3,Image 1,1,2496,
3237,,Surface,3,Image 1,1,2497,
1219,,Surface,3,Image 1,1,2498,
4275,,Surface,3,Image 1,1,2499,
4528,,Surface,3,Image 1,1,2500,
3859,,Surface,3,Image 1,1,2501,
6807,,Surface,3,Image 1,1,2502,
1115,,Surface,3,Image 1,1,2503,
315,,Surface,3,Image 1,1,2504,
1518,,Surface,3,Image 1,1,2505,
6861,,Surface,3,Image 1,1,2506,
18894,,Surface,3,Image 1,1,2507,
11012,,Surface,3,Image 1,1,2508,
3740,,Surface,3,Image 1,1,2509,
1210,,Surface,3,Image 1,1,2510,
8903,,Surface,3,Image 1,1,2511,
3292,,Surface,3,Image 1,1,2512,
844,,Surface,3,Image 1,1,2513,
404,,Surface,3,Image 1,1,2514,
4268,,Surface,3,Image 1,1,2515,
1202,,Surface,3,Image 1,1,2516,
3873,,Surface,3,Image 1,1,2517,
735,,Surface,3,Image 1,1,2518,
801,,Surface,3,Image 1,1,2519,
4201,,Surface,3,Image 1,1,2520,
5954,,Surface,3,Image 1,1,2521,
1969,,Surface,3,Image 1,1,2522,
4998,,Surface,3,Image 1,1,2523,
19323,,Surface,3,Image 1,1,2524,
8397,,Surface,3,Image 1,1,2525,
2923,,Surface,3,Image 1,1,2526,
21278,,Surface,3,Image 1,1,2527,
8705,,Surface,3,Image 1,1,2528,
3094,,Surface,3,Image 1,1,2529,
14358,,Surface,3,Image 1,1,2530,
1054,,Surface,3,Image 1,1,2531,
3957,,Surface,3,Image 1,1,2532,
3548,,Surface,3,Image 1,1,2533,
241,,Surface,3,Image 1,1,2534,
470,,Surface,3,Image 1,1,2535,
1090,,Surface,3,Image 1,1,2536,
2310,,Surface,3,Image 1,1,2537,
953,,Surface,3,Image 1,1,2538,
1075,,Surface,3,Image 1,1,2539,
1882,,Surface,3,Image 1,1,2540,
3893,,Surface,3,Image 1,1,2541,
8550,,Surface,3,Image 1,1,2542,
1726,,Surface,3,Image 1,1,2543,
5574,,Surface,3,Image 1,1,2544,
1591,,Surface,3,Image 1,1,2545,
1226,,Surface,3,Image 1,1,2546,
879,,Surface,3,Image 1,1,2547,
7703,,Surface,3,Image 1,1,2548,
11561,,Surface,3,Image 1,1,2549,
729,,Surface,3,Image 1,1,2550,
7826,,Surface,3,Image 1,1,2551,
1143,,Surface,3,Image 1,1,2552,
14339,,Surface,3,Image 1,1,2553,
2913,,Surface,3,Image 1,1,2554,
14734,,Surface,3,Image 1,1,2555,
4107,,Surface,3,Image 1,1,2556,
1184,,Surface,3,Image 1,1,2557,
846,,Surface,3,Image 1,1,2558,
7304,,Surface,3,Image 1,1,2559,
11907,,Surface,3,Image 1,1,2560,
9469,,Surface,3,Image 1,1,2561,
11817,,Surface,3,Image 1,1,2562,
1963,,Surface,3,Image 1,1,2563,
6511,,Surface,3,Image 1,1,2564,
7992,,Surface,3,Image 1,1,2565,
7715,,Surface,3,Image 1,1,2566,
6462,,Surface,3,Image 1,1,2567,
37726,,Surface,3,Image 1,1,2568,
7248,,Surface,3,Image 1,1,2569,
3461,,Surface,3,Image 1,1,2570,
4628,,Surface,3,Image 1,1,2571,
17194,,Surface,3,Image 1,1,2572,
2735,,Surface,3,Image 1,1,2573,
3957,,Surface,3,Image 1,1,2574,
4932,,Surface,3,Image 1,1,2575,
2506,,Surface,3,Image 1,1,2576,
1024,,Surface,3,Image 1,1,2577,
3645,,Surface,3,Image 1,1,2578,
4647,,Surface,3,Image 1,1,2579,
9212,,Surface,3,Image 1,1,2580,
6513,,Surface,3,Image 1,1,2581,
1617,,Surface,3,Image 1,1,2582,
1184,,Surface,3,Image 1,1,2583,
22218,,Surface,3,Image 1,1,2584,
2216,,Surface,3,Image 1,1,2585,
521,,Surface,3,Image 1,1,2586,
36516,,Surface,3,Image 1,1,2587,
4593,,Surface,3,Image 1,1,2588,
11149,,Surface,3,Image 1,1,2589,
7094,,Surface,3,Image 1,1,2590,
5087,,Surface,3,Image 1,1,2591,
6496,,Surface,3,Image 1,1,2592,
3441,,Surface,3,Image 1,1,2593,
5080,,Surface,3,Image 1,1,2594,
6291,,Surface,3,Image 1,1,2595,
2544,,Surface,3,Image 1,1,2596,
6511,,Surface,3,Image 1,1,2597,
6316,,Surface,3,Image 1,1,2598,
6057,,Surface,3,Image 1,1,2599,
3264,,Surface,3,Image 1,1,2600,
3331,,Surface,3,Image 1,1,2601,
6143,,Surface,3,Image 1,1,2602,
10739,,Surface,3,Image 1,1,2603,
2289,,Surface,3,Image 1,1,2604,
67594,,Surface,3,Image 1,1,2605,
41120,,Surface,3,Image 1,1,2606,
1716,,Surface,3,Image 1,1,2607,
529,,Surface,3,Image 1,1,2608,
11209,,Surface,3,Image 1,1,2609,
1132,,Surface,3,Image 1,1,2610,
1731,,Surface,3,Image 1,1,2611,
1381,,Surface,3,Image 1,1,2612,
2358,,Surface,3,Image 1,1,2613,
22215,,Surface,3,Image 1,1,2614,
2059,,Surface,3,Image 1,1,2615,
9293,,Surface,3,Image 1,1,2616,
17307,,Surface,3,Image 1,1,2617,
31883,,Surface,3,Image 1,1,2618,
8785,,Surface,3,Image 1,1,2619,
2522,,Surface,3,Image 1,1,2620,
45389,,Surface,3,Image 1,1,2621,
18046,,Surface,3,Image 1,1,2622,
5537,,Surface,3,Image 1,1,2623,
37087,,Surface,3,Image 1,1,2624,
25963,,Surface,3,Image 1,1,2625,
14412,,Surface,3,Image 1,1,2626,
3178,,Surface,3,Image 1,1,2627,
35823,,Surface,3,Image 1,1,2628,
2537,,Surface,3,Image 1,1,2629,
37345,,Surface,3,Image 1,1,2630,
13296,,Surface,3,Image 1,1,2631,
7486,,Surface,3,Image 1,1,2632,
4762,,Surface,3,Image 1,1,2633,
31769,,Surface,3,Image 1,1,2634,
29195,,Surface,3,Image 1,1,2635,
5618,,Surface,3,Image 1,1,2636,
6085,,Surface,3,Image 1,1,2637,
100181,,Surface,3,Image 1,1,2638,
6443,,Surface,3,Image 1,1,2639,
30241,,Surface,3,Image 1,1,2640,
61022,,Surface,3,Image 1,1,2641,
5324,,Surface,3,Image 1,1,2642,
8193,,Surface,3,Image 1,1,2643,
41499,,Surface,3,Image 1,1,2644,
5914,,Surface,3,Image 1,1,2645,
5141,,Surface,3,Image 1,1,2646,
3386,,Surface,3,Image 1,1,2647,
11027,,Surface,3,Image 1,1,2648,
14531,,Surface,3,Image 1,1,2649,
4306,,Surface,3,Image 1,1,2650,
18394,,Surface,3,Image 1,1,2651,
9791,,Surface,3,Image 1,1,2652,
5829,,Surface,3,Image 1,1,2653,
4990,,Surface,3,Image 1,1,2654,
1213,,Surface,3,Image 1,1,2655,
5152,,Surface,3,Image 1,1,2656,
7102,,Surface,3,Image 1,1,2657,
11131,,Surface,3,Image 1,1,2658,
2897,,Surface,3,Image 1,1,2659,
1965,,Surface,3,Image 1,1,2660,
33069,,Surface,3,Image 1,1,2661,
3562,,Surface,3,Image 1,1,2662,
19937,,Surface,3,Image 1,1,2663,
42561,,Surface,3,Image 1,1,2664,
7901,,Surface,3,Image 1,1,2665,
35673,,Surface,3,Image 1,1,2666,
14076,,Surface,3,Image 1,1,2667,
60842,,Surface,3,Image 1,1,2668,
31874,,Surface,3,Image 1,1,2669,
7577,,Surface,3,Image 1,1,2670,
7246,,Surface,3,Image 1,1,2671,
2846,,Surface,3,Image 1,1,2672,
3204,,Surface,3,Image 1,1,2673,
10352,,Surface,3,Image 1,1,2674,
3918,,Surface,3,Image 1,1,2675,
18246,,Surface,3,Image 1,1,2676,
3410,,Surface,3,Image 1,1,2677,
10750,,Surface,3,Image 1,1,2678,
13085,,Surface,3,Image 1,1,2679,
1458,,Surface,3,Image 1,1,2680,
56294,,Surface,3,Image 1,1,2681,
9412,,Surface,3,Image 1,1,2682,
13532,,Surface,3,Image 1,1,2683,
7959,,Surface,3,Image 1,1,2684,
2195,,Surface,3,Image 1,1,2685,
24106,,Surface,3,Image 1,1,2686,
7133,,Surface,3,Image 1,1,2687,
2839,,Surface,3,Image 1,1,2688,
7410,,Surface,3,Image 1,1,2689,
7475,,Surface,3,Image 1,1,2690,
4055,,Surface,3,Image 1,1,2691,
3804,,Surface,3,Image 1,1,2692,
1838,,Surface,3,Image 1,1,2693,
