
Number of Voxels Img=1
 ==================== 
Number of Voxels,Unit,Category,Image,Time,ID,
172,,Surface,Image 1,1,2422,
136,,Surface,Image 1,1,2423,
64,,Surface,Image 1,1,2424,
96,,Surface,Image 1,1,2425,
296,,Surface,Image 1,1,2426,
384,,Surface,Image 1,1,2427,
172,,Surface,Image 1,1,2428,
312,,Surface,Image 1,1,2429,
48,,Surface,Image 1,1,2430,
56,,Surface,Image 1,1,2431,
76,,Surface,Image 1,1,2432,
44,,Surface,Image 1,1,2433,
132,,Surface,Image 1,1,2434,
252,,Surface,Image 1,1,2435,
168,,Surface,Image 1,1,2436,
484,,Surface,Image 1,1,2437,
192,,Surface,Image 1,1,2438,
88,,Surface,Image 1,1,2439,
68,,Surface,Image 1,1,2440,
228,,Surface,Image 1,1,2441,
424,,Surface,Image 1,1,2442,
24,,Surface,Image 1,1,2443,
52,,Surface,Image 1,1,2444,
236,,Surface,Image 1,1,2445,
672,,Surface,Image 1,1,2446,
104,,Surface,Image 1,1,2447,
116,,Surface,Image 1,1,2448,
200,,Surface,Image 1,1,2449,
56,,Surface,Image 1,1,2450,
64,,Surface,Image 1,1,2451,
292,,Surface,Image 1,1,2452,
72,,Surface,Image 1,1,2453,
108,,Surface,Image 1,1,2454,
104,,Surface,Image 1,1,2455,
252,,Surface,Image 1,1,2456,
168,,Surface,Image 1,1,2457,
116,,Surface,Image 1,1,2458,
128,,Surface,Image 1,1,2459,
96,,Surface,Image 1,1,2460,
208,,Surface,Image 1,1,2461,
96,,Surface,Image 1,1,2462,
196,,Surface,Image 1,1,2463,
124,,Surface,Image 1,1,2464,
292,,Surface,Image 1,1,2465,
64,,Surface,Image 1,1,2466,
380,,Surface,Image 1,1,2467,
140,,Surface,Image 1,1,2468,
172,,Surface,Image 1,1,2469,
124,,Surface,Image 1,1,2470,
40,,Surface,Image 1,1,2471,
196,,Surface,Image 1,1,2472,
36,,Surface,Image 1,1,2473,
80,,Surface,Image 1,1,2474,
184,,Surface,Image 1,1,2475,
72,,Surface,Image 1,1,2476,
88,,Surface,Image 1,1,2477,
152,,Surface,Image 1,1,2478,
208,,Surface,Image 1,1,2479,
48,,Surface,Image 1,1,2480,
100,,Surface,Image 1,1,2481,
280,,Surface,Image 1,1,2482,
88,,Surface,Image 1,1,2483,
48,,Surface,Image 1,1,2484,
120,,Surface,Image 1,1,2485,
116,,Surface,Image 1,1,2486,
264,,Surface,Image 1,1,2487,
24,,Surface,Image 1,1,2488,
124,,Surface,Image 1,1,2489,
80,,Surface,Image 1,1,2490,
376,,Surface,Image 1,1,2491,
380,,Surface,Image 1,1,2492,
120,,Surface,Image 1,1,2493,
244,,Surface,Image 1,1,2494,
264,,Surface,Image 1,1,2495,
76,,Surface,Image 1,1,2496,
332,,Surface,Image 1,1,2497,
88,,Surface,Image 1,1,2498,
116,,Surface,Image 1,1,2499,
268,,Surface,Image 1,1,2500,
176,,Surface,Image 1,1,2501,
168,,Surface,Image 1,1,2502,
244,,Surface,Image 1,1,2503,
40,,Surface,Image 1,1,2504,
312,,Surface,Image 1,1,2505,
504,,Surface,Image 1,1,2506,
412,,Surface,Image 1,1,2507,
192,,Surface,Image 1,1,2508,
204,,Surface,Image 1,1,2509,
56,,Surface,Image 1,1,2510,
500,,Surface,Image 1,1,2511,
180,,Surface,Image 1,1,2512,
140,,Surface,Image 1,1,2513,
88,,Surface,Image 1,1,2514,
152,,Surface,Image 1,1,2515,
268,,Surface,Image 1,1,2516,
128,,Surface,Image 1,1,2517,
72,,Surface,Image 1,1,2518,
24,,Surface,Image 1,1,2519,
576,,Surface,Image 1,1,2520,
1240,,Surface,Image 1,1,2521,
492,,Surface,Image 1,1,2522,
1112,,Surface,Image 1,1,2523,
324,,Surface,Image 1,1,2524,
156,,Surface,Image 1,1,2525,
56,,Surface,Image 1,1,2526,
464,,Surface,Image 1,1,2527,
880,,Surface,Image 1,1,2528,
420,,Surface,Image 1,1,2529,
620,,Surface,Image 1,1,2530,
224,,Surface,Image 1,1,2531,
76,,Surface,Image 1,1,2532,
580,,Surface,Image 1,1,2533,
52,,Surface,Image 1,1,2534,
92,,Surface,Image 1,1,2535,
176,,Surface,Image 1,1,2536,
368,,Surface,Image 1,1,2537,
196,,Surface,Image 1,1,2538,
52,,Surface,Image 1,1,2539,
460,,Surface,Image 1,1,2540,
48,,Surface,Image 1,1,2541,
1000,,Surface,Image 1,1,2542,
56,,Surface,Image 1,1,2543,
124,,Surface,Image 1,1,2544,
40,,Surface,Image 1,1,2545,
244,,Surface,Image 1,1,2546,
48,,Surface,Image 1,1,2547,
116,,Surface,Image 1,1,2548,
196,,Surface,Image 1,1,2549,
164,,Surface,Image 1,1,2550,
76,,Surface,Image 1,1,2551,
260,,Surface,Image 1,1,2552,
3080,,Surface,Image 1,1,2553,
628,,Surface,Image 1,1,2554,
316,,Surface,Image 1,1,2555,
80,,Surface,Image 1,1,2556,
284,,Surface,Image 1,1,2557,
188,,Surface,Image 1,1,2558,
156,,Surface,Image 1,1,2559,
252,,Surface,Image 1,1,2560,
672,,Surface,Image 1,1,2561,
296,,Surface,Image 1,1,2562,
456,,Surface,Image 1,1,2563,
72,,Surface,Image 1,1,2564,
396,,Surface,Image 1,1,2565,
68,,Surface,Image 1,1,2566,
128,,Surface,Image 1,1,2567,
692,,Surface,Image 1,1,2568,
128,,Surface,Image 1,1,2569,
132,,Surface,Image 1,1,2570,
120,,Surface,Image 1,1,2571,
264,,Surface,Image 1,1,2572,
452,,Surface,Image 1,1,2573,
140,,Surface,Image 1,1,2574,
720,,Surface,Image 1,1,2575,
512,,Surface,Image 1,1,2576,
176,,Surface,Image 1,1,2577,
172,,Surface,Image 1,1,2578,
752,,Surface,Image 1,1,2579,
1244,,Surface,Image 1,1,2580,
1412,,Surface,Image 1,1,2581,
72,,Surface,Image 1,1,2582,
224,,Surface,Image 1,1,2583,
256,,Surface,Image 1,1,2584,
68,,Surface,Image 1,1,2585,
68,,Surface,Image 1,1,2586,
548,,Surface,Image 1,1,2587,
64,,Surface,Image 1,1,2588,
480,,Surface,Image 1,1,2589,
212,,Surface,Image 1,1,2590,
292,,Surface,Image 1,1,2591,
116,,Surface,Image 1,1,2592,
112,,Surface,Image 1,1,2593,
156,,Surface,Image 1,1,2594,
280,,Surface,Image 1,1,2595,
44,,Surface,Image 1,1,2596,
468,,Surface,Image 1,1,2597,
144,,Surface,Image 1,1,2598,
156,,Surface,Image 1,1,2599,
92,,Surface,Image 1,1,2600,
56,,Surface,Image 1,1,2601,
256,,Surface,Image 1,1,2602,
280,,Surface,Image 1,1,2603,
180,,Surface,Image 1,1,2604,
1152,,Surface,Image 1,1,2605,
696,,Surface,Image 1,1,2606,
44,,Surface,Image 1,1,2607,
108,,Surface,Image 1,1,2608,
580,,Surface,Image 1,1,2609,
232,,Surface,Image 1,1,2610,
52,,Surface,Image 1,1,2611,
68,,Surface,Image 1,1,2612,
60,,Surface,Image 1,1,2613,
400,,Surface,Image 1,1,2614,
44,,Surface,Image 1,1,2615,
908,,Surface,Image 1,1,2616,
184,,Surface,Image 1,1,2617,
332,,Surface,Image 1,1,2618,
128,,Surface,Image 1,1,2619,
120,,Surface,Image 1,1,2620,
3568,,Surface,Image 1,1,2621,
296,,Surface,Image 1,1,2622,
320,,Surface,Image 1,1,2623,
484,,Surface,Image 1,1,2624,
420,,Surface,Image 1,1,2625,
224,,Surface,Image 1,1,2626,
68,,Surface,Image 1,1,2627,
548,,Surface,Image 1,1,2628,
92,,Surface,Image 1,1,2629,
548,,Surface,Image 1,1,2630,
316,,Surface,Image 1,1,2631,
1424,,Surface,Image 1,1,2632,
148,,Surface,Image 1,1,2633,
504,,Surface,Image 1,1,2634,
420,,Surface,Image 1,1,2635,
124,,Surface,Image 1,1,2636,
212,,Surface,Image 1,1,2637,
1140,,Surface,Image 1,1,2638,
328,,Surface,Image 1,1,2639,
408,,Surface,Image 1,1,2640,
764,,Surface,Image 1,1,2641,
88,,Surface,Image 1,1,2642,
424,,Surface,Image 1,1,2643,
4748,,Surface,Image 1,1,2644,
88,,Surface,Image 1,1,2645,
136,,Surface,Image 1,1,2646,
232,,Surface,Image 1,1,2647,
196,,Surface,Image 1,1,2648,
340,,Surface,Image 1,1,2649,
88,,Surface,Image 1,1,2650,
236,,Surface,Image 1,1,2651,
244,,Surface,Image 1,1,2652,
236,,Surface,Image 1,1,2653,
140,,Surface,Image 1,1,2654,
224,,Surface,Image 1,1,2655,
920,,Surface,Image 1,1,2656,
108,,Surface,Image 1,1,2657,
168,,Surface,Image 1,1,2658,
512,,Surface,Image 1,1,2659,
124,,Surface,Image 1,1,2660,
2584,,Surface,Image 1,1,2661,
168,,Surface,Image 1,1,2662,
708,,Surface,Image 1,1,2663,
544,,Surface,Image 1,1,2664,
128,,Surface,Image 1,1,2665,
3612,,Surface,Image 1,1,2666,
192,,Surface,Image 1,1,2667,
760,,Surface,Image 1,1,2668,
444,,Surface,Image 1,1,2669,
84,,Surface,Image 1,1,2670,
1156,,Surface,Image 1,1,2671,
68,,Surface,Image 1,1,2672,
168,,Surface,Image 1,1,2673,
180,,Surface,Image 1,1,2674,
176,,Surface,Image 1,1,2675,
368,,Surface,Image 1,1,2676,
120,,Surface,Image 1,1,2677,
1652,,Surface,Image 1,1,2678,
264,,Surface,Image 1,1,2679,
224,,Surface,Image 1,1,2680,
8676,,Surface,Image 1,1,2681,
344,,Surface,Image 1,1,2682,
572,,Surface,Image 1,1,2683,
140,,Surface,Image 1,1,2684,
228,,Surface,Image 1,1,2685,
392,,Surface,Image 1,1,2686,
240,,Surface,Image 1,1,2687,
424,,Surface,Image 1,1,2688,
208,,Surface,Image 1,1,2689,
264,,Surface,Image 1,1,2690,
100,,Surface,Image 1,1,2691,
64,,Surface,Image 1,1,2692,
276,,Surface,Image 1,1,2693,
52,,Surface,Image 1,1,2694,
132,,Surface,Image 1,1,2695,
152,,Surface,Image 1,1,2696,
116,,Surface,Image 1,1,2697,
64,,Surface,Image 1,1,2698,
116,,Surface,Image 1,1,2699,
80,,Surface,Image 1,1,2700,
104,,Surface,Image 1,1,2701,
60,,Surface,Image 1,1,2702,
60,,Surface,Image 1,1,2703,
116,,Surface,Image 1,1,2704,
140,,Surface,Image 1,1,2705,
348,,Surface,Image 1,1,2706,
144,,Surface,Image 1,1,2707,
428,,Surface,Image 1,1,2708,
56,,Surface,Image 1,1,2709,
52,,Surface,Image 1,1,2710,
88,,Surface,Image 1,1,2711,
56,,Surface,Image 1,1,2712,
124,,Surface,Image 1,1,2713,
12,,Surface,Image 1,1,2714,
56,,Surface,Image 1,1,2715,
668,,Surface,Image 1,1,2716,
340,,Surface,Image 1,1,2717,
112,,Surface,Image 1,1,2718,
276,,Surface,Image 1,1,2719,
380,,Surface,Image 1,1,2720,
704,,Surface,Image 1,1,2721,
56,,Surface,Image 1,1,2722,
208,,Surface,Image 1,1,2723,
292,,Surface,Image 1,1,2724,
76,,Surface,Image 1,1,2725,
112,,Surface,Image 1,1,2726,
512,,Surface,Image 1,1,2727,
212,,Surface,Image 1,1,2728,
236,,Surface,Image 1,1,2729,
388,,Surface,Image 1,1,2730,
240,,Surface,Image 1,1,2731,
128,,Surface,Image 1,1,2732,
232,,Surface,Image 1,1,2733,
224,,Surface,Image 1,1,2734,
88,,Surface,Image 1,1,2735,
284,,Surface,Image 1,1,2736,
1832,,Surface,Image 1,1,2737,
380,,Surface,Image 1,1,2738,
236,,Surface,Image 1,1,2739,
56,,Surface,Image 1,1,2740,
364,,Surface,Image 1,1,2741,
744,,Surface,Image 1,1,2742,
1100,,Surface,Image 1,1,2743,
844,,Surface,Image 1,1,2744,
276,,Surface,Image 1,1,2745,
204,,Surface,Image 1,1,2746,
812,,Surface,Image 1,1,2747,
548,,Surface,Image 1,1,2748,
620,,Surface,Image 1,1,2749,
340,,Surface,Image 1,1,2750,
380,,Surface,Image 1,1,2751,
452,,Surface,Image 1,1,2752,
156,,Surface,Image 1,1,2753,
140,,Surface,Image 1,1,2754,
236,,Surface,Image 1,1,2755,
264,,Surface,Image 1,1,2756,
696,,Surface,Image 1,1,2757,
156,,Surface,Image 1,1,2758,
68,,Surface,Image 1,1,2759,
376,,Surface,Image 1,1,2760,
1696,,Surface,Image 1,1,2761,
144,,Surface,Image 1,1,2762,
212,,Surface,Image 1,1,2763,
216,,Surface,Image 1,1,2764,
92,,Surface,Image 1,1,2765,
588,,Surface,Image 1,1,2766,
76,,Surface,Image 1,1,2767,
896,,Surface,Image 1,1,2768,
324,,Surface,Image 1,1,2769,
108,,Surface,Image 1,1,2770,
76,,Surface,Image 1,1,2771,
256,,Surface,Image 1,1,2772,
612,,Surface,Image 1,1,2773,
252,,Surface,Image 1,1,2774,
796,,Surface,Image 1,1,2775,
304,,Surface,Image 1,1,2776,
60,,Surface,Image 1,1,2777,
164,,Surface,Image 1,1,2778,
276,,Surface,Image 1,1,2779,
128,,Surface,Image 1,1,2780,
636,,Surface,Image 1,1,2781,
276,,Surface,Image 1,1,2782,
232,,Surface,Image 1,1,2783,
288,,Surface,Image 1,1,2784,
64,,Surface,Image 1,1,2785,
216,,Surface,Image 1,1,2786,
508,,Surface,Image 1,1,2787,
64,,Surface,Image 1,1,2788,
320,,Surface,Image 1,1,2789,
148,,Surface,Image 1,1,2790,
72,,Surface,Image 1,1,2791,
508,,Surface,Image 1,1,2792,
328,,Surface,Image 1,1,2793,
284,,Surface,Image 1,1,2794,
100,,Surface,Image 1,1,2795,
836,,Surface,Image 1,1,2796,
184,,Surface,Image 1,1,2797,
204,,Surface,Image 1,1,2798,
248,,Surface,Image 1,1,2799,
64,,Surface,Image 1,1,2800,
960,,Surface,Image 1,1,2801,
92,,Surface,Image 1,1,2802,
148,,Surface,Image 1,1,2803,
140,,Surface,Image 1,1,2804,
124,,Surface,Image 1,1,2805,
144,,Surface,Image 1,1,2806,
36,,Surface,Image 1,1,2807,
284,,Surface,Image 1,1,2808,
104,,Surface,Image 1,1,2809,
164,,Surface,Image 1,1,2810,
256,,Surface,Image 1,1,2811,
180,,Surface,Image 1,1,2812,
116,,Surface,Image 1,1,2813,
284,,Surface,Image 1,1,2814,
452,,Surface,Image 1,1,2815,
124,,Surface,Image 1,1,2816,
128,,Surface,Image 1,1,2817,
136,,Surface,Image 1,1,2818,
104,,Surface,Image 1,1,2819,
60,,Surface,Image 1,1,2820,
120,,Surface,Image 1,1,2821,
456,,Surface,Image 1,1,2822,
160,,Surface,Image 1,1,2823,
168,,Surface,Image 1,1,2824,
252,,Surface,Image 1,1,2825,
912,,Surface,Image 1,1,2826,
232,,Surface,Image 1,1,2827,
128,,Surface,Image 1,1,2828,
60,,Surface,Image 1,1,2829,
52,,Surface,Image 1,1,2830,
280,,Surface,Image 1,1,2831,
148,,Surface,Image 1,1,2832,
148,,Surface,Image 1,1,2833,
164,,Surface,Image 1,1,2834,
88,,Surface,Image 1,1,2835,
132,,Surface,Image 1,1,2836,
84,,Surface,Image 1,1,2837,
476,,Surface,Image 1,1,2838,
96,,Surface,Image 1,1,2839,
152,,Surface,Image 1,1,2840,
36,,Surface,Image 1,1,2841,
216,,Surface,Image 1,1,2842,
196,,Surface,Image 1,1,2843,
68,,Surface,Image 1,1,2844,
152,,Surface,Image 1,1,2845,
108,,Surface,Image 1,1,2846,
332,,Surface,Image 1,1,2847,
248,,Surface,Image 1,1,2848,
132,,Surface,Image 1,1,2849,
116,,Surface,Image 1,1,2850,
252,,Surface,Image 1,1,2851,
116,,Surface,Image 1,1,2852,
180,,Surface,Image 1,1,2853,
