
Intensity Sum Ch=2 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
7167,,Surface,2,Image 1,1,2422,
18160,,Surface,2,Image 1,1,2423,
2224,,Surface,2,Image 1,1,2424,
2848,,Surface,2,Image 1,1,2425,
16116,,Surface,2,Image 1,1,2426,
18486,,Surface,2,Image 1,1,2427,
8639,,Surface,2,Image 1,1,2428,
17389,,Surface,2,Image 1,1,2429,
1923,,Surface,2,Image 1,1,2430,
7042,,Surface,2,Image 1,1,2431,
2248,,Surface,2,Image 1,1,2432,
2078,,Surface,2,Image 1,1,2433,
18277,,Surface,2,Image 1,1,2434,
37848,,Surface,2,Image 1,1,2435,
6417,,Surface,2,Image 1,1,2436,
39307,,Surface,2,Image 1,1,2437,
7851,,Surface,2,Image 1,1,2438,
3462,,Surface,2,Image 1,1,2439,
8022,,Surface,2,Image 1,1,2440,
14005,,Surface,2,Image 1,1,2441,
18487,,Surface,2,Image 1,1,2442,
887,,Surface,2,Image 1,1,2443,
2522,,Surface,2,Image 1,1,2444,
32948,,Surface,2,Image 1,1,2445,
34721,,Surface,2,Image 1,1,2446,
4113,,Surface,2,Image 1,1,2447,
5290,,Surface,2,Image 1,1,2448,
9836,,Surface,2,Image 1,1,2449,
2634,,Surface,2,Image 1,1,2450,
5337,,Surface,2,Image 1,1,2451,
12124,,Surface,2,Image 1,1,2452,
2320,,Surface,2,Image 1,1,2453,
4517,,Surface,2,Image 1,1,2454,
4202,,Surface,2,Image 1,1,2455,
9419,,Surface,2,Image 1,1,2456,
5657,,Surface,2,Image 1,1,2457,
5532,,Surface,2,Image 1,1,2458,
4408,,Surface,2,Image 1,1,2459,
4670,,Surface,2,Image 1,1,2460,
7805,,Surface,2,Image 1,1,2461,
3638,,Surface,2,Image 1,1,2462,
9396,,Surface,2,Image 1,1,2463,
7687,,Surface,2,Image 1,1,2464,
10563,,Surface,2,Image 1,1,2465,
2765,,Surface,2,Image 1,1,2466,
14255,,Surface,2,Image 1,1,2467,
6000,,Surface,2,Image 1,1,2468,
23530,,Surface,2,Image 1,1,2469,
12619,,Surface,2,Image 1,1,2470,
1509,,Surface,2,Image 1,1,2471,
8023,,Surface,2,Image 1,1,2472,
1423,,Surface,2,Image 1,1,2473,
3051,,Surface,2,Image 1,1,2474,
15675,,Surface,2,Image 1,1,2475,
8165,,Surface,2,Image 1,1,2476,
6454,,Surface,2,Image 1,1,2477,
15888,,Surface,2,Image 1,1,2478,
7920,,Surface,2,Image 1,1,2479,
2346,,Surface,2,Image 1,1,2480,
3750,,Surface,2,Image 1,1,2481,
11862,,Surface,2,Image 1,1,2482,
3449,,Surface,2,Image 1,1,2483,
1577,,Surface,2,Image 1,1,2484,
5134,,Surface,2,Image 1,1,2485,
13775,,Surface,2,Image 1,1,2486,
9545,,Surface,2,Image 1,1,2487,
890,,Surface,2,Image 1,1,2488,
3891,,Surface,2,Image 1,1,2489,
2999,,Surface,2,Image 1,1,2490,
13981,,Surface,2,Image 1,1,2491,
32231,,Surface,2,Image 1,1,2492,
6100,,Surface,2,Image 1,1,2493,
21470,,Surface,2,Image 1,1,2494,
20314,,Surface,2,Image 1,1,2495,
5819,,Surface,2,Image 1,1,2496,
28483,,Surface,2,Image 1,1,2497,
11102,,Surface,2,Image 1,1,2498,
4889,,Surface,2,Image 1,1,2499,
37071,,Surface,2,Image 1,1,2500,
22378,,Surface,2,Image 1,1,2501,
7332,,Surface,2,Image 1,1,2502,
20197,,Surface,2,Image 1,1,2503,
1359,,Surface,2,Image 1,1,2504,
27770,,Surface,2,Image 1,1,2505,
53568,,Surface,2,Image 1,1,2506,
22641,,Surface,2,Image 1,1,2507,
7937,,Surface,2,Image 1,1,2508,
32480,,Surface,2,Image 1,1,2509,
5749,,Surface,2,Image 1,1,2510,
40303,,Surface,2,Image 1,1,2511,
26019,,Surface,2,Image 1,1,2512,
12554,,Surface,2,Image 1,1,2513,
7600,,Surface,2,Image 1,1,2514,
6667,,Surface,2,Image 1,1,2515,
23046,,Surface,2,Image 1,1,2516,
8726,,Surface,2,Image 1,1,2517,
5609,,Surface,2,Image 1,1,2518,
1311,,Surface,2,Image 1,1,2519,
45119,,Surface,2,Image 1,1,2520,
100948,,Surface,2,Image 1,1,2521,
40810,,Surface,2,Image 1,1,2522,
92796,,Surface,2,Image 1,1,2523,
13426,,Surface,2,Image 1,1,2524,
6497,,Surface,2,Image 1,1,2525,
2750,,Surface,2,Image 1,1,2526,
21993,,Surface,2,Image 1,1,2527,
69241,,Surface,2,Image 1,1,2528,
37087,,Surface,2,Image 1,1,2529,
93770,,Surface,2,Image 1,1,2530,
20109,,Surface,2,Image 1,1,2531,
3051,,Surface,2,Image 1,1,2532,
49907,,Surface,2,Image 1,1,2533,
4754,,Surface,2,Image 1,1,2534,
8404,,Surface,2,Image 1,1,2535,
13630,,Surface,2,Image 1,1,2536,
31243,,Surface,2,Image 1,1,2537,
14421,,Surface,2,Image 1,1,2538,
1585,,Surface,2,Image 1,1,2539,
37613,,Surface,2,Image 1,1,2540,
3120,,Surface,2,Image 1,1,2541,
82456,,Surface,2,Image 1,1,2542,
3313,,Surface,2,Image 1,1,2543,
6064,,Surface,2,Image 1,1,2544,
1376,,Surface,2,Image 1,1,2545,
17526,,Surface,2,Image 1,1,2546,
7908,,Surface,2,Image 1,1,2547,
9077,,Surface,2,Image 1,1,2548,
11655,,Surface,2,Image 1,1,2549,
13218,,Surface,2,Image 1,1,2550,
3609,,Surface,2,Image 1,1,2551,
21397,,Surface,2,Image 1,1,2552,
249667,,Surface,2,Image 1,1,2553,
49652,,Surface,2,Image 1,1,2554,
20914,,Surface,2,Image 1,1,2555,
3359,,Surface,2,Image 1,1,2556,
21400,,Surface,2,Image 1,1,2557,
16810,,Surface,2,Image 1,1,2558,
8095,,Surface,2,Image 1,1,2559,
31304,,Surface,2,Image 1,1,2560,
52398,,Surface,2,Image 1,1,2561,
12780,,Surface,2,Image 1,1,2562,
38395,,Surface,2,Image 1,1,2563,
2843,,Surface,2,Image 1,1,2564,
67755,,Surface,2,Image 1,1,2565,
3084,,Surface,2,Image 1,1,2566,
4910,,Surface,2,Image 1,1,2567,
76733,,Surface,2,Image 1,1,2568,
11475,,Surface,2,Image 1,1,2569,
6501,,Surface,2,Image 1,1,2570,
4531,,Surface,2,Image 1,1,2571,
15971,,Surface,2,Image 1,1,2572,
38357,,Surface,2,Image 1,1,2573,
7667,,Surface,2,Image 1,1,2574,
55520,,Surface,2,Image 1,1,2575,
43926,,Surface,2,Image 1,1,2576,
14900,,Surface,2,Image 1,1,2577,
6300,,Surface,2,Image 1,1,2578,
62419,,Surface,2,Image 1,1,2579,
106057,,Surface,2,Image 1,1,2580,
112901,,Surface,2,Image 1,1,2581,
3229,,Surface,2,Image 1,1,2582,
19481,,Surface,2,Image 1,1,2583,
16970,,Surface,2,Image 1,1,2584,
4162,,Surface,2,Image 1,1,2585,
4380,,Surface,2,Image 1,1,2586,
74403,,Surface,2,Image 1,1,2587,
3543,,Surface,2,Image 1,1,2588,
38438,,Surface,2,Image 1,1,2589,
11715,,Surface,2,Image 1,1,2590,
42361,,Surface,2,Image 1,1,2591,
5000,,Surface,2,Image 1,1,2592,
7524,,Surface,2,Image 1,1,2593,
19249,,Surface,2,Image 1,1,2594,
32571,,Surface,2,Image 1,1,2595,
1627,,Surface,2,Image 1,1,2596,
36244,,Surface,2,Image 1,1,2597,
21237,,Surface,2,Image 1,1,2598,
7425,,Surface,2,Image 1,1,2599,
4456,,Surface,2,Image 1,1,2600,
2147,,Surface,2,Image 1,1,2601,
17928,,Surface,2,Image 1,1,2602,
29521,,Surface,2,Image 1,1,2603,
14826,,Surface,2,Image 1,1,2604,
128220,,Surface,2,Image 1,1,2605,
72868,,Surface,2,Image 1,1,2606,
1968,,Surface,2,Image 1,1,2607,
9213,,Surface,2,Image 1,1,2608,
72910,,Surface,2,Image 1,1,2609,
20166,,Surface,2,Image 1,1,2610,
4768,,Surface,2,Image 1,1,2611,
6097,,Surface,2,Image 1,1,2612,
2185,,Surface,2,Image 1,1,2613,
39677,,Surface,2,Image 1,1,2614,
2108,,Surface,2,Image 1,1,2615,
76250,,Surface,2,Image 1,1,2616,
8312,,Surface,2,Image 1,1,2617,
25939,,Surface,2,Image 1,1,2618,
9785,,Surface,2,Image 1,1,2619,
13393,,Surface,2,Image 1,1,2620,
303701,,Surface,2,Image 1,1,2621,
37670,,Surface,2,Image 1,1,2622,
42419,,Surface,2,Image 1,1,2623,
36431,,Surface,2,Image 1,1,2624,
54068,,Surface,2,Image 1,1,2625,
17721,,Surface,2,Image 1,1,2626,
2597,,Surface,2,Image 1,1,2627,
62652,,Surface,2,Image 1,1,2628,
10374,,Surface,2,Image 1,1,2629,
65370,,Surface,2,Image 1,1,2630,
32139,,Surface,2,Image 1,1,2631,
111908,,Surface,2,Image 1,1,2632,
5564,,Surface,2,Image 1,1,2633,
46230,,Surface,2,Image 1,1,2634,
43479,,Surface,2,Image 1,1,2635,
5148,,Surface,2,Image 1,1,2636,
22184,,Surface,2,Image 1,1,2637,
117912,,Surface,2,Image 1,1,2638,
15705,,Surface,2,Image 1,1,2639,
45826,,Surface,2,Image 1,1,2640,
93476,,Surface,2,Image 1,1,2641,
3201,,Surface,2,Image 1,1,2642,
53569,,Surface,2,Image 1,1,2643,
422078,,Surface,2,Image 1,1,2644,
6370,,Surface,2,Image 1,1,2645,
18747,,Surface,2,Image 1,1,2646,
20296,,Surface,2,Image 1,1,2647,
22079,,Surface,2,Image 1,1,2648,
43248,,Surface,2,Image 1,1,2649,
11912,,Surface,2,Image 1,1,2650,
19976,,Surface,2,Image 1,1,2651,
27350,,Surface,2,Image 1,1,2652,
30594,,Surface,2,Image 1,1,2653,
18080,,Surface,2,Image 1,1,2654,
18244,,Surface,2,Image 1,1,2655,
78220,,Surface,2,Image 1,1,2656,
9898,,Surface,2,Image 1,1,2657,
8656,,Surface,2,Image 1,1,2658,
42652,,Surface,2,Image 1,1,2659,
5595,,Surface,2,Image 1,1,2660,
217995,,Surface,2,Image 1,1,2661,
18222,,Surface,2,Image 1,1,2662,
60589,,Surface,2,Image 1,1,2663,
49426,,Surface,2,Image 1,1,2664,
6441,,Surface,2,Image 1,1,2665,
309010,,Surface,2,Image 1,1,2666,
23201,,Surface,2,Image 1,1,2667,
84604,,Surface,2,Image 1,1,2668,
52547,,Surface,2,Image 1,1,2669,
4695,,Surface,2,Image 1,1,2670,
90042,,Surface,2,Image 1,1,2671,
3528,,Surface,2,Image 1,1,2672,
14944,,Surface,2,Image 1,1,2673,
7890,,Surface,2,Image 1,1,2674,
11038,,Surface,2,Image 1,1,2675,
31174,,Surface,2,Image 1,1,2676,
15518,,Surface,2,Image 1,1,2677,
144746,,Surface,2,Image 1,1,2678,
32492,,Surface,2,Image 1,1,2679,
19228,,Surface,2,Image 1,1,2680,
714647,,Surface,2,Image 1,1,2681,
40185,,Surface,2,Image 1,1,2682,
63567,,Surface,2,Image 1,1,2683,
6516,,Surface,2,Image 1,1,2684,
22411,,Surface,2,Image 1,1,2685,
16541,,Surface,2,Image 1,1,2686,
34140,,Surface,2,Image 1,1,2687,
37088,,Surface,2,Image 1,1,2688,
7554,,Surface,2,Image 1,1,2689,
26406,,Surface,2,Image 1,1,2690,
4166,,Surface,2,Image 1,1,2691,
2133,,Surface,2,Image 1,1,2692,
