
Intensity Mean Ch=6 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
93.4872,,Surface,6,Image 1,1,2559,
82.246,,Surface,6,Image 1,1,2560,
60.7381,,Surface,6,Image 1,1,2561,
74.5811,,Surface,6,Image 1,1,2562,
66.0154,,Surface,6,Image 1,1,2563,
82.7778,,Surface,6,Image 1,1,2564,
111.419,,Surface,6,Image 1,1,2565,
81.7059,,Surface,6,Image 1,1,2566,
63.5156,,Surface,6,Image 1,1,2567,
83.0766,,Surface,6,Image 1,1,2568,
86.6641,,Surface,6,Image 1,1,2569,
99.8864,,Surface,6,Image 1,1,2570,
99.85,,Surface,6,Image 1,1,2571,
82.0227,,Surface,6,Image 1,1,2572,
66.0332,,Surface,6,Image 1,1,2573,
76.3714,,Surface,6,Image 1,1,2574,
63.9,,Surface,6,Image 1,1,2575,
67.6289,,Surface,6,Image 1,1,2576,
66.6364,,Surface,6,Image 1,1,2577,
91.1105,,Surface,6,Image 1,1,2578,
66.2101,,Surface,6,Image 1,1,2579,
64.082,,Surface,6,Image 1,1,2580,
62.1331,,Surface,6,Image 1,1,2581,
81.4306,,Surface,6,Image 1,1,2582,
67.0714,,Surface,6,Image 1,1,2583,
64.3047,,Surface,6,Image 1,1,2584,
61.9412,,Surface,6,Image 1,1,2585,
62.8824,,Surface,6,Image 1,1,2586,
83.3193,,Surface,6,Image 1,1,2587,
79.7969,,Surface,6,Image 1,1,2588,
63.0313,,Surface,6,Image 1,1,2589,
63.4811,,Surface,6,Image 1,1,2590,
82.976,,Surface,6,Image 1,1,2591,
70.9569,,Surface,6,Image 1,1,2592,
61.4286,,Surface,6,Image 1,1,2593,
70.5641,,Surface,6,Image 1,1,2594,
72.6643,,Surface,6,Image 1,1,2595,
87.2955,,Surface,6,Image 1,1,2596,
58.9444,,Surface,6,Image 1,1,2597,
94.3681,,Surface,6,Image 1,1,2598,
75.609,,Surface,6,Image 1,1,2599,
80.0543,,Surface,6,Image 1,1,2600,
82.2679,,Surface,6,Image 1,1,2601,
