
Ellipsoid Axis Length A
 ==================== 
Ellipsoid Axis Length A,Unit,Category,Time,ID,
0.559017,um,Surface,1,2593,
0.559017,um,Surface,1,2594,
0.559017,um,Surface,1,2595,
0.559017,um,Surface,1,2596,
0.559017,um,Surface,1,2597,
0.559017,um,Surface,1,2598,
0.559017,um,Surface,1,2599,
0.559017,um,Surface,1,2600,
0.559017,um,Surface,1,2601,
0.559017,um,Surface,1,2602,
0.559017,um,Surface,1,2603,
0.559017,um,Surface,1,2604,
0.559017,um,Surface,1,2605,
0.559017,um,Surface,1,2606,
0.559017,um,Surface,1,2607,
0.559017,um,Surface,1,2608,
0.559017,um,Surface,1,2609,
0.559017,um,Surface,1,2610,
0.559017,um,Surface,1,2611,
0.559017,um,Surface,1,2612,
0.559017,um,Surface,1,2613,
0.559017,um,Surface,1,2614,
0.559017,um,Surface,1,2615,
0.559017,um,Surface,1,2616,
0.559017,um,Surface,1,2617,
0.559017,um,Surface,1,2618,
0.559017,um,Surface,1,2619,
0.559017,um,Surface,1,2620,
0.559017,um,Surface,1,2621,
0.559017,um,Surface,1,2622,
0.559017,um,Surface,1,2623,
0.559017,um,Surface,1,2624,
0.559017,um,Surface,1,2625,
0.559017,um,Surface,1,2626,
0.559017,um,Surface,1,2627,
0.559017,um,Surface,1,2628,
0.559017,um,Surface,1,2629,
0.559017,um,Surface,1,2630,
0.559017,um,Surface,1,2631,
0.559017,um,Surface,1,2632,
0.559017,um,Surface,1,2633,
0.559017,um,Surface,1,2634,
0.559017,um,Surface,1,2635,
0.559017,um,Surface,1,2636,
0.559017,um,Surface,1,2637,
0.559017,um,Surface,1,2638,
0.559017,um,Surface,1,2639,
0.559017,um,Surface,1,2640,
0.559017,um,Surface,1,2641,
0.559017,um,Surface,1,2642,
0.559017,um,Surface,1,2643,
0.559017,um,Surface,1,2644,
0.559017,um,Surface,1,2645,
0.559017,um,Surface,1,2646,
0.559017,um,Surface,1,2647,
0.559017,um,Surface,1,2648,
0.559017,um,Surface,1,2649,
0.559017,um,Surface,1,2650,
0.559017,um,Surface,1,2651,
0.559017,um,Surface,1,2652,
0.559017,um,Surface,1,2653,
0.559017,um,Surface,1,2654,
0.559017,um,Surface,1,2655,
0.559017,um,Surface,1,2656,
0.559017,um,Surface,1,2657,
0.559017,um,Surface,1,2658,
0.559017,um,Surface,1,2659,
0.559017,um,Surface,1,2660,
0.559017,um,Surface,1,2661,
0.559017,um,Surface,1,2662,
0.559017,um,Surface,1,2663,
0.559017,um,Surface,1,2664,
0.559017,um,Surface,1,2665,
0.559017,um,Surface,1,2666,
0.559017,um,Surface,1,2667,
0.559017,um,Surface,1,2668,
0.559017,um,Surface,1,2669,
0.559017,um,Surface,1,2670,
0.559017,um,Surface,1,2671,
0.559017,um,Surface,1,2672,
0.559017,um,Surface,1,2673,
0.559017,um,Surface,1,2674,
0.559017,um,Surface,1,2675,
0.559017,um,Surface,1,2676,
0.559017,um,Surface,1,2677,
0.559017,um,Surface,1,2678,
0.559017,um,Surface,1,2679,
0.559017,um,Surface,1,2680,
0.559017,um,Surface,1,2681,
0.559017,um,Surface,1,2682,
0.559017,um,Surface,1,2683,
0.559017,um,Surface,1,2684,
0.559017,um,Surface,1,2685,
0.559017,um,Surface,1,2686,
0.559017,um,Surface,1,2687,
0.559017,um,Surface,1,2688,
0.559017,um,Surface,1,2689,
0.559017,um,Surface,1,2690,
0.559017,um,Surface,1,2691,
0.559017,um,Surface,1,2692,
0.559017,um,Surface,1,2693,
0.559017,um,Surface,1,2694,
0.559017,um,Surface,1,2695,
0.559017,um,Surface,1,2696,
0.559017,um,Surface,1,2697,
0.559017,um,Surface,1,2698,
0.559017,um,Surface,1,2699,
0.559017,um,Surface,1,2700,
0.559017,um,Surface,1,2701,
0.559017,um,Surface,1,2702,
0.559017,um,Surface,1,2703,
0.559017,um,Surface,1,2704,
0.559017,um,Surface,1,2705,
0.559017,um,Surface,1,2706,
0.559017,um,Surface,1,2707,
0.559017,um,Surface,1,2708,
0.559017,um,Surface,1,2709,
0.559017,um,Surface,1,2710,
0.559017,um,Surface,1,2711,
0.559017,um,Surface,1,2712,
0.559017,um,Surface,1,2713,
0.489866,um,Surface,1,2714,
0.559017,um,Surface,1,2715,
0.559017,um,Surface,1,2716,
0.559017,um,Surface,1,2717,
0.559017,um,Surface,1,2718,
0.559017,um,Surface,1,2719,
0.559017,um,Surface,1,2720,
0.559017,um,Surface,1,2721,
0.559017,um,Surface,1,2722,
0.559017,um,Surface,1,2723,
0.559017,um,Surface,1,2724,
0.559017,um,Surface,1,2725,
0.559017,um,Surface,1,2726,
0.559017,um,Surface,1,2727,
