
Distance to Image Border XYZ Img=1
 ==================== 
Distance to Image Border XYZ,Unit,Category,Image,Time,ID,
0,um,Surface,Image 1,1,2555,
0,um,Surface,Image 1,1,2556,
0,um,Surface,Image 1,1,2557,
0,um,Surface,Image 1,1,2558,
0,um,Surface,Image 1,1,2559,
0,um,Surface,Image 1,1,2560,
0,um,Surface,Image 1,1,2561,
0,um,Surface,Image 1,1,2562,
0,um,Surface,Image 1,1,2563,
0,um,Surface,Image 1,1,2564,
0,um,Surface,Image 1,1,2565,
0,um,Surface,Image 1,1,2566,
0,um,Surface,Image 1,1,2567,
0,um,Surface,Image 1,1,2568,
0,um,Surface,Image 1,1,2569,
0,um,Surface,Image 1,1,2570,
0,um,Surface,Image 1,1,2571,
0,um,Surface,Image 1,1,2572,
0,um,Surface,Image 1,1,2573,
0,um,Surface,Image 1,1,2574,
0,um,Surface,Image 1,1,2575,
0,um,Surface,Image 1,1,2576,
0,um,Surface,Image 1,1,2577,
0,um,Surface,Image 1,1,2578,
0,um,Surface,Image 1,1,2579,
0,um,Surface,Image 1,1,2580,
0,um,Surface,Image 1,1,2581,
0,um,Surface,Image 1,1,2582,
0,um,Surface,Image 1,1,2583,
0,um,Surface,Image 1,1,2584,
0,um,Surface,Image 1,1,2585,
0,um,Surface,Image 1,1,2586,
0,um,Surface,Image 1,1,2587,
0,um,Surface,Image 1,1,2588,
0,um,Surface,Image 1,1,2589,
0,um,Surface,Image 1,1,2590,
0,um,Surface,Image 1,1,2591,
0,um,Surface,Image 1,1,2592,
0,um,Surface,Image 1,1,2593,
0,um,Surface,Image 1,1,2594,
0,um,Surface,Image 1,1,2595,
0,um,Surface,Image 1,1,2596,
0,um,Surface,Image 1,1,2597,
0,um,Surface,Image 1,1,2598,
0,um,Surface,Image 1,1,2599,
0,um,Surface,Image 1,1,2600,
0,um,Surface,Image 1,1,2601,
0,um,Surface,Image 1,1,2602,
0,um,Surface,Image 1,1,2603,
0,um,Surface,Image 1,1,2604,
0,um,Surface,Image 1,1,2605,
0,um,Surface,Image 1,1,2606,
0,um,Surface,Image 1,1,2607,
0,um,Surface,Image 1,1,2608,
0,um,Surface,Image 1,1,2609,
0,um,Surface,Image 1,1,2610,
0,um,Surface,Image 1,1,2611,
0,um,Surface,Image 1,1,2612,
0,um,Surface,Image 1,1,2613,
0,um,Surface,Image 1,1,2614,
0,um,Surface,Image 1,1,2615,
0,um,Surface,Image 1,1,2616,
0,um,Surface,Image 1,1,2617,
0,um,Surface,Image 1,1,2618,
0,um,Surface,Image 1,1,2619,
0,um,Surface,Image 1,1,2620,
0,um,Surface,Image 1,1,2621,
0,um,Surface,Image 1,1,2622,
0,um,Surface,Image 1,1,2623,
0,um,Surface,Image 1,1,2624,
0,um,Surface,Image 1,1,2625,
0,um,Surface,Image 1,1,2626,
0,um,Surface,Image 1,1,2627,
0,um,Surface,Image 1,1,2628,
0,um,Surface,Image 1,1,2629,
0,um,Surface,Image 1,1,2630,
0,um,Surface,Image 1,1,2631,
0,um,Surface,Image 1,1,2632,
0,um,Surface,Image 1,1,2633,
0,um,Surface,Image 1,1,2634,
0,um,Surface,Image 1,1,2635,
0,um,Surface,Image 1,1,2636,
0,um,Surface,Image 1,1,2637,
0,um,Surface,Image 1,1,2638,
0,um,Surface,Image 1,1,2639,
0,um,Surface,Image 1,1,2640,
0,um,Surface,Image 1,1,2641,
0,um,Surface,Image 1,1,2642,
0,um,Surface,Image 1,1,2643,
0,um,Surface,Image 1,1,2644,
0,um,Surface,Image 1,1,2645,
