
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,ID,
0.0812853,,Surface,1,2422,
0.130234,,Surface,1,2423,
0.156716,,Surface,1,2424,
0.15677,,Surface,1,2425,
0.0264064,,Surface,1,2426,
0.0272898,,Surface,1,2427,
0.0352154,,Surface,1,2428,
0.0429311,,Surface,1,2429,
0.139685,,Surface,1,2430,
0.0838974,,Surface,1,2431,
0.113062,,Surface,1,2432,
0.259017,,Surface,1,2433,
0.0463718,,Surface,1,2434,
0.0355713,,Surface,1,2435,
0.0851124,,Surface,1,2436,
0.0255396,,Surface,1,2437,
0.0323154,,Surface,1,2438,
0.138255,,Surface,1,2439,
0.164672,,Surface,1,2440,
0.0381988,,Surface,1,2441,
0.0166247,,Surface,1,2442,
0.303589,,Surface,1,2443,
0.196787,,Surface,1,2444,
0.0623843,,Surface,1,2445,
0.0112887,,Surface,1,2446,
0.119847,,Surface,1,2447,
0.0865893,,Surface,1,2448,
0.0640496,,Surface,1,2449,
0.0659218,,Surface,1,2450,
0.175601,,Surface,1,2451,
0.056964,,Surface,1,2452,
0.0630672,,Surface,1,2453,
0.0754122,,Surface,1,2454,
0.0711678,,Surface,1,2455,
0.0366288,,Surface,1,2456,
0.0695409,,Surface,1,2457,
0.0771463,,Surface,1,2458,
0.10566,,Surface,1,2459,
0.107883,,Surface,1,2460,
0.034317,,Surface,1,2461,
0.048628,,Surface,1,2462,
0.048826,,Surface,1,2463,
0.0480751,,Surface,1,2464,
0.0252386,,Surface,1,2465,
0.0646949,,Surface,1,2466,
0.0333871,,Surface,1,2467,
0.0657414,,Surface,1,2468,
0.0317226,,Surface,1,2469,
0.0672366,,Surface,1,2470,
0.140553,,Surface,1,2471,
0.024026,,Surface,1,2472,
0.178116,,Surface,1,2473,
0.123348,,Surface,1,2474,
0.0313112,,Surface,1,2475,
0.129493,,Surface,1,2476,
0.0670154,,Surface,1,2477,
0.0397348,,Surface,1,2478,
0.0510969,,Surface,1,2479,
0.125513,,Surface,1,2480,
0.100957,,Surface,1,2481,
0.0295862,,Surface,1,2482,
0.0955941,,Surface,1,2483,
0.0708047,,Surface,1,2484,
0.0704722,,Surface,1,2485,
0.0621721,,Surface,1,2486,
0.0509207,,Surface,1,2487,
0.303608,,Surface,1,2488,
0.107896,,Surface,1,2489,
0.0737997,,Surface,1,2490,
0.0241164,,Surface,1,2491,
0.0220079,,Surface,1,2492,
0.0751451,,Surface,1,2493,
0.0436976,,Surface,1,2494,
0.0636005,,Surface,1,2495,
0.0960809,,Surface,1,2496,
0.0296587,,Surface,1,2497,
0.0550414,,Surface,1,2498,
0.092998,,Surface,1,2499,
0.0292812,,Surface,1,2500,
0.0469263,,Surface,1,2501,
0.0446906,,Surface,1,2502,
0.0471459,,Surface,1,2503,
0.137352,,Surface,1,2504,
0.0331213,,Surface,1,2505,
0.0155906,,Surface,1,2506,
0.0263354,,Surface,1,2507,
0.0423283,,Surface,1,2508,
0.0349144,,Surface,1,2509,
0.155079,,Surface,1,2510,
0.0102642,,Surface,1,2511,
0.027965,,Surface,1,2512,
0.0523853,,Surface,1,2513,
0.169081,,Surface,1,2514,
0.0747237,,Surface,1,2515,
0.0553586,,Surface,1,2516,
0.0722433,,Surface,1,2517,
0.160792,,Surface,1,2518,
0.221525,,Surface,1,2519,
0.0245667,,Surface,1,2520,
0.00479368,,Surface,1,2521,
0.0194252,,Surface,1,2522,
0.0162522,,Surface,1,2523,
0.0363451,,Surface,1,2524,
0.0540142,,Surface,1,2525,
0.139715,,Surface,1,2526,
0.0199658,,Surface,1,2527,
0.0079219,,Surface,1,2528,
0.0265026,,Surface,1,2529,
0.0177253,,Surface,1,2530,
0.0554492,,Surface,1,2531,
0.0613014,,Surface,1,2532,
0.0127981,,Surface,1,2533,
0.2091,,Surface,1,2534,
0.111421,,Surface,1,2535,
0.0352069,,Surface,1,2536,
0.0686798,,Surface,1,2537,
0.0679843,,Surface,1,2538,
0.0914885,,Surface,1,2539,
0.0263925,,Surface,1,2540,
0.140115,,Surface,1,2541,
0.0145623,,Surface,1,2542,
0.0659217,,Surface,1,2543,
0.0669339,,Surface,1,2544,
0.210534,,Surface,1,2545,
0.034861,,Surface,1,2546,
0.127848,,Surface,1,2547,
0.11949,,Surface,1,2548,
0.0938966,,Surface,1,2549,
0.108126,,Surface,1,2550,
0.111992,,Surface,1,2551,
0.0413099,,Surface,1,2552,
0.00210402,,Surface,1,2553,
0.0162772,,Surface,1,2554,
0.0514779,,Surface,1,2555,
0.0672458,,Surface,1,2556,
0.0307698,,Surface,1,2557,
0.106758,,Surface,1,2558,
0.0424182,,Surface,1,2559,
0.045582,,Surface,1,2560,
0.00708861,,Surface,1,2561,
0.0285471,,Surface,1,2562,
0.0247864,,Surface,1,2563,
0.140777,,Surface,1,2564,
0.0127753,,Surface,1,2565,
0.101313,,Surface,1,2566,
0.0561789,,Surface,1,2567,
0.0119091,,Surface,1,2568,
0.0445844,,Surface,1,2569,
0.0662422,,Surface,1,2570,
0.0634158,,Surface,1,2571,
0.0241003,,Surface,1,2572,
0.0294786,,Surface,1,2573,
0.0972964,,Surface,1,2574,
0.00825903,,Surface,1,2575,
0.029539,,Surface,1,2576,
0.0327587,,Surface,1,2577,
0.030621,,Surface,1,2578,
0.0115574,,Surface,1,2579,
0.00568283,,Surface,1,2580,
0.00733749,,Surface,1,2581,
0.0862892,,Surface,1,2582,
0.0408577,,Surface,1,2583,
0.0614017,,Surface,1,2584,
0.0759857,,Surface,1,2585,
0.0870236,,Surface,1,2586,
0.0261024,,Surface,1,2587,
0.153004,,Surface,1,2588,
0.0195878,,Surface,1,2589,
