
Area
 ==================== 
Area,Unit,Category,Time,ID,
139.319,um^2,Surface,1,2560,
397.094,um^2,Surface,1,2561,
163.188,um^2,Surface,1,2562,
241.585,um^2,Surface,1,2563,
44.6406,um^2,Surface,1,2564,
196.036,um^2,Surface,1,2565,
43.6669,um^2,Surface,1,2566,
78.3965,um^2,Surface,1,2567,
333.881,um^2,Surface,1,2568,
73.6925,um^2,Surface,1,2569,
74.1659,um^2,Surface,1,2570,
68.1373,um^2,Surface,1,2571,
135.38,um^2,Surface,1,2572,
246.901,um^2,Surface,1,2573,
80.4634,um^2,Surface,1,2574,
366.837,um^2,Surface,1,2575,
273.73,um^2,Surface,1,2576,
93.1948,um^2,Surface,1,2577,
93.1677,um^2,Surface,1,2578,
395.599,um^2,Surface,1,2579,
597.6,um^2,Surface,1,2580,
732.516,um^2,Surface,1,2581,
42.7323,um^2,Surface,1,2582,
125.633,um^2,Surface,1,2583,
142.504,um^2,Surface,1,2584,
43.1093,um^2,Surface,1,2585,
41.4112,um^2,Surface,1,2586,
282.314,um^2,Surface,1,2587,
40.4297,um^2,Surface,1,2588,
245.828,um^2,Surface,1,2589,
116.997,um^2,Surface,1,2590,
152.575,um^2,Surface,1,2591,
68.0502,um^2,Surface,1,2592,
74.5006,um^2,Surface,1,2593,
90.3302,um^2,Surface,1,2594,
144.07,um^2,Surface,1,2595,
30.2753,um^2,Surface,1,2596,
257.107,um^2,Surface,1,2597,
81.2047,um^2,Surface,1,2598,
88.2565,um^2,Surface,1,2599,
55.1551,um^2,Surface,1,2600,
34.9863,um^2,Surface,1,2601,
136.134,um^2,Surface,1,2602,
144.052,um^2,Surface,1,2603,
102.922,um^2,Surface,1,2604,
579.939,um^2,Surface,1,2605,
347.541,um^2,Surface,1,2606,
30.0005,um^2,Surface,1,2607,
65.5935,um^2,Surface,1,2608,
293.548,um^2,Surface,1,2609,
131.606,um^2,Surface,1,2610,
34.642,um^2,Surface,1,2611,
41.4804,um^2,Surface,1,2612,
38.1293,um^2,Surface,1,2613,
205.904,um^2,Surface,1,2614,
33.8281,um^2,Surface,1,2615,
479.051,um^2,Surface,1,2616,
101.361,um^2,Surface,1,2617,
175.384,um^2,Surface,1,2618,
73.2102,um^2,Surface,1,2619,
68.1833,um^2,Surface,1,2620,
1772.98,um^2,Surface,1,2621,
162.213,um^2,Surface,1,2622,
171.506,um^2,Surface,1,2623,
240.929,um^2,Surface,1,2624,
215.301,um^2,Surface,1,2625,
120.037,um^2,Surface,1,2626,
42.7443,um^2,Surface,1,2627,
283.864,um^2,Surface,1,2628,
54.667,um^2,Surface,1,2629,
272.782,um^2,Surface,1,2630,
166.799,um^2,Surface,1,2631,
722.382,um^2,Surface,1,2632,
82.9862,um^2,Surface,1,2633,
243.683,um^2,Surface,1,2634,
215.829,um^2,Surface,1,2635,
72.4549,um^2,Surface,1,2636,
111.734,um^2,Surface,1,2637,
556.745,um^2,Surface,1,2638,
176.655,um^2,Surface,1,2639,
212.551,um^2,Surface,1,2640,
368.479,um^2,Surface,1,2641,
56.1683,um^2,Surface,1,2642,
210.028,um^2,Surface,1,2643,
2205.47,um^2,Surface,1,2644,
52.6062,um^2,Surface,1,2645,
81.0734,um^2,Surface,1,2646,
121.57,um^2,Surface,1,2647,
114.252,um^2,Surface,1,2648,
175.366,um^2,Surface,1,2649,
53.522,um^2,Surface,1,2650,
130.774,um^2,Surface,1,2651,
127.389,um^2,Surface,1,2652,
125.213,um^2,Surface,1,2653,
78.3218,um^2,Surface,1,2654,
124.065,um^2,Surface,1,2655,
460.142,um^2,Surface,1,2656,
62.5386,um^2,Surface,1,2657,
93.3989,um^2,Surface,1,2658,
261.097,um^2,Surface,1,2659,
68.8453,um^2,Surface,1,2660,
1229.41,um^2,Surface,1,2661,
89.5652,um^2,Surface,1,2662,
371.672,um^2,Surface,1,2663,
288.604,um^2,Surface,1,2664,
75.7399,um^2,Surface,1,2665,
1706.19,um^2,Surface,1,2666,
105.917,um^2,Surface,1,2667,
380.554,um^2,Surface,1,2668,
226.149,um^2,Surface,1,2669,
51.3451,um^2,Surface,1,2670,
638.224,um^2,Surface,1,2671,
44.9847,um^2,Surface,1,2672,
95.2438,um^2,Surface,1,2673,
97.8991,um^2,Surface,1,2674,
95.6268,um^2,Surface,1,2675,
190.338,um^2,Surface,1,2676,
68.3388,um^2,Surface,1,2677,
905.35,um^2,Surface,1,2678,
139.641,um^2,Surface,1,2679,
122.528,um^2,Surface,1,2680,
4221.19,um^2,Surface,1,2681,
183.951,um^2,Surface,1,2682,
281.075,um^2,Surface,1,2683,
85.3147,um^2,Surface,1,2684,
125.999,um^2,Surface,1,2685,
213.042,um^2,Surface,1,2686,
124.367,um^2,Surface,1,2687,
214.065,um^2,Surface,1,2688,
110.823,um^2,Surface,1,2689,
143.836,um^2,Surface,1,2690,
59.2121,um^2,Surface,1,2691,
37.7859,um^2,Surface,1,2692,
159.461,um^2,Surface,1,2693,
34.5934,um^2,Surface,1,2694,
76.2662,um^2,Surface,1,2695,
99.967,um^2,Surface,1,2696,
67.1833,um^2,Surface,1,2697,
40.4377,um^2,Surface,1,2698,
66.7084,um^2,Surface,1,2699,
50.6082,um^2,Surface,1,2700,
60.9964,um^2,Surface,1,2701,
39.6344,um^2,Surface,1,2702,
37.8778,um^2,Surface,1,2703,
66.5307,um^2,Surface,1,2704,
78.4958,um^2,Surface,1,2705,
180.914,um^2,Surface,1,2706,
81.463,um^2,Surface,1,2707,
227.03,um^2,Surface,1,2708,
35.4256,um^2,Surface,1,2709,
35.2439,um^2,Surface,1,2710,
50.3449,um^2,Surface,1,2711,
34.0758,um^2,Surface,1,2712,
72.3189,um^2,Surface,1,2713,
