
Ellipsoid Axis C
 ==================== 
Ellipsoid Axis C X,Ellipsoid Axis C Y,Ellipsoid Axis C Z,Unit,Category,Collection,Time,ID,
0.259895,0.965637,3.56045e-12,um,Surface,Ellipsoid Axis C,1,2495,
0.482225,0.876047,-1.00075e-12,um,Surface,Ellipsoid Axis C,1,2496,
-0.109987,-0.993933,1.88338e-12,um,Surface,Ellipsoid Axis C,1,2497,
-0.705413,0.708797,-3.60922e-12,um,Surface,Ellipsoid Axis C,1,2498,
0.294171,-0.955753,-2.00115e-12,um,Surface,Ellipsoid Axis C,1,2499,
-0.963922,-0.266186,-2.69439e-12,um,Surface,Ellipsoid Axis C,1,2500,
0.898749,-0.438464,-1.28202e-12,um,Surface,Ellipsoid Axis C,1,2501,
-0.824226,0.566261,-2.61451e-12,um,Surface,Ellipsoid Axis C,1,2502,
0.218149,0.975915,-2.49772e-13,um,Surface,Ellipsoid Axis C,1,2503,
0.707106,0.707108,1.72113e-11,um,Surface,Ellipsoid Axis C,1,2504,
0.754745,0.656018,-8.53702e-13,um,Surface,Ellipsoid Axis C,1,2505,
0.717508,0.69655,-2.23491e-13,um,Surface,Ellipsoid Axis C,1,2506,
-0.077527,-0.99699,-3.00198e-12,um,Surface,Ellipsoid Axis C,1,2507,
0.598796,-0.800902,1.07781e-12,um,Surface,Ellipsoid Axis C,1,2508,
0.530795,-0.8475,-9.63587e-13,um,Surface,Ellipsoid Axis C,1,2509,
0.861753,0.507328,-3.3076e-12,um,Surface,Ellipsoid Axis C,1,2510,
0.336885,-0.941546,4.5003e-13,um,Surface,Ellipsoid Axis C,1,2511,
0.227561,0.973764,-2.32474e-12,um,Surface,Ellipsoid Axis C,1,2512,
0.83409,-0.551629,-2.03699e-12,um,Surface,Ellipsoid Axis C,1,2513,
0.203128,0.979152,5.97516e-13,um,Surface,Ellipsoid Axis C,1,2514,
-0.972462,0.233062,3.77988e-12,um,Surface,Ellipsoid Axis C,1,2515,
0.999082,0.0428365,-1.04836e-12,um,Surface,Ellipsoid Axis C,1,2516,
0.99,-0.141065,0,um,Surface,Ellipsoid Axis C,1,2517,
0.413923,0.910312,1.13732e-12,um,Surface,Ellipsoid Axis C,1,2518,
-0.703161,0.711031,0,um,Surface,Ellipsoid Axis C,1,2519,
0.429542,0.903047,3.35933e-13,um,Surface,Ellipsoid Axis C,1,2520,
0.935535,-0.353234,-5.4548e-13,um,Surface,Ellipsoid Axis C,1,2521,
0.279002,-0.960291,1.70798e-11,um,Surface,Ellipsoid Axis C,1,2522,
0.627038,0.778989,1.25821e-13,um,Surface,Ellipsoid Axis C,1,2523,
0.549496,-0.835496,-1.15544e-13,um,Surface,Ellipsoid Axis C,1,2524,
-0.949118,0.314922,3.42497e-12,um,Surface,Ellipsoid Axis C,1,2525,
-0.625783,0.779997,2.23369e-12,um,Surface,Ellipsoid Axis C,1,2526,
-0.422285,-0.906463,-7.99378e-13,um,Surface,Ellipsoid Axis C,1,2527,
-0.800234,-0.599687,7.92753e-12,um,Surface,Ellipsoid Axis C,1,2528,
0.962308,0.271961,-6.72644e-13,um,Surface,Ellipsoid Axis C,1,2529,
0.998806,-0.0488522,1.45361e-12,um,Surface,Ellipsoid Axis C,1,2530,
-0.0578887,-0.998323,3.6993e-12,um,Surface,Ellipsoid Axis C,1,2531,
1,-0.000403964,0,um,Surface,Ellipsoid Axis C,1,2532,
-0.999741,0.0227435,-7.31959e-12,um,Surface,Ellipsoid Axis C,1,2533,
0.816015,0.57803,-3.49877e-12,um,Surface,Ellipsoid Axis C,1,2534,
0.892674,-0.450702,-2.05423e-12,um,Surface,Ellipsoid Axis C,1,2535,
-0.899223,-0.43749,1.05749e-11,um,Surface,Ellipsoid Axis C,1,2536,
0.804128,0.594456,8.36463e-13,um,Surface,Ellipsoid Axis C,1,2537,
-0.516269,-0.856427,-4.48486e-13,um,Surface,Ellipsoid Axis C,1,2538,
0.877184,-0.480154,0,um,Surface,Ellipsoid Axis C,1,2539,
-0.424549,-0.905405,1.40939e-12,um,Surface,Ellipsoid Axis C,1,2540,
-1.06948e-06,1,0,um,Surface,Ellipsoid Axis C,1,2541,
0.917274,0.398256,-1.78914e-13,um,Surface,Ellipsoid Axis C,1,2542,
