
Intensity Median Ch=3 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
117.996,,Surface,3,Image 1,1,2566,
49.008,,Surface,3,Image 1,1,2567,
49.04,,Surface,3,Image 1,1,2568,
55.016,,Surface,3,Image 1,1,2569,
24.502,,Surface,3,Image 1,1,2570,
38.984,,Surface,3,Image 1,1,2571,
59.024,,Surface,3,Image 1,1,2572,
6.008,,Surface,3,Image 1,1,2573,
26,,Surface,3,Image 1,1,2574,
4.944,,Surface,3,Image 1,1,2575,
4.998,,Surface,3,Image 1,1,2576,
5,,Surface,3,Image 1,1,2577,
19.012,,Surface,3,Image 1,1,2578,
5,,Surface,3,Image 1,1,2579,
5.024,,Surface,3,Image 1,1,2580,
3.998,,Surface,3,Image 1,1,2581,
21,,Surface,3,Image 1,1,2582,
5,,Surface,3,Image 1,1,2583,
92.5,,Surface,3,Image 1,1,2584,
25.496,,Surface,3,Image 1,1,2585,
7.498,,Surface,3,Image 1,1,2586,
63.016,,Surface,3,Image 1,1,2587,
69.004,,Surface,3,Image 1,1,2588,
10.06,,Surface,3,Image 1,1,2589,
29.972,,Surface,3,Image 1,1,2590,
17.984,,Surface,3,Image 1,1,2591,
57.016,,Surface,3,Image 1,1,2592,
22.028,,Surface,3,Image 1,1,2593,
29.984,,Surface,3,Image 1,1,2594,
18.992,,Surface,3,Image 1,1,2595,
55.513,,Surface,3,Image 1,1,2596,
7.98,,Surface,3,Image 1,1,2597,
35.516,,Surface,3,Image 1,1,2598,
36.984,,Surface,3,Image 1,1,2599,
32.036,,Surface,3,Image 1,1,2600,
60.52,,Surface,3,Image 1,1,2601,
21.008,,Surface,3,Image 1,1,2602,
32.04,,Surface,3,Image 1,1,2603,
7.024,,Surface,3,Image 1,1,2604,
51.944,,Surface,3,Image 1,1,2605,
55,,Surface,3,Image 1,1,2606,
42.01,,Surface,3,Image 1,1,2607,
5.004,,Surface,3,Image 1,1,2608,
12.941,,Surface,3,Image 1,1,2609,
5.006,,Surface,3,Image 1,1,2610,
35.006,,Surface,3,Image 1,1,2611,
21.006,,Surface,3,Image 1,1,2612,
39.52,,Surface,3,Image 1,1,2613,
49.988,,Surface,3,Image 1,1,2614,
45.504,,Surface,3,Image 1,1,2615,
6.964,,Surface,3,Image 1,1,2616,
91.956,,Surface,3,Image 1,1,2617,
98.952,,Surface,3,Image 1,1,2618,
65.508,,Surface,3,Image 1,1,2619,
17.024,,Surface,3,Image 1,1,2620,
8,,Surface,3,Image 1,1,2621,
56.04,,Surface,3,Image 1,1,2622,
15.992,,Surface,3,Image 1,1,2623,
78,,Surface,3,Image 1,1,2624,
58.056,,Surface,3,Image 1,1,2625,
60.05,,Surface,3,Image 1,1,2626,
45.496,,Surface,3,Image 1,1,2627,
65.5,,Surface,3,Image 1,1,2628,
25.52,,Surface,3,Image 1,1,2629,
60.512,,Surface,3,Image 1,1,2630,
35.52,,Surface,3,Image 1,1,2631,
4.984,,Surface,3,Image 1,1,2632,
30.464,,Surface,3,Image 1,1,2633,
50.944,,Surface,3,Image 1,1,2634,
61.096,,Surface,3,Image 1,1,2635,
44,,Surface,3,Image 1,1,2636,
23.97,,Surface,3,Image 1,1,2637,
86.032,,Surface,3,Image 1,1,2638,
17.984,,Surface,3,Image 1,1,2639,
70.976,,Surface,3,Image 1,1,2640,
78.964,,Surface,3,Image 1,1,2641,
57.01,,Surface,3,Image 1,1,2642,
15.992,,Surface,3,Image 1,1,2643,
5.976,,Surface,3,Image 1,1,2644,
66,,Surface,3,Image 1,1,2645,
32.5,,Surface,3,Image 1,1,2646,
13,,Surface,3,Image 1,1,2647,
51.936,,Surface,3,Image 1,1,2648,
37.99,,Surface,3,Image 1,1,2649,
52.492,,Surface,3,Image 1,1,2650,
77,,Surface,3,Image 1,1,2651,
37.496,,Surface,3,Image 1,1,2652,
22.04,,Surface,3,Image 1,1,2653,
34.025,,Surface,3,Image 1,1,2654,
4.996,,Surface,3,Image 1,1,2655,
4.992,,Surface,3,Image 1,1,2656,
62.456,,Surface,3,Image 1,1,2657,
66.488,,Surface,3,Image 1,1,2658,
4.97601,,Surface,3,Image 1,1,2659,
15,,Surface,3,Image 1,1,2660,
9.058,,Surface,3,Image 1,1,2661,
19.02,,Surface,3,Image 1,1,2662,
19,,Surface,3,Image 1,1,2663,
77.04,,Surface,3,Image 1,1,2664,
62.496,,Surface,3,Image 1,1,2665,
7,,Surface,3,Image 1,1,2666,
68.004,,Surface,3,Image 1,1,2667,
75.16,,Surface,3,Image 1,1,2668,
66.032,,Surface,3,Image 1,1,2669,
91.54,,Surface,3,Image 1,1,2670,
4.976,,Surface,3,Image 1,1,2671,
40.5,,Surface,3,Image 1,1,2672,
17.008,,Surface,3,Image 1,1,2673,
53.966,,Surface,3,Image 1,1,2674,
21.496,,Surface,3,Image 1,1,2675,
49.04,,Surface,3,Image 1,1,2676,
21.528,,Surface,3,Image 1,1,2677,
4.992,,Surface,3,Image 1,1,2678,
46.004,,Surface,3,Image 1,1,2679,
6,,Surface,3,Image 1,1,2680,
5,,Surface,3,Image 1,1,2681,
22.02,,Surface,3,Image 1,1,2682,
20.98,,Surface,3,Image 1,1,2683,
56,,Surface,3,Image 1,1,2684,
7.008,,Surface,3,Image 1,1,2685,
60.976,,Surface,3,Image 1,1,2686,
27.048,,Surface,3,Image 1,1,2687,
5.998,,Surface,3,Image 1,1,2688,
33.976,,Surface,3,Image 1,1,2689,
19.936,,Surface,3,Image 1,1,2690,
42.02,,Surface,3,Image 1,1,2691,
57.516,,Surface,3,Image 1,1,2692,
5.00801,,Surface,3,Image 1,1,2693,
40.51,,Surface,3,Image 1,1,2694,
14.976,,Surface,3,Image 1,1,2695,
6,,Surface,3,Image 1,1,2696,
28.96,,Surface,3,Image 1,1,2697,
5.004,,Surface,3,Image 1,1,2698,
26.99,,Surface,3,Image 1,1,2699,
68.042,,Surface,3,Image 1,1,2700,
38.016,,Surface,3,Image 1,1,2701,
48.496,,Surface,3,Image 1,1,2702,
76.52,,Surface,3,Image 1,1,2703,
14.998,,Surface,3,Image 1,1,2704,
48.52,,Surface,3,Image 1,1,2705,
69.968,,Surface,3,Image 1,1,2706,
6,,Surface,3,Image 1,1,2707,
16.998,,Surface,3,Image 1,1,2708,
16,,Surface,3,Image 1,1,2709,
43.992,,Surface,3,Image 1,1,2710,
14.02,,Surface,3,Image 1,1,2711,
8.496,,Surface,3,Image 1,1,2712,
24.04,,Surface,3,Image 1,1,2713,
67.508,,Surface,3,Image 1,1,2714,
77,,Surface,3,Image 1,1,2715,
4.984,,Surface,3,Image 1,1,2716,
16,,Surface,3,Image 1,1,2717,
30.038,,Surface,3,Image 1,1,2718,
8.968,,Surface,3,Image 1,1,2719,
4.984,,Surface,3,Image 1,1,2720,
6.984,,Surface,3,Image 1,1,2721,
5.005,,Surface,3,Image 1,1,2722,
65.04,,Surface,3,Image 1,1,2723,
45.992,,Surface,3,Image 1,1,2724,
76,,Surface,3,Image 1,1,2725,
98.504,,Surface,3,Image 1,1,2726,
5.006,,Surface,3,Image 1,1,2727,
11.014,,Surface,3,Image 1,1,2728,
11,,Surface,3,Image 1,1,2729,
6,,Surface,3,Image 1,1,2730,
6.006,,Surface,3,Image 1,1,2731,
12,,Surface,3,Image 1,1,2732,
5.008,,Surface,3,Image 1,1,2733,
6.008,,Surface,3,Image 1,1,2734,
10.004,,Surface,3,Image 1,1,2735,
13.008,,Surface,3,Image 1,1,2736,
18.04,,Surface,3,Image 1,1,2737,
21.496,,Surface,3,Image 1,1,2738,
34.5,,Surface,3,Image 1,1,2739,
72.036,,Surface,3,Image 1,1,2740,
12.022,,Surface,3,Image 1,1,2741,
12.048,,Surface,3,Image 1,1,2742,
13.008,,Surface,3,Image 1,1,2743,
13.04,,Surface,3,Image 1,1,2744,
21.004,,Surface,3,Image 1,1,2745,
13.992,,Surface,3,Image 1,1,2746,
11.008,,Surface,3,Image 1,1,2747,
7.976,,Surface,3,Image 1,1,2748,
6.03,,Surface,3,Image 1,1,2749,
13.004,,Surface,3,Image 1,1,2750,
13.016,,Surface,3,Image 1,1,2751,
8.024,,Surface,3,Image 1,1,2752,
17.496,,Surface,3,Image 1,1,2753,
8.028,,Surface,3,Image 1,1,2754,
12.52,,Surface,3,Image 1,1,2755,
17.024,,Surface,3,Image 1,1,2756,
5.992,,Surface,3,Image 1,1,2757,
57.985,,Surface,3,Image 1,1,2758,
28.994,,Surface,3,Image 1,1,2759,
42.02,,Surface,3,Image 1,1,2760,
24.04,,Surface,3,Image 1,1,2761,
4.999,,Surface,3,Image 1,1,2762,
19.988,,Surface,3,Image 1,1,2763,
12.986,,Surface,3,Image 1,1,2764,
8.008,,Surface,3,Image 1,1,2765,
39.996,,Surface,3,Image 1,1,2766,
58.504,,Surface,3,Image 1,1,2767,
41.992,,Surface,3,Image 1,1,2768,
73.951,,Surface,3,Image 1,1,2769,
97.04,,Surface,3,Image 1,1,2770,
87.524,,Surface,3,Image 1,1,2771,
82.088,,Surface,3,Image 1,1,2772,
27.024,,Surface,3,Image 1,1,2773,
6.992,,Surface,3,Image 1,1,2774,
18.05,,Surface,3,Image 1,1,2775,
28.98,,Surface,3,Image 1,1,2776,
11.008,,Surface,3,Image 1,1,2777,
36.936,,Surface,3,Image 1,1,2778,
52.934,,Surface,3,Image 1,1,2779,
6,,Surface,3,Image 1,1,2780,
5.984,,Surface,3,Image 1,1,2781,
53.982,,Surface,3,Image 1,1,2782,
45.036,,Surface,3,Image 1,1,2783,
79.04,,Surface,3,Image 1,1,2784,
49.005,,Surface,3,Image 1,1,2785,
26.056,,Surface,3,Image 1,1,2786,
17.008,,Surface,3,Image 1,1,2787,
97.987,,Surface,3,Image 1,1,2788,
30.504,,Surface,3,Image 1,1,2789,
44.544,,Surface,3,Image 1,1,2790,
88.036,,Surface,3,Image 1,1,2791,
41.96,,Surface,3,Image 1,1,2792,
44.08,,Surface,3,Image 1,1,2793,
50.968,,Surface,3,Image 1,1,2794,
61,,Surface,3,Image 1,1,2795,
53.965,,Surface,3,Image 1,1,2796,
32.96,,Surface,3,Image 1,1,2797,
31.56,,Surface,3,Image 1,1,2798,
5.0125,,Surface,3,Image 1,1,2799,
40.96,,Surface,3,Image 1,1,2800,
24.96,,Surface,3,Image 1,1,2801,
51.02,,Surface,3,Image 1,1,2802,
29,,Surface,3,Image 1,1,2803,
75.548,,Surface,3,Image 1,1,2804,
44.02,,Surface,3,Image 1,1,2805,
43.508,,Surface,3,Image 1,1,2806,
32.975,,Surface,3,Image 1,1,2807,
27.988,,Surface,3,Image 1,1,2808,
64.968,,Surface,3,Image 1,1,2809,
101.998,,Surface,3,Image 1,1,2810,
33.966,,Surface,3,Image 1,1,2811,
32.028,,Surface,3,Image 1,1,2812,
49.52,,Surface,3,Image 1,1,2813,
21.968,,Surface,3,Image 1,1,2814,
27.954,,Surface,3,Image 1,1,2815,
63,,Surface,3,Image 1,1,2816,
27.02,,Surface,3,Image 1,1,2817,
19.016,,Surface,3,Image 1,1,2818,
33.024,,Surface,3,Image 1,1,2819,
103.964,,Surface,3,Image 1,1,2820,
41.04,,Surface,3,Image 1,1,2821,
7.008,,Surface,3,Image 1,1,2822,
45.984,,Surface,3,Image 1,1,2823,
15.016,,Surface,3,Image 1,1,2824,
14.012,,Surface,3,Image 1,1,2825,
27.032,,Surface,3,Image 1,1,2826,
35.968,,Surface,3,Image 1,1,2827,
10.992,,Surface,3,Image 1,1,2828,
30.504,,Surface,3,Image 1,1,2829,
56.512,,Surface,3,Image 1,1,2830,
39.058,,Surface,3,Image 1,1,2831,
21.03,,Surface,3,Image 1,1,2832,
82.988,,Surface,3,Image 1,1,2833,
29.02,,Surface,3,Image 1,1,2834,
16.984,,Surface,3,Image 1,1,2835,
12.992,,Surface,3,Image 1,1,2836,
14.992,,Surface,3,Image 1,1,2837,
20.048,,Surface,3,Image 1,1,2838,
24.034,,Surface,3,Image 1,1,2839,
77.016,,Surface,3,Image 1,1,2840,
14.004,,Surface,3,Image 1,1,2841,
8.998,,Surface,3,Image 1,1,2842,
43.504,,Surface,3,Image 1,1,2843,
7.01,,Surface,3,Image 1,1,2844,
25.008,,Surface,3,Image 1,1,2845,
34.496,,Surface,3,Image 1,1,2846,
41.008,,Surface,3,Image 1,1,2847,
44.03,,Surface,3,Image 1,1,2848,
35,,Surface,3,Image 1,1,2849,
10.004,,Surface,3,Image 1,1,2850,
4.992,,Surface,3,Image 1,1,2851,
4.996,,Surface,3,Image 1,1,2852,
53,,Surface,3,Image 1,1,2853,
49.54,,Surface,3,Image 1,1,2854,
3.996,,Surface,3,Image 1,1,2855,
29.04,,Surface,3,Image 1,1,2856,
23,,Surface,3,Image 1,1,2857,
18.006,,Surface,3,Image 1,1,2858,
41.512,,Surface,3,Image 1,1,2859,
5.008,,Surface,3,Image 1,1,2860,
82.495,,Surface,3,Image 1,1,2861,
48.448,,Surface,3,Image 1,1,2862,
34.016,,Surface,3,Image 1,1,2863,
15.992,,Surface,3,Image 1,1,2864,
42.508,,Surface,3,Image 1,1,2865,
43.04,,Surface,3,Image 1,1,2866,
18.008,,Surface,3,Image 1,1,2867,
67.08,,Surface,3,Image 1,1,2868,
21.008,,Surface,3,Image 1,1,2869,
15.986,,Surface,3,Image 1,1,2870,
37.506,,Surface,3,Image 1,1,2871,
43.496,,Surface,3,Image 1,1,2872,
18.032,,Surface,3,Image 1,1,2873,
60.472,,Surface,3,Image 1,1,2874,
46.994,,Surface,3,Image 1,1,2875,
45.02,,Surface,3,Image 1,1,2876,
52.06,,Surface,3,Image 1,1,2877,
27.516,,Surface,3,Image 1,1,2878,
41.992,,Surface,3,Image 1,1,2879,
22.496,,Surface,3,Image 1,1,2880,
44.024,,Surface,3,Image 1,1,2881,
63.018,,Surface,3,Image 1,1,2882,
19.024,,Surface,3,Image 1,1,2883,
19.497,,Surface,3,Image 1,1,2884,
39.544,,Surface,3,Image 1,1,2885,
13.01,,Surface,3,Image 1,1,2886,
48.97,,Surface,3,Image 1,1,2887,
32.012,,Surface,3,Image 1,1,2888,
58.518,,Surface,3,Image 1,1,2889,
59.048,,Surface,3,Image 1,1,2890,
93.958,,Surface,3,Image 1,1,2891,
47.476,,Surface,3,Image 1,1,2892,
64.52,,Surface,3,Image 1,1,2893,
45.99,,Surface,3,Image 1,1,2894,
33.512,,Surface,3,Image 1,1,2895,
58.48,,Surface,3,Image 1,1,2896,
54.488,,Surface,3,Image 1,1,2897,
60.028,,Surface,3,Image 1,1,2898,
39.48,,Surface,3,Image 1,1,2899,
24.014,,Surface,3,Image 1,1,2900,
59.928,,Surface,3,Image 1,1,2901,
14.016,,Surface,3,Image 1,1,2902,
15.02,,Surface,3,Image 1,1,2903,
45.016,,Surface,3,Image 1,1,2904,
46.06,,Surface,3,Image 1,1,2905,
98.07,,Surface,3,Image 1,1,2906,
44.992,,Surface,3,Image 1,1,2907,
32.512,,Surface,3,Image 1,1,2908,
27.04,,Surface,3,Image 1,1,2909,
83.056,,Surface,3,Image 1,1,2910,
97.928,,Surface,3,Image 1,1,2911,
79.52,,Surface,3,Image 1,1,2912,
43.984,,Surface,3,Image 1,1,2913,
56.072,,Surface,3,Image 1,1,2914,
35.98,,Surface,3,Image 1,1,2915,
26.96,,Surface,3,Image 1,1,2916,
35.96,,Surface,3,Image 1,1,2917,
13.52,,Surface,3,Image 1,1,2918,
9.996,,Surface,3,Image 1,1,2919,
37.08,,Surface,3,Image 1,1,2920,
15.016,,Surface,3,Image 1,1,2921,
51.536,,Surface,3,Image 1,1,2922,
41.512,,Surface,3,Image 1,1,2923,
23.992,,Surface,3,Image 1,1,2924,
28.98,,Surface,3,Image 1,1,2925,
28.512,,Surface,3,Image 1,1,2926,
59.04,,Surface,3,Image 1,1,2927,
49.024,,Surface,3,Image 1,1,2928,
42.015,,Surface,3,Image 1,1,2929,
51.98,,Surface,3,Image 1,1,2930,
18.032,,Surface,3,Image 1,1,2931,
42.944,,Surface,3,Image 1,1,2932,
43.488,,Surface,3,Image 1,1,2933,
45.02,,Surface,3,Image 1,1,2934,
22,,Surface,3,Image 1,1,2935,
52.512,,Surface,3,Image 1,1,2936,
32.04,,Surface,3,Image 1,1,2937,
56.032,,Surface,3,Image 1,1,2938,
48.504,,Surface,3,Image 1,1,2939,
32.068,,Surface,3,Image 1,1,2940,
58.984,,Surface,3,Image 1,1,2941,
125.552,,Surface,3,Image 1,1,2942,
44.504,,Surface,3,Image 1,1,2943,
63.966,,Surface,3,Image 1,1,2944,
36.56,,Surface,3,Image 1,1,2945,
64.04,,Surface,3,Image 1,1,2946,
17.984,,Surface,3,Image 1,1,2947,
25.99,,Surface,3,Image 1,1,2948,
42.942,,Surface,3,Image 1,1,2949,
23.008,,Surface,3,Image 1,1,2950,
30.993,,Surface,3,Image 1,1,2951,
44,,Surface,3,Image 1,1,2952,
50.516,,Surface,3,Image 1,1,2953,
17.024,,Surface,3,Image 1,1,2954,
20.96,,Surface,3,Image 1,1,2955,
68.024,,Surface,3,Image 1,1,2956,
21.01,,Surface,3,Image 1,1,2957,
37.036,,Surface,3,Image 1,1,2958,
21.08,,Surface,3,Image 1,1,2959,
29.016,,Surface,3,Image 1,1,2960,
40.032,,Surface,3,Image 1,1,2961,
42.516,,Surface,3,Image 1,1,2962,
21.96,,Surface,3,Image 1,1,2963,
