
Intensity StdDev Ch=1 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
50.5609,,Surface,1,Image 1,1,2422,
20.8745,,Surface,1,Image 1,1,2423,
31.9679,,Surface,1,Image 1,1,2424,
58.7012,,Surface,1,Image 1,1,2425,
28.9405,,Surface,1,Image 1,1,2426,
33.6279,,Surface,1,Image 1,1,2427,
52.3884,,Surface,1,Image 1,1,2428,
33.9293,,Surface,1,Image 1,1,2429,
69.537,,Surface,1,Image 1,1,2430,
20.0842,,Surface,1,Image 1,1,2431,
23.423,,Surface,1,Image 1,1,2432,
13.4865,,Surface,1,Image 1,1,2433,
24.696,,Surface,1,Image 1,1,2434,
30.2525,,Surface,1,Image 1,1,2435,
29.3196,,Surface,1,Image 1,1,2436,
23.6343,,Surface,1,Image 1,1,2437,
38.9084,,Surface,1,Image 1,1,2438,
20.981,,Surface,1,Image 1,1,2439,
14.9906,,Surface,1,Image 1,1,2440,
50.6915,,Surface,1,Image 1,1,2441,
36.0474,,Surface,1,Image 1,1,2442,
34.4299,,Surface,1,Image 1,1,2443,
34.3735,,Surface,1,Image 1,1,2444,
28.4763,,Surface,1,Image 1,1,2445,
33.2156,,Surface,1,Image 1,1,2446,
36.3488,,Surface,1,Image 1,1,2447,
31.6841,,Surface,1,Image 1,1,2448,
37.4488,,Surface,1,Image 1,1,2449,
37.6378,,Surface,1,Image 1,1,2450,
17.8456,,Surface,1,Image 1,1,2451,
42.1082,,Surface,1,Image 1,1,2452,
35.3769,,Surface,1,Image 1,1,2453,
55.5295,,Surface,1,Image 1,1,2454,
78.5153,,Surface,1,Image 1,1,2455,
33.0268,,Surface,1,Image 1,1,2456,
57.8271,,Surface,1,Image 1,1,2457,
56.6824,,Surface,1,Image 1,1,2458,
36.0429,,Surface,1,Image 1,1,2459,
28.6413,,Surface,1,Image 1,1,2460,
25.4991,,Surface,1,Image 1,1,2461,
19.6765,,Surface,1,Image 1,1,2462,
58.9084,,Surface,1,Image 1,1,2463,
23.7485,,Surface,1,Image 1,1,2464,
49.2099,,Surface,1,Image 1,1,2465,
28.3486,,Surface,1,Image 1,1,2466,
53.7488,,Surface,1,Image 1,1,2467,
61.5001,,Surface,1,Image 1,1,2468,
21.3836,,Surface,1,Image 1,1,2469,
25.2108,,Surface,1,Image 1,1,2470,
26.616,,Surface,1,Image 1,1,2471,
70.2856,,Surface,1,Image 1,1,2472,
35.7851,,Surface,1,Image 1,1,2473,
26.9389,,Surface,1,Image 1,1,2474,
30.6672,,Surface,1,Image 1,1,2475,
15.7545,,Surface,1,Image 1,1,2476,
23.1249,,Surface,1,Image 1,1,2477,
18.2035,,Surface,1,Image 1,1,2478,
89.0248,,Surface,1,Image 1,1,2479,
35.5805,,Surface,1,Image 1,1,2480,
25.1603,,Surface,1,Image 1,1,2481,
60.2613,,Surface,1,Image 1,1,2482,
54.3087,,Surface,1,Image 1,1,2483,
75.6889,,Surface,1,Image 1,1,2484,
62.8755,,Surface,1,Image 1,1,2485,
25.2058,,Surface,1,Image 1,1,2486,
43.6782,,Surface,1,Image 1,1,2487,
17.6363,,Surface,1,Image 1,1,2488,
53.4542,,Surface,1,Image 1,1,2489,
75.6872,,Surface,1,Image 1,1,2490,
58.6872,,Surface,1,Image 1,1,2491,
23.8499,,Surface,1,Image 1,1,2492,
31.6848,,Surface,1,Image 1,1,2493,
26.0045,,Surface,1,Image 1,1,2494,
22.3385,,Surface,1,Image 1,1,2495,
22.0164,,Surface,1,Image 1,1,2496,
26.4397,,Surface,1,Image 1,1,2497,
30.3335,,Surface,1,Image 1,1,2498,
28.9477,,Surface,1,Image 1,1,2499,
24.6378,,Surface,1,Image 1,1,2500,
17.3069,,Surface,1,Image 1,1,2501,
46.2808,,Surface,1,Image 1,1,2502,
22.4712,,Surface,1,Image 1,1,2503,
83.3292,,Surface,1,Image 1,1,2504,
26.7486,,Surface,1,Image 1,1,2505,
27.4763,,Surface,1,Image 1,1,2506,
66.1895,,Surface,1,Image 1,1,2507,
65.4721,,Surface,1,Image 1,1,2508,
34.2714,,Surface,1,Image 1,1,2509,
15.1502,,Surface,1,Image 1,1,2510,
54.6935,,Surface,1,Image 1,1,2511,
