
Intensity Median Ch=5 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
115.528,,Surface,5,Image 1,1,2422,
134.058,,Surface,5,Image 1,1,2423,
115.984,,Surface,5,Image 1,1,2424,
127.984,,Surface,5,Image 1,1,2425,
120.952,,Surface,5,Image 1,1,2426,
124.96,,Surface,5,Image 1,1,2427,
118.544,,Surface,5,Image 1,1,2428,
119.04,,Surface,5,Image 1,1,2429,
109.006,,Surface,5,Image 1,1,2430,
131.501,,Surface,5,Image 1,1,2431,
109.016,,Surface,5,Image 1,1,2432,
117.02,,Surface,5,Image 1,1,2433,
123.972,,Surface,5,Image 1,1,2434,
130.974,,Surface,5,Image 1,1,2435,
126.472,,Surface,5,Image 1,1,2436,
123.056,,Surface,5,Image 1,1,2437,
120.99,,Surface,5,Image 1,1,2438,
118.998,,Surface,5,Image 1,1,2439,
123.52,,Surface,5,Image 1,1,2440,
127.008,,Surface,5,Image 1,1,2441,
125.992,,Surface,5,Image 1,1,2442,
103.52,,Surface,5,Image 1,1,2443,
118.48,,Surface,5,Image 1,1,2444,
128.996,,Surface,5,Image 1,1,2445,
122.056,,Surface,5,Image 1,1,2446,
119.992,,Surface,5,Image 1,1,2447,
124.966,,Surface,5,Image 1,1,2448,
116.01,,Surface,5,Image 1,1,2449,
121.964,,Surface,5,Image 1,1,2450,
122.48,,Surface,5,Image 1,1,2451,
118.542,,Surface,5,Image 1,1,2452,
119.492,,Surface,5,Image 1,1,2453,
124.51,,Surface,5,Image 1,1,2454,
109.982,,Surface,5,Image 1,1,2455,
117.476,,Surface,5,Image 1,1,2456,
119.08,,Surface,5,Image 1,1,2457,
120.034,,Surface,5,Image 1,1,2458,
115.054,,Surface,5,Image 1,1,2459,
122.022,,Surface,5,Image 1,1,2460,
115.024,,Surface,5,Image 1,1,2461,
122.004,,Surface,5,Image 1,1,2462,
117.972,,Surface,5,Image 1,1,2463,
120.032,,Surface,5,Image 1,1,2464,
121.044,,Surface,5,Image 1,1,2465,
113.98,,Surface,5,Image 1,1,2466,
116.078,,Surface,5,Image 1,1,2467,
120,,Surface,5,Image 1,1,2468,
133.01,,Surface,5,Image 1,1,2469,
120.514,,Surface,5,Image 1,1,2470,
122.512,,Surface,5,Image 1,1,2471,
116.52,,Surface,5,Image 1,1,2472,
120.516,,Surface,5,Image 1,1,2473,
120.025,,Surface,5,Image 1,1,2474,
124.92,,Surface,5,Image 1,1,2475,
158.018,,Surface,5,Image 1,1,2476,
121.008,,Surface,5,Image 1,1,2477,
126.992,,Surface,5,Image 1,1,2478,
118.988,,Surface,5,Image 1,1,2479,
126.048,,Surface,5,Image 1,1,2480,
122,,Surface,5,Image 1,1,2481,
116.97,,Surface,5,Image 1,1,2482,
117.02,,Surface,5,Image 1,1,2483,
116.516,,Surface,5,Image 1,1,2484,
116.984,,Surface,5,Image 1,1,2485,
139.018,,Surface,5,Image 1,1,2486,
119.978,,Surface,5,Image 1,1,2487,
120.984,,Surface,5,Image 1,1,2488,
121.52,,Surface,5,Image 1,1,2489,
116.52,,Surface,5,Image 1,1,2490,
113.982,,Surface,5,Image 1,1,2491,
113.5,,Surface,5,Image 1,1,2492,
127.504,,Surface,5,Image 1,1,2493,
119.974,,Surface,5,Image 1,1,2494,
113.96,,Surface,5,Image 1,1,2495,
115.008,,Surface,5,Image 1,1,2496,
116.084,,Surface,5,Image 1,1,2497,
123.976,,Surface,5,Image 1,1,2498,
121.06,,Surface,5,Image 1,1,2499,
132.48,,Surface,5,Image 1,1,2500,
146.006,,Surface,5,Image 1,1,2501,
118.04,,Surface,5,Image 1,1,2502,
119.496,,Surface,5,Image 1,1,2503,
126.016,,Surface,5,Image 1,1,2504,
115.5,,Surface,5,Image 1,1,2505,
128.968,,Surface,5,Image 1,1,2506,
118.992,,Surface,5,Image 1,1,2507,
117.998,,Surface,5,Image 1,1,2508,
120.96,,Surface,5,Image 1,1,2509,
125.52,,Surface,5,Image 1,1,2510,
128.056,,Surface,5,Image 1,1,2511,
130.98,,Surface,5,Image 1,1,2512,
126.02,,Surface,5,Image 1,1,2513,
118.504,,Surface,5,Image 1,1,2514,
118.55,,Surface,5,Image 1,1,2515,
116.52,,Surface,5,Image 1,1,2516,
125.99,,Surface,5,Image 1,1,2517,
121.508,,Surface,5,Image 1,1,2518,
127.52,,Surface,5,Image 1,1,2519,
117.512,,Surface,5,Image 1,1,2520,
113.52,,Surface,5,Image 1,1,2521,
118.014,,Surface,5,Image 1,1,2522,
115.552,,Surface,5,Image 1,1,2523,
120.488,,Surface,5,Image 1,1,2524,
120.954,,Surface,5,Image 1,1,2525,
137.04,,Surface,5,Image 1,1,2526,
123.016,,Surface,5,Image 1,1,2527,
116.02,,Surface,5,Image 1,1,2528,
114.934,,Surface,5,Image 1,1,2529,
138.984,,Surface,5,Image 1,1,2530,
115.96,,Surface,5,Image 1,1,2531,
116.989,,Surface,5,Image 1,1,2532,
119.048,,Surface,5,Image 1,1,2533,
118.518,,Surface,5,Image 1,1,2534,
115.05,,Surface,5,Image 1,1,2535,
115.03,,Surface,5,Image 1,1,2536,
113.95,,Surface,5,Image 1,1,2537,
117.96,,Surface,5,Image 1,1,2538,
133.492,,Surface,5,Image 1,1,2539,
114.016,,Surface,5,Image 1,1,2540,
117.496,,Surface,5,Image 1,1,2541,
116.048,,Surface,5,Image 1,1,2542,
120.505,,Surface,5,Image 1,1,2543,
121.036,,Surface,5,Image 1,1,2544,
113.016,,Surface,5,Image 1,1,2545,
112.992,,Surface,5,Image 1,1,2546,
126.532,,Surface,5,Image 1,1,2547,
113.976,,Surface,5,Image 1,1,2548,
117.012,,Surface,5,Image 1,1,2549,
115.988,,Surface,5,Image 1,1,2550,
116.04,,Surface,5,Image 1,1,2551,
112.944,,Surface,5,Image 1,1,2552,
115.92,,Surface,5,Image 1,1,2553,
119.024,,Surface,5,Image 1,1,2554,
129.045,,Surface,5,Image 1,1,2555,
109.026,,Surface,5,Image 1,1,2556,
114.984,,Surface,5,Image 1,1,2557,
115.016,,Surface,5,Image 1,1,2558,
117.968,,Surface,5,Image 1,1,2559,
121.011,,Surface,5,Image 1,1,2560,
116.984,,Surface,5,Image 1,1,2561,
126.037,,Surface,5,Image 1,1,2562,
113.944,,Surface,5,Image 1,1,2563,
121,,Surface,5,Image 1,1,2564,
122.016,,Surface,5,Image 1,1,2565,
111.504,,Surface,5,Image 1,1,2566,
116.508,,Surface,5,Image 1,1,2567,
121.06,,Surface,5,Image 1,1,2568,
115.016,,Surface,5,Image 1,1,2569,
120.004,,Surface,5,Image 1,1,2570,
112.496,,Surface,5,Image 1,1,2571,
119.498,,Surface,5,Image 1,1,2572,
116.02,,Surface,5,Image 1,1,2573,
121.98,,Surface,5,Image 1,1,2574,
115.96,,Surface,5,Image 1,1,2575,
116.96,,Surface,5,Image 1,1,2576,
116.952,,Surface,5,Image 1,1,2577,
115.04,,Surface,5,Image 1,1,2578,
116.96,,Surface,5,Image 1,1,2579,
120.032,,Surface,5,Image 1,1,2580,
115.946,,Surface,5,Image 1,1,2581,
116.532,,Surface,5,Image 1,1,2582,
117.6,,Surface,5,Image 1,1,2583,
121.99,,Surface,5,Image 1,1,2584,
130.04,,Surface,5,Image 1,1,2585,
119.967,,Surface,5,Image 1,1,2586,
118.5,,Surface,5,Image 1,1,2587,
112.968,,Surface,5,Image 1,1,2588,
115.04,,Surface,5,Image 1,1,2589,
124.979,,Surface,5,Image 1,1,2590,
136.974,,Surface,5,Image 1,1,2591,
119.976,,Surface,5,Image 1,1,2592,
135.026,,Surface,5,Image 1,1,2593,
133.488,,Surface,5,Image 1,1,2594,
136.012,,Surface,5,Image 1,1,2595,
114.538,,Surface,5,Image 1,1,2596,
116.1,,Surface,5,Image 1,1,2597,
118.52,,Surface,5,Image 1,1,2598,
121.964,,Surface,5,Image 1,1,2599,
119.488,,Surface,5,Image 1,1,2600,
118.016,,Surface,5,Image 1,1,2601,
129.98,,Surface,5,Image 1,1,2602,
137.04,,Surface,5,Image 1,1,2603,
114.014,,Surface,5,Image 1,1,2604,
117.984,,Surface,5,Image 1,1,2605,
118.016,,Surface,5,Image 1,1,2606,
116.008,,Surface,5,Image 1,1,2607,
109.952,,Surface,5,Image 1,1,2608,
120.027,,Surface,5,Image 1,1,2609,
116.08,,Surface,5,Image 1,1,2610,
113.488,,Surface,5,Image 1,1,2611,
119.99,,Surface,5,Image 1,1,2612,
119.995,,Surface,5,Image 1,1,2613,
118.04,,Surface,5,Image 1,1,2614,
108.52,,Surface,5,Image 1,1,2615,
114.92,,Surface,5,Image 1,1,2616,
116.015,,Surface,5,Image 1,1,2617,
117.52,,Surface,5,Image 1,1,2618,
