
Intensity StdDev Ch=3 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
20.778,,Surface,3,Image 1,1,2559,
23.9728,,Surface,3,Image 1,1,2560,
18.2231,,Surface,3,Image 1,1,2561,
23.3184,,Surface,3,Image 1,1,2562,
2.5515,,Surface,3,Image 1,1,2563,
29.3886,,Surface,3,Image 1,1,2564,
10.4894,,Surface,3,Image 1,1,2565,
33.0661,,Surface,3,Image 1,1,2566,
19.8986,,Surface,3,Image 1,1,2567,
28.1994,,Surface,3,Image 1,1,2568,
21.5258,,Surface,3,Image 1,1,2569,
12.6876,,Surface,3,Image 1,1,2570,
16.4498,,Surface,3,Image 1,1,2571,
31.0999,,Surface,3,Image 1,1,2572,
4.1107,,Surface,3,Image 1,1,2573,
9.38358,,Surface,3,Image 1,1,2574,
8.4136,,Surface,3,Image 1,1,2575,
2.53503,,Surface,3,Image 1,1,2576,
3.6402,,Surface,3,Image 1,1,2577,
11.6331,,Surface,3,Image 1,1,2578,
5.22458,,Surface,3,Image 1,1,2579,
10.427,,Surface,3,Image 1,1,2580,
2.39409,,Surface,3,Image 1,1,2581,
8.56987,,Surface,3,Image 1,1,2582,
2.32966,,Surface,3,Image 1,1,2583,
34.8698,,Surface,3,Image 1,1,2584,
20.9728,,Surface,3,Image 1,1,2585,
2.28557,,Surface,3,Image 1,1,2586,
31.1422,,Surface,3,Image 1,1,2587,
19.175,,Surface,3,Image 1,1,2588,
26.6986,,Surface,3,Image 1,1,2589,
15.0597,,Surface,3,Image 1,1,2590,
6.07239,,Surface,3,Image 1,1,2591,
21.3109,,Surface,3,Image 1,1,2592,
24.2167,,Surface,3,Image 1,1,2593,
15.7603,,Surface,3,Image 1,1,2594,
13.4676,,Surface,3,Image 1,1,2595,
19.0588,,Surface,3,Image 1,1,2596,
14.9032,,Surface,3,Image 1,1,2597,
22.797,,Surface,3,Image 1,1,2598,
13.9895,,Surface,3,Image 1,1,2599,
22.6823,,Surface,3,Image 1,1,2600,
17.9791,,Surface,3,Image 1,1,2601,
12.4347,,Surface,3,Image 1,1,2602,
23.599,,Surface,3,Image 1,1,2603,
20.1727,,Surface,3,Image 1,1,2604,
31.7677,,Surface,3,Image 1,1,2605,
26.2559,,Surface,3,Image 1,1,2606,
14.4143,,Surface,3,Image 1,1,2607,
2.43029,,Surface,3,Image 1,1,2608,
20.3704,,Surface,3,Image 1,1,2609,
2.52114,,Surface,3,Image 1,1,2610,
9.92537,,Surface,3,Image 1,1,2611,
6.72409,,Surface,3,Image 1,1,2612,
11.3097,,Surface,3,Image 1,1,2613,
27.2892,,Surface,3,Image 1,1,2614,
13.7768,,Surface,3,Image 1,1,2615,
11.4509,,Surface,3,Image 1,1,2616,
44.8473,,Surface,3,Image 1,1,2617,
34.4933,,Surface,3,Image 1,1,2618,
29.0412,,Surface,3,Image 1,1,2619,
14.5717,,Surface,3,Image 1,1,2620,
15.781,,Surface,3,Image 1,1,2621,
21.8684,,Surface,3,Image 1,1,2622,
7.32794,,Surface,3,Image 1,1,2623,
29.5463,,Surface,3,Image 1,1,2624,
28.7246,,Surface,3,Image 1,1,2625,
26.0571,,Surface,3,Image 1,1,2626,
28.5573,,Surface,3,Image 1,1,2627,
28.56,,Surface,3,Image 1,1,2628,
10.5503,,Surface,3,Image 1,1,2629,
36.2627,,Surface,3,Image 1,1,2630,
22.2726,,Surface,3,Image 1,1,2631,
3.65449,,Surface,3,Image 1,1,2632,
15.125,,Surface,3,Image 1,1,2633,
34.537,,Surface,3,Image 1,1,2634,
36.1027,,Surface,3,Image 1,1,2635,
18.1438,,Surface,3,Image 1,1,2636,
18.5058,,Surface,3,Image 1,1,2637,
27.3119,,Surface,3,Image 1,1,2638,
9.86514,,Surface,3,Image 1,1,2639,
30.4661,,Surface,3,Image 1,1,2640,
31.2,,Surface,3,Image 1,1,2641,
18.5583,,Surface,3,Image 1,1,2642,
11.9627,,Surface,3,Image 1,1,2643,
12.5792,,Surface,3,Image 1,1,2644,
35.5263,,Surface,3,Image 1,1,2645,
18.5118,,Surface,3,Image 1,1,2646,
6.54623,,Surface,3,Image 1,1,2647,
28.8734,,Surface,3,Image 1,1,2648,
21.732,,Surface,3,Image 1,1,2649,
16.4474,,Surface,3,Image 1,1,2650,
29.3162,,Surface,3,Image 1,1,2651,
19.186,,Surface,3,Image 1,1,2652,
11.4835,,Surface,3,Image 1,1,2653,
18.0511,,Surface,3,Image 1,1,2654,
2.76165,,Surface,3,Image 1,1,2655,
2.96259,,Surface,3,Image 1,1,2656,
24.9547,,Surface,3,Image 1,1,2657,
24.2185,,Surface,3,Image 1,1,2658,
4.25211,,Surface,3,Image 1,1,2659,
8.42428,,Surface,3,Image 1,1,2660,
13.1348,,Surface,3,Image 1,1,2661,
12.9961,,Surface,3,Image 1,1,2662,
25.8113,,Surface,3,Image 1,1,2663,
31.5606,,Surface,3,Image 1,1,2664,
22.1581,,Surface,3,Image 1,1,2665,
11.279,,Surface,3,Image 1,1,2666,
26.5884,,Surface,3,Image 1,1,2667,
33.5841,,Surface,3,Image 1,1,2668,
32.0016,,Surface,3,Image 1,1,2669,
34.5597,,Surface,3,Image 1,1,2670,
6.52443,,Surface,3,Image 1,1,2671,
17.3843,,Surface,3,Image 1,1,2672,
10.1181,,Surface,3,Image 1,1,2673,
24.9699,,Surface,3,Image 1,1,2674,
8.49598,,Surface,3,Image 1,1,2675,
25.4227,,Surface,3,Image 1,1,2676,
20.5441,,Surface,3,Image 1,1,2677,
6.48881,,Surface,3,Image 1,1,2678,
21.0179,,Surface,3,Image 1,1,2679,
4.77156,,Surface,3,Image 1,1,2680,
6.64278,,Surface,3,Image 1,1,2681,
21.2736,,Surface,3,Image 1,1,2682,
12.5893,,Surface,3,Image 1,1,2683,
12.6807,,Surface,3,Image 1,1,2684,
8.26356,,Surface,3,Image 1,1,2685,
32.4676,,Surface,3,Image 1,1,2686,
17.7539,,Surface,3,Image 1,1,2687,
4.21636,,Surface,3,Image 1,1,2688,
22.327,,Surface,3,Image 1,1,2689,
22.6623,,Surface,3,Image 1,1,2690,
18.1452,,Surface,3,Image 1,1,2691,
24.5852,,Surface,3,Image 1,1,2692,
9.21758,,Surface,3,Image 1,1,2693,
8.65128,,Surface,3,Image 1,1,2694,
11.8312,,Surface,3,Image 1,1,2695,
2.76291,,Surface,3,Image 1,1,2696,
11.2664,,Surface,3,Image 1,1,2697,
2.38464,,Surface,3,Image 1,1,2698,
37.5292,,Surface,3,Image 1,1,2699,
22.1901,,Surface,3,Image 1,1,2700,
15.6638,,Surface,3,Image 1,1,2701,
18.7966,,Surface,3,Image 1,1,2702,
22.4213,,Surface,3,Image 1,1,2703,
9.91893,,Surface,3,Image 1,1,2704,
16.7699,,Surface,3,Image 1,1,2705,
38.4717,,Surface,3,Image 1,1,2706,
2.46535,,Surface,3,Image 1,1,2707,
19.9726,,Surface,3,Image 1,1,2708,
3.39149,,Surface,3,Image 1,1,2709,
24.6616,,Surface,3,Image 1,1,2710,
5.49981,,Surface,3,Image 1,1,2711,
17.0047,,Surface,3,Image 1,1,2712,
27.3857,,Surface,3,Image 1,1,2713,
9.79335,,Surface,3,Image 1,1,2714,
26.3933,,Surface,3,Image 1,1,2715,
4.49131,,Surface,3,Image 1,1,2716,
6.69783,,Surface,3,Image 1,1,2717,
20.9796,,Surface,3,Image 1,1,2718,
22.9572,,Surface,3,Image 1,1,2719,
8.22752,,Surface,3,Image 1,1,2720,
14.952,,Surface,3,Image 1,1,2721,
2.71517,,Surface,3,Image 1,1,2722,
35.4766,,Surface,3,Image 1,1,2723,
30.0989,,Surface,3,Image 1,1,2724,
27.9286,,Surface,3,Image 1,1,2725,
23.9735,,Surface,3,Image 1,1,2726,
2.9763,,Surface,3,Image 1,1,2727,
9.71617,,Surface,3,Image 1,1,2728,
3.01882,,Surface,3,Image 1,1,2729,
2.62679,,Surface,3,Image 1,1,2730,
2.6226,,Surface,3,Image 1,1,2731,
4.78747,,Surface,3,Image 1,1,2732,
3.20163,,Surface,3,Image 1,1,2733,
3.82303,,Surface,3,Image 1,1,2734,
4.75374,,Surface,3,Image 1,1,2735,
11.2019,,Surface,3,Image 1,1,2736,
30.3693,,Surface,3,Image 1,1,2737,
26.778,,Surface,3,Image 1,1,2738,
26.985,,Surface,3,Image 1,1,2739,
21.7969,,Surface,3,Image 1,1,2740,
7.90164,,Surface,3,Image 1,1,2741,
22.7741,,Surface,3,Image 1,1,2742,
29.1481,,Surface,3,Image 1,1,2743,
18.9051,,Surface,3,Image 1,1,2744,
11.0405,,Surface,3,Image 1,1,2745,
8.18857,,Surface,3,Image 1,1,2746,
24.1598,,Surface,3,Image 1,1,2747,
21.1535,,Surface,3,Image 1,1,2748,
12.0026,,Surface,3,Image 1,1,2749,
15.4615,,Surface,3,Image 1,1,2750,
5.26919,,Surface,3,Image 1,1,2751,
21.9344,,Surface,3,Image 1,1,2752,
19.6845,,Surface,3,Image 1,1,2753,
14.6807,,Surface,3,Image 1,1,2754,
5.86977,,Surface,3,Image 1,1,2755,
13.6382,,Surface,3,Image 1,1,2756,
2.51832,,Surface,3,Image 1,1,2757,
23.1199,,Surface,3,Image 1,1,2758,
20.786,,Surface,3,Image 1,1,2759,
19.4523,,Surface,3,Image 1,1,2760,
19.4907,,Surface,3,Image 1,1,2761,
1.8917,,Surface,3,Image 1,1,2762,
13.5448,,Surface,3,Image 1,1,2763,
6.29982,,Surface,3,Image 1,1,2764,
4.87029,,Surface,3,Image 1,1,2765,
33.4775,,Surface,3,Image 1,1,2766,
25.3333,,Surface,3,Image 1,1,2767,
31.489,,Surface,3,Image 1,1,2768,
27.3453,,Surface,3,Image 1,1,2769,
25.7996,,Surface,3,Image 1,1,2770,
24.0577,,Surface,3,Image 1,1,2771,
38.7894,,Surface,3,Image 1,1,2772,
41.648,,Surface,3,Image 1,1,2773,
2.38817,,Surface,3,Image 1,1,2774,
11.4801,,Surface,3,Image 1,1,2775,
24.141,,Surface,3,Image 1,1,2776,
5.53802,,Surface,3,Image 1,1,2777,
25.439,,Surface,3,Image 1,1,2778,
35.537,,Surface,3,Image 1,1,2779,
1.9463,,Surface,3,Image 1,1,2780,
2.83459,,Surface,3,Image 1,1,2781,
28.1602,,Surface,3,Image 1,1,2782,
19.1589,,Surface,3,Image 1,1,2783,
33.6349,,Surface,3,Image 1,1,2784,
20.7107,,Surface,3,Image 1,1,2785,
16.3025,,Surface,3,Image 1,1,2786,
30.2996,,Surface,3,Image 1,1,2787,
18.1674,,Surface,3,Image 1,1,2788,
18.4113,,Surface,3,Image 1,1,2789,
28.3728,,Surface,3,Image 1,1,2790,
30.5326,,Surface,3,Image 1,1,2791,
22.2028,,Surface,3,Image 1,1,2792,
36.1321,,Surface,3,Image 1,1,2793,
30.9875,,Surface,3,Image 1,1,2794,
33.9383,,Surface,3,Image 1,1,2795,
33.3084,,Surface,3,Image 1,1,2796,
24.6774,,Surface,3,Image 1,1,2797,
18.8196,,Surface,3,Image 1,1,2798,
3.70988,,Surface,3,Image 1,1,2799,
12.1918,,Surface,3,Image 1,1,2800,
19.3052,,Surface,3,Image 1,1,2801,
24.0811,,Surface,3,Image 1,1,2802,
19.0573,,Surface,3,Image 1,1,2803,
27.4154,,Surface,3,Image 1,1,2804,
24.3287,,Surface,3,Image 1,1,2805,
18.2333,,Surface,3,Image 1,1,2806,
13.1751,,Surface,3,Image 1,1,2807,
24.0944,,Surface,3,Image 1,1,2808,
18.1685,,Surface,3,Image 1,1,2809,
32.8505,,Surface,3,Image 1,1,2810,
14.8843,,Surface,3,Image 1,1,2811,
27.1003,,Surface,3,Image 1,1,2812,
21.2559,,Surface,3,Image 1,1,2813,
16.5028,,Surface,3,Image 1,1,2814,
29.9839,,Surface,3,Image 1,1,2815,
23.2807,,Surface,3,Image 1,1,2816,
14.4102,,Surface,3,Image 1,1,2817,
8.96551,,Surface,3,Image 1,1,2818,
21.6505,,Surface,3,Image 1,1,2819,
35.4186,,Surface,3,Image 1,1,2820,
17.5916,,Surface,3,Image 1,1,2821,
5.19615,,Surface,3,Image 1,1,2822,
25.0804,,Surface,3,Image 1,1,2823,
12.1302,,Surface,3,Image 1,1,2824,
4.58647,,Surface,3,Image 1,1,2825,
19.6926,,Surface,3,Image 1,1,2826,
21.7556,,Surface,3,Image 1,1,2827,
3.99248,,Surface,3,Image 1,1,2828,
12.7868,,Surface,3,Image 1,1,2829,
41.5548,,Surface,3,Image 1,1,2830,
29.1963,,Surface,3,Image 1,1,2831,
16.651,,Surface,3,Image 1,1,2832,
38.4163,,Surface,3,Image 1,1,2833,
21.7404,,Surface,3,Image 1,1,2834,
9.75715,,Surface,3,Image 1,1,2835,
5.19643,,Surface,3,Image 1,1,2836,
8.30178,,Surface,3,Image 1,1,2837,
16.6919,,Surface,3,Image 1,1,2838,
29.04,,Surface,3,Image 1,1,2839,
28.1643,,Surface,3,Image 1,1,2840,
5.3974,,Surface,3,Image 1,1,2841,
3.61679,,Surface,3,Image 1,1,2842,
25.0505,,Surface,3,Image 1,1,2843,
7.55516,,Surface,3,Image 1,1,2844,
10.9085,,Surface,3,Image 1,1,2845,
19.7605,,Surface,3,Image 1,1,2846,
23.967,,Surface,3,Image 1,1,2847,
25.534,,Surface,3,Image 1,1,2848,
24.0427,,Surface,3,Image 1,1,2849,
6.65581,,Surface,3,Image 1,1,2850,
2.36061,,Surface,3,Image 1,1,2851,
2.50995,,Surface,3,Image 1,1,2852,
16.2952,,Surface,3,Image 1,1,2853,
