
BoundingBoxAA Length
 ==================== 
BoundingBoxAA Length X,BoundingBoxAA Length Y,BoundingBoxAA Length Z,Unit,Category,Collection,Time,ID,
6.98828,9.60938,2,um,Surface,BoundingBoxAA Length,1,2422,
4.36719,9.60547,2,um,Surface,BoundingBoxAA Length,1,2423,
5.24219,5.24219,2,um,Surface,BoundingBoxAA Length,1,2424,
6.11719,7.86328,2,um,Surface,BoundingBoxAA Length,1,2425,
8.73438,11.3555,2,um,Surface,BoundingBoxAA Length,1,2426,
13.1055,10.4805,2,um,Surface,BoundingBoxAA Length,1,2427,
8.73828,6.98828,2,um,Surface,BoundingBoxAA Length,1,2428,
8.73438,13.9766,2,um,Surface,BoundingBoxAA Length,1,2429,
3.49609,4.36719,2,um,Surface,BoundingBoxAA Length,1,2430,
5.24219,5.24219,2,um,Surface,BoundingBoxAA Length,1,2431,
6.11328,4.36719,2,um,Surface,BoundingBoxAA Length,1,2432,
5.24219,3.49219,2,um,Surface,BoundingBoxAA Length,1,2433,
6.11719,6.98828,2,um,Surface,BoundingBoxAA Length,1,2434,
7.85938,10.4844,2,um,Surface,BoundingBoxAA Length,1,2435,
7.86328,8.73438,2,um,Surface,BoundingBoxAA Length,1,2436,
11.3594,15.7227,2,um,Surface,BoundingBoxAA Length,1,2437,
7.86328,7.85938,2,um,Surface,BoundingBoxAA Length,1,2438,
6.98828,5.24219,2,um,Surface,BoundingBoxAA Length,1,2439,
5.24219,5.24219,2,um,Surface,BoundingBoxAA Length,1,2440,
9.60938,6.98828,2,um,Surface,BoundingBoxAA Length,1,2441,
10.4844,13.1055,2,um,Surface,BoundingBoxAA Length,1,2442,
3.49609,2.62109,2,um,Surface,BoundingBoxAA Length,1,2443,
3.49609,5.24219,2,um,Surface,BoundingBoxAA Length,1,2444,
7.85938,13.1016,2,um,Surface,BoundingBoxAA Length,1,2445,
19.2188,13.9727,2,um,Surface,BoundingBoxAA Length,1,2446,
5.24219,7.86328,2,um,Surface,BoundingBoxAA Length,1,2447,
5.24219,7.86328,2,um,Surface,BoundingBoxAA Length,1,2448,
11.3555,8.73828,2,um,Surface,BoundingBoxAA Length,1,2449,
4.36719,4.36719,2,um,Surface,BoundingBoxAA Length,1,2450,
4.36719,6.11328,2,um,Surface,BoundingBoxAA Length,1,2451,
8.73828,13.9766,2,um,Surface,BoundingBoxAA Length,1,2452,
5.23828,5.23828,2,um,Surface,BoundingBoxAA Length,1,2453,
5.23828,6.98828,2,um,Surface,BoundingBoxAA Length,1,2454,
6.98828,5.24219,2,um,Surface,BoundingBoxAA Length,1,2455,
10.4844,9.60938,2,um,Surface,BoundingBoxAA Length,1,2456,
7.86328,9.60938,2,um,Surface,BoundingBoxAA Length,1,2457,
6.98828,6.11328,2,um,Surface,BoundingBoxAA Length,1,2458,
7.86328,6.98828,2,um,Surface,BoundingBoxAA Length,1,2459,
4.36719,6.98828,2,um,Surface,BoundingBoxAA Length,1,2460,
8.73438,7.86328,2,um,Surface,BoundingBoxAA Length,1,2461,
5.23828,6.11328,2,um,Surface,BoundingBoxAA Length,1,2462,
7.86328,10.4844,2,um,Surface,BoundingBoxAA Length,1,2463,
6.11328,6.11328,2,um,Surface,BoundingBoxAA Length,1,2464,
11.3555,10.4844,2,um,Surface,BoundingBoxAA Length,1,2465,
5.24219,5.23828,2,um,Surface,BoundingBoxAA Length,1,2466,
15.7227,9.60938,2,um,Surface,BoundingBoxAA Length,1,2467,
7.86328,6.11719,2,um,Surface,BoundingBoxAA Length,1,2468,
7.85938,6.98828,2,um,Surface,BoundingBoxAA Length,1,2469,
6.11328,6.98828,2,um,Surface,BoundingBoxAA Length,1,2470,
3.49219,4.36719,2,um,Surface,BoundingBoxAA Length,1,2471,
8.73438,6.98828,2,um,Surface,BoundingBoxAA Length,1,2472,
4.36719,3.49219,2,um,Surface,BoundingBoxAA Length,1,2473,
4.36719,6.11328,2,um,Surface,BoundingBoxAA Length,1,2474,
7.86328,7.86328,2,um,Surface,BoundingBoxAA Length,1,2475,
5.24219,6.11328,2,um,Surface,BoundingBoxAA Length,1,2476,
5.24219,6.11328,2,um,Surface,BoundingBoxAA Length,1,2477,
8.73828,7.86328,2,um,Surface,BoundingBoxAA Length,1,2478,
8.73438,8.73438,2,um,Surface,BoundingBoxAA Length,1,2479,
4.37109,4.36719,2,um,Surface,BoundingBoxAA Length,1,2480,
6.98828,5.24219,2,um,Surface,BoundingBoxAA Length,1,2481,
8.73438,10.4805,2,um,Surface,BoundingBoxAA Length,1,2482,
6.11328,5.24219,2,um,Surface,BoundingBoxAA Length,1,2483,
4.36719,4.36719,2,um,Surface,BoundingBoxAA Length,1,2484,
6.98828,6.11328,2,um,Surface,BoundingBoxAA Length,1,2485,
6.98828,6.11328,2,um,Surface,BoundingBoxAA Length,1,2486,
12.2305,7.85938,2,um,Surface,BoundingBoxAA Length,1,2487,
2.62109,3.49219,2,um,Surface,BoundingBoxAA Length,1,2488,
5.24219,8.73438,2,um,Surface,BoundingBoxAA Length,1,2489,
5.23828,6.11328,2,um,Surface,BoundingBoxAA Length,1,2490,
12.2266,9.60938,2,um,Surface,BoundingBoxAA Length,1,2491,
16.5977,15.7227,2,um,Surface,BoundingBoxAA Length,1,2492,
6.98828,6.98828,2,um,Surface,BoundingBoxAA Length,1,2493,
7.86328,10.4844,2,um,Surface,BoundingBoxAA Length,1,2494,
7.85938,13.9766,2,um,Surface,BoundingBoxAA Length,1,2495,
5.24219,6.11328,2,um,Surface,BoundingBoxAA Length,1,2496,
8.73438,12.2305,2,um,Surface,BoundingBoxAA Length,1,2497,
5.23828,5.24219,2,um,Surface,BoundingBoxAA Length,1,2498,
5.24219,7.85938,2,um,Surface,BoundingBoxAA Length,1,2499,
9.60938,8.73828,2,um,Surface,BoundingBoxAA Length,1,2500,
8.73438,6.98828,2,um,Surface,BoundingBoxAA Length,1,2501,
7.86328,6.98828,2,um,Surface,BoundingBoxAA Length,1,2502,
7.86328,11.3555,2,um,Surface,BoundingBoxAA Length,1,2503,
4.36719,4.36719,2,um,Surface,BoundingBoxAA Length,1,2504,
13.9766,11.3555,2,um,Surface,BoundingBoxAA Length,1,2505,
12.2305,12.2305,2,um,Surface,BoundingBoxAA Length,1,2506,
8.73438,13.9766,2,um,Surface,BoundingBoxAA Length,1,2507,
7.86328,8.73438,2,um,Surface,BoundingBoxAA Length,1,2508,
7.85938,8.73438,2,um,Surface,BoundingBoxAA Length,1,2509,
5.24219,4.36719,2,um,Surface,BoundingBoxAA Length,1,2510,
13.9766,13.1016,2,um,Surface,BoundingBoxAA Length,1,2511,
7.86328,7.86328,2,um,Surface,BoundingBoxAA Length,1,2512,
7.86328,6.98828,2,um,Surface,BoundingBoxAA Length,1,2513,
4.36719,7.86328,2,um,Surface,BoundingBoxAA Length,1,2514,
8.73828,6.11328,2,um,Surface,BoundingBoxAA Length,1,2515,
13.1016,6.98828,2,um,Surface,BoundingBoxAA Length,1,2516,
7.86328,5.23828,2,um,Surface,BoundingBoxAA Length,1,2517,
5.24219,6.11328,2,um,Surface,BoundingBoxAA Length,1,2518,
3.49219,3.49609,2,um,Surface,BoundingBoxAA Length,1,2519,
13.1055,17.4688,2,um,Surface,BoundingBoxAA Length,1,2520,
30.5742,20.0898,2,um,Surface,BoundingBoxAA Length,1,2521,
10.4805,14.8516,2,um,Surface,BoundingBoxAA Length,1,2522,
36.6875,32.3203,2,um,Surface,BoundingBoxAA Length,1,2523,
10.4805,12.2266,2,um,Surface,BoundingBoxAA Length,1,2524,
7.86328,6.11719,2,um,Surface,BoundingBoxAA Length,1,2525,
4.36719,5.24219,2,um,Surface,BoundingBoxAA Length,1,2526,
13.9766,16.5938,2,um,Surface,BoundingBoxAA Length,1,2527,
17.4727,17.4688,2,um,Surface,BoundingBoxAA Length,1,2528,
13.9766,9.60938,2,um,Surface,BoundingBoxAA Length,1,2529,
18.3438,11.3555,2,um,Surface,BoundingBoxAA Length,1,2530,
7.85938,13.1016,2,um,Surface,BoundingBoxAA Length,1,2531,
5.24219,5.23828,2,um,Surface,BoundingBoxAA Length,1,2532,
15.7266,13.1016,2,um,Surface,BoundingBoxAA Length,1,2533,
5.24219,4.36719,2,um,Surface,BoundingBoxAA Length,1,2534,
6.98828,5.24219,2,um,Surface,BoundingBoxAA Length,1,2535,
8.73438,7.85938,2,um,Surface,BoundingBoxAA Length,1,2536,
16.5977,14.8516,2,um,Surface,BoundingBoxAA Length,1,2537,
9.60938,11.3555,2,um,Surface,BoundingBoxAA Length,1,2538,
5.23828,4.36719,2,um,Surface,BoundingBoxAA Length,1,2539,
15.7227,22.7109,2,um,Surface,BoundingBoxAA Length,1,2540,
3.49219,4.36719,2,um,Surface,BoundingBoxAA Length,1,2541,
27.0781,19.2148,2,um,Surface,BoundingBoxAA Length,1,2542,
4.36719,4.36719,2,um,Surface,BoundingBoxAA Length,1,2543,
5.23828,6.98828,2,um,Surface,BoundingBoxAA Length,1,2544,
3.49609,4.36719,2,um,Surface,BoundingBoxAA Length,1,2545,
9.60938,9.60938,2,um,Surface,BoundingBoxAA Length,1,2546,
4.36719,4.36719,2,um,Surface,BoundingBoxAA Length,1,2547,
6.11328,7.86328,2,um,Surface,BoundingBoxAA Length,1,2548,
10.4805,8.73438,2,um,Surface,BoundingBoxAA Length,1,2549,
8.73438,9.60547,2,um,Surface,BoundingBoxAA Length,1,2550,
4.36719,6.11328,2,um,Surface,BoundingBoxAA Length,1,2551,
13.9766,10.4805,2,um,Surface,BoundingBoxAA Length,1,2552,
46.2969,36.6875,2,um,Surface,BoundingBoxAA Length,1,2553,
21.8398,16.5977,2,um,Surface,BoundingBoxAA Length,1,2554,
15.7227,8.73438,2,um,Surface,BoundingBoxAA Length,1,2555,
5.24219,5.24219,2,um,Surface,BoundingBoxAA Length,1,2556,
10.4805,9.60938,2,um,Surface,BoundingBoxAA Length,1,2557,
6.98828,13.1016,2,um,Surface,BoundingBoxAA Length,1,2558,
7.85938,6.98828,2,um,Surface,BoundingBoxAA Length,1,2559,
10.4844,10.4805,2,um,Surface,BoundingBoxAA Length,1,2560,
20.9648,25.332,2,um,Surface,BoundingBoxAA Length,1,2561,
12.2305,10.4844,2,um,Surface,BoundingBoxAA Length,1,2562,
10.4844,16.5938,2,um,Surface,BoundingBoxAA Length,1,2563,
4.36719,6.11328,2,um,Surface,BoundingBoxAA Length,1,2564,
11.3555,10.4805,2,um,Surface,BoundingBoxAA Length,1,2565,
4.36719,5.24219,2,um,Surface,BoundingBoxAA Length,1,2566,
6.98828,8.73438,2,um,Surface,BoundingBoxAA Length,1,2567,
14.8516,18.3438,2,um,Surface,BoundingBoxAA Length,1,2568,
6.98828,6.98828,2,um,Surface,BoundingBoxAA Length,1,2569,
6.98828,6.11719,2,um,Surface,BoundingBoxAA Length,1,2570,
6.11328,6.98828,2,um,Surface,BoundingBoxAA Length,1,2571,
8.73438,8.73438,2,um,Surface,BoundingBoxAA Length,1,2572,
12.2305,18.3438,2,um,Surface,BoundingBoxAA Length,1,2573,
8.73438,5.23828,2,um,Surface,BoundingBoxAA Length,1,2574,
16.5977,16.5977,2,um,Surface,BoundingBoxAA Length,1,2575,
18.3438,13.1016,2,um,Surface,BoundingBoxAA Length,1,2576,
7.86328,6.98828,2,um,Surface,BoundingBoxAA Length,1,2577,
6.98828,7.86328,2,um,Surface,BoundingBoxAA Length,1,2578,
20.0938,19.2188,2,um,Surface,BoundingBoxAA Length,1,2579,
20.0898,23.5859,2,um,Surface,BoundingBoxAA Length,1,2580,
17.4727,30.5742,2,um,Surface,BoundingBoxAA Length,1,2581,
5.24219,5.24219,2,um,Surface,BoundingBoxAA Length,1,2582,
11.3555,6.98828,2,um,Surface,BoundingBoxAA Length,1,2583,
