
Intensity Mean Ch=4 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
139.395,,Surface,4,Image 1,1,2422,
122.191,,Surface,4,Image 1,1,2423,
137.938,,Surface,4,Image 1,1,2424,
128.656,,Surface,4,Image 1,1,2425,
135.145,,Surface,4,Image 1,1,2426,
130.148,,Surface,4,Image 1,1,2427,
138.093,,Surface,4,Image 1,1,2428,
135.619,,Surface,4,Image 1,1,2429,
143.021,,Surface,4,Image 1,1,2430,
123.339,,Surface,4,Image 1,1,2431,
144.671,,Surface,4,Image 1,1,2432,
137.841,,Surface,4,Image 1,1,2433,
128.682,,Surface,4,Image 1,1,2434,
124.381,,Surface,4,Image 1,1,2435,
128.833,,Surface,4,Image 1,1,2436,
133.252,,Surface,4,Image 1,1,2437,
135.141,,Surface,4,Image 1,1,2438,
135.352,,Surface,4,Image 1,1,2439,
131.279,,Surface,4,Image 1,1,2440,
126.952,,Surface,4,Image 1,1,2441,
130.222,,Surface,4,Image 1,1,2442,
148.5,,Surface,4,Image 1,1,2443,
140.077,,Surface,4,Image 1,1,2444,
124.877,,Surface,4,Image 1,1,2445,
133.354,,Surface,4,Image 1,1,2446,
136.163,,Surface,4,Image 1,1,2447,
131.103,,Surface,4,Image 1,1,2448,
138.54,,Surface,4,Image 1,1,2449,
134.536,,Surface,4,Image 1,1,2450,
132.094,,Surface,4,Image 1,1,2451,
137.332,,Surface,4,Image 1,1,2452,
135.556,,Surface,4,Image 1,1,2453,
131,,Surface,4,Image 1,1,2454,
144.058,,Surface,4,Image 1,1,2455,
137.46,,Surface,4,Image 1,1,2456,
134.387,,Surface,4,Image 1,1,2457,
135.353,,Surface,4,Image 1,1,2458,
140.078,,Surface,4,Image 1,1,2459,
136.229,,Surface,4,Image 1,1,2460,
140.163,,Surface,4,Image 1,1,2461,
134.708,,Surface,4,Image 1,1,2462,
137.107,,Surface,4,Image 1,1,2463,
133.427,,Surface,4,Image 1,1,2464,
134.082,,Surface,4,Image 1,1,2465,
140.25,,Surface,4,Image 1,1,2466,
138.668,,Surface,4,Image 1,1,2467,
135.043,,Surface,4,Image 1,1,2468,
123.337,,Surface,4,Image 1,1,2469,
132.444,,Surface,4,Image 1,1,2470,
132.35,,Surface,4,Image 1,1,2471,
137.077,,Surface,4,Image 1,1,2472,
136.75,,Surface,4,Image 1,1,2473,
137.688,,Surface,4,Image 1,1,2474,
128.299,,Surface,4,Image 1,1,2475,
98.5833,,Surface,4,Image 1,1,2476,
132.091,,Surface,4,Image 1,1,2477,
129.645,,Surface,4,Image 1,1,2478,
136.563,,Surface,4,Image 1,1,2479,
128.979,,Surface,4,Image 1,1,2480,
135.32,,Surface,4,Image 1,1,2481,
138.471,,Surface,4,Image 1,1,2482,
137.17,,Surface,4,Image 1,1,2483,
139.938,,Surface,4,Image 1,1,2484,
137.317,,Surface,4,Image 1,1,2485,
117.405,,Surface,4,Image 1,1,2486,
135.92,,Surface,4,Image 1,1,2487,
136.875,,Surface,4,Image 1,1,2488,
