
Intensity Median Ch=4 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
139.516,,Surface,4,Image 1,1,2422,
121,,Surface,4,Image 1,1,2423,
139.016,,Surface,4,Image 1,1,2424,
127.016,,Surface,4,Image 1,1,2425,
134.048,,Surface,4,Image 1,1,2426,
130.04,,Surface,4,Image 1,1,2427,
136.456,,Surface,4,Image 1,1,2428,
135.96,,Surface,4,Image 1,1,2429,
145.994,,Surface,4,Image 1,1,2430,
123.499,,Surface,4,Image 1,1,2431,
145.984,,Surface,4,Image 1,1,2432,
138.008,,Surface,4,Image 1,1,2433,
131.028,,Surface,4,Image 1,1,2434,
124.026,,Surface,4,Image 1,1,2435,
128.528,,Surface,4,Image 1,1,2436,
131.944,,Surface,4,Image 1,1,2437,
134.01,,Surface,4,Image 1,1,2438,
136.002,,Surface,4,Image 1,1,2439,
131.52,,Surface,4,Image 1,1,2440,
127.992,,Surface,4,Image 1,1,2441,
129.008,,Surface,4,Image 1,1,2442,
151.52,,Surface,4,Image 1,1,2443,
136.52,,Surface,4,Image 1,1,2444,
126.004,,Surface,4,Image 1,1,2445,
133.056,,Surface,4,Image 1,1,2446,
135.008,,Surface,4,Image 1,1,2447,
130.034,,Surface,4,Image 1,1,2448,
138.99,,Surface,4,Image 1,1,2449,
133.036,,Surface,4,Image 1,1,2450,
132.52,,Surface,4,Image 1,1,2451,
136.458,,Surface,4,Image 1,1,2452,
135.508,,Surface,4,Image 1,1,2453,
130.52,,Surface,4,Image 1,1,2454,
145.018,,Surface,4,Image 1,1,2455,
137.524,,Surface,4,Image 1,1,2456,
136.08,,Surface,4,Image 1,1,2457,
134.966,,Surface,4,Image 1,1,2458,
140.054,,Surface,4,Image 1,1,2459,
132.978,,Surface,4,Image 1,1,2460,
139.976,,Surface,4,Image 1,1,2461,
132.996,,Surface,4,Image 1,1,2462,
137.028,,Surface,4,Image 1,1,2463,
134.968,,Surface,4,Image 1,1,2464,
134.044,,Surface,4,Image 1,1,2465,
141.02,,Surface,4,Image 1,1,2466,
139.078,,Surface,4,Image 1,1,2467,
135.042,,Surface,4,Image 1,1,2468,
121.99,,Surface,4,Image 1,1,2469,
134.504,,Surface,4,Image 1,1,2470,
132.488,,Surface,4,Image 1,1,2471,
138.48,,Surface,4,Image 1,1,2472,
134.484,,Surface,4,Image 1,1,2473,
135.025,,Surface,4,Image 1,1,2474,
130.08,,Surface,4,Image 1,1,2475,
96.982,,Surface,4,Image 1,1,2476,
133.992,,Surface,4,Image 1,1,2477,
128.008,,Surface,4,Image 1,1,2478,
136.012,,Surface,4,Image 1,1,2479,
128.952,,Surface,4,Image 1,1,2480,
133,,Surface,4,Image 1,1,2481,
138.03,,Surface,4,Image 1,1,2482,
137.98,,Surface,4,Image 1,1,2483,
138.528,,Surface,4,Image 1,1,2484,
138.016,,Surface,4,Image 1,1,2485,
115.982,,Surface,4,Image 1,1,2486,
135.022,,Surface,4,Image 1,1,2487,
134.016,,Surface,4,Image 1,1,2488,
133.48,,Surface,4,Image 1,1,2489,
138.52,,Surface,4,Image 1,1,2490,
141.018,,Surface,4,Image 1,1,2491,
141.5,,Surface,4,Image 1,1,2492,
127.496,,Surface,4,Image 1,1,2493,
135.026,,Surface,4,Image 1,1,2494,
141.04,,Surface,4,Image 1,1,2495,
139.992,,Surface,4,Image 1,1,2496,
138.916,,Surface,4,Image 1,1,2497,
131.024,,Surface,4,Image 1,1,2498,
134.06,,Surface,4,Image 1,1,2499,
122.52,,Surface,4,Image 1,1,2500,
108.994,,Surface,4,Image 1,1,2501,
136.96,,Surface,4,Image 1,1,2502,
135.504,,Surface,4,Image 1,1,2503,
128.984,,Surface,4,Image 1,1,2504,
139.5,,Surface,4,Image 1,1,2505,
126.032,,Surface,4,Image 1,1,2506,
136.008,,Surface,4,Image 1,1,2507,
137.002,,Surface,4,Image 1,1,2508,
134.04,,Surface,4,Image 1,1,2509,
129.52,,Surface,4,Image 1,1,2510,
126.944,,Surface,4,Image 1,1,2511,
124.02,,Surface,4,Image 1,1,2512,
129.02,,Surface,4,Image 1,1,2513,
136.496,,Surface,4,Image 1,1,2514,
136.55,,Surface,4,Image 1,1,2515,
138.52,,Surface,4,Image 1,1,2516,
129.01,,Surface,4,Image 1,1,2517,
133.492,,Surface,4,Image 1,1,2518,
127.52,,Surface,4,Image 1,1,2519,
137.488,,Surface,4,Image 1,1,2520,
141.48,,Surface,4,Image 1,1,2521,
136.986,,Surface,4,Image 1,1,2522,
139.448,,Surface,4,Image 1,1,2523,
134.512,,Surface,4,Image 1,1,2524,
134.046,,Surface,4,Image 1,1,2525,
118.04,,Surface,4,Image 1,1,2526,
131.984,,Surface,4,Image 1,1,2527,
138.98,,Surface,4,Image 1,1,2528,
140.066,,Surface,4,Image 1,1,2529,
116.016,,Surface,4,Image 1,1,2530,
139.04,,Surface,4,Image 1,1,2531,
138.011,,Surface,4,Image 1,1,2532,
135.952,,Surface,4,Image 1,1,2533,
136.483,,Surface,4,Image 1,1,2534,
139.95,,Surface,4,Image 1,1,2535,
139.97,,Surface,4,Image 1,1,2536,
141.05,,Surface,4,Image 1,1,2537,
137.04,,Surface,4,Image 1,1,2538,
121.508,,Surface,4,Image 1,1,2539,
140.984,,Surface,4,Image 1,1,2540,
137.504,,Surface,4,Image 1,1,2541,
138.952,,Surface,4,Image 1,1,2542,
134.495,,Surface,4,Image 1,1,2543,
133.964,,Surface,4,Image 1,1,2544,
141.984,,Surface,4,Image 1,1,2545,
142.008,,Surface,4,Image 1,1,2546,
128.504,,Surface,4,Image 1,1,2547,
141.024,,Surface,4,Image 1,1,2548,
137.988,,Surface,4,Image 1,1,2549,
139.012,,Surface,4,Image 1,1,2550,
139.04,,Surface,4,Image 1,1,2551,
142.056,,Surface,4,Image 1,1,2552,
139.08,,Surface,4,Image 1,1,2553,
135.976,,Surface,4,Image 1,1,2554,
125.955,,Surface,4,Image 1,1,2555,
145.974,,Surface,4,Image 1,1,2556,
140.016,,Surface,4,Image 1,1,2557,
139.984,,Surface,4,Image 1,1,2558,
137.032,,Surface,4,Image 1,1,2559,
133.989,,Surface,4,Image 1,1,2560,
138.016,,Surface,4,Image 1,1,2561,
128.963,,Surface,4,Image 1,1,2562,
141.056,,Surface,4,Image 1,1,2563,
134,,Surface,4,Image 1,1,2564,
132.984,,Surface,4,Image 1,1,2565,
143.496,,Surface,4,Image 1,1,2566,
138.492,,Surface,4,Image 1,1,2567,
133.94,,Surface,4,Image 1,1,2568,
139.984,,Surface,4,Image 1,1,2569,
134.996,,Surface,4,Image 1,1,2570,
142.504,,Surface,4,Image 1,1,2571,
135.502,,Surface,4,Image 1,1,2572,
138.98,,Surface,4,Image 1,1,2573,
133.02,,Surface,4,Image 1,1,2574,
139.04,,Surface,4,Image 1,1,2575,
138.04,,Surface,4,Image 1,1,2576,
138.048,,Surface,4,Image 1,1,2577,
139.96,,Surface,4,Image 1,1,2578,
138.04,,Surface,4,Image 1,1,2579,
134.968,,Surface,4,Image 1,1,2580,
139.054,,Surface,4,Image 1,1,2581,
138.468,,Surface,4,Image 1,1,2582,
137.6,,Surface,4,Image 1,1,2583,
133.01,,Surface,4,Image 1,1,2584,
125.04,,Surface,4,Image 1,1,2585,
135.033,,Surface,4,Image 1,1,2586,
136.5,,Surface,4,Image 1,1,2587,
141.968,,Surface,4,Image 1,1,2588,
140.04,,Surface,4,Image 1,1,2589,
130.021,,Surface,4,Image 1,1,2590,
118.026,,Surface,4,Image 1,1,2591,
135.024,,Surface,4,Image 1,1,2592,
120.026,,Surface,4,Image 1,1,2593,
121.512,,Surface,4,Image 1,1,2594,
118.988,,Surface,4,Image 1,1,2595,
140.528,,Surface,4,Image 1,1,2596,
139.1,,Surface,4,Image 1,1,2597,
136.52,,Surface,4,Image 1,1,2598,
133.036,,Surface,4,Image 1,1,2599,
135.512,,Surface,4,Image 1,1,2600,
136.984,,Surface,4,Image 1,1,2601,
125.02,,Surface,4,Image 1,1,2602,
117.96,,Surface,4,Image 1,1,2603,
140.986,,Surface,4,Image 1,1,2604,
137.016,,Surface,4,Image 1,1,2605,
136.984,,Surface,4,Image 1,1,2606,
138.992,,Surface,4,Image 1,1,2607,
145.048,,Surface,4,Image 1,1,2608,
134.973,,Surface,4,Image 1,1,2609,
139.08,,Surface,4,Image 1,1,2610,
141.512,,Surface,4,Image 1,1,2611,
135.01,,Surface,4,Image 1,1,2612,
135.005,,Surface,4,Image 1,1,2613,
136.96,,Surface,4,Image 1,1,2614,
146.48,,Surface,4,Image 1,1,2615,
140.08,,Surface,4,Image 1,1,2616,
138.985,,Surface,4,Image 1,1,2617,
137.52,,Surface,4,Image 1,1,2618,
142.996,,Surface,4,Image 1,1,2619,
120.04,,Surface,4,Image 1,1,2620,
135.88,,Surface,4,Image 1,1,2621,
134.504,,Surface,4,Image 1,1,2622,
98.048,,Surface,4,Image 1,1,2623,
139.998,,Surface,4,Image 1,1,2624,
133.964,,Surface,4,Image 1,1,2625,
125.96,,Surface,4,Image 1,1,2626,
149.02,,Surface,4,Image 1,1,2627,
135.022,,Surface,4,Image 1,1,2628,
135.024,,Surface,4,Image 1,1,2629,
135.036,,Surface,4,Image 1,1,2630,
137.968,,Surface,4,Image 1,1,2631,
138.96,,Surface,4,Image 1,1,2632,
143.504,,Surface,4,Image 1,1,2633,
138.986,,Surface,4,Image 1,1,2634,
139.99,,Surface,4,Image 1,1,2635,
137.016,,Surface,4,Image 1,1,2636,
120.03,,Surface,4,Image 1,1,2637,
137.528,,Surface,4,Image 1,1,2638,
133.96,,Surface,4,Image 1,1,2639,
136.976,,Surface,4,Image 1,1,2640,
137.02,,Surface,4,Image 1,1,2641,
147.03,,Surface,4,Image 1,1,2642,
132.034,,Surface,4,Image 1,1,2643,
136.988,,Surface,4,Image 1,1,2644,
142.984,,Surface,4,Image 1,1,2645,
127.016,,Surface,4,Image 1,1,2646,
121.992,,Surface,4,Image 1,1,2647,
127.04,,Surface,4,Image 1,1,2648,
128.96,,Surface,4,Image 1,1,2649,
133.048,,Surface,4,Image 1,1,2650,
132.55,,Surface,4,Image 1,1,2651,
138.04,,Surface,4,Image 1,1,2652,
133.072,,Surface,4,Image 1,1,2653,
131.524,,Surface,4,Image 1,1,2654,
132.508,,Surface,4,Image 1,1,2655,
138.1,,Surface,4,Image 1,1,2656,
136.508,,Surface,4,Image 1,1,2657,
143.04,,Surface,4,Image 1,1,2658,
133.96,,Surface,4,Image 1,1,2659,
141.52,,Surface,4,Image 1,1,2660,
137.992,,Surface,4,Image 1,1,2661,
106.489,,Surface,4,Image 1,1,2662,
139.016,,Surface,4,Image 1,1,2663,
141.056,,Surface,4,Image 1,1,2664,
137,,Surface,4,Image 1,1,2665,
136.998,,Surface,4,Image 1,1,2666,
136.024,,Surface,4,Image 1,1,2667,
135.08,,Surface,4,Image 1,1,2668,
135.986,,Surface,4,Image 1,1,2669,
138.483,,Surface,4,Image 1,1,2670,
138.01,,Surface,4,Image 1,1,2671,
137.972,,Surface,4,Image 1,1,2672,
130.042,,Surface,4,Image 1,1,2673,
141.02,,Surface,4,Image 1,1,2674,
131.99,,Surface,4,Image 1,1,2675,
138.982,,Surface,4,Image 1,1,2676,
123.5,,Surface,4,Image 1,1,2677,
135.088,,Surface,4,Image 1,1,2678,
129,,Surface,4,Image 1,1,2679,
136.004,,Surface,4,Image 1,1,2680,
138.02,,Surface,4,Image 1,1,2681,
123.048,,Surface,4,Image 1,1,2682,
133.968,,Surface,4,Image 1,1,2683,
