
Intensity Mean Ch=5 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
115.605,,Surface,5,Image 1,1,2422,
132.809,,Surface,5,Image 1,1,2423,
117.063,,Surface,5,Image 1,1,2424,
126.344,,Surface,5,Image 1,1,2425,
119.855,,Surface,5,Image 1,1,2426,
124.852,,Surface,5,Image 1,1,2427,
116.907,,Surface,5,Image 1,1,2428,
119.381,,Surface,5,Image 1,1,2429,
111.979,,Surface,5,Image 1,1,2430,
131.661,,Surface,5,Image 1,1,2431,
110.329,,Surface,5,Image 1,1,2432,
117.159,,Surface,5,Image 1,1,2433,
126.318,,Surface,5,Image 1,1,2434,
130.619,,Surface,5,Image 1,1,2435,
126.167,,Surface,5,Image 1,1,2436,
121.748,,Surface,5,Image 1,1,2437,
119.859,,Surface,5,Image 1,1,2438,
119.648,,Surface,5,Image 1,1,2439,
123.721,,Surface,5,Image 1,1,2440,
128.048,,Surface,5,Image 1,1,2441,
124.778,,Surface,5,Image 1,1,2442,
106.5,,Surface,5,Image 1,1,2443,
114.923,,Surface,5,Image 1,1,2444,
130.123,,Surface,5,Image 1,1,2445,
121.646,,Surface,5,Image 1,1,2446,
118.837,,Surface,5,Image 1,1,2447,
123.897,,Surface,5,Image 1,1,2448,
116.46,,Surface,5,Image 1,1,2449,
120.464,,Surface,5,Image 1,1,2450,
122.906,,Surface,5,Image 1,1,2451,
117.668,,Surface,5,Image 1,1,2452,
119.444,,Surface,5,Image 1,1,2453,
124,,Surface,5,Image 1,1,2454,
110.942,,Surface,5,Image 1,1,2455,
117.54,,Surface,5,Image 1,1,2456,
120.613,,Surface,5,Image 1,1,2457,
119.647,,Surface,5,Image 1,1,2458,
114.922,,Surface,5,Image 1,1,2459,
118.771,,Surface,5,Image 1,1,2460,
114.837,,Surface,5,Image 1,1,2461,
120.292,,Surface,5,Image 1,1,2462,
117.893,,Surface,5,Image 1,1,2463,
121.573,,Surface,5,Image 1,1,2464,
120.918,,Surface,5,Image 1,1,2465,
114.75,,Surface,5,Image 1,1,2466,
116.332,,Surface,5,Image 1,1,2467,
119.957,,Surface,5,Image 1,1,2468,
131.663,,Surface,5,Image 1,1,2469,
122.556,,Surface,5,Image 1,1,2470,
122.65,,Surface,5,Image 1,1,2471,
117.923,,Surface,5,Image 1,1,2472,
118.25,,Surface,5,Image 1,1,2473,
117.313,,Surface,5,Image 1,1,2474,
126.701,,Surface,5,Image 1,1,2475,
156.417,,Surface,5,Image 1,1,2476,
122.909,,Surface,5,Image 1,1,2477,
125.355,,Surface,5,Image 1,1,2478,
118.438,,Surface,5,Image 1,1,2479,
126.021,,Surface,5,Image 1,1,2480,
119.68,,Surface,5,Image 1,1,2481,
116.529,,Surface,5,Image 1,1,2482,
117.83,,Surface,5,Image 1,1,2483,
115.063,,Surface,5,Image 1,1,2484,
117.683,,Surface,5,Image 1,1,2485,
137.595,,Surface,5,Image 1,1,2486,
119.08,,Surface,5,Image 1,1,2487,
118.125,,Surface,5,Image 1,1,2488,
120.427,,Surface,5,Image 1,1,2489,
115.463,,Surface,5,Image 1,1,2490,
114.426,,Surface,5,Image 1,1,2491,
113.853,,Surface,5,Image 1,1,2492,
126.792,,Surface,5,Image 1,1,2493,
117.32,,Surface,5,Image 1,1,2494,
111.602,,Surface,5,Image 1,1,2495,
112.553,,Surface,5,Image 1,1,2496,
115.976,,Surface,5,Image 1,1,2497,
123.875,,Surface,5,Image 1,1,2498,
117.741,,Surface,5,Image 1,1,2499,
132.541,,Surface,5,Image 1,1,2500,
144.028,,Surface,5,Image 1,1,2501,
117.44,,Surface,5,Image 1,1,2502,
118.049,,Surface,5,Image 1,1,2503,
126.2,,Surface,5,Image 1,1,2504,
115.253,,Surface,5,Image 1,1,2505,
128.627,,Surface,5,Image 1,1,2506,
117.867,,Surface,5,Image 1,1,2507,
117.01,,Surface,5,Image 1,1,2508,
121.25,,Surface,5,Image 1,1,2509,
123.411,,Surface,5,Image 1,1,2510,
125.684,,Surface,5,Image 1,1,2511,
131.528,,Surface,5,Image 1,1,2512,
126.114,,Surface,5,Image 1,1,2513,
112.023,,Surface,5,Image 1,1,2514,
118.493,,Surface,5,Image 1,1,2515,
116.049,,Surface,5,Image 1,1,2516,
125.516,,Surface,5,Image 1,1,2517,
122.264,,Surface,5,Image 1,1,2518,
128.125,,Surface,5,Image 1,1,2519,
116.613,,Surface,5,Image 1,1,2520,
113.243,,Surface,5,Image 1,1,2521,
116.037,,Surface,5,Image 1,1,2522,
115.337,,Surface,5,Image 1,1,2523,
119.701,,Surface,5,Image 1,1,2524,
121.744,,Surface,5,Image 1,1,2525,
133.714,,Surface,5,Image 1,1,2526,
123.409,,Surface,5,Image 1,1,2527,
115.25,,Surface,5,Image 1,1,2528,
114.793,,Surface,5,Image 1,1,2529,
137.956,,Surface,5,Image 1,1,2530,
115.29,,Surface,5,Image 1,1,2531,
118.026,,Surface,5,Image 1,1,2532,
117.614,,Surface,5,Image 1,1,2533,
115.558,,Surface,5,Image 1,1,2534,
117.38,,Surface,5,Image 1,1,2535,
114.886,,Surface,5,Image 1,1,2536,
113.989,,Surface,5,Image 1,1,2537,
115.189,,Surface,5,Image 1,1,2538,
133.673,,Surface,5,Image 1,1,2539,
114.163,,Surface,5,Image 1,1,2540,
119.104,,Surface,5,Image 1,1,2541,
115.611,,Surface,5,Image 1,1,2542,
119.929,,Surface,5,Image 1,1,2543,
120.444,,Surface,5,Image 1,1,2544,
112.375,,Surface,5,Image 1,1,2545,
113.176,,Surface,5,Image 1,1,2546,
123.354,,Surface,5,Image 1,1,2547,
116.259,,Surface,5,Image 1,1,2548,
115.245,,Surface,5,Image 1,1,2549,
116.079,,Surface,5,Image 1,1,2550,
113.421,,Surface,5,Image 1,1,2551,
114.077,,Surface,5,Image 1,1,2552,
115.032,,Surface,5,Image 1,1,2553,
117.346,,Surface,5,Image 1,1,2554,
129.468,,Surface,5,Image 1,1,2555,
108.213,,Surface,5,Image 1,1,2556,
114.19,,Surface,5,Image 1,1,2557,
112.314,,Surface,5,Image 1,1,2558,
117.391,,Surface,5,Image 1,1,2559,
117.282,,Surface,5,Image 1,1,2560,
115.954,,Surface,5,Image 1,1,2561,
124.845,,Surface,5,Image 1,1,2562,
114.945,,Surface,5,Image 1,1,2563,
117.625,,Surface,5,Image 1,1,2564,
121.013,,Surface,5,Image 1,1,2565,
109.559,,Surface,5,Image 1,1,2566,
115.734,,Surface,5,Image 1,1,2567,
120.53,,Surface,5,Image 1,1,2568,
114.578,,Surface,5,Image 1,1,2569,
121.167,,Surface,5,Image 1,1,2570,
109.892,,Surface,5,Image 1,1,2571,
119.038,,Surface,5,Image 1,1,2572,
