
Intensity Min Ch=1 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
3,,Surface,1,Image 1,1,2422,
29,,Surface,1,Image 1,1,2423,
16,,Surface,1,Image 1,1,2424,
5,,Surface,1,Image 1,1,2425,
14,,Surface,1,Image 1,1,2426,
10,,Surface,1,Image 1,1,2427,
5,,Surface,1,Image 1,1,2428,
8,,Surface,1,Image 1,1,2429,
19,,Surface,1,Image 1,1,2430,
23,,Surface,1,Image 1,1,2431,
24,,Surface,1,Image 1,1,2432,
24,,Surface,1,Image 1,1,2433,
25,,Surface,1,Image 1,1,2434,
3,,Surface,1,Image 1,1,2435,
14,,Surface,1,Image 1,1,2436,
20,,Surface,1,Image 1,1,2437,
28,,Surface,1,Image 1,1,2438,
28,,Surface,1,Image 1,1,2439,
34,,Surface,1,Image 1,1,2440,
13,,Surface,1,Image 1,1,2441,
10,,Surface,1,Image 1,1,2442,
36,,Surface,1,Image 1,1,2443,
16,,Surface,1,Image 1,1,2444,
15,,Surface,1,Image 1,1,2445,
15,,Surface,1,Image 1,1,2446,
19,,Surface,1,Image 1,1,2447,
20,,Surface,1,Image 1,1,2448,
18,,Surface,1,Image 1,1,2449,
11,,Surface,1,Image 1,1,2450,
28,,Surface,1,Image 1,1,2451,
17,,Surface,1,Image 1,1,2452,
11,,Surface,1,Image 1,1,2453,
11,,Surface,1,Image 1,1,2454,
13,,Surface,1,Image 1,1,2455,
14,,Surface,1,Image 1,1,2456,
9,,Surface,1,Image 1,1,2457,
16,,Surface,1,Image 1,1,2458,
10,,Surface,1,Image 1,1,2459,
19,,Surface,1,Image 1,1,2460,
21,,Surface,1,Image 1,1,2461,
31,,Surface,1,Image 1,1,2462,
9,,Surface,1,Image 1,1,2463,
20,,Surface,1,Image 1,1,2464,
7,,Surface,1,Image 1,1,2465,
28,,Surface,1,Image 1,1,2466,
11,,Surface,1,Image 1,1,2467,
12,,Surface,1,Image 1,1,2468,
18,,Surface,1,Image 1,1,2469,
19,,Surface,1,Image 1,1,2470,
20,,Surface,1,Image 1,1,2471,
10,,Surface,1,Image 1,1,2472,
25,,Surface,1,Image 1,1,2473,
8,,Surface,1,Image 1,1,2474,
18,,Surface,1,Image 1,1,2475,
25,,Surface,1,Image 1,1,2476,
19,,Surface,1,Image 1,1,2477,
27,,Surface,1,Image 1,1,2478,
8,,Surface,1,Image 1,1,2479,
23,,Surface,1,Image 1,1,2480,
31,,Surface,1,Image 1,1,2481,
11,,Surface,1,Image 1,1,2482,
18,,Surface,1,Image 1,1,2483,
15,,Surface,1,Image 1,1,2484,
17,,Surface,1,Image 1,1,2485,
32,,Surface,1,Image 1,1,2486,
16,,Surface,1,Image 1,1,2487,
44,,Surface,1,Image 1,1,2488,
10,,Surface,1,Image 1,1,2489,
9,,Surface,1,Image 1,1,2490,
4,,Surface,1,Image 1,1,2491,
14,,Surface,1,Image 1,1,2492,
10,,Surface,1,Image 1,1,2493,
16,,Surface,1,Image 1,1,2494,
9,,Surface,1,Image 1,1,2495,
25,,Surface,1,Image 1,1,2496,
12,,Surface,1,Image 1,1,2497,
