
Number of Triangles
 ==================== 
Number of Triangles,Unit,Category,Time,ID,
236,,Surface,1,2422,
188,,Surface,1,2423,
100,,Surface,1,2424,
148,,Surface,1,2425,
376,,Surface,1,2426,
484,,Surface,1,2427,
232,,Surface,1,2428,
404,,Surface,1,2429,
72,,Surface,1,2430,
92,,Surface,1,2431,
112,,Surface,1,2432,
72,,Surface,1,2433,
180,,Surface,1,2434,
324,,Surface,1,2435,
232,,Surface,1,2436,
600,,Surface,1,2437,
252,,Surface,1,2438,
132,,Surface,1,2439,
104,,Surface,1,2440,
292,,Surface,1,2441,
536,,Surface,1,2442,
40,,Surface,1,2443,
80,,Surface,1,2444,
320,,Surface,1,2445,
836,,Surface,1,2446,
152,,Surface,1,2447,
164,,Surface,1,2448,
280,,Surface,1,2449,
84,,Surface,1,2450,
100,,Surface,1,2451,
384,,Surface,1,2452,
108,,Surface,1,2453,
152,,Surface,1,2454,
148,,Surface,1,2455,
332,,Surface,1,2456,
236,,Surface,1,2457,
164,,Surface,1,2458,
184,,Surface,1,2459,
136,,Surface,1,2460,
272,,Surface,1,2461,
136,,Surface,1,2462,
272,,Surface,1,2463,
168,,Surface,1,2464,
416,,Surface,1,2465,
100,,Surface,1,2466,
492,,Surface,1,2467,
192,,Surface,1,2468,
228,,Surface,1,2469,
172,,Surface,1,2470,
64,,Surface,1,2471,
256,,Surface,1,2472,
60,,Surface,1,2473,
116,,Surface,1,2474,
244,,Surface,1,2475,
112,,Surface,1,2476,
132,,Surface,1,2477,
216,,Surface,1,2478,
276,,Surface,1,2479,
76,,Surface,1,2480,
144,,Surface,1,2481,
356,,Surface,1,2482,
128,,Surface,1,2483,
76,,Surface,1,2484,
168,,Surface,1,2485,
164,,Surface,1,2486,
344,,Surface,1,2487,
40,,Surface,1,2488,
176,,Surface,1,2489,
120,,Surface,1,2490,
464,,Surface,1,2491,
544,,Surface,1,2492,
172,,Surface,1,2493,
316,,Surface,1,2494,
360,,Surface,1,2495,
116,,Surface,1,2496,
416,,Surface,1,2497,
124,,Surface,1,2498,
164,,Surface,1,2499,
340,,Surface,1,2500,
236,,Surface,1,2501,
224,,Surface,1,2502,
332,,Surface,1,2503,
68,,Surface,1,2504,
420,,Surface,1,2505,
608,,Surface,1,2506,
504,,Surface,1,2507,
256,,Surface,1,2508,
268,,Surface,1,2509,
88,,Surface,1,2510,
624,,Surface,1,2511,
240,,Surface,1,2512,
196,,Surface,1,2513,
132,,Surface,1,2514,
208,,Surface,1,2515,
364,,Surface,1,2516,
176,,Surface,1,2517,
112,,Surface,1,2518,
44,,Surface,1,2519,
712,,Surface,1,2520,
1652,,Surface,1,2521,
600,,Surface,1,2522,
1532,,Surface,1,2523,
416,,Surface,1,2524,
208,,Surface,1,2525,
88,,Surface,1,2526,
596,,Surface,1,2527,
1052,,Surface,1,2528,
520,,Surface,1,2529,
748,,Surface,1,2530,
316,,Surface,1,2531,
112,,Surface,1,2532,
728,,Surface,1,2533,
84,,Surface,1,2534,
136,,Surface,1,2535,
240,,Surface,1,2536,
508,,Surface,1,2537,
280,,Surface,1,2538,
84,,Surface,1,2539,
644,,Surface,1,2540,
72,,Surface,1,2541,
1264,,Surface,1,2542,
84,,Surface,1,2543,
168,,Surface,1,2544,
64,,Surface,1,2545,
340,,Surface,1,2546,
76,,Surface,1,2547,
168,,Surface,1,2548,
272,,Surface,1,2549,
236,,Surface,1,2550,
112,,Surface,1,2551,
372,,Surface,1,2552,
3712,,Surface,1,2553,
812,,Surface,1,2554,
436,,Surface,1,2555,
116,,Surface,1,2556,
368,,Surface,1,2557,
272,,Surface,1,2558,
212,,Surface,1,2559,
340,,Surface,1,2560,
952,,Surface,1,2561,
400,,Surface,1,2562,
580,,Surface,1,2563,
108,,Surface,1,2564,
488,,Surface,1,2565,
100,,Surface,1,2566,
192,,Surface,1,2567,
832,,Surface,1,2568,
180,,Surface,1,2569,
180,,Surface,1,2570,
168,,Surface,1,2571,
332,,Surface,1,2572,
604,,Surface,1,2573,
192,,Surface,1,2574,
896,,Surface,1,2575,
664,,Surface,1,2576,
232,,Surface,1,2577,
228,,Surface,1,2578,
968,,Surface,1,2579,
1480,,Surface,1,2580,
1796,,Surface,1,2581,
108,,Surface,1,2582,
304,,Surface,1,2583,
344,,Surface,1,2584,
108,,Surface,1,2585,
104,,Surface,1,2586,
696,,Surface,1,2587,
100,,Surface,1,2588,
604,,Surface,1,2589,
288,,Surface,1,2590,
376,,Surface,1,2591,
164,,Surface,1,2592,
176,,Surface,1,2593,
212,,Surface,1,2594,
360,,Surface,1,2595,
72,,Surface,1,2596,
624,,Surface,1,2597,
192,,Surface,1,2598,
212,,Surface,1,2599,
132,,Surface,1,2600,
84,,Surface,1,2601,
332,,Surface,1,2602,
356,,Surface,1,2603,
256,,Surface,1,2604,
1416,,Surface,1,2605,
856,,Surface,1,2606,
68,,Surface,1,2607,
160,,Surface,1,2608,
724,,Surface,1,2609,
324,,Surface,1,2610,
80,,Surface,1,2611,
104,,Surface,1,2612,
92,,Surface,1,2613,
512,,Surface,1,2614,
80,,Surface,1,2615,
1160,,Surface,1,2616,
244,,Surface,1,2617,
436,,Surface,1,2618,
180,,Surface,1,2619,
164,,Surface,1,2620,
4352,,Surface,1,2621,
392,,Surface,1,2622,
412,,Surface,1,2623,
592,,Surface,1,2624,
532,,Surface,1,2625,
296,,Surface,1,2626,
100,,Surface,1,2627,
696,,Surface,1,2628,
132,,Surface,1,2629,
668,,Surface,1,2630,
408,,Surface,1,2631,
1788,,Surface,1,2632,
204,,Surface,1,2633,
608,,Surface,1,2634,
524,,Surface,1,2635,
172,,Surface,1,2636,
276,,Surface,1,2637,
1364,,Surface,1,2638,
436,,Surface,1,2639,
508,,Surface,1,2640,
916,,Surface,1,2641,
132,,Surface,1,2642,
520,,Surface,1,2643,
5464,,Surface,1,2644,
132,,Surface,1,2645,
188,,Surface,1,2646,
300,,Surface,1,2647,
276,,Surface,1,2648,
432,,Surface,1,2649,
132,,Surface,1,2650,
316,,Surface,1,2651,
320,,Surface,1,2652,
304,,Surface,1,2653,
192,,Surface,1,2654,
296,,Surface,1,2655,
1120,,Surface,1,2656,
152,,Surface,1,2657,
228,,Surface,1,2658,
636,,Surface,1,2659,
172,,Surface,1,2660,
3052,,Surface,1,2661,
224,,Surface,1,2662,
896,,Surface,1,2663,
704,,Surface,1,2664,
184,,Surface,1,2665,
4220,,Surface,1,2666,
252,,Surface,1,2667,
932,,Surface,1,2668,
548,,Surface,1,2669,
124,,Surface,1,2670,
1552,,Surface,1,2671,
100,,Surface,1,2672,
232,,Surface,1,2673,
240,,Surface,1,2674,
232,,Surface,1,2675,
472,,Surface,1,2676,
164,,Surface,1,2677,
2184,,Surface,1,2678,
340,,Surface,1,2679,
308,,Surface,1,2680,
10484,,Surface,1,2681,
452,,Surface,1,2682,
708,,Surface,1,2683,
200,,Surface,1,2684,
304,,Surface,1,2685,
520,,Surface,1,2686,
312,,Surface,1,2687,
532,,Surface,1,2688,
272,,Surface,1,2689,
356,,Surface,1,2690,
144,,Surface,1,2691,
96,,Surface,1,2692,
380,,Surface,1,2693,
80,,Surface,1,2694,
184,,Surface,1,2695,
236,,Surface,1,2696,
164,,Surface,1,2697,
96,,Surface,1,2698,
160,,Surface,1,2699,
116,,Surface,1,2700,
152,,Surface,1,2701,
92,,Surface,1,2702,
88,,Surface,1,2703,
164,,Surface,1,2704,
188,,Surface,1,2705,
448,,Surface,1,2706,
200,,Surface,1,2707,
556,,Surface,1,2708,
88,,Surface,1,2709,
84,,Surface,1,2710,
124,,Surface,1,2711,
84,,Surface,1,2712,
172,,Surface,1,2713,
24,,Surface,1,2714,
88,,Surface,1,2715,
864,,Surface,1,2716,
420,,Surface,1,2717,
160,,Surface,1,2718,
356,,Surface,1,2719,
488,,Surface,1,2720,
892,,Surface,1,2721,
96,,Surface,1,2722,
280,,Surface,1,2723,
376,,Surface,1,2724,
112,,Surface,1,2725,
164,,Surface,1,2726,
684,,Surface,1,2727,
280,,Surface,1,2728,
308,,Surface,1,2729,
516,,Surface,1,2730,
312,,Surface,1,2731,
176,,Surface,1,2732,
312,,Surface,1,2733,
320,,Surface,1,2734,
144,,Surface,1,2735,
368,,Surface,1,2736,
2152,,Surface,1,2737,
480,,Surface,1,2738,
308,,Surface,1,2739,
88,,Surface,1,2740,
456,,Surface,1,2741,
888,,Surface,1,2742,
1320,,Surface,1,2743,
1000,,Surface,1,2744,
356,,Surface,1,2745,
272,,Surface,1,2746,
1012,,Surface,1,2747,
668,,Surface,1,2748,
780,,Surface,1,2749,
436,,Surface,1,2750,
492,,Surface,1,2751,
564,,Surface,1,2752,
216,,Surface,1,2753,
200,,Surface,1,2754,
312,,Surface,1,2755,
356,,Surface,1,2756,
860,,Surface,1,2757,
212,,Surface,1,2758,
100,,Surface,1,2759,
464,,Surface,1,2760,
1912,,Surface,1,2761,
212,,Surface,1,2762,
272,,Surface,1,2763,
284,,Surface,1,2764,
132,,Surface,1,2765,
724,,Surface,1,2766,
116,,Surface,1,2767,
1036,,Surface,1,2768,
420,,Surface,1,2769,
156,,Surface,1,2770,
112,,Surface,1,2771,
336,,Surface,1,2772,
768,,Surface,1,2773,
348,,Surface,1,2774,
924,,Surface,1,2775,
396,,Surface,1,2776,
92,,Surface,1,2777,
216,,Surface,1,2778,
356,,Surface,1,2779,
184,,Surface,1,2780,
788,,Surface,1,2781,
360,,Surface,1,2782,
316,,Surface,1,2783,
388,,Surface,1,2784,
96,,Surface,1,2785,
312,,Surface,1,2786,
612,,Surface,1,2787,
100,,Surface,1,2788,
416,,Surface,1,2789,
204,,Surface,1,2790,
104,,Surface,1,2791,
660,,Surface,1,2792,
436,,Surface,1,2793,
384,,Surface,1,2794,
164,,Surface,1,2795,
996,,Surface,1,2796,
244,,Surface,1,2797,
268,,Surface,1,2798,
344,,Surface,1,2799,
100,,Surface,1,2800,
1120,,Surface,1,2801,
132,,Surface,1,2802,
212,,Surface,1,2803,
196,,Surface,1,2804,
172,,Surface,1,2805,
204,,Surface,1,2806,
60,,Surface,1,2807,
364,,Surface,1,2808,
152,,Surface,1,2809,
240,,Surface,1,2810,
348,,Surface,1,2811,
240,,Surface,1,2812,
164,,Surface,1,2813,
376,,Surface,1,2814,
572,,Surface,1,2815,
172,,Surface,1,2816,
180,,Surface,1,2817,
204,,Surface,1,2818,
148,,Surface,1,2819,
92,,Surface,1,2820,
164,,Surface,1,2821,
592,,Surface,1,2822,
212,,Surface,1,2823,
244,,Surface,1,2824,
328,,Surface,1,2825,
1068,,Surface,1,2826,
304,,Surface,1,2827,
172,,Surface,1,2828,
92,,Surface,1,2829,
80,,Surface,1,2830,
372,,Surface,1,2831,
204,,Surface,1,2832,
212,,Surface,1,2833,
216,,Surface,1,2834,
128,,Surface,1,2835,
188,,Surface,1,2836,
120,,Surface,1,2837,
584,,Surface,1,2838,
140,,Surface,1,2839,
208,,Surface,1,2840,
60,,Surface,1,2841,
288,,Surface,1,2842,
264,,Surface,1,2843,
100,,Surface,1,2844,
204,,Surface,1,2845,
160,,Surface,1,2846,
432,,Surface,1,2847,
336,,Surface,1,2848,
184,,Surface,1,2849,
160,,Surface,1,2850,
376,,Surface,1,2851,
168,,Surface,1,2852,
240,,Surface,1,2853,
132,,Surface,1,2854,
160,,Surface,1,2855,
504,,Surface,1,2856,
192,,Surface,1,2857,
236,,Surface,1,2858,
212,,Surface,1,2859,
128,,Surface,1,2860,
92,,Surface,1,2861,
236,,Surface,1,2862,
108,,Surface,1,2863,
128,,Surface,1,2864,
176,,Surface,1,2865,
144,,Surface,1,2866,
480,,Surface,1,2867,
264,,Surface,1,2868,
92,,Surface,1,2869,
152,,Surface,1,2870,
76,,Surface,1,2871,
200,,Surface,1,2872,
160,,Surface,1,2873,
196,,Surface,1,2874,
92,,Surface,1,2875,
136,,Surface,1,2876,
348,,Surface,1,2877,
156,,Surface,1,2878,
112,,Surface,1,2879,
208,,Surface,1,2880,
100,,Surface,1,2881,
136,,Surface,1,2882,
100,,Surface,1,2883,
148,,Surface,1,2884,
500,,Surface,1,2885,
112,,Surface,1,2886,
