
Ellipsoid Axis B
 ==================== 
Ellipsoid Axis B X,Ellipsoid Axis B Y,Ellipsoid Axis B Z,Unit,Category,Collection,Time,ID,
0.902829,0.43,8.52059e-13,um,Surface,Ellipsoid Axis B,1,2494,
0.965637,-0.259895,-6.19783e-12,um,Surface,Ellipsoid Axis B,1,2495,
0.876047,-0.482225,-3.82687e-12,um,Surface,Ellipsoid Axis B,1,2496,
0.993933,-0.109987,-1.74604e-12,um,Surface,Ellipsoid Axis B,1,2497,
0.708797,0.705413,-4.40811e-12,um,Surface,Ellipsoid Axis B,1,2498,
-0.955753,-0.294171,3.29555e-11,um,Surface,Ellipsoid Axis B,1,2499,
0.266186,-0.963922,-4.89196e-12,um,Surface,Ellipsoid Axis B,1,2500,
-0.438464,-0.898749,3.46727e-12,um,Surface,Ellipsoid Axis B,1,2501,
-0.566261,-0.824226,-3.29786e-12,um,Surface,Ellipsoid Axis B,1,2502,
0.975915,-0.218149,1.93688e-11,um,Surface,Ellipsoid Axis B,1,2503,
0.707108,-0.707106,3.93454e-11,um,Surface,Ellipsoid Axis B,1,2504,
0.656018,-0.754745,-6.2023e-12,um,Surface,Ellipsoid Axis B,1,2505,
-0.69655,0.717508,-4.49515e-13,um,Surface,Ellipsoid Axis B,1,2506,
-0.99699,0.077527,-9.05184e-12,um,Surface,Ellipsoid Axis B,1,2507,
-0.800902,-0.598796,3.24785e-11,um,Surface,Ellipsoid Axis B,1,2508,
-0.8475,-0.530795,1.70988e-11,um,Surface,Ellipsoid Axis B,1,2509,
0.507328,-0.861753,-1.36285e-11,um,Surface,Ellipsoid Axis B,1,2510,
-0.941546,-0.336885,-1.77877e-12,um,Surface,Ellipsoid Axis B,1,2511,
0.973764,-0.227561,6.68735e-13,um,Surface,Ellipsoid Axis B,1,2512,
0.551629,0.83409,-2.52602e-12,um,Surface,Ellipsoid Axis B,1,2513,
0.979152,-0.203128,-4.8877e-11,um,Surface,Ellipsoid Axis B,1,2514,
-0.233062,-0.972462,8.87386e-12,um,Surface,Ellipsoid Axis B,1,2515,
0.0428365,-0.999082,-5.97146e-12,um,Surface,Ellipsoid Axis B,1,2516,
0.141065,0.99,0,um,Surface,Ellipsoid Axis B,1,2517,
0.910312,-0.413923,-2.67681e-12,um,Surface,Ellipsoid Axis B,1,2518,
0.711031,0.703161,0,um,Surface,Ellipsoid Axis B,1,2519,
0.903047,-0.429542,3.2138e-11,um,Surface,Ellipsoid Axis B,1,2520,
-0.353234,-0.935535,4.42833e-12,um,Surface,Ellipsoid Axis B,1,2521,
0.960291,0.279002,3.96318e-11,um,Surface,Ellipsoid Axis B,1,2522,
0.778989,-0.627038,1.67591e-11,um,Surface,Ellipsoid Axis B,1,2523,
-0.835496,-0.549496,-1.82162e-12,um,Surface,Ellipsoid Axis B,1,2524,
-0.314922,-0.949118,7.15816e-12,um,Surface,Ellipsoid Axis B,1,2525,
0.779997,0.625783,4.17829e-12,um,Surface,Ellipsoid Axis B,1,2526,
0.906463,-0.422285,1.97959e-12,um,Surface,Ellipsoid Axis B,1,2527,
0.599687,-0.800234,6.66524e-12,um,Surface,Ellipsoid Axis B,1,2528,
-0.271961,0.962308,-7.35559e-12,um,Surface,Ellipsoid Axis B,1,2529,
-0.0488522,-0.998806,-9.03104e-12,um,Surface,Ellipsoid Axis B,1,2530,
0.998323,-0.0578887,-4.78708e-12,um,Surface,Ellipsoid Axis B,1,2531,
0.000403964,1,0,um,Surface,Ellipsoid Axis B,1,2532,
-0.0227435,-0.999741,-9.78848e-12,um,Surface,Ellipsoid Axis B,1,2533,
-0.57803,0.816015,1.08959e-11,um,Surface,Ellipsoid Axis B,1,2534,
0.450702,0.892674,2.04233e-12,um,Surface,Ellipsoid Axis B,1,2535,
0.43749,-0.899223,4.51686e-12,um,Surface,Ellipsoid Axis B,1,2536,
0.594456,-0.804128,-5.77469e-11,um,Surface,Ellipsoid Axis B,1,2537,
-0.856427,0.516269,-4.06474e-12,um,Surface,Ellipsoid Axis B,1,2538,
0.480154,0.877184,0,um,Surface,Ellipsoid Axis B,1,2539,
-0.905405,0.424549,1.63756e-11,um,Surface,Ellipsoid Axis B,1,2540,
1,1.06948e-06,0,um,Surface,Ellipsoid Axis B,1,2541,
-0.398256,0.917274,9.91017e-13,um,Surface,Ellipsoid Axis B,1,2542,
2.04007e-05,1,-5.60897e-16,um,Surface,Ellipsoid Axis B,1,2543,
0.984417,-0.175851,2.31686e-12,um,Surface,Ellipsoid Axis B,1,2544,
0.893952,0.448162,-4.95878e-12,um,Surface,Ellipsoid Axis B,1,2545,
0.819544,-0.573016,1.96618e-11,um,Surface,Ellipsoid Axis B,1,2546,
-0.531047,-0.847342,2.78579e-11,um,Surface,Ellipsoid Axis B,1,2547,
0.842645,0.538469,-2.4514e-12,um,Surface,Ellipsoid Axis B,1,2548,
0.590467,0.807062,-1.22592e-12,um,Surface,Ellipsoid Axis B,1,2549,
0.83142,-0.555645,-4.23579e-12,um,Surface,Ellipsoid Axis B,1,2550,
-0.995257,0.0972771,-9.5229e-12,um,Surface,Ellipsoid Axis B,1,2551,
-0.518202,-0.855258,-4.43149e-12,um,Surface,Ellipsoid Axis B,1,2552,
-0.481867,-0.876244,-3.10038e-12,um,Surface,Ellipsoid Axis B,1,2553,
0.543303,-0.839536,3.19041e-11,um,Surface,Ellipsoid Axis B,1,2554,
0.112342,-0.99367,-5.35668e-11,um,Surface,Ellipsoid Axis B,1,2555,
0.356979,0.934112,0,um,Surface,Ellipsoid Axis B,1,2556,
-0.51916,-0.854677,1.0398e-11,um,Surface,Ellipsoid Axis B,1,2557,
0.965362,-0.260915,-9.57352e-13,um,Surface,Ellipsoid Axis B,1,2558,
0.626215,0.77965,2.11844e-12,um,Surface,Ellipsoid Axis B,1,2559,
