
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,ID,
0.361896,,Surface,1,2422,
0.252215,,Surface,1,2423,
0.472147,,Surface,1,2424,
0.24801,,Surface,1,2425,
0.680119,,Surface,1,2426,
0.505764,,Surface,1,2427,
0.785713,,Surface,1,2428,
0.388405,,Surface,1,2429,
0.656956,,Surface,1,2430,
0.79497,,Surface,1,2431,
0.581357,,Surface,1,2432,
0.354558,,Surface,1,2433,
0.784605,,Surface,1,2434,
0.609909,,Surface,1,2435,
0.339114,,Surface,1,2436,
0.436909,,Surface,1,2437,
0.776608,,Surface,1,2438,
0.384391,,Surface,1,2439,
0.411301,,Surface,1,2440,
0.634682,,Surface,1,2441,
0.730009,,Surface,1,2442,
0.504818,,Surface,1,2443,
0.457382,,Surface,1,2444,
0.323094,,Surface,1,2445,
0.538261,,Surface,1,2446,
0.388774,,Surface,1,2447,
0.525822,,Surface,1,2448,
0.336809,,Surface,1,2449,
0.90986,,Surface,1,2450,
0.416467,,Surface,1,2451,
0.267656,,Surface,1,2452,
0.859399,,Surface,1,2453,
0.62835,,Surface,1,2454,
0.665695,,Surface,1,2455,
0.563416,,Surface,1,2456,
0.426673,,Surface,1,2457,
0.578347,,Surface,1,2458,
0.360241,,Surface,1,2459,
0.488925,,Surface,1,2460,
0.699317,,Surface,1,2461,
0.87621,,Surface,1,2462,
0.503525,,Surface,1,2463,
0.79526,,Surface,1,2464,
0.538053,,Surface,1,2465,
0.87072,,Surface,1,2466,
0.389386,,Surface,1,2467,
0.580244,,Surface,1,2468,
0.844572,,Surface,1,2469,
0.621776,,Surface,1,2470,
0.708706,,Surface,1,2471,
0.906983,,Surface,1,2472,
0.632224,,Surface,1,2473,
0.511701,,Surface,1,2474,
0.815297,,Surface,1,2475,
0.519351,,Surface,1,2476,
0.748762,,Surface,1,2477,
0.742321,,Surface,1,2478,
0.51342,,Surface,1,2479,
0.693725,,Surface,1,2480,
0.51371,,Surface,1,2481,
0.630597,,Surface,1,2482,
0.58994,,Surface,1,2483,
0.916251,,Surface,1,2484,
0.617767,,Surface,1,2485,
0.678741,,Surface,1,2486,
0.374409,,Surface,1,2487,
0.504765,,Surface,1,2488,
0.374864,,Surface,1,2489,
0.754767,,Surface,1,2490,
0.607179,,Surface,1,2491,
0.373217,,Surface,1,2492,
0.574448,,Surface,1,2493,
0.525078,,Surface,1,2494,
0.272334,,Surface,1,2495,
0.630086,,Surface,1,2496,
0.567768,,Surface,1,2497,
0.861167,,Surface,1,2498,
0.484538,,Surface,1,2499,
0.68268,,Surface,1,2500,
0.644838,,Surface,1,2501,
0.695632,,Surface,1,2502,
0.436734,,Surface,1,2503,
0.708702,,Surface,1,2504,
0.379747,,Surface,1,2505,
