
Center of Image Mass Ch=3 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,ID,
50175.6,38528.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2497,
49955.6,38743,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2498,
50278.9,38422.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2499,
49954.7,38753.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2500,
50358,38350.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2501,
50345.1,38370.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2502,
50127.4,38592.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2503,
50401.2,38318.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2504,
50139.3,38590.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2505,
50365.8,38365.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2506,
50347.6,38383.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2507,
50354,38378.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2508,
50200.4,38535.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2509,
50001.8,38730.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2510,
50375.8,38368.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2511,
49867.9,38877.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2512,
50312.2,38436.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2513,
50098.4,38649.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2514,
50311.1,38444.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2515,
50155.7,38602.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2516,
50378.9,38387.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2517,
50222,38553.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2518,
50291.3,38343.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2519,
50156.5,38493.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2520,
50129.4,38534.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2521,
50098.1,38551.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2522,
50123.3,38558,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2523,
50388.5,38270.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2524,
50414.9,38239.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2525,
50353.4,38305.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2526,
50449.3,38221.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2527,
50167.7,38505.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2528,
50145.7,38534.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2529,
50343.5,38341.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2530,
50064.7,38623.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2531,
50293,38391.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2532,
50177.3,38518,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2533,
50094.9,38482,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2534,
50041.1,38540.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2535,
49981.3,38602.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2536,
50135.1,38460.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2537,
50194,38402.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2538,
50468.6,38126.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2539,
50042.6,38572.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2540,
50442.4,38164.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2541,
50150.4,38476.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2542,
50313.6,38297.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2543,
50321.6,38294.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2544,
50454.7,38164.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2545,
50117.4,38510.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2546,
50221.9,38404,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2547,
50254.9,38272.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2548,
50237.7,38294.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2549,
50164.6,38371.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2550,
50098.7,38435,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2551,
50067.9,38473.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2552,
49988.3,38579.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2553,
50147.1,38402.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2554,
50465.3,38077.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2555,
50272.9,38269.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2556,
50035.4,38513.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2557,
50077.2,38473.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2558,
49837.2,38711.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2559,
50231.8,38321,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2560,
50188.5,38381.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2561,
50481.1,38078.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2562,
50038.3,38522.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2563,
50254.8,38307.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2564,
50336.5,38235.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2565,
50235.2,38336.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2566,
50209.6,38367.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2567,
50273,38208.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2568,
50238.8,38232.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2569,
49762.3,38713.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2570,
50397.6,38078,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2571,
50254.1,38225.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2572,
50097.3,38396.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2573,
50443.2,38046.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2574,
49961.4,38536.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2575,
49964.3,38549.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2576,
50120.3,38392.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2577,
50413.4,38100.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2578,
50117.5,38409.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2579,
50132.2,38399.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2580,
49967.7,38570.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2581,
50343.7,38174.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2582,
50114.4,38316.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2583,
50264.6,38175.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2584,
49824.8,38616,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2585,
49887.6,38552.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2586,
50261.1,38195.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2587,
50192.7,38252.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2588,
50080.2,38378.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2589,
50478.3,37974.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2590,
50418.2,38037.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2591,
49806.6,38647.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2592,
50507,37948.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2593,
50413.4,38043.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2594,
50332.6,38127.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2595,
50444.7,38010.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2596,
50133.6,38332.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2597,
50245.8,38213.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2598,
50412.5,38050.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2599,
50505.7,37955.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2600,
49860.5,38601,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2601,
50482.3,37985.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2602,
50327.2,38141.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2603,
50166.6,38304,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2604,
50273.4,38128.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2605,
50260.5,38133.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2606,
50310.7,38071.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2607,
49983.6,38403.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2608,
50045.1,38354.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2609,
50101.6,38308,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2610,
50016.2,38387.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2611,
50448.8,37961.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2612,
50409.2,38000.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2613,
50236.3,38183.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2614,
50334,38087.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2615,
50068.1,38373.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2616,
50222.4,38203.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2617,
50276.4,38153.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2618,
50283.5,38145.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2619,
50508.9,37836.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2620,
50048,38339.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2621,
50259,38099.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2622,
50318.4,38040.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2623,
50284.3,38079.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2624,
50199.1,38164.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2625,
50485.4,37874.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2626,
50144.1,38213.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2627,
50265.7,38103.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2628,
49828.4,38533.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2629,
50279.6,38090,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2630,
50193.1,38173.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2631,
50097.5,38286.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2632,
50355.2,38009.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2633,
50221.2,38151.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2634,
50248.1,38124.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2635,
50363.3,38008.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2636,
50513.3,37860.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2637,
50277.3,38109.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2638,
50325.6,38056.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2639,
50246.5,38135.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2640,
50241.6,38145.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2641,
50182.9,38193.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2642,
50022.7,38364.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2643,
50035.1,38307.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2644,
50279,38018.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2645,
49777.9,38521,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2646,
50303.4,37997.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2647,
50486.5,37816.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2648,
49774.7,38530.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2649,
49904.8,38396.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2650,
50250.6,38055.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2651,
50274.3,38035.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2652,
49858.6,38452.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2653,
50481.8,37828.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2654,
49965.4,38348,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2655,
50048.2,38276,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2656,
49773.1,38541.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2657,
50154.4,38163.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2658,
49972.2,38352.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2659,
50299.8,38020.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2660,
50069.6,38285.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2661,
50507.3,37818.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2662,
50021.6,38320.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2663,
50235.5,38112.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2664,
49863.4,38478.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2665,
50052.6,38320.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2666,
50201.3,38141.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2667,
50267,38087.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2668,
50201.9,38148.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2669,
50158.5,38185.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2670,
49989.8,38372.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2671,
49859.7,38484,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2672,
49874.8,38394.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2673,
50166.5,38103.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2674,
50305.3,37964,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2675,
50272.1,38002.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2676,
50428.3,37843.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2677,
50014.2,38285.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2678,
49880.6,38402.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2679,
49950.7,38334.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2680,
50097.9,38248.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2681,
50455.4,37831.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2682,
49825.2,38466.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2683,
50195,38093.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2684,
49997.9,38293.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2685,
50147.7,38149.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2686,
50441.3,37851,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2687,
49956.7,38343.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2688,
50120.8,38175.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2689,
50470.7,37829.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2690,
49803.3,38399.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2691,
49746.6,38458.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2692,
49949.4,38261.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2693,
49802.3,38407,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2694,
50454.3,37758.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2695,
49988.2,38228,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2696,
50463.1,37750.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2697,
49974.9,38241.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2698,
49927.9,38293.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2699,
50216.4,38006.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2700,
50281.9,37945.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2701,
49872.9,38353.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2702,
50097.7,38129.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2703,
50196.8,38036,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2704,
49897.7,38337,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2705,
50217.7,38026.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2706,
49967.3,38277.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2707,
50453,37800.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2708,
49748,38501.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2709,
50318.6,37778.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2710,
50453,37671.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2711,
50238.9,37884.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2712,
50117.3,38019.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2713,
49829.2,38313.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2714,
50096.6,38048.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,2715,
