
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,ID,
0.777694,,Surface,1,2619,
0.813138,,Surface,1,2620,
0.320551,,Surface,1,2621,
0.653889,,Surface,1,2622,
0.646516,,Surface,1,2623,
0.620586,,Surface,1,2624,
0.617657,,Surface,1,2625,
0.716531,,Surface,1,2626,
0.869538,,Surface,1,2627,
0.566967,,Surface,1,2628,
0.836811,,Surface,1,2629,
0.598817,,Surface,1,2630,
0.661506,,Surface,1,2631,
0.419117,,Surface,1,2632,
0.758809,,Surface,1,2633,
0.621709,,Surface,1,2634,
0.628132,,Surface,1,2635,
0.768978,,Surface,1,2636,
0.736792,,Surface,1,2637,
0.480806,,Surface,1,2638,
0.637904,,Surface,1,2639,
0.636804,,Surface,1,2640,
0.554143,,Surface,1,2641,
0.790256,,Surface,1,2642,
0.647157,,Surface,1,2643,
0.318013,,Surface,1,2644,
0.815908,,Surface,1,2645,
0.780923,,Surface,1,2646,
0.730988,,Surface,1,2647,
0.691952,,Surface,1,2648,
0.657562,,Surface,1,2649,
0.814221,,Surface,1,2650,
0.690156,,Surface,1,2651,
0.714168,,Surface,1,2652,
0.722154,,Surface,1,2653,
0.79825,,Surface,1,2654,
0.716792,,Surface,1,2655,
0.505376,,Surface,1,2656,
0.81161,,Surface,1,2657,
0.760822,,Surface,1,2658,
0.597468,,Surface,1,2659,
0.793168,,Surface,1,2660,
0.373485,,Surface,1,2661,
0.774432,,Surface,1,2662,
0.52193,,Surface,1,2663,
0.549766,,Surface,1,2664,
0.76811,,Surface,1,2665,
0.339902,,Surface,1,2666,
0.740296,,Surface,1,2667,
0.533395,,Surface,1,2668,
0.610581,,Surface,1,2669,
0.850173,,Surface,1,2670,
0.405615,,Surface,1,2671,
0.855324,,Surface,1,2672,
0.732621,,Surface,1,2673,
0.738129,,Surface,1,2674,
0.766644,,Surface,1,2675,
0.642273,,Surface,1,2676,
0.821684,,Surface,1,2677,
0.36442,,Surface,1,2678,
0.697596,,Surface,1,2679,
0.686189,,Surface,1,2680,
0.24361,,Surface,1,2681,
0.630936,,Surface,1,2682,
0.581708,,Surface,1,2683,
0.718229,,Surface,1,2684,
0.691763,,Surface,1,2685,
0.586612,,Surface,1,2686,
0.724611,,Surface,1,2687,
0.637909,,Surface,1,2688,
0.746414,,Surface,1,2689,
0.659275,,Surface,1,2690,
0.822703,,Surface,1,2691,
0.874202,,Surface,1,2692,
0.599988,,Surface,1,2693,
0.873427,,Surface,1,2694,
0.791298,,Surface,1,2695,
0.641382,,Surface,1,2696,
0.805997,,Surface,1,2697,
0.865638,,Surface,1,2698,
0.815988,,Surface,1,2699,
0.846061,,Surface,1,2700,
0.796224,,Surface,1,2701,
0.874963,,Surface,1,2702,
0.876038,,Surface,1,2703,
0.810443,,Surface,1,2704,
0.804122,,Surface,1,2705,
0.64299,,Surface,1,2706,
0.768252,,Surface,1,2707,
0.591226,,Surface,1,2708,
0.870173,,Surface,1,2709,
0.867487,,Surface,1,2710,
0.842031,,Surface,1,2711,
0.875411,,Surface,1,2712,
0.781989,,Surface,1,2713,
0.679675,,Surface,1,2714,
0.878154,,Surface,1,2715,
0.513939,,Surface,1,2716,
0.680093,,Surface,1,2717,
0.779613,,Surface,1,2718,
0.691359,,Surface,1,2719,
0.617569,,Surface,1,2720,
0.521598,,Surface,1,2721,
0.73727,,Surface,1,2722,
0.715409,,Surface,1,2723,
0.670329,,Surface,1,2724,
0.866841,,Surface,1,2725,
0.766278,,Surface,1,2726,
0.531645,,Surface,1,2727,
0.722041,,Surface,1,2728,
0.70577,,Surface,1,2729,
0.58526,,Surface,1,2730,
0.718808,,Surface,1,2731,
0.792117,,Surface,1,2732,
0.693029,,Surface,1,2733,
0.623596,,Surface,1,2734,
0.709832,,Surface,1,2735,
0.668937,,Surface,1,2736,
0.427388,,Surface,1,2737,
0.644375,,Surface,1,2738,
0.719923,,Surface,1,2739,
0.866157,,Surface,1,2740,
0.652852,,Surface,1,2741,
0.553076,,Surface,1,2742,
0.491406,,Surface,1,2743,
