
Intensity Center Ch=4 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
101,,Surface,4,Image 1,1,2422,
127,,Surface,4,Image 1,1,2423,
146,,Surface,4,Image 1,1,2424,
121,,Surface,4,Image 1,1,2425,
121,,Surface,4,Image 1,1,2426,
113,,Surface,4,Image 1,1,2427,
150,,Surface,4,Image 1,1,2428,
147,,Surface,4,Image 1,1,2429,
146,,Surface,4,Image 1,1,2430,
120,,Surface,4,Image 1,1,2431,
145,,Surface,4,Image 1,1,2432,
140,,Surface,4,Image 1,1,2433,
135,,Surface,4,Image 1,1,2434,
115,,Surface,4,Image 1,1,2435,
110,,Surface,4,Image 1,1,2436,
165,,Surface,4,Image 1,1,2437,
140,,Surface,4,Image 1,1,2438,
152,,Surface,4,Image 1,1,2439,
120,,Surface,4,Image 1,1,2440,
109,,Surface,4,Image 1,1,2441,
134,,Surface,4,Image 1,1,2442,
158,,Surface,4,Image 1,1,2443,
132,,Surface,4,Image 1,1,2444,
92,,Surface,4,Image 1,1,2445,
137,,Surface,4,Image 1,1,2446,
118,,Surface,4,Image 1,1,2447,
177,,Surface,4,Image 1,1,2448,
126,,Surface,4,Image 1,1,2449,
144,,Surface,4,Image 1,1,2450,
113,,Surface,4,Image 1,1,2451,
126,,Surface,4,Image 1,1,2452,
150,,Surface,4,Image 1,1,2453,
115,,Surface,4,Image 1,1,2454,
126,,Surface,4,Image 1,1,2455,
146,,Surface,4,Image 1,1,2456,
157,,Surface,4,Image 1,1,2457,
115,,Surface,4,Image 1,1,2458,
166,,Surface,4,Image 1,1,2459,
130,,Surface,4,Image 1,1,2460,
150,,Surface,4,Image 1,1,2461,
112,,Surface,4,Image 1,1,2462,
127,,Surface,4,Image 1,1,2463,
143,,Surface,4,Image 1,1,2464,
124,,Surface,4,Image 1,1,2465,
143,,Surface,4,Image 1,1,2466,
97,,Surface,4,Image 1,1,2467,
130,,Surface,4,Image 1,1,2468,
141,,Surface,4,Image 1,1,2469,
139,,Surface,4,Image 1,1,2470,
137,,Surface,4,Image 1,1,2471,
131,,Surface,4,Image 1,1,2472,
129,,Surface,4,Image 1,1,2473,
153,,Surface,4,Image 1,1,2474,
135,,Surface,4,Image 1,1,2475,
123,,Surface,4,Image 1,1,2476,
101,,Surface,4,Image 1,1,2477,
134,,Surface,4,Image 1,1,2478,
124,,Surface,4,Image 1,1,2479,
84,,Surface,4,Image 1,1,2480,
151,,Surface,4,Image 1,1,2481,
135,,Surface,4,Image 1,1,2482,
147,,Surface,4,Image 1,1,2483,
144,,Surface,4,Image 1,1,2484,
163,,Surface,4,Image 1,1,2485,
80,,Surface,4,Image 1,1,2486,
145,,Surface,4,Image 1,1,2487,
144,,Surface,4,Image 1,1,2488,
156,,Surface,4,Image 1,1,2489,
153,,Surface,4,Image 1,1,2490,
121,,Surface,4,Image 1,1,2491,
137,,Surface,4,Image 1,1,2492,
122,,Surface,4,Image 1,1,2493,
118,,Surface,4,Image 1,1,2494,
153,,Surface,4,Image 1,1,2495,
117,,Surface,4,Image 1,1,2496,
104,,Surface,4,Image 1,1,2497,
129,,Surface,4,Image 1,1,2498,
127,,Surface,4,Image 1,1,2499,
96,,Surface,4,Image 1,1,2500,
111,,Surface,4,Image 1,1,2501,
126,,Surface,4,Image 1,1,2502,
137,,Surface,4,Image 1,1,2503,
138,,Surface,4,Image 1,1,2504,
140,,Surface,4,Image 1,1,2505,
126,,Surface,4,Image 1,1,2506,
163,,Surface,4,Image 1,1,2507,
132,,Surface,4,Image 1,1,2508,
163,,Surface,4,Image 1,1,2509,
116,,Surface,4,Image 1,1,2510,
154,,Surface,4,Image 1,1,2511,
122,,Surface,4,Image 1,1,2512,
129,,Surface,4,Image 1,1,2513,
118,,Surface,4,Image 1,1,2514,
145,,Surface,4,Image 1,1,2515,
143,,Surface,4,Image 1,1,2516,
106,,Surface,4,Image 1,1,2517,
134,,Surface,4,Image 1,1,2518,
153,,Surface,4,Image 1,1,2519,
173,,Surface,4,Image 1,1,2520,
132,,Surface,4,Image 1,1,2521,
142,,Surface,4,Image 1,1,2522,
129,,Surface,4,Image 1,1,2523,
163,,Surface,4,Image 1,1,2524,
125,,Surface,4,Image 1,1,2525,
106,,Surface,4,Image 1,1,2526,
111,,Surface,4,Image 1,1,2527,
143,,Surface,4,Image 1,1,2528,
119,,Surface,4,Image 1,1,2529,
151,,Surface,4,Image 1,1,2530,
155,,Surface,4,Image 1,1,2531,
161,,Surface,4,Image 1,1,2532,
168,,Surface,4,Image 1,1,2533,
148,,Surface,4,Image 1,1,2534,
148,,Surface,4,Image 1,1,2535,
162,,Surface,4,Image 1,1,2536,
117,,Surface,4,Image 1,1,2537,
128,,Surface,4,Image 1,1,2538,
122,,Surface,4,Image 1,1,2539,
138,,Surface,4,Image 1,1,2540,
151,,Surface,4,Image 1,1,2541,
195,,Surface,4,Image 1,1,2542,
154,,Surface,4,Image 1,1,2543,
134,,Surface,4,Image 1,1,2544,
123,,Surface,4,Image 1,1,2545,
131,,Surface,4,Image 1,1,2546,
119,,Surface,4,Image 1,1,2547,
151,,Surface,4,Image 1,1,2548,
138,,Surface,4,Image 1,1,2549,
122,,Surface,4,Image 1,1,2550,
142,,Surface,4,Image 1,1,2551,
146,,Surface,4,Image 1,1,2552,
124,,Surface,4,Image 1,1,2553,
138,,Surface,4,Image 1,1,2554,
126,,Surface,4,Image 1,1,2555,
150,,Surface,4,Image 1,1,2556,
133,,Surface,4,Image 1,1,2557,
151,,Surface,4,Image 1,1,2558,
127,,Surface,4,Image 1,1,2559,
139,,Surface,4,Image 1,1,2560,
148,,Surface,4,Image 1,1,2561,
121,,Surface,4,Image 1,1,2562,
156,,Surface,4,Image 1,1,2563,
122,,Surface,4,Image 1,1,2564,
153,,Surface,4,Image 1,1,2565,
153,,Surface,4,Image 1,1,2566,
131,,Surface,4,Image 1,1,2567,
132,,Surface,4,Image 1,1,2568,
132,,Surface,4,Image 1,1,2569,
148,,Surface,4,Image 1,1,2570,
155,,Surface,4,Image 1,1,2571,
146,,Surface,4,Image 1,1,2572,
124,,Surface,4,Image 1,1,2573,
133,,Surface,4,Image 1,1,2574,
153,,Surface,4,Image 1,1,2575,
162,,Surface,4,Image 1,1,2576,
132,,Surface,4,Image 1,1,2577,
147,,Surface,4,Image 1,1,2578,
143,,Surface,4,Image 1,1,2579,
127,,Surface,4,Image 1,1,2580,
110,,Surface,4,Image 1,1,2581,
149,,Surface,4,Image 1,1,2582,
95,,Surface,4,Image 1,1,2583,
97,,Surface,4,Image 1,1,2584,
160,,Surface,4,Image 1,1,2585,
134,,Surface,4,Image 1,1,2586,
131,,Surface,4,Image 1,1,2587,
119,,Surface,4,Image 1,1,2588,
126,,Surface,4,Image 1,1,2589,
131,,Surface,4,Image 1,1,2590,
122,,Surface,4,Image 1,1,2591,
143,,Surface,4,Image 1,1,2592,
107,,Surface,4,Image 1,1,2593,
113,,Surface,4,Image 1,1,2594,
104,,Surface,4,Image 1,1,2595,
119,,Surface,4,Image 1,1,2596,
120,,Surface,4,Image 1,1,2597,
125,,Surface,4,Image 1,1,2598,
134,,Surface,4,Image 1,1,2599,
131,,Surface,4,Image 1,1,2600,
133,,Surface,4,Image 1,1,2601,
133,,Surface,4,Image 1,1,2602,
114,,Surface,4,Image 1,1,2603,
105,,Surface,4,Image 1,1,2604,
141,,Surface,4,Image 1,1,2605,
119,,Surface,4,Image 1,1,2606,
178,,Surface,4,Image 1,1,2607,
148,,Surface,4,Image 1,1,2608,
145,,Surface,4,Image 1,1,2609,
109,,Surface,4,Image 1,1,2610,
150,,Surface,4,Image 1,1,2611,
124,,Surface,4,Image 1,1,2612,
135,,Surface,4,Image 1,1,2613,
130,,Surface,4,Image 1,1,2614,
157,,Surface,4,Image 1,1,2615,
184,,Surface,4,Image 1,1,2616,
137,,Surface,4,Image 1,1,2617,
120,,Surface,4,Image 1,1,2618,
131,,Surface,4,Image 1,1,2619,
118,,Surface,4,Image 1,1,2620,
152,,Surface,4,Image 1,1,2621,
144,,Surface,4,Image 1,1,2622,
113,,Surface,4,Image 1,1,2623,
136,,Surface,4,Image 1,1,2624,
111,,Surface,4,Image 1,1,2625,
120,,Surface,4,Image 1,1,2626,
157,,Surface,4,Image 1,1,2627,
135,,Surface,4,Image 1,1,2628,
131,,Surface,4,Image 1,1,2629,
137,,Surface,4,Image 1,1,2630,
124,,Surface,4,Image 1,1,2631,
142,,Surface,4,Image 1,1,2632,
144,,Surface,4,Image 1,1,2633,
131,,Surface,4,Image 1,1,2634,
140,,Surface,4,Image 1,1,2635,
134,,Surface,4,Image 1,1,2636,
121,,Surface,4,Image 1,1,2637,
130,,Surface,4,Image 1,1,2638,
136,,Surface,4,Image 1,1,2639,
135,,Surface,4,Image 1,1,2640,
127,,Surface,4,Image 1,1,2641,
159,,Surface,4,Image 1,1,2642,
119,,Surface,4,Image 1,1,2643,
146,,Surface,4,Image 1,1,2644,
144,,Surface,4,Image 1,1,2645,
120,,Surface,4,Image 1,1,2646,
110,,Surface,4,Image 1,1,2647,
129,,Surface,4,Image 1,1,2648,
114,,Surface,4,Image 1,1,2649,
129,,Surface,4,Image 1,1,2650,
156,,Surface,4,Image 1,1,2651,
163,,Surface,4,Image 1,1,2652,
138,,Surface,4,Image 1,1,2653,
114,,Surface,4,Image 1,1,2654,
175,,Surface,4,Image 1,1,2655,
127,,Surface,4,Image 1,1,2656,
137,,Surface,4,Image 1,1,2657,
136,,Surface,4,Image 1,1,2658,
169,,Surface,4,Image 1,1,2659,
151,,Surface,4,Image 1,1,2660,
145,,Surface,4,Image 1,1,2661,
111,,Surface,4,Image 1,1,2662,
148,,Surface,4,Image 1,1,2663,
128,,Surface,4,Image 1,1,2664,
141,,Surface,4,Image 1,1,2665,
129,,Surface,4,Image 1,1,2666,
111,,Surface,4,Image 1,1,2667,
128,,Surface,4,Image 1,1,2668,
117,,Surface,4,Image 1,1,2669,
182,,Surface,4,Image 1,1,2670,
139,,Surface,4,Image 1,1,2671,
156,,Surface,4,Image 1,1,2672,
132,,Surface,4,Image 1,1,2673,
148,,Surface,4,Image 1,1,2674,
137,,Surface,4,Image 1,1,2675,
131,,Surface,4,Image 1,1,2676,
120,,Surface,4,Image 1,1,2677,
153,,Surface,4,Image 1,1,2678,
131,,Surface,4,Image 1,1,2679,
137,,Surface,4,Image 1,1,2680,
136,,Surface,4,Image 1,1,2681,
88,,Surface,4,Image 1,1,2682,
114,,Surface,4,Image 1,1,2683,
144,,Surface,4,Image 1,1,2684,
148,,Surface,4,Image 1,1,2685,
150,,Surface,4,Image 1,1,2686,
111,,Surface,4,Image 1,1,2687,
111,,Surface,4,Image 1,1,2688,
161,,Surface,4,Image 1,1,2689,
104,,Surface,4,Image 1,1,2690,
147,,Surface,4,Image 1,1,2691,
142,,Surface,4,Image 1,1,2692,
157,,Surface,4,Image 1,1,2693,
137,,Surface,4,Image 1,1,2694,
116,,Surface,4,Image 1,1,2695,
138,,Surface,4,Image 1,1,2696,
118,,Surface,4,Image 1,1,2697,
137,,Surface,4,Image 1,1,2698,
127,,Surface,4,Image 1,1,2699,
156,,Surface,4,Image 1,1,2700,
146,,Surface,4,Image 1,1,2701,
116,,Surface,4,Image 1,1,2702,
127,,Surface,4,Image 1,1,2703,
128,,Surface,4,Image 1,1,2704,
130,,Surface,4,Image 1,1,2705,
121,,Surface,4,Image 1,1,2706,
117,,Surface,4,Image 1,1,2707,
112,,Surface,4,Image 1,1,2708,
107,,Surface,4,Image 1,1,2709,
165,,Surface,4,Image 1,1,2710,
126,,Surface,4,Image 1,1,2711,
168,,Surface,4,Image 1,1,2712,
147,,Surface,4,Image 1,1,2713,
141,,Surface,4,Image 1,1,2714,
125,,Surface,4,Image 1,1,2715,
178,,Surface,4,Image 1,1,2716,
142,,Surface,4,Image 1,1,2717,
121,,Surface,4,Image 1,1,2718,
184,,Surface,4,Image 1,1,2719,
160,,Surface,4,Image 1,1,2720,
150,,Surface,4,Image 1,1,2721,
151,,Surface,4,Image 1,1,2722,
147,,Surface,4,Image 1,1,2723,
150,,Surface,4,Image 1,1,2724,
154,,Surface,4,Image 1,1,2725,
156,,Surface,4,Image 1,1,2726,
145,,Surface,4,Image 1,1,2727,
117,,Surface,4,Image 1,1,2728,
98,,Surface,4,Image 1,1,2729,
111,,Surface,4,Image 1,1,2730,
168,,Surface,4,Image 1,1,2731,
100,,Surface,4,Image 1,1,2732,
136,,Surface,4,Image 1,1,2733,
131,,Surface,4,Image 1,1,2734,
127,,Surface,4,Image 1,1,2735,
108,,Surface,4,Image 1,1,2736,
137,,Surface,4,Image 1,1,2737,
135,,Surface,4,Image 1,1,2738,
116,,Surface,4,Image 1,1,2739,
153,,Surface,4,Image 1,1,2740,
142,,Surface,4,Image 1,1,2741,
132,,Surface,4,Image 1,1,2742,
144,,Surface,4,Image 1,1,2743,
181,,Surface,4,Image 1,1,2744,
117,,Surface,4,Image 1,1,2745,
133,,Surface,4,Image 1,1,2746,
152,,Surface,4,Image 1,1,2747,
144,,Surface,4,Image 1,1,2748,
137,,Surface,4,Image 1,1,2749,
138,,Surface,4,Image 1,1,2750,
156,,Surface,4,Image 1,1,2751,
143,,Surface,4,Image 1,1,2752,
122,,Surface,4,Image 1,1,2753,
183,,Surface,4,Image 1,1,2754,
125,,Surface,4,Image 1,1,2755,
115,,Surface,4,Image 1,1,2756,
172,,Surface,4,Image 1,1,2757,
118,,Surface,4,Image 1,1,2758,
107,,Surface,4,Image 1,1,2759,
127,,Surface,4,Image 1,1,2760,
101,,Surface,4,Image 1,1,2761,
117,,Surface,4,Image 1,1,2762,
147,,Surface,4,Image 1,1,2763,
115,,Surface,4,Image 1,1,2764,
128,,Surface,4,Image 1,1,2765,
116,,Surface,4,Image 1,1,2766,
125,,Surface,4,Image 1,1,2767,
128,,Surface,4,Image 1,1,2768,
129,,Surface,4,Image 1,1,2769,
150,,Surface,4,Image 1,1,2770,
151,,Surface,4,Image 1,1,2771,
125,,Surface,4,Image 1,1,2772,
127,,Surface,4,Image 1,1,2773,
75,,Surface,4,Image 1,1,2774,
119,,Surface,4,Image 1,1,2775,
122,,Surface,4,Image 1,1,2776,
113,,Surface,4,Image 1,1,2777,
134,,Surface,4,Image 1,1,2778,
117,,Surface,4,Image 1,1,2779,
135,,Surface,4,Image 1,1,2780,
133,,Surface,4,Image 1,1,2781,
126,,Surface,4,Image 1,1,2782,
119,,Surface,4,Image 1,1,2783,
149,,Surface,4,Image 1,1,2784,
161,,Surface,4,Image 1,1,2785,
135,,Surface,4,Image 1,1,2786,
160,,Surface,4,Image 1,1,2787,
121,,Surface,4,Image 1,1,2788,
127,,Surface,4,Image 1,1,2789,
133,,Surface,4,Image 1,1,2790,
134,,Surface,4,Image 1,1,2791,
122,,Surface,4,Image 1,1,2792,
112,,Surface,4,Image 1,1,2793,
