
Intensity Center Ch=5 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
112,,Surface,5,Image 1,1,2579,
128,,Surface,5,Image 1,1,2580,
145,,Surface,5,Image 1,1,2581,
106,,Surface,5,Image 1,1,2582,
160,,Surface,5,Image 1,1,2583,
158,,Surface,5,Image 1,1,2584,
95,,Surface,5,Image 1,1,2585,
121,,Surface,5,Image 1,1,2586,
124,,Surface,5,Image 1,1,2587,
136,,Surface,5,Image 1,1,2588,
129,,Surface,5,Image 1,1,2589,
124,,Surface,5,Image 1,1,2590,
133,,Surface,5,Image 1,1,2591,
112,,Surface,5,Image 1,1,2592,
148,,Surface,5,Image 1,1,2593,
142,,Surface,5,Image 1,1,2594,
151,,Surface,5,Image 1,1,2595,
136,,Surface,5,Image 1,1,2596,
135,,Surface,5,Image 1,1,2597,
130,,Surface,5,Image 1,1,2598,
121,,Surface,5,Image 1,1,2599,
124,,Surface,5,Image 1,1,2600,
122,,Surface,5,Image 1,1,2601,
122,,Surface,5,Image 1,1,2602,
141,,Surface,5,Image 1,1,2603,
150,,Surface,5,Image 1,1,2604,
114,,Surface,5,Image 1,1,2605,
136,,Surface,5,Image 1,1,2606,
77,,Surface,5,Image 1,1,2607,
107,,Surface,5,Image 1,1,2608,
110,,Surface,5,Image 1,1,2609,
146,,Surface,5,Image 1,1,2610,
105,,Surface,5,Image 1,1,2611,
131,,Surface,5,Image 1,1,2612,
120,,Surface,5,Image 1,1,2613,
125,,Surface,5,Image 1,1,2614,
98,,Surface,5,Image 1,1,2615,
71,,Surface,5,Image 1,1,2616,
118,,Surface,5,Image 1,1,2617,
135,,Surface,5,Image 1,1,2618,
124,,Surface,5,Image 1,1,2619,
137,,Surface,5,Image 1,1,2620,
103,,Surface,5,Image 1,1,2621,
111,,Surface,5,Image 1,1,2622,
142,,Surface,5,Image 1,1,2623,
119,,Surface,5,Image 1,1,2624,
144,,Surface,5,Image 1,1,2625,
135,,Surface,5,Image 1,1,2626,
98,,Surface,5,Image 1,1,2627,
120,,Surface,5,Image 1,1,2628,
124,,Surface,5,Image 1,1,2629,
118,,Surface,5,Image 1,1,2630,
131,,Surface,5,Image 1,1,2631,
113,,Surface,5,Image 1,1,2632,
111,,Surface,5,Image 1,1,2633,
124,,Surface,5,Image 1,1,2634,
115,,Surface,5,Image 1,1,2635,
