
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
7,,Surface,3,Image 1,1,2422,
4,,Surface,3,Image 1,1,2423,
2,,Surface,3,Image 1,1,2424,
2,,Surface,3,Image 1,1,2425,
7,,Surface,3,Image 1,1,2426,
9,,Surface,3,Image 1,1,2427,
3,,Surface,3,Image 1,1,2428,
8,,Surface,3,Image 1,1,2429,
14,,Surface,3,Image 1,1,2430,
3,,Surface,3,Image 1,1,2431,
31,,Surface,3,Image 1,1,2432,
26,,Surface,3,Image 1,1,2433,
0,,Surface,3,Image 1,1,2434,
0,,Surface,3,Image 1,1,2435,
3,,Surface,3,Image 1,1,2436,
7,,Surface,3,Image 1,1,2437,
11,,Surface,3,Image 1,1,2438,
10,,Surface,3,Image 1,1,2439,
5,,Surface,3,Image 1,1,2440,
4,,Surface,3,Image 1,1,2441,
3,,Surface,3,Image 1,1,2442,
19,,Surface,3,Image 1,1,2443,
34,,Surface,3,Image 1,1,2444,
6,,Surface,3,Image 1,1,2445,
4,,Surface,3,Image 1,1,2446,
18,,Surface,3,Image 1,1,2447,
6,,Surface,3,Image 1,1,2448,
11,,Surface,3,Image 1,1,2449,
9,,Surface,3,Image 1,1,2450,
16,,Surface,3,Image 1,1,2451,
5,,Surface,3,Image 1,1,2452,
13,,Surface,3,Image 1,1,2453,
11,,Surface,3,Image 1,1,2454,
3,,Surface,3,Image 1,1,2455,
11,,Surface,3,Image 1,1,2456,
1,,Surface,3,Image 1,1,2457,
6,,Surface,3,Image 1,1,2458,
8,,Surface,3,Image 1,1,2459,
10,,Surface,3,Image 1,1,2460,
14,,Surface,3,Image 1,1,2461,
9,,Surface,3,Image 1,1,2462,
5,,Surface,3,Image 1,1,2463,
5,,Surface,3,Image 1,1,2464,
5,,Surface,3,Image 1,1,2465,
18,,Surface,3,Image 1,1,2466,
6,,Surface,3,Image 1,1,2467,
4,,Surface,3,Image 1,1,2468,
3,,Surface,3,Image 1,1,2469,
0,,Surface,3,Image 1,1,2470,
7,,Surface,3,Image 1,1,2471,
1,,Surface,3,Image 1,1,2472,
29,,Surface,3,Image 1,1,2473,
7,,Surface,3,Image 1,1,2474,
0,,Surface,3,Image 1,1,2475,
6,,Surface,3,Image 1,1,2476,
0,,Surface,3,Image 1,1,2477,
6,,Surface,3,Image 1,1,2478,
1,,Surface,3,Image 1,1,2479,
7,,Surface,3,Image 1,1,2480,
14,,Surface,3,Image 1,1,2481,
0,,Surface,3,Image 1,1,2482,
4,,Surface,3,Image 1,1,2483,
2,,Surface,3,Image 1,1,2484,
3,,Surface,3,Image 1,1,2485,
5,,Surface,3,Image 1,1,2486,
6,,Surface,3,Image 1,1,2487,
3,,Surface,3,Image 1,1,2488,
4,,Surface,3,Image 1,1,2489,
7,,Surface,3,Image 1,1,2490,
10,,Surface,3,Image 1,1,2491,
0,,Surface,3,Image 1,1,2492,
4,,Surface,3,Image 1,1,2493,
0,,Surface,3,Image 1,1,2494,
0,,Surface,3,Image 1,1,2495,
1,,Surface,3,Image 1,1,2496,
0,,Surface,3,Image 1,1,2497,
3,,Surface,3,Image 1,1,2498,
5,,Surface,3,Image 1,1,2499,
4,,Surface,3,Image 1,1,2500,
7,,Surface,3,Image 1,1,2501,
8,,Surface,3,Image 1,1,2502,
0,,Surface,3,Image 1,1,2503,
0,,Surface,3,Image 1,1,2504,
0,,Surface,3,Image 1,1,2505,
2,,Surface,3,Image 1,1,2506,
3,,Surface,3,Image 1,1,2507,
2,,Surface,3,Image 1,1,2508,
6,,Surface,3,Image 1,1,2509,
11,,Surface,3,Image 1,1,2510,
0,,Surface,3,Image 1,1,2511,
2,,Surface,3,Image 1,1,2512,
2,,Surface,3,Image 1,1,2513,
0,,Surface,3,Image 1,1,2514,
2,,Surface,3,Image 1,1,2515,
0,,Surface,3,Image 1,1,2516,
13,,Surface,3,Image 1,1,2517,
3,,Surface,3,Image 1,1,2518,
12,,Surface,3,Image 1,1,2519,
0,,Surface,3,Image 1,1,2520,
0,,Surface,3,Image 1,1,2521,
0,,Surface,3,Image 1,1,2522,
0,,Surface,3,Image 1,1,2523,
10,,Surface,3,Image 1,1,2524,
5,,Surface,3,Image 1,1,2525,
15,,Surface,3,Image 1,1,2526,
2,,Surface,3,Image 1,1,2527,
0,,Surface,3,Image 1,1,2528,
0,,Surface,3,Image 1,1,2529,
4,,Surface,3,Image 1,1,2530,
0,,Surface,3,Image 1,1,2531,
11,,Surface,3,Image 1,1,2532,
0,,Surface,3,Image 1,1,2533,
1,,Surface,3,Image 1,1,2534,
0,,Surface,3,Image 1,1,2535,
1,,Surface,3,Image 1,1,2536,
0,,Surface,3,Image 1,1,2537,
0,,Surface,3,Image 1,1,2538,
2,,Surface,3,Image 1,1,2539,
0,,Surface,3,Image 1,1,2540,
50,,Surface,3,Image 1,1,2541,
0,,Surface,3,Image 1,1,2542,
10,,Surface,3,Image 1,1,2543,
6,,Surface,3,Image 1,1,2544,
8,,Surface,3,Image 1,1,2545,
0,,Surface,3,Image 1,1,2546,
3,,Surface,3,Image 1,1,2547,
12,,Surface,3,Image 1,1,2548,
15,,Surface,3,Image 1,1,2549,
1,,Surface,3,Image 1,1,2550,
39,,Surface,3,Image 1,1,2551,
0,,Surface,3,Image 1,1,2552,
0,,Surface,3,Image 1,1,2553,
0,,Surface,3,Image 1,1,2554,
6,,Surface,3,Image 1,1,2555,
3,,Surface,3,Image 1,1,2556,
0,,Surface,3,Image 1,1,2557,
0,,Surface,3,Image 1,1,2558,
5,,Surface,3,Image 1,1,2559,
14,,Surface,3,Image 1,1,2560,
1,,Surface,3,Image 1,1,2561,
5,,Surface,3,Image 1,1,2562,
0,,Surface,3,Image 1,1,2563,
13,,Surface,3,Image 1,1,2564,
1,,Surface,3,Image 1,1,2565,
38,,Surface,3,Image 1,1,2566,
10,,Surface,3,Image 1,1,2567,
10,,Surface,3,Image 1,1,2568,
20,,Surface,3,Image 1,1,2569,
4,,Surface,3,Image 1,1,2570,
3,,Surface,3,Image 1,1,2571,
3,,Surface,3,Image 1,1,2572,
0,,Surface,3,Image 1,1,2573,
12,,Surface,3,Image 1,1,2574,
0,,Surface,3,Image 1,1,2575,
0,,Surface,3,Image 1,1,2576,
1,,Surface,3,Image 1,1,2577,
2,,Surface,3,Image 1,1,2578,
0,,Surface,3,Image 1,1,2579,
0,,Surface,3,Image 1,1,2580,
0,,Surface,3,Image 1,1,2581,
4,,Surface,3,Image 1,1,2582,
0,,Surface,3,Image 1,1,2583,
9,,Surface,3,Image 1,1,2584,
10,,Surface,3,Image 1,1,2585,
3,,Surface,3,Image 1,1,2586,
16,,Surface,3,Image 1,1,2587,
35,,Surface,3,Image 1,1,2588,
0,,Surface,3,Image 1,1,2589,
9,,Surface,3,Image 1,1,2590,
2,,Surface,3,Image 1,1,2591,
13,,Surface,3,Image 1,1,2592,
9,,Surface,3,Image 1,1,2593,
5,,Surface,3,Image 1,1,2594,
7,,Surface,3,Image 1,1,2595,
22,,Surface,3,Image 1,1,2596,
0,,Surface,3,Image 1,1,2597,
18,,Surface,3,Image 1,1,2598,
11,,Surface,3,Image 1,1,2599,
2,,Surface,3,Image 1,1,2600,
26,,Surface,3,Image 1,1,2601,
6,,Surface,3,Image 1,1,2602,
3,,Surface,3,Image 1,1,2603,
0,,Surface,3,Image 1,1,2604,
9,,Surface,3,Image 1,1,2605,
12,,Surface,3,Image 1,1,2606,
10,,Surface,3,Image 1,1,2607,
0,,Surface,3,Image 1,1,2608,
1,,Surface,3,Image 1,1,2609,
0,,Surface,3,Image 1,1,2610,
12,,Surface,3,Image 1,1,2611,
6,,Surface,3,Image 1,1,2612,
10,,Surface,3,Image 1,1,2613,
12,,Surface,3,Image 1,1,2614,
20,,Surface,3,Image 1,1,2615,
0,,Surface,3,Image 1,1,2616,
9,,Surface,3,Image 1,1,2617,
26,,Surface,3,Image 1,1,2618,
14,,Surface,3,Image 1,1,2619,
4,,Surface,3,Image 1,1,2620,
0,,Surface,3,Image 1,1,2621,
19,,Surface,3,Image 1,1,2622,
3,,Surface,3,Image 1,1,2623,
6,,Surface,3,Image 1,1,2624,
14,,Surface,3,Image 1,1,2625,
22,,Surface,3,Image 1,1,2626,
3,,Surface,3,Image 1,1,2627,
10,,Surface,3,Image 1,1,2628,
8,,Surface,3,Image 1,1,2629,
12,,Surface,3,Image 1,1,2630,
8,,Surface,3,Image 1,1,2631,
0,,Surface,3,Image 1,1,2632,
7,,Surface,3,Image 1,1,2633,
15,,Surface,3,Image 1,1,2634,
12,,Surface,3,Image 1,1,2635,
8,,Surface,3,Image 1,1,2636,
4,,Surface,3,Image 1,1,2637,
24,,Surface,3,Image 1,1,2638,
0,,Surface,3,Image 1,1,2639,
22,,Surface,3,Image 1,1,2640,
22,,Surface,3,Image 1,1,2641,
28,,Surface,3,Image 1,1,2642,
2,,Surface,3,Image 1,1,2643,
0,,Surface,3,Image 1,1,2644,
9,,Surface,3,Image 1,1,2645,
13,,Surface,3,Image 1,1,2646,
4,,Surface,3,Image 1,1,2647,
15,,Surface,3,Image 1,1,2648,
11,,Surface,3,Image 1,1,2649,
7,,Surface,3,Image 1,1,2650,
20,,Surface,3,Image 1,1,2651,
6,,Surface,3,Image 1,1,2652,
6,,Surface,3,Image 1,1,2653,
6,,Surface,3,Image 1,1,2654,
1,,Surface,3,Image 1,1,2655,
0,,Surface,3,Image 1,1,2656,
9,,Surface,3,Image 1,1,2657,
18,,Surface,3,Image 1,1,2658,
0,,Surface,3,Image 1,1,2659,
3,,Surface,3,Image 1,1,2660,
0,,Surface,3,Image 1,1,2661,
3,,Surface,3,Image 1,1,2662,
1,,Surface,3,Image 1,1,2663,
8,,Surface,3,Image 1,1,2664,
6,,Surface,3,Image 1,1,2665,
0,,Surface,3,Image 1,1,2666,
27,,Surface,3,Image 1,1,2667,
8,,Surface,3,Image 1,1,2668,
20,,Surface,3,Image 1,1,2669,
12,,Surface,3,Image 1,1,2670,
0,,Surface,3,Image 1,1,2671,
18,,Surface,3,Image 1,1,2672,
4,,Surface,3,Image 1,1,2673,
10,,Surface,3,Image 1,1,2674,
7,,Surface,3,Image 1,1,2675,
3,,Surface,3,Image 1,1,2676,
7,,Surface,3,Image 1,1,2677,
0,,Surface,3,Image 1,1,2678,
9,,Surface,3,Image 1,1,2679,
0,,Surface,3,Image 1,1,2680,
0,,Surface,3,Image 1,1,2681,
