
Center of Image Mass Ch=5 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,ID,
50362.1,38674.8,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2422,
50225.4,38812.9,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2423,
50426.5,38611,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2424,
50389.8,38652,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2425,
50362.3,38686.3,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2426,
50374.4,38679.5,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2427,
50413.6,38641.2,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2428,
50374.3,38688.4,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2429,
49871.1,39186.3,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2430,
50045.7,39013.3,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2431,
49949.6,39111.2,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2432,
50431.2,38640.2,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2433,
50240.7,38833.1,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2434,
50286.3,38795.8,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2435,
50374.7,38709,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2436,
50330.1,38764.8,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2437,
50421.2,38676.1,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2438,
50415.4,38684.8,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2439,
50102.6,38998.9,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2440,
50332.6,38783.8,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2441,
50355,38766.9,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2442,
49968.9,39148.8,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2443,
50285.1,38848.7,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2444,
50176.3,38964.4,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2445,
50374.9,38775.1,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2446,
50347.8,38810.7,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2447,
50174.3,39002.2,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2448,
50205.9,38982.9,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2449,
50224.6,38967.9,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2450,
50229.7,38983.8,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2451,
50310.1,38615,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2452,
50416.2,38504.7,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2453,
50244.2,38681.2,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2454,
50317.6,38611.9,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2455,
50415.5,38522.7,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2456,
50366.3,38576.8,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2457,
50268.7,38672.6,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2458,
50422.9,38525.8,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2459,
50257.8,38699.2,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2460,
50320.7,38640.8,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2461,
50340.1,38620.2,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2462,
50319.6,38653.6,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2463,
49952.9,39018.6,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2464,
50384.9,38599.1,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2465,
50286.3,38702.8,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2466,
50377.8,38618.2,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2467,
50367.6,38625.3,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2468,
50211.2,38800.8,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2469,
49767.4,39013,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2470,
49979.4,38800.8,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2471,
50303.6,38481.7,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2472,
50009.7,38782.4,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2473,
50305.7,38489.4,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2474,
49754.7,39048.4,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2475,
50376.2,38426.5,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2476,
49769.6,39037.5,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2477,
50041.2,38783.3,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2478,
50304.6,38520.8,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2479,
50411.5,38412.4,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2480,
50304.4,38530.7,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2481,
50249.1,38594.8,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2482,
50332.1,38514.7,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2483,
50372.9,38473.5,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2484,
50265.2,38587.2,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2485,
50341.4,38522.5,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2486,
50399.2,38487.7,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2487,
50195.6,38692.3,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2488,
50396.4,38498,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2489,
50255.2,38651.6,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2490,
50426.4,38488.7,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2491,
50112.6,38583.7,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2492,
50301,38388,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2493,
50148.3,38550.2,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2494,
50158.1,38544.3,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2495,
50190.2,38507.5,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2496,
50175.2,38527.3,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2497,
49955.9,38742.9,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2498,
50278.8,38422.5,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2499,
49955.3,38753.9,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2500,
50357.8,38350.7,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2501,
50344.9,38370.6,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2502,
50127.5,38592.7,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2503,
50401.1,38318.7,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2504,
50139.2,38590.5,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2505,
50365.9,38365.6,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2506,
50347.8,38384.2,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2507,
50353.9,38378.9,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2508,
50200.4,38535.5,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2509,
50001.8,38730.2,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2510,
50375.3,38368.7,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2511,
49867.8,38877.7,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2512,
50312.2,38436.5,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2513,
50098.3,38649.2,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2514,
50310.8,38444.4,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2515,
50155.4,38602.2,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2516,
50378.6,38387.6,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2517,
50222.1,38553.2,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2518,
50291.4,38343.7,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2519,
50157.1,38492.7,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2520,
50129.3,38534.3,0.5,um,Surface,5,Center of Image Mass,Image 1,1,2521,
