Area, CD68/CD163405S, HLA-DR488, CD45568, Hematoxylin, Position X, Position Y, Sphericity, Volume
153.906, 39.9559, 21.0368, 27.8309, 146.066, 102889, 34858.8, 0.62784, 89.3165
109.868, 47.6071, 17.4286, 15.699, 153.301, 102883, 34868.4, 0.716421, 65.6647
136.483, 37, 23.746, 3.62903, 153.94, 102947, 34819.8, 0.662504, 80.8486
55.6577, 50.5761, 9.83696, 6.86957, 161.62, 102822, 34900.2, 0.839995, 30.0591
89.5197, 51.1463, 15.1829, 9.12805, 158.805, 102864, 34860.5, 0.782381, 55.1162
113.692, 51.3676, 12.9804, 8.96078, 159.118, 102856, 34874.3, 0.702698, 67.1459
246.442, 63.882, 20.472, 8.768, 158.604, 102913, 34822.6, 0.614272, 175.141
60.1986, 35.4479, 24.625, 10.3333, 161.948, 102728, 34986.2, 0.755422, 28.8362
341.591, 57.0072, 17.4052, 17.0043, 154.296, 102787, 34935.3, 0.555428, 245.739
110.175, 37.64, 23.365, 6.74, 148.855, 102668, 35024.6, 0.73508, 68.5329
353.392, 38.7446, 32.2621, 11.6371, 138.997, 102608, 35094, 0.563623, 264.327
77.0033, 40.1838, 15.9706, 6.375, 150.265, 102677, 35020.5, 0.797791, 45.2764
105.053, 37.8469, 26.75, 4.9898, 146.046, 102907, 34792.7, 0.75035, 65.8083
226.663, 42.6487, 23.4483, 6.58405, 156.558, 102646, 35058, 0.637565, 163.355
72.4012, 48.0859, 26.2266, 11.1641, 157.633, 102535, 35169.9, 0.815891, 42.6915
98.594, 39.8807, 23.3864, 12.875, 160.256, 102688, 35019.9, 0.762623, 61.3076
354.503, 72.7679, 30.3489, 5.52885, 157.051, 102518, 35147.5, 0.56237, 264.689
349.588, 51.9788, 44.8164, 15.5847, 151.566, 102729, 34937.8, 0.551731, 251.883
59.6978, 43.07, 15.9, 5.69, 142.5, 102922, 34747.4, 0.794787, 30.7318
267.264, 45.1523, 28.7754, 7.94531, 142.232, 102875, 34824.6, 0.567995, 175.874
98.0702, 43.0707, 21.4402, 25.6957, 147.288, 102906, 34705.8, 0.769757, 61.6751
124.231, 39.6653, 29.7881, 10.0593, 143.949, 102475, 35142.3, 0.716179, 78.9132
163.112, 39.8961, 28.7857, 6.10065, 145.607, 102609, 35012.2, 0.66176, 105.451
311.05, 39.0323, 26.449, 10.483, 155.998, 102514, 35138.9, 0.544647, 207.344
103.628, 38.8878, 54.2602, 5.14796, 153.214, 102466, 35127.9, 0.757543, 65.4034
81.0258, 33.4571, 15.9286, 4.12857, 157.843, 102605, 34993.2, 0.751008, 44.635
69.3071, 38.6121, 18.2069, 6.82759, 150.647, 102689, 34878.3, 0.791228, 38.185
84.4906, 46.8289, 22.5592, 8.73684, 146.5, 102896, 34654.9, 0.780004, 50.3074
171.062, 44.5801, 24.6538, 13.8333, 142.494, 102873, 34684.1, 0.640299, 107.79
190.635, 45.5541, 24.0361, 5.33763, 151.639, 102841, 34717.9, 0.666718, 134.739
120.54, 56, 24.8707, 9.68103, 153.534, 102465, 35097, 0.730298, 77.6642
115.308, 34.7824, 54.8333, 10.8981, 148.236, 102637, 34897.6, 0.740345, 74.1673
280.186, 69.1497, 35.2908, 8.51701, 154.847, 102558, 34959.6, 0.612346, 211.319
