Area, CD68/CD163405S, HLA-DR488, CD45568, Hematoxylin, Position X, Position Y, Sphericity, Volume
97.6281, 84.3488, 41.6686, 34.8256, 139.395, 50362.1, 38674.7, 0.74374, 58.1792
80.6606, 67.1103, 133.529, 15.0662, 122.191, 50225.4, 38813, 0.746181, 43.9068
40.8647, 77.3594, 34.75, 14.6406, 137.938, 50426.5, 38611, 0.8277, 18.4972
64.0134, 84.8646, 29.6667, 38.2708, 128.656, 50389.8, 38652.1, 0.717661, 29.2792
151.524, 68.1791, 54.4459, 31.6385, 135.145, 50362.3, 38686.2, 0.694393, 101.485
196.387, 74.9557, 48.1406, 40.2057, 130.148, 50374.5, 38679.5, 0.647153, 134.727
94.2779, 88.5058, 50.2267, 35.1628, 138.093, 50413.7, 38641.2, 0.757534, 56.7534
167.784, 79, 55.734, 35.5032, 135.619, 50374.3, 38688.4, 0.654445, 108.196
31.2182, 99.125, 40.0625, 74.4583, 143.021, 49871.1, 39186.3, 0.883708, 13.6254
37.5991, 69.2679, 125.75, 11.2321, 123.339, 50045.7, 39013.3, 0.844377, 16.8207
48.5457, 71.4211, 29.5789, 50.5921, 144.671, 49949.6, 39111.2, 0.853345, 25.0719
29.0224, 59.5227, 47.2273, 48.6364, 137.841, 50431.1, 38640.2, 0.817625, 10.8694
74.6406, 74.8182, 138.462, 13.8106, 128.682, 50240.7, 38833, 0.802856, 43.6208
130.22, 76.6746, 150.19, 15.6627, 124.381, 50286.2, 38795.7, 0.713781, 84.2628
95.4331, 76.0595, 38.1964, 19.1905, 128.833, 50374.7, 38709, 0.741452, 55.9689
242.711, 68.626, 81.2128, 43.25, 133.252, 50330.1, 38764.8, 0.613061, 170.672
103.319, 79.5156, 40.8906, 45.4063, 135.141, 50421.2, 38676.1, 0.750687, 64.2292
53.8549, 66.4659, 39.3409, 31.7955, 135.352, 50415.5, 38684.8, 0.79213, 26.2003
41.6674, 65.0441, 117.971, 12.7941, 131.279, 50102.6, 38998.9, 0.810164, 18.4428
121.306, 86.8596, 61.4254, 50.5658, 126.952, 50332.7, 38783.9, 0.733735, 78.9595
218.974, 72.5472, 43.6014, 35.7948, 130.222, 50355, 38766.9, 0.618838, 148.33
16.1868, 96.5, 36.9583, 34.2083, 148.5, 49968.9, 39148.7, 0.876828, 5.02789
35.3165, 85.1923, 48.5, 112.442, 140.077, 50285.1, 38848.7, 0.87337, 16.1079
130.417, 68.517, 139.61, 19.75, 124.877, 50176.3, 38964.4, 0.681065, 78.7146
