
Distance to Image Border XYZ Img=1
 ==================== 
Distance to Image Border XYZ,Unit,Category,Image,Time,ID,
0,um,Surface,Image 1,1,238,
0,um,Surface,Image 1,1,239,
0,um,Surface,Image 1,1,240,
0,um,Surface,Image 1,1,241,
0,um,Surface,Image 1,1,242,
0,um,Surface,Image 1,1,243,
0,um,Surface,Image 1,1,244,
0,um,Surface,Image 1,1,245,
0,um,Surface,Image 1,1,246,
0,um,Surface,Image 1,1,247,
0,um,Surface,Image 1,1,248,
0,um,Surface,Image 1,1,249,
0,um,Surface,Image 1,1,250,
0,um,Surface,Image 1,1,251,
0,um,Surface,Image 1,1,252,
0,um,Surface,Image 1,1,253,
0,um,Surface,Image 1,1,254,
0,um,Surface,Image 1,1,255,
0,um,Surface,Image 1,1,256,
0,um,Surface,Image 1,1,257,
0,um,Surface,Image 1,1,258,
0,um,Surface,Image 1,1,259,
0,um,Surface,Image 1,1,260,
0,um,Surface,Image 1,1,261,
0,um,Surface,Image 1,1,262,
0,um,Surface,Image 1,1,263,
0,um,Surface,Image 1,1,264,
0,um,Surface,Image 1,1,265,
0,um,Surface,Image 1,1,266,
0,um,Surface,Image 1,1,267,
0,um,Surface,Image 1,1,268,
0,um,Surface,Image 1,1,269,
0,um,Surface,Image 1,1,270,
0,um,Surface,Image 1,1,271,
0,um,Surface,Image 1,1,272,
0,um,Surface,Image 1,1,273,
0,um,Surface,Image 1,1,274,
0,um,Surface,Image 1,1,275,
0,um,Surface,Image 1,1,276,
0,um,Surface,Image 1,1,277,
0,um,Surface,Image 1,1,278,
0,um,Surface,Image 1,1,279,
0,um,Surface,Image 1,1,280,
0,um,Surface,Image 1,1,281,
0,um,Surface,Image 1,1,282,
0,um,Surface,Image 1,1,283,
0,um,Surface,Image 1,1,284,
0,um,Surface,Image 1,1,285,
0,um,Surface,Image 1,1,286,
0,um,Surface,Image 1,1,287,
0,um,Surface,Image 1,1,288,
0,um,Surface,Image 1,1,289,
0,um,Surface,Image 1,1,290,
0,um,Surface,Image 1,1,291,
0,um,Surface,Image 1,1,292,
0,um,Surface,Image 1,1,293,
0,um,Surface,Image 1,1,294,
0,um,Surface,Image 1,1,295,
0,um,Surface,Image 1,1,296,
0,um,Surface,Image 1,1,297,
0,um,Surface,Image 1,1,298,
0,um,Surface,Image 1,1,299,
0,um,Surface,Image 1,1,300,
0,um,Surface,Image 1,1,301,
0,um,Surface,Image 1,1,302,
0,um,Surface,Image 1,1,303,
0,um,Surface,Image 1,1,304,
0,um,Surface,Image 1,1,305,
0,um,Surface,Image 1,1,306,
0,um,Surface,Image 1,1,307,
0,um,Surface,Image 1,1,308,
0,um,Surface,Image 1,1,309,
0,um,Surface,Image 1,1,310,
0,um,Surface,Image 1,1,311,
0,um,Surface,Image 1,1,312,
0,um,Surface,Image 1,1,313,
0,um,Surface,Image 1,1,314,
0,um,Surface,Image 1,1,315,
0,um,Surface,Image 1,1,316,
0,um,Surface,Image 1,1,317,
0,um,Surface,Image 1,1,318,
0,um,Surface,Image 1,1,319,
0,um,Surface,Image 1,1,320,
0,um,Surface,Image 1,1,321,
0,um,Surface,Image 1,1,322,
0,um,Surface,Image 1,1,323,
0,um,Surface,Image 1,1,324,
0,um,Surface,Image 1,1,325,
0,um,Surface,Image 1,1,326,
0,um,Surface,Image 1,1,327,
0,um,Surface,Image 1,1,328,
0,um,Surface,Image 1,1,329,
0,um,Surface,Image 1,1,330,
0,um,Surface,Image 1,1,331,
0,um,Surface,Image 1,1,332,
0,um,Surface,Image 1,1,333,
0,um,Surface,Image 1,1,334,
0,um,Surface,Image 1,1,335,
0,um,Surface,Image 1,1,336,
0,um,Surface,Image 1,1,337,
0,um,Surface,Image 1,1,338,
0,um,Surface,Image 1,1,339,
0,um,Surface,Image 1,1,340,
0,um,Surface,Image 1,1,341,
0,um,Surface,Image 1,1,342,
0,um,Surface,Image 1,1,343,
0,um,Surface,Image 1,1,344,
0,um,Surface,Image 1,1,345,
0,um,Surface,Image 1,1,346,
0,um,Surface,Image 1,1,347,
0,um,Surface,Image 1,1,348,
0,um,Surface,Image 1,1,349,
0,um,Surface,Image 1,1,350,
0,um,Surface,Image 1,1,351,
0,um,Surface,Image 1,1,352,
0,um,Surface,Image 1,1,353,
0,um,Surface,Image 1,1,354,
0,um,Surface,Image 1,1,355,
0,um,Surface,Image 1,1,356,
0,um,Surface,Image 1,1,357,
0,um,Surface,Image 1,1,358,
0,um,Surface,Image 1,1,359,
0,um,Surface,Image 1,1,360,
0,um,Surface,Image 1,1,361,
0,um,Surface,Image 1,1,362,
0,um,Surface,Image 1,1,363,
0,um,Surface,Image 1,1,364,
0,um,Surface,Image 1,1,365,
0,um,Surface,Image 1,1,366,
0,um,Surface,Image 1,1,367,
0,um,Surface,Image 1,1,368,
0,um,Surface,Image 1,1,369,
0,um,Surface,Image 1,1,370,
0,um,Surface,Image 1,1,371,
0,um,Surface,Image 1,1,372,
0,um,Surface,Image 1,1,373,
0,um,Surface,Image 1,1,374,
0,um,Surface,Image 1,1,375,
0,um,Surface,Image 1,1,376,
0,um,Surface,Image 1,1,377,
0,um,Surface,Image 1,1,378,
0,um,Surface,Image 1,1,379,
0,um,Surface,Image 1,1,380,
0,um,Surface,Image 1,1,381,
0,um,Surface,Image 1,1,382,
0,um,Surface,Image 1,1,383,
0,um,Surface,Image 1,1,384,
0,um,Surface,Image 1,1,385,
0,um,Surface,Image 1,1,386,
0,um,Surface,Image 1,1,387,
0,um,Surface,Image 1,1,388,
0,um,Surface,Image 1,1,389,
0,um,Surface,Image 1,1,390,
0,um,Surface,Image 1,1,391,
0,um,Surface,Image 1,1,392,
0,um,Surface,Image 1,1,393,
0,um,Surface,Image 1,1,394,
0,um,Surface,Image 1,1,395,
0,um,Surface,Image 1,1,396,
0,um,Surface,Image 1,1,397,
0,um,Surface,Image 1,1,398,
0,um,Surface,Image 1,1,399,
0,um,Surface,Image 1,1,400,
0,um,Surface,Image 1,1,401,
0,um,Surface,Image 1,1,402,
0,um,Surface,Image 1,1,403,
0,um,Surface,Image 1,1,404,
0,um,Surface,Image 1,1,405,
0,um,Surface,Image 1,1,406,
0,um,Surface,Image 1,1,407,
0,um,Surface,Image 1,1,408,
0,um,Surface,Image 1,1,409,
0,um,Surface,Image 1,1,410,
0,um,Surface,Image 1,1,411,
0,um,Surface,Image 1,1,412,
0,um,Surface,Image 1,1,413,
0,um,Surface,Image 1,1,414,
0,um,Surface,Image 1,1,415,
0,um,Surface,Image 1,1,416,
0,um,Surface,Image 1,1,417,
0,um,Surface,Image 1,1,418,
