
Ellipsoid Axis A
 ==================== 
Ellipsoid Axis A X,Ellipsoid Axis A Y,Ellipsoid Axis A Z,Unit,Category,Collection,Time,ID,
2.82717e-11,5.23173e-12,1,um,Surface,Ellipsoid Axis A,1,238,
1.37086e-11,2.14018e-11,1,um,Surface,Ellipsoid Axis A,1,239,
3.11217e-11,-7.16153e-12,1,um,Surface,Ellipsoid Axis A,1,240,
6.50338e-12,-1.84451e-12,1,um,Surface,Ellipsoid Axis A,1,241,
3.73084e-11,1.39393e-11,1,um,Surface,Ellipsoid Axis A,1,242,
3.77517e-12,-7.44806e-14,1,um,Surface,Ellipsoid Axis A,1,243,
-2.93375e-11,3.75129e-12,1,um,Surface,Ellipsoid Axis A,1,244,
-1.80604e-11,-1.32416e-11,1,um,Surface,Ellipsoid Axis A,1,245,
-1.40797e-11,7.17003e-12,1,um,Surface,Ellipsoid Axis A,1,246,
-1.3171e-11,-2.32979e-12,1,um,Surface,Ellipsoid Axis A,1,247,
-1.3545e-11,-2.11439e-11,1,um,Surface,Ellipsoid Axis A,1,248,
-5.04252e-11,-4.42133e-12,1,um,Surface,Ellipsoid Axis A,1,249,
3.0722e-11,-1.25519e-11,1,um,Surface,Ellipsoid Axis A,1,250,
1.24161e-12,2.24156e-12,1,um,Surface,Ellipsoid Axis A,1,251,
-1.31515e-11,-2.21476e-12,1,um,Surface,Ellipsoid Axis A,1,252,
-2.39886e-12,-1.50944e-12,1,um,Surface,Ellipsoid Axis A,1,253,
1.20663e-12,3.08787e-12,1,um,Surface,Ellipsoid Axis A,1,254,
-5.71219e-12,2.86985e-13,1,um,Surface,Ellipsoid Axis A,1,255,
-7.16043e-12,-1.31657e-12,1,um,Surface,Ellipsoid Axis A,1,256,
0,0,1,um,Surface,Ellipsoid Axis A,1,257,
-6.99491e-12,-2.92321e-12,1,um,Surface,Ellipsoid Axis A,1,258,
0,0,1,um,Surface,Ellipsoid Axis A,1,259,
3.86563e-12,-1.61317e-12,1,um,Surface,Ellipsoid Axis A,1,260,
1.46851e-11,-1.31264e-12,1,um,Surface,Ellipsoid Axis A,1,261,
-2.4472e-13,-2.30077e-12,1,um,Surface,Ellipsoid Axis A,1,262,
7.96664e-12,-2.29226e-12,1,um,Surface,Ellipsoid Axis A,1,263,
-1.1217e-11,9.81053e-12,1,um,Surface,Ellipsoid Axis A,1,264,
1.0328e-11,2.42289e-12,1,um,Surface,Ellipsoid Axis A,1,265,
-5.67276e-12,-7.72899e-13,1,um,Surface,Ellipsoid Axis A,1,266,
-2.05238e-12,1.38397e-11,1,um,Surface,Ellipsoid Axis A,1,267,
8.57218e-12,1.18108e-12,1,um,Surface,Ellipsoid Axis A,1,268,
4.17494e-12,3.81365e-12,1,um,Surface,Ellipsoid Axis A,1,269,
2.12608e-12,-9.93189e-13,1,um,Surface,Ellipsoid Axis A,1,270,
3.49269e-11,1.88475e-11,1,um,Surface,Ellipsoid Axis A,1,271,
-5.44951e-11,2.17524e-11,1,um,Surface,Ellipsoid Axis A,1,272,
3.54041e-12,-1.08288e-13,1,um,Surface,Ellipsoid Axis A,1,273,
2.37979e-11,1.10437e-11,1,um,Surface,Ellipsoid Axis A,1,274,
-4.07084e-12,-9.66132e-14,1,um,Surface,Ellipsoid Axis A,1,275,
7.01112e-11,-9.18477e-12,1,um,Surface,Ellipsoid Axis A,1,276,
5.04694e-11,-7.52766e-12,1,um,Surface,Ellipsoid Axis A,1,277,
-1.6842e-11,9.34575e-12,1,um,Surface,Ellipsoid Axis A,1,278,
-2.39072e-11,-7.48493e-12,1,um,Surface,Ellipsoid Axis A,1,279,
0,0,1,um,Surface,Ellipsoid Axis A,1,280,
-1.53615e-11,-4.16657e-12,1,um,Surface,Ellipsoid Axis A,1,281,
