
Intensity Median Ch=3 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
8.007,,Surface,3,Image 1,1,238,
8.01,,Surface,3,Image 1,1,239,
11.992,,Surface,3,Image 1,1,240,
9,,Surface,3,Image 1,1,241,
10,,Surface,3,Image 1,1,242,
12,,Surface,3,Image 1,1,243,
7.01,,Surface,3,Image 1,1,244,
11.968,,Surface,3,Image 1,1,245,
14.024,,Surface,3,Image 1,1,246,
7.01,,Surface,3,Image 1,1,247,
28.992,,Surface,3,Image 1,1,248,
7.008,,Surface,3,Image 1,1,249,
2.996,,Surface,3,Image 1,1,250,
3.992,,Surface,3,Image 1,1,251,
15.018,,Surface,3,Image 1,1,252,
10.004,,Surface,3,Image 1,1,253,
7.008,,Surface,3,Image 1,1,254,
15,,Surface,3,Image 1,1,255,
23.008,,Surface,3,Image 1,1,256,
7,,Surface,3,Image 1,1,257,
16.984,,Surface,3,Image 1,1,258,
6.008,,Surface,3,Image 1,1,259,
21.032,,Surface,3,Image 1,1,260,
6.996,,Surface,3,Image 1,1,261,
9.004,,Surface,3,Image 1,1,262,
15.99,,Surface,3,Image 1,1,263,
16.992,,Surface,3,Image 1,1,264,
42.504,,Surface,3,Image 1,1,265,
8,,Surface,3,Image 1,1,266,
12.996,,Surface,3,Image 1,1,267,
11.952,,Surface,3,Image 1,1,268,
19.014,,Surface,3,Image 1,1,269,
17.988,,Surface,3,Image 1,1,270,
9.98,,Surface,3,Image 1,1,271,
1.992,,Surface,3,Image 1,1,272,
9.49,,Surface,3,Image 1,1,273,
7.992,,Surface,3,Image 1,1,274,
7.496,,Surface,3,Image 1,1,275,
9,,Surface,3,Image 1,1,276,
10.496,,Surface,3,Image 1,1,277,
7.02,,Surface,3,Image 1,1,278,
12.016,,Surface,3,Image 1,1,279,
20.027,,Surface,3,Image 1,1,280,
7.008,,Surface,3,Image 1,1,281,
5,,Surface,3,Image 1,1,282,
9.012,,Surface,3,Image 1,1,283,
9.008,,Surface,3,Image 1,1,284,
13.976,,Surface,3,Image 1,1,285,
12.996,,Surface,3,Image 1,1,286,
5.996,,Surface,3,Image 1,1,287,
4.992,,Surface,3,Image 1,1,288,
9.024,,Surface,3,Image 1,1,289,
9.032,,Surface,3,Image 1,1,290,
6.998,,Surface,3,Image 1,1,291,
6.008,,Surface,3,Image 1,1,292,
5.512,,Surface,3,Image 1,1,293,
8.008,,Surface,3,Image 1,1,294,
24.016,,Surface,3,Image 1,1,295,
14.992,,Surface,3,Image 1,1,296,
3.004,,Surface,3,Image 1,1,297,
6,,Surface,3,Image 1,1,298,
8,,Surface,3,Image 1,1,299,
6.992,,Surface,3,Image 1,1,300,
7,,Surface,3,Image 1,1,301,
10,,Surface,3,Image 1,1,302,
15.976,,Surface,3,Image 1,1,303,
6.016,,Surface,3,Image 1,1,304,
6.968,,Surface,3,Image 1,1,305,
5,,Surface,3,Image 1,1,306,
5,,Surface,3,Image 1,1,307,
6,,Surface,3,Image 1,1,308,
10.504,,Surface,3,Image 1,1,309,
10.996,,Surface,3,Image 1,1,310,
4.008,,Surface,3,Image 1,1,311,
12.992,,Surface,3,Image 1,1,312,
6.002,,Surface,3,Image 1,1,313,
7,,Surface,3,Image 1,1,314,
25.992,,Surface,3,Image 1,1,315,
7.01,,Surface,3,Image 1,1,316,
4.984,,Surface,3,Image 1,1,317,
7.048,,Surface,3,Image 1,1,318,
5.002,,Surface,3,Image 1,1,319,
2.992,,Surface,3,Image 1,1,320,
6.002,,Surface,3,Image 1,1,321,
9.014,,Surface,3,Image 1,1,322,
13.014,,Surface,3,Image 1,1,323,
4.992,,Surface,3,Image 1,1,324,
8.992,,Surface,3,Image 1,1,325,
11.004,,Surface,3,Image 1,1,326,
7.992,,Surface,3,Image 1,1,327,
15.02,,Surface,3,Image 1,1,328,
21,,Surface,3,Image 1,1,329,
13.992,,Surface,3,Image 1,1,330,
5.008,,Surface,3,Image 1,1,331,
18,,Surface,3,Image 1,1,332,
3.004,,Surface,3,Image 1,1,333,
18.016,,Surface,3,Image 1,1,334,
13.016,,Surface,3,Image 1,1,335,
21.01,,Surface,3,Image 1,1,336,
7,,Surface,3,Image 1,1,337,
3.992,,Surface,3,Image 1,1,338,
8.496,,Surface,3,Image 1,1,339,
26.004,,Surface,3,Image 1,1,340,
1.996,,Surface,3,Image 1,1,341,
10.996,,Surface,3,Image 1,1,342,
8.008,,Surface,3,Image 1,1,343,
14.004,,Surface,3,Image 1,1,344,
39.024,,Surface,3,Image 1,1,345,
17.024,,Surface,3,Image 1,1,346,
7.998,,Surface,3,Image 1,1,347,
9.992,,Surface,3,Image 1,1,348,
5.004,,Surface,3,Image 1,1,349,
7.5,,Surface,3,Image 1,1,350,
1.992,,Surface,3,Image 1,1,351,
11.02,,Surface,3,Image 1,1,352,
14.016,,Surface,3,Image 1,1,353,
12.992,,Surface,3,Image 1,1,354,
12.008,,Surface,3,Image 1,1,355,
18.02,,Surface,3,Image 1,1,356,
15.984,,Surface,3,Image 1,1,357,
11.02,,Surface,3,Image 1,1,358,
