
Ellipsoid Axis Length B
 ==================== 
Ellipsoid Axis Length B,Unit,Category,Time,ID,
3.11906,um,Surface,1,238,
3.79559,um,Surface,1,239,
5.41364,um,Surface,1,240,
3.03677,um,Surface,1,241,
2.30815,um,Surface,1,242,
3.15334,um,Surface,1,243,
3.73563,um,Surface,1,244,
3.81258,um,Surface,1,245,
2.94134,um,Surface,1,246,
2.41593,um,Surface,1,247,
3.36329,um,Surface,1,248,
3.7003,um,Surface,1,249,
3.64092,um,Surface,1,250,
5.04575,um,Surface,1,251,
5.4961,um,Surface,1,252,
5.34869,um,Surface,1,253,
4.61211,um,Surface,1,254,
2.9894,um,Surface,1,255,
3.87924,um,Surface,1,256,
2.28266,um,Surface,1,257,
7.73549,um,Surface,1,258,
2.47584,um,Surface,1,259,
6.41503,um,Surface,1,260,
3.46148,um,Surface,1,261,
4.05529,um,Surface,1,262,
5.05543,um,Surface,1,263,
3.55597,um,Surface,1,264,
3.00325,um,Surface,1,265,
2.5487,um,Surface,1,266,
7.08566,um,Surface,1,267,
3.90313,um,Surface,1,268,
5.24979,um,Surface,1,269,
4.47565,um,Surface,1,270,
4.50307,um,Surface,1,271,
3.40327,um,Surface,1,272,
2.86103,um,Surface,1,273,
4.24407,um,Surface,1,274,
3.03707,um,Surface,1,275,
4.25917,um,Surface,1,276,
3.25319,um,Surface,1,277,
5.98924,um,Surface,1,278,
3.65445,um,Surface,1,279,
3.34578,um,Surface,1,280,
4.2085,um,Surface,1,281,
3.71274,um,Surface,1,282,
2.87105,um,Surface,1,283,
4.46693,um,Surface,1,284,
3.19737,um,Surface,1,285,
3.64609,um,Surface,1,286,
2.44769,um,Surface,1,287,
4.07199,um,Surface,1,288,
3.19266,um,Surface,1,289,
4.27766,um,Surface,1,290,
4.87952,um,Surface,1,291,
5.45983,um,Surface,1,292,
3.32564,um,Surface,1,293,
6.18281,um,Surface,1,294,
3.73008,um,Surface,1,295,
3.07034,um,Surface,1,296,
3.22903,um,Surface,1,297,
2.43267,um,Surface,1,298,
3.5111,um,Surface,1,299,
2.86289,um,Surface,1,300,
4.01235,um,Surface,1,301,
2.6255,um,Surface,1,302,
5.32261,um,Surface,1,303,
3.50369,um,Surface,1,304,
7.39256,um,Surface,1,305,
2.89281,um,Surface,1,306,
3.05691,um,Surface,1,307,
4.92835,um,Surface,1,308,
2.89215,um,Surface,1,309,
3.14598,um,Surface,1,310,
7.12668,um,Surface,1,311,
4.69434,um,Surface,1,312,
2.13639,um,Surface,1,313,
5.41631,um,Surface,1,314,
3.53154,um,Surface,1,315,
3.63518,um,Surface,1,316,
4.15979,um,Surface,1,317,
5.03436,um,Surface,1,318,
3.87856,um,Surface,1,319,
3.01097,um,Surface,1,320,
2.5669,um,Surface,1,321,
2.81674,um,Surface,1,322,
3.79232,um,Surface,1,323,
5.37746,um,Surface,1,324,
3.60831,um,Surface,1,325,
3.71424,um,Surface,1,326,
6.05796,um,Surface,1,327,
4.09288,um,Surface,1,328,
3.42307,um,Surface,1,329,
3.56939,um,Surface,1,330,
3.99553,um,Surface,1,331,
2.51162,um,Surface,1,332,
2.99908,um,Surface,1,333,
2.26548,um,Surface,1,334,
3.35881,um,Surface,1,335,
3.87071,um,Surface,1,336,
3.83783,um,Surface,1,337,
2.66989,um,Surface,1,338,
4.40562,um,Surface,1,339,
3.60463,um,Surface,1,340,
2.44437,um,Surface,1,341,
2.80633,um,Surface,1,342,
3.62879,um,Surface,1,343,
3.67449,um,Surface,1,344,
4.49859,um,Surface,1,345,
5.95049,um,Surface,1,346,
2.55346,um,Surface,1,347,
3.50684,um,Surface,1,348,
3.0784,um,Surface,1,349,
3.37079,um,Surface,1,350,
4.20464,um,Surface,1,351,
2.87999,um,Surface,1,352,
6.17951,um,Surface,1,353,
7.26371,um,Surface,1,354,
7.1892,um,Surface,1,355,
3.02696,um,Surface,1,356,
3.59197,um,Surface,1,357,
2.5326,um,Surface,1,358,
4.8331,um,Surface,1,359,
4.67242,um,Surface,1,360,
5.22131,um,Surface,1,361,
3.82428,um,Surface,1,362,
4.65159,um,Surface,1,363,
6.87036,um,Surface,1,364,
2.63411,um,Surface,1,365,
3.83241,um,Surface,1,366,
5.91622,um,Surface,1,367,
3.31221,um,Surface,1,368,
2.62679,um,Surface,1,369,
5.32519,um,Surface,1,370,
4.46208,um,Surface,1,371,
3.21807,um,Surface,1,372,
5.57266,um,Surface,1,373,
4.29084,um,Surface,1,374,
4.1679,um,Surface,1,375,
4.07523,um,Surface,1,376,
4.85267,um,Surface,1,377,
3.14884,um,Surface,1,378,
4.20997,um,Surface,1,379,
2.91709,um,Surface,1,380,
7.35613,um,Surface,1,381,
3.6479,um,Surface,1,382,
2.78018,um,Surface,1,383,
3.56612,um,Surface,1,384,
3.39771,um,Surface,1,385,
2.44825,um,Surface,1,386,
7.32408,um,Surface,1,387,
6.09435,um,Surface,1,388,
7.6204,um,Surface,1,389,
3.42133,um,Surface,1,390,
4.6917,um,Surface,1,391,
4.11768,um,Surface,1,392,
5.08997,um,Surface,1,393,
3.68852,um,Surface,1,394,
3.15428,um,Surface,1,395,
3.22844,um,Surface,1,396,
8.13586,um,Surface,1,397,
2.65398,um,Surface,1,398,
3.31464,um,Surface,1,399,
2.4557,um,Surface,1,400,
3.45288,um,Surface,1,401,
2.91824,um,Surface,1,402,
4.27232,um,Surface,1,403,
4.7156,um,Surface,1,404,
3.02429,um,Surface,1,405,
4.40274,um,Surface,1,406,
3.77645,um,Surface,1,407,
3.88947,um,Surface,1,408,
3.34027,um,Surface,1,409,
6.79405,um,Surface,1,410,
3.04663,um,Surface,1,411,
4.59163,um,Surface,1,412,
3.00578,um,Surface,1,413,
7.38045,um,Surface,1,414,
2.87712,um,Surface,1,415,
3.38154,um,Surface,1,416,
2.9537,um,Surface,1,417,
4.26087,um,Surface,1,418,
3.32512,um,Surface,1,419,
5.957,um,Surface,1,420,
3.71397,um,Surface,1,421,
4.1451,um,Surface,1,422,
3.98559,um,Surface,1,423,
3.20881,um,Surface,1,424,
4.03531,um,Surface,1,425,
6.41667,um,Surface,1,426,
3.88003,um,Surface,1,427,
