
BoundingBoxOO Length
 ==================== 
BoundingBoxOO Length A,BoundingBoxOO Length B,BoundingBoxOO Length C,Unit,Category,Collection,Time,ID,
2.00433,6.02344,7.70313,um,Surface,BoundingBoxOO Length,1,238,
2.0024,6.82031,7.8125,um,Surface,BoundingBoxOO Length,1,239,
2.00309,10.0313,15.2969,um,Surface,BoundingBoxOO Length,1,240,
2.00168,5.77344,6.57813,um,Surface,BoundingBoxOO Length,1,241,
2.00428,4.34375,9.75,um,Surface,BoundingBoxOO Length,1,242,
2.00119,5.38281,9.50781,um,Surface,BoundingBoxOO Length,1,243,
2.00674,6.58789,8.07031,um,Surface,BoundingBoxOO Length,1,244,
2.00098,6.6582,15.7031,um,Surface,BoundingBoxOO Length,1,245,
2.00485,5.14063,10.1094,um,Surface,BoundingBoxOO Length,1,246,
2.00713,4.53906,4.85156,um,Surface,BoundingBoxOO Length,1,247,
2.00235,6.6875,16.9766,um,Surface,BoundingBoxOO Length,1,248,
2.00162,6.71875,8.29883,um,Surface,BoundingBoxOO Length,1,249,
2.00145,6.36719,7.96094,um,Surface,BoundingBoxOO Length,1,250,
2.0014,9.08594,10.9219,um,Surface,BoundingBoxOO Length,1,251,
2.00475,10.2422,10.1016,um,Surface,BoundingBoxOO Length,1,252,
2.00375,9.6875,13.9023,um,Surface,BoundingBoxOO Length,1,253,
2.00095,8.03906,11.9375,um,Surface,BoundingBoxOO Length,1,254,
2.00173,5.37109,8.00781,um,Surface,BoundingBoxOO Length,1,255,
2.00256,8.36719,11.8477,um,Surface,BoundingBoxOO Length,1,256,
2.02124,3.99219,5.375,um,Surface,BoundingBoxOO Length,1,257,
2.00146,16.0313,19.0488,um,Surface,BoundingBoxOO Length,1,258,
2.00814,4.5,5.01563,um,Surface,BoundingBoxOO Length,1,259,
2.0027,14.0391,21.2734,um,Surface,BoundingBoxOO Length,1,260,
2.00183,6.58203,8.40625,um,Surface,BoundingBoxOO Length,1,261,
2.003,7.28125,8.97461,um,Surface,BoundingBoxOO Length,1,262,
2.0006,9.24219,11.3984,um,Surface,BoundingBoxOO Length,1,263,
2.00284,6.71289,10.9219,um,Surface,BoundingBoxOO Length,1,264,
2.00181,6.01563,9.00586,um,Surface,BoundingBoxOO Length,1,265,
2.0008,4.75781,6.83008,um,Surface,BoundingBoxOO Length,1,266,
2.00167,13.8203,26.5,um,Surface,BoundingBoxOO Length,1,267,
2.00198,7.38281,11.2422,um,Surface,BoundingBoxOO Length,1,268,
2.00171,10.9063,16.2227,um,Surface,BoundingBoxOO Length,1,269,
2.00184,9.04688,15.375,um,Surface,BoundingBoxOO Length,1,270,
2.00077,8.89844,18.1621,um,Surface,BoundingBoxOO Length,1,271,
2.005,6.05469,8.1875,um,Surface,BoundingBoxOO Length,1,272,
2.00216,5.08594,7.95313,um,Surface,BoundingBoxOO Length,1,273,
2.0026,7.35938,8.39844,um,Surface,BoundingBoxOO Length,1,274,
2.00448,5.33594,5.98047,um,Surface,BoundingBoxOO Length,1,275,
