
Intensity Center Ch=4 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
135,,Surface,4,Image 1,1,403,
140,,Surface,4,Image 1,1,404,
151,,Surface,4,Image 1,1,405,
143,,Surface,4,Image 1,1,406,
139,,Surface,4,Image 1,1,407,
136,,Surface,4,Image 1,1,408,
143,,Surface,4,Image 1,1,409,
143,,Surface,4,Image 1,1,410,
123,,Surface,4,Image 1,1,411,
152,,Surface,4,Image 1,1,412,
173,,Surface,4,Image 1,1,413,
148,,Surface,4,Image 1,1,414,
132,,Surface,4,Image 1,1,415,
202,,Surface,4,Image 1,1,416,
125,,Surface,4,Image 1,1,417,
163,,Surface,4,Image 1,1,418,
170,,Surface,4,Image 1,1,419,
135,,Surface,4,Image 1,1,420,
153,,Surface,4,Image 1,1,421,
161,,Surface,4,Image 1,1,422,
155,,Surface,4,Image 1,1,423,
151,,Surface,4,Image 1,1,424,
134,,Surface,4,Image 1,1,425,
153,,Surface,4,Image 1,1,426,
139,,Surface,4,Image 1,1,427,
