
Intensity Max Ch=3 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
24,,Surface,3,Image 1,1,403,
47,,Surface,3,Image 1,1,404,
20,,Surface,3,Image 1,1,405,
21,,Surface,3,Image 1,1,406,
66,,Surface,3,Image 1,1,407,
18,,Surface,3,Image 1,1,408,
33,,Surface,3,Image 1,1,409,
87,,Surface,3,Image 1,1,410,
120,,Surface,3,Image 1,1,411,
50,,Surface,3,Image 1,1,412,
47,,Surface,3,Image 1,1,413,
64,,Surface,3,Image 1,1,414,
38,,Surface,3,Image 1,1,415,
54,,Surface,3,Image 1,1,416,
22,,Surface,3,Image 1,1,417,
21,,Surface,3,Image 1,1,418,
64,,Surface,3,Image 1,1,419,
43,,Surface,3,Image 1,1,420,
67,,Surface,3,Image 1,1,421,
56,,Surface,3,Image 1,1,422,
85,,Surface,3,Image 1,1,423,
49,,Surface,3,Image 1,1,424,
50,,Surface,3,Image 1,1,425,
42,,Surface,3,Image 1,1,426,
43,,Surface,3,Image 1,1,427,
