
Intensity Sum Ch=2 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
2143,,Surface,2,Image 1,1,238,
2880,,Surface,2,Image 1,1,239,
17358,,Surface,2,Image 1,1,240,
1713,,Surface,2,Image 1,1,241,
2268,,Surface,2,Image 1,1,242,
6009,,Surface,2,Image 1,1,243,
6007,,Surface,2,Image 1,1,244,
10123,,Surface,2,Image 1,1,245,
2439,,Surface,2,Image 1,1,246,
2952,,Surface,2,Image 1,1,247,
6949,,Surface,2,Image 1,1,248,
3659,,Surface,2,Image 1,1,249,
5324,,Surface,2,Image 1,1,250,
9091,,Surface,2,Image 1,1,251,
7164,,Surface,2,Image 1,1,252,
10005,,Surface,2,Image 1,1,253,
6297,,Surface,2,Image 1,1,254,
3502,,Surface,2,Image 1,1,255,
4575,,Surface,2,Image 1,1,256,
1271,,Surface,2,Image 1,1,257,
8914,,Surface,2,Image 1,1,258,
974,,Surface,2,Image 1,1,259,
12008,,Surface,2,Image 1,1,260,
3773,,Surface,2,Image 1,1,261,
2942,,Surface,2,Image 1,1,262,
5436,,Surface,2,Image 1,1,263,
4703,,Surface,2,Image 1,1,264,
2488,,Surface,2,Image 1,1,265,
2275,,Surface,2,Image 1,1,266,
17051,,Surface,2,Image 1,1,267,
2971,,Surface,2,Image 1,1,268,
13046,,Surface,2,Image 1,1,269,
4823,,Surface,2,Image 1,1,270,
14539,,Surface,2,Image 1,1,271,
3759,,Surface,2,Image 1,1,272,
3720,,Surface,2,Image 1,1,273,
4778,,Surface,2,Image 1,1,274,
6081,,Surface,2,Image 1,1,275,
9177,,Surface,2,Image 1,1,276,
4243,,Surface,2,Image 1,1,277,
15827,,Surface,2,Image 1,1,278,
7731,,Surface,2,Image 1,1,279,
2648,,Surface,2,Image 1,1,280,
6090,,Surface,2,Image 1,1,281,
3013,,Surface,2,Image 1,1,282,
5733,,Surface,2,Image 1,1,283,
10589,,Surface,2,Image 1,1,284,
5614,,Surface,2,Image 1,1,285,
3707,,Surface,2,Image 1,1,286,
3442,,Surface,2,Image 1,1,287,
4160,,Surface,2,Image 1,1,288,
2350,,Surface,2,Image 1,1,289,
6887,,Surface,2,Image 1,1,290,
9681,,Surface,2,Image 1,1,291,
8526,,Surface,2,Image 1,1,292,
6481,,Surface,2,Image 1,1,293,
29338,,Surface,2,Image 1,1,294,
5722,,Surface,2,Image 1,1,295,
3416,,Surface,2,Image 1,1,296,
5889,,Surface,2,Image 1,1,297,
905,,Surface,2,Image 1,1,298,
2490,,Surface,2,Image 1,1,299,
2648,,Surface,2,Image 1,1,300,
10236,,Surface,2,Image 1,1,301,
2364,,Surface,2,Image 1,1,302,
12114,,Surface,2,Image 1,1,303,
4673,,Surface,2,Image 1,1,304,
24003,,Surface,2,Image 1,1,305,
2172,,Surface,2,Image 1,1,306,
5243,,Surface,2,Image 1,1,307,
10880,,Surface,2,Image 1,1,308,
3357,,Surface,2,Image 1,1,309,
4116,,Surface,2,Image 1,1,310,
22094,,Surface,2,Image 1,1,311,
31730,,Surface,2,Image 1,1,312,
1590,,Surface,2,Image 1,1,313,
14733,,Surface,2,Image 1,1,314,
3945,,Surface,2,Image 1,1,315,
7030,,Surface,2,Image 1,1,316,
8866,,Surface,2,Image 1,1,317,
15552,,Surface,2,Image 1,1,318,
10635,,Surface,2,Image 1,1,319,
2230,,Surface,2,Image 1,1,320,
2112,,Surface,2,Image 1,1,321,
3429,,Surface,2,Image 1,1,322,
7692,,Surface,2,Image 1,1,323,
9326,,Surface,2,Image 1,1,324,
5770,,Surface,2,Image 1,1,325,
11844,,Surface,2,Image 1,1,326,
20751,,Surface,2,Image 1,1,327,
5977,,Surface,2,Image 1,1,328,
9458,,Surface,2,Image 1,1,329,
6723,,Surface,2,Image 1,1,330,
8536,,Surface,2,Image 1,1,331,
8864,,Surface,2,Image 1,1,332,
1993,,Surface,2,Image 1,1,333,
2284,,Surface,2,Image 1,1,334,
