
Intensity Sum Ch=5 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,ID,
20770,,Surface,5,Image 1,1,238,
24460,,Surface,5,Image 1,1,239,
58466,,Surface,5,Image 1,1,240,
11611,,Surface,5,Image 1,1,241,
18241,,Surface,5,Image 1,1,242,
21772,,Surface,5,Image 1,1,243,
19997,,Surface,5,Image 1,1,244,
40894,,Surface,5,Image 1,1,245,
19191,,Surface,5,Image 1,1,246,
8537,,Surface,5,Image 1,1,247,
38947,,Surface,5,Image 1,1,248,
20508,,Surface,5,Image 1,1,249,
21702,,Surface,5,Image 1,1,250,
38830,,Surface,5,Image 1,1,251,
41809,,Surface,5,Image 1,1,252,
53697,,Surface,5,Image 1,1,253,
37000,,Surface,5,Image 1,1,254,
17153,,Surface,5,Image 1,1,255,
27947,,Surface,5,Image 1,1,256,
8789,,Surface,5,Image 1,1,257,
66095,,Surface,5,Image 1,1,258,
7751,,Surface,5,Image 1,1,259,
77930,,Surface,5,Image 1,1,260,
19130,,Surface,5,Image 1,1,261,
22753,,Surface,5,Image 1,1,262,
36292,,Surface,5,Image 1,1,263,
26353,,Surface,5,Image 1,1,264,
19557,,Surface,5,Image 1,1,265,
15599,,Surface,5,Image 1,1,266,
117110,,Surface,5,Image 1,1,267,
27880,,Surface,5,Image 1,1,268,
57303,,Surface,5,Image 1,1,269,
44276,,Surface,5,Image 1,1,270,
42755,,Surface,5,Image 1,1,271,
20947,,Surface,5,Image 1,1,272,
18004,,Surface,5,Image 1,1,273,
22944,,Surface,5,Image 1,1,274,
13416,,Surface,5,Image 1,1,275,
47919,,Surface,5,Image 1,1,276,
19493,,Surface,5,Image 1,1,277,
69932,,Surface,5,Image 1,1,278,
30159,,Surface,5,Image 1,1,279,
15702,,Surface,5,Image 1,1,280,
29244,,Surface,5,Image 1,1,281,
21118,,Surface,5,Image 1,1,282,
22494,,Surface,5,Image 1,1,283,
50076,,Surface,5,Image 1,1,284,
27313,,Surface,5,Image 1,1,285,
20736,,Surface,5,Image 1,1,286,
12758,,Surface,5,Image 1,1,287,
26753,,Surface,5,Image 1,1,288,
17444,,Surface,5,Image 1,1,289,
39612,,Surface,5,Image 1,1,290,
30132,,Surface,5,Image 1,1,291,
48883,,Surface,5,Image 1,1,292,
14901,,Surface,5,Image 1,1,293,
46179,,Surface,5,Image 1,1,294,
29630,,Surface,5,Image 1,1,295,
19933,,Surface,5,Image 1,1,296,
25063,,Surface,5,Image 1,1,297,
8591,,Surface,5,Image 1,1,298,
15776,,Surface,5,Image 1,1,299,
19560,,Surface,5,Image 1,1,300,
48198,,Surface,5,Image 1,1,301,
8933,,Surface,5,Image 1,1,302,
70090,,Surface,5,Image 1,1,303,
21229,,Surface,5,Image 1,1,304,
86306,,Surface,5,Image 1,1,305,
14244,,Surface,5,Image 1,1,306,
21355,,Surface,5,Image 1,1,307,
45677,,Surface,5,Image 1,1,308,
12463,,Surface,5,Image 1,1,309,
16675,,Surface,5,Image 1,1,310,
71307,,Surface,5,Image 1,1,311,
73231,,Surface,5,Image 1,1,312,
11250,,Surface,5,Image 1,1,313,
57737,,Surface,5,Image 1,1,314,
19819,,Surface,5,Image 1,1,315,
26208,,Surface,5,Image 1,1,316,
33693,,Surface,5,Image 1,1,317,
58213,,Surface,5,Image 1,1,318,
19950,,Surface,5,Image 1,1,319,
13602,,Surface,5,Image 1,1,320,
12105,,Surface,5,Image 1,1,321,
16492,,Surface,5,Image 1,1,322,
35102,,Surface,5,Image 1,1,323,
40104,,Surface,5,Image 1,1,324,
23540,,Surface,5,Image 1,1,325,
23061,,Surface,5,Image 1,1,326,
58890,,Surface,5,Image 1,1,327,
34085,,Surface,5,Image 1,1,328,
26449,,Surface,5,Image 1,1,329,
26008,,Surface,5,Image 1,1,330,
