
Ellipsoid Axis B
 ==================== 
Ellipsoid Axis B X,Ellipsoid Axis B Y,Ellipsoid Axis B Z,Unit,Category,Collection,Time,ID,
0.461938,-0.886912,1.32105e-11,um,Surface,Ellipsoid Axis B,1,311,
-0.963378,0.268147,-4.17208e-11,um,Surface,Ellipsoid Axis B,1,312,
0.902093,0.431542,-3.69253e-12,um,Surface,Ellipsoid Axis B,1,313,
-0.400621,0.916244,-7.74856e-12,um,Surface,Ellipsoid Axis B,1,314,
-0.258247,-0.966079,1.37077e-11,um,Surface,Ellipsoid Axis B,1,315,
0.863167,0.504919,1.30844e-12,um,Surface,Ellipsoid Axis B,1,316,
-0.999588,-0.0286944,1.28719e-11,um,Surface,Ellipsoid Axis B,1,317,
0.469718,0.882817,5.00862e-12,um,Surface,Ellipsoid Axis B,1,318,
0.553351,0.832948,-1.15799e-11,um,Surface,Ellipsoid Axis B,1,319,
0.943642,0.330967,1.89214e-11,um,Surface,Ellipsoid Axis B,1,320,
0.99373,0.11181,-5.75985e-12,um,Surface,Ellipsoid Axis B,1,321,
-0.887664,0.460492,1.16122e-11,um,Surface,Ellipsoid Axis B,1,322,
-0.971924,0.235296,-5.87951e-11,um,Surface,Ellipsoid Axis B,1,323,
0.882384,0.470529,5.23803e-13,um,Surface,Ellipsoid Axis B,1,324,
0.877143,0.480229,-2.05381e-11,um,Surface,Ellipsoid Axis B,1,325,
-0.996398,-0.0848003,-6.78982e-11,um,Surface,Ellipsoid Axis B,1,326,
0.746924,0.66491,2.90076e-12,um,Surface,Ellipsoid Axis B,1,327,
-0.0394433,0.999222,1.25403e-11,um,Surface,Ellipsoid Axis B,1,328,
-0.667491,-0.744618,-2.12918e-11,um,Surface,Ellipsoid Axis B,1,329,
0.907431,0.4202,1.05832e-10,um,Surface,Ellipsoid Axis B,1,330,
-0.789101,-0.614263,-2.00765e-11,um,Surface,Ellipsoid Axis B,1,331,
0.99363,-0.112693,6.09736e-11,um,Surface,Ellipsoid Axis B,1,332,
-0.514152,-0.857699,-3.95142e-12,um,Surface,Ellipsoid Axis B,1,333,
0.601592,0.798803,-5.29999e-11,um,Surface,Ellipsoid Axis B,1,334,
-0.367901,-0.929865,-4.59912e-11,um,Surface,Ellipsoid Axis B,1,335,
0.280397,0.959884,-6.8854e-12,um,Surface,Ellipsoid Axis B,1,336,
-0.198317,0.980138,1.26604e-11,um,Surface,Ellipsoid Axis B,1,337,
-0.70689,0.707323,0,um,Surface,Ellipsoid Axis B,1,338,
0.74072,0.671814,-7.71169e-13,um,Surface,Ellipsoid Axis B,1,339,
-0.0859296,-0.996301,-1.04004e-11,um,Surface,Ellipsoid Axis B,1,340,
0.948698,0.316184,0,um,Surface,Ellipsoid Axis B,1,341,
0.532654,0.846333,-5.57994e-12,um,Surface,Ellipsoid Axis B,1,342,
0.815595,0.578624,0,um,Surface,Ellipsoid Axis B,1,343,
0.835067,0.550148,2.45779e-11,um,Surface,Ellipsoid Axis B,1,344,
-0.420292,0.907389,-8.28381e-13,um,Surface,Ellipsoid Axis B,1,345,
0.710642,-0.703554,7.34664e-15,um,Surface,Ellipsoid Axis B,1,346,
0.354991,0.93487,0,um,Surface,Ellipsoid Axis B,1,347,
-0.573992,-0.818861,-5.67392e-11,um,Surface,Ellipsoid Axis B,1,348,
