
Intensity Median Ch=2 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,ID,
9.02,,Surface,2,Image 1,1,238,
12.006,,Surface,2,Image 1,1,239,
23.96,,Surface,2,Image 1,1,240,
12.02,,Surface,2,Image 1,1,241,
12.02,,Surface,2,Image 1,1,242,
23.99,,Surface,2,Image 1,1,243,
27.984,,Surface,2,Image 1,1,244,
20,,Surface,2,Image 1,1,245,
8.006,,Surface,2,Image 1,1,246,
29.976,,Surface,2,Image 1,1,247,
16.006,,Surface,2,Image 1,1,248,
16.04,,Surface,2,Image 1,1,249,
22.016,,Surface,2,Image 1,1,250,
21.016,,Surface,2,Image 1,1,251,
17.984,,Surface,2,Image 1,1,252,
18.008,,Surface,2,Image 1,1,253,
17.996,,Surface,2,Image 1,1,254,
18.976,,Surface,2,Image 1,1,255,
13.016,,Surface,2,Image 1,1,256,
12.004,,Surface,2,Image 1,1,257,
13,,Surface,2,Image 1,1,258,
11.008,,Surface,2,Image 1,1,259,
13,,Surface,2,Image 1,1,260,
16.984,,Surface,2,Image 1,1,261,
11,,Surface,2,Image 1,1,262,
13.016,,Surface,2,Image 1,1,263,
18.024,,Surface,2,Image 1,1,264,
10.488,,Surface,2,Image 1,1,265,
17.984,,Surface,2,Image 1,1,266,
12.036,,Surface,2,Image 1,1,267,
8.995,,Surface,2,Image 1,1,268,
19.968,,Surface,2,Image 1,1,269,
10.008,,Surface,2,Image 1,1,270,
30.992,,Surface,2,Image 1,1,271,
9.968,,Surface,2,Image 1,1,272,
20.011,,Surface,2,Image 1,1,273,
18.02,,Surface,2,Image 1,1,274,
43.016,,Surface,2,Image 1,1,275,
17.016,,Surface,2,Image 1,1,276,
21.496,,Surface,2,Image 1,1,277,
21.04,,Surface,2,Image 1,1,278,
24,,Surface,2,Image 1,1,279,
16.991,,Surface,2,Image 1,1,280,
20.008,,Surface,2,Image 1,1,281,
13,,Surface,2,Image 1,1,282,
25.512,,Surface,2,Image 1,1,283,
20,,Surface,2,Image 1,1,284,
19,,Surface,2,Image 1,1,285,
15.04,,Surface,2,Image 1,1,286,
27.48,,Surface,2,Image 1,1,287,
15.004,,Surface,2,Image 1,1,288,
12.984,,Surface,2,Image 1,1,289,
17.016,,Surface,2,Image 1,1,290,
30.984,,Surface,2,Image 1,1,291,
15.016,,Surface,2,Image 1,1,292,
37.016,,Surface,2,Image 1,1,293,
62.984,,Surface,2,Image 1,1,294,
20.028,,Surface,2,Image 1,1,295,
14.984,,Surface,2,Image 1,1,296,
23.016,,Surface,2,Image 1,1,297,
8.992,,Surface,2,Image 1,1,298,
10.99,,Surface,2,Image 1,1,299,
11,,Surface,2,Image 1,1,300,
20.022,,Surface,2,Image 1,1,301,
23.016,,Surface,2,Image 1,1,302,
15.016,,Surface,2,Image 1,1,303,
19.96,,Surface,2,Image 1,1,304,
30.98,,Surface,2,Image 1,1,305,
16.0055,,Surface,2,Image 1,1,306,
25.004,,Surface,2,Image 1,1,307,
23.016,,Surface,2,Image 1,1,308,
25.04,,Surface,2,Image 1,1,309,
23.002,,Surface,2,Image 1,1,310,
26.996,,Surface,2,Image 1,1,311,
42.04,,Surface,2,Image 1,1,312,
16.014,,Surface,2,Image 1,1,313,
22.96,,Surface,2,Image 1,1,314,
20.016,,Surface,2,Image 1,1,315,
26.996,,Surface,2,Image 1,1,316,
24.96,,Surface,2,Image 1,1,317,
25.026,,Surface,2,Image 1,1,318,
47.008,,Surface,2,Image 1,1,319,
16,,Surface,2,Image 1,1,320,
16,,Surface,2,Image 1,1,321,
17.988,,Surface,2,Image 1,1,322,
16.988,,Surface,2,Image 1,1,323,
21.968,,Surface,2,Image 1,1,324,
23.52,,Surface,2,Image 1,1,325,
50.56,,Surface,2,Image 1,1,326,
30.036,,Surface,2,Image 1,1,327,
16.992,,Surface,2,Image 1,1,328,
26.008,,Surface,2,Image 1,1,329,
25.984,,Surface,2,Image 1,1,330,
29.952,,Surface,2,Image 1,1,331,
62.052,,Surface,2,Image 1,1,332,
16,,Surface,2,Image 1,1,333,
14.01,,Surface,2,Image 1,1,334,
11.992,,Surface,2,Image 1,1,335,
22.96,,Surface,2,Image 1,1,336,
23.002,,Surface,2,Image 1,1,337,
9.992,,Surface,2,Image 1,1,338,
21,,Surface,2,Image 1,1,339,
21.008,,Surface,2,Image 1,1,340,
19.008,,Surface,2,Image 1,1,341,
33.024,,Surface,2,Image 1,1,342,
14.008,,Surface,2,Image 1,1,343,
15.994,,Surface,2,Image 1,1,344,
14,,Surface,2,Image 1,1,345,
17.008,,Surface,2,Image 1,1,346,
14,,Surface,2,Image 1,1,347,
23.024,,Surface,2,Image 1,1,348,
29.012,,Surface,2,Image 1,1,349,
21,,Surface,2,Image 1,1,350,
18.994,,Surface,2,Image 1,1,351,
39.968,,Surface,2,Image 1,1,352,
28.976,,Surface,2,Image 1,1,353,
26.532,,Surface,2,Image 1,1,354,
19.04,,Surface,2,Image 1,1,355,
17.005,,Surface,2,Image 1,1,356,
13.992,,Surface,2,Image 1,1,357,
12.024,,Surface,2,Image 1,1,358,
21,,Surface,2,Image 1,1,359,
15,,Surface,2,Image 1,1,360,
20.984,,Surface,2,Image 1,1,361,
26.008,,Surface,2,Image 1,1,362,
22.036,,Surface,2,Image 1,1,363,
37,,Surface,2,Image 1,1,364,
16.005,,Surface,2,Image 1,1,365,
24.968,,Surface,2,Image 1,1,366,
22.98,,Surface,2,Image 1,1,367,
16.008,,Surface,2,Image 1,1,368,
46.04,,Surface,2,Image 1,1,369,
26.944,,Surface,2,Image 1,1,370,
10,,Surface,2,Image 1,1,371,
19.014,,Surface,2,Image 1,1,372,
15.952,,Surface,2,Image 1,1,373,
21.008,,Surface,2,Image 1,1,374,
20.008,,Surface,2,Image 1,1,375,
16.968,,Surface,2,Image 1,1,376,
25.096,,Surface,2,Image 1,1,377,
25.952,,Surface,2,Image 1,1,378,
23.02,,Surface,2,Image 1,1,379,
9.03201,,Surface,2,Image 1,1,380,
27.08,,Surface,2,Image 1,1,381,
12.984,,Surface,2,Image 1,1,382,
29.016,,Surface,2,Image 1,1,383,
47.928,,Surface,2,Image 1,1,384,
39.984,,Surface,2,Image 1,1,385,
11.004,,Surface,2,Image 1,1,386,
26.024,,Surface,2,Image 1,1,387,
26.06,,Surface,2,Image 1,1,388,
15.024,,Surface,2,Image 1,1,389,
13.016,,Surface,2,Image 1,1,390,
18.984,,Surface,2,Image 1,1,391,
22,,Surface,2,Image 1,1,392,
18.022,,Surface,2,Image 1,1,393,
16.008,,Surface,2,Image 1,1,394,
13,,Surface,2,Image 1,1,395,
15.998,,Surface,2,Image 1,1,396,
25.032,,Surface,2,Image 1,1,397,
31.008,,Surface,2,Image 1,1,398,
22.984,,Surface,2,Image 1,1,399,
13.496,,Surface,2,Image 1,1,400,
40.528,,Surface,2,Image 1,1,401,
23.03,,Surface,2,Image 1,1,402,
22,,Surface,2,Image 1,1,403,
39.988,,Surface,2,Image 1,1,404,
33.976,,Surface,2,Image 1,1,405,
53.984,,Surface,2,Image 1,1,406,
16.02,,Surface,2,Image 1,1,407,
37.996,,Surface,2,Image 1,1,408,
33.996,,Surface,2,Image 1,1,409,
17.996,,Surface,2,Image 1,1,410,
20.016,,Surface,2,Image 1,1,411,
12.008,,Surface,2,Image 1,1,412,
16.024,,Surface,2,Image 1,1,413,
20.984,,Surface,2,Image 1,1,414,
14.996,,Surface,2,Image 1,1,415,
17.988,,Surface,2,Image 1,1,416,
24.984,,Surface,2,Image 1,1,417,
13.994,,Surface,2,Image 1,1,418,
11.992,,Surface,2,Image 1,1,419,
22.968,,Surface,2,Image 1,1,420,
18.984,,Surface,2,Image 1,1,421,
19.02,,Surface,2,Image 1,1,422,
14.992,,Surface,2,Image 1,1,423,
37,,Surface,2,Image 1,1,424,
17,,Surface,2,Image 1,1,425,
19.024,,Surface,2,Image 1,1,426,
12.024,,Surface,2,Image 1,1,427,
