
BoundingBoxAA Length
 ==================== 
BoundingBoxAA Length X,BoundingBoxAA Length Y,BoundingBoxAA Length Z,Unit,Category,Collection,Time,ID,
13.0938,13.1016,2,um,Surface,BoundingBoxAA Length,1,327,
13.9766,8.73438,2,um,Surface,BoundingBoxAA Length,1,328,
9.60938,9.60547,2,um,Surface,BoundingBoxAA Length,1,329,
7.86719,9.60547,2,um,Surface,BoundingBoxAA Length,1,330,
8.73438,9.60547,2,um,Surface,BoundingBoxAA Length,1,331,
5.23438,7.86328,2,um,Surface,BoundingBoxAA Length,1,332,
6.10938,6.11328,2,um,Surface,BoundingBoxAA Length,1,333,
9.60938,7.85938,2,um,Surface,BoundingBoxAA Length,1,334,
10.4844,8.73438,2,um,Surface,BoundingBoxAA Length,1,335,
8.73438,7.85938,2,um,Surface,BoundingBoxAA Length,1,336,
10.4766,7.85938,2,um,Surface,BoundingBoxAA Length,1,337,
6.10938,6.11328,2,um,Surface,BoundingBoxAA Length,1,338,
11.3516,12.2266,2,um,Surface,BoundingBoxAA Length,1,339,
13.1016,7.85938,2,um,Surface,BoundingBoxAA Length,1,340,
5.23438,7.85938,2,um,Surface,BoundingBoxAA Length,1,341,
8.73438,6.98828,2,um,Surface,BoundingBoxAA Length,1,342,
10.4766,13.1016,2,um,Surface,BoundingBoxAA Length,1,343,
8.73438,10.4805,2,um,Surface,BoundingBoxAA Length,1,344,
13.9688,10.4805,2,um,Surface,BoundingBoxAA Length,1,345,
11.3516,11.3555,2,um,Surface,BoundingBoxAA Length,1,346,
6.10938,6.11328,2,um,Surface,BoundingBoxAA Length,1,347,
9.60938,7.85938,2,um,Surface,BoundingBoxAA Length,1,348,
6.11719,6.11328,2,um,Surface,BoundingBoxAA Length,1,349,
6.98438,7.85938,2,um,Surface,BoundingBoxAA Length,1,350,
9.60156,10.4844,2,um,Surface,BoundingBoxAA Length,1,351,
6.10938,9.60938,2,um,Surface,BoundingBoxAA Length,1,352,
15.7188,13.9727,2,um,Surface,BoundingBoxAA Length,1,353,
18.3438,15.7227,2,um,Surface,BoundingBoxAA Length,1,354,
25.3281,19.2148,2,um,Surface,BoundingBoxAA Length,1,355,
6.98438,6.11328,2,um,Surface,BoundingBoxAA Length,1,356,
7.85938,7.86328,2,um,Surface,BoundingBoxAA Length,1,357,
5.23438,6.98828,2,um,Surface,BoundingBoxAA Length,1,358,
10.4766,11.3555,2,um,Surface,BoundingBoxAA Length,1,359,
9.60938,11.3555,2,um,Surface,BoundingBoxAA Length,1,360,
12.2266,16.5938,2,um,Surface,BoundingBoxAA Length,1,361,
8.73438,8.73438,2,um,Surface,BoundingBoxAA Length,1,362,
10.4766,10.4805,2,um,Surface,BoundingBoxAA Length,1,363,
14.8516,19.2148,2,um,Surface,BoundingBoxAA Length,1,364,
6.10938,7.85938,2,um,Surface,BoundingBoxAA Length,1,365,
7.85938,7.86328,2,um,Surface,BoundingBoxAA Length,1,366,
11.3516,13.0977,2,um,Surface,BoundingBoxAA Length,1,367,
8.73438,6.98438,2,um,Surface,BoundingBoxAA Length,1,368,
6.10938,11.3516,2,um,Surface,BoundingBoxAA Length,1,369,
10.4766,12.2266,2,um,Surface,BoundingBoxAA Length,1,370,
8.73438,10.4805,2,um,Surface,BoundingBoxAA Length,1,371,
6.98438,7.85938,2,um,Surface,BoundingBoxAA Length,1,372,
11.3516,13.9766,2,um,Surface,BoundingBoxAA Length,1,373,
8.73438,8.73438,2,um,Surface,BoundingBoxAA Length,1,374,
12.2266,9.60547,2,um,Surface,BoundingBoxAA Length,1,375,
10.4766,15.7227,2,um,Surface,BoundingBoxAA Length,1,376,
14.8438,12.2266,2,um,Surface,BoundingBoxAA Length,1,377,
7.85938,6.98828,2,um,Surface,BoundingBoxAA Length,1,378,
10.4766,8.73438,2,um,Surface,BoundingBoxAA Length,1,379,
7.85938,8.73438,2,um,Surface,BoundingBoxAA Length,1,380,
15.7188,25.3281,2,um,Surface,BoundingBoxAA Length,1,381,
14.8438,9.60547,2,um,Surface,BoundingBoxAA Length,1,382,
7.85938,6.11328,2,um,Surface,BoundingBoxAA Length,1,383,
7.85938,11.3555,2,um,Surface,BoundingBoxAA Length,1,384,
8.73438,7.85938,2,um,Surface,BoundingBoxAA Length,1,385,
5.23438,6.11328,2,um,Surface,BoundingBoxAA Length,1,386,
16.5938,18.3398,2,um,Surface,BoundingBoxAA Length,1,387,
13.0938,13.9727,2,um,Surface,BoundingBoxAA Length,1,388,
15.7188,19.2148,2,um,Surface,BoundingBoxAA Length,1,389,
7.85938,8.73438,2,um,Surface,BoundingBoxAA Length,1,390,
16.5938,11.3555,2,um,Surface,BoundingBoxAA Length,1,391,
10.4766,7.86328,2,um,Surface,BoundingBoxAA Length,1,392,
9.60938,11.3516,2,um,Surface,BoundingBoxAA Length,1,393,
8.73438,10.4805,2,um,Surface,BoundingBoxAA Length,1,394,
6.11719,8.73438,2,um,Surface,BoundingBoxAA Length,1,395,
8.73438,6.98828,2,um,Surface,BoundingBoxAA Length,1,396,
17.4688,19.2148,2,um,Surface,BoundingBoxAA Length,1,397,
6.10938,6.98828,2,um,Surface,BoundingBoxAA Length,1,398,
16.5938,10.4805,2,um,Surface,BoundingBoxAA Length,1,399,
5.24219,6.11328,2,um,Surface,BoundingBoxAA Length,1,400,
8.72656,6.98438,2,um,Surface,BoundingBoxAA Length,1,401,
6.98438,7.85938,2,um,Surface,BoundingBoxAA Length,1,402,
16.5938,8.73438,2,um,Surface,BoundingBoxAA Length,1,403,
9.60156,14.8477,2,um,Surface,BoundingBoxAA Length,1,404,
6.99219,6.98828,2,um,Surface,BoundingBoxAA Length,1,405,
8.73438,11.3555,2,um,Surface,BoundingBoxAA Length,1,406,
13.1016,10.4805,2,um,Surface,BoundingBoxAA Length,1,407,
8.73438,7.86328,2,um,Surface,BoundingBoxAA Length,1,408,
8.73438,7.85938,2,um,Surface,BoundingBoxAA Length,1,409,
20.9609,26.1992,2,um,Surface,BoundingBoxAA Length,1,410,
7.85938,7.85938,2,um,Surface,BoundingBoxAA Length,1,411,
16.5938,13.1016,2,um,Surface,BoundingBoxAA Length,1,412,
6.98438,6.11328,2,um,Surface,BoundingBoxAA Length,1,413,
15.7188,20.9609,2,um,Surface,BoundingBoxAA Length,1,414,
6.11719,6.98438,2,um,Surface,BoundingBoxAA Length,1,415,
7.85938,6.98828,2,um,Surface,BoundingBoxAA Length,1,416,
