
Overall
 ==================== 
Variable,Value,Unit,Image,Time,ID,
Number of Disconnected Components per Time Point,190,,,1,,
Number of Surfaces per Time Point,190,,,1,,
Total Number of Disconnected Components,190,,,,,
Total Number of Surfaces,190,,,,,
Total Number of Triangles,78376,,,,,
Total Number of Voxels,62056,,Image 1,,,
