
Intensity Min Ch=6 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
0,,Surface,6,Image 1,1,238,
0,,Surface,6,Image 1,1,239,
3,,Surface,6,Image 1,1,240,
9,,Surface,6,Image 1,1,241,
6,,Surface,6,Image 1,1,242,
7,,Surface,6,Image 1,1,243,
12,,Surface,6,Image 1,1,244,
7,,Surface,6,Image 1,1,245,
0,,Surface,6,Image 1,1,246,
10,,Surface,6,Image 1,1,247,
0,,Surface,6,Image 1,1,248,
0,,Surface,6,Image 1,1,249,
8,,Surface,6,Image 1,1,250,
3,,Surface,6,Image 1,1,251,
1,,Surface,6,Image 1,1,252,
0,,Surface,6,Image 1,1,253,
1,,Surface,6,Image 1,1,254,
4,,Surface,6,Image 1,1,255,
5,,Surface,6,Image 1,1,256,
0,,Surface,6,Image 1,1,257,
7,,Surface,6,Image 1,1,258,
0,,Surface,6,Image 1,1,259,
3,,Surface,6,Image 1,1,260,
5,,Surface,6,Image 1,1,261,
1,,Surface,6,Image 1,1,262,
1,,Surface,6,Image 1,1,263,
0,,Surface,6,Image 1,1,264,
7,,Surface,6,Image 1,1,265,
0,,Surface,6,Image 1,1,266,
0,,Surface,6,Image 1,1,267,
1,,Surface,6,Image 1,1,268,
0,,Surface,6,Image 1,1,269,
5,,Surface,6,Image 1,1,270,
3,,Surface,6,Image 1,1,271,
0,,Surface,6,Image 1,1,272,
3,,Surface,6,Image 1,1,273,
3,,Surface,6,Image 1,1,274,
5,,Surface,6,Image 1,1,275,
1,,Surface,6,Image 1,1,276,
5,,Surface,6,Image 1,1,277,
3,,Surface,6,Image 1,1,278,
3,,Surface,6,Image 1,1,279,
5,,Surface,6,Image 1,1,280,
3,,Surface,6,Image 1,1,281,
1,,Surface,6,Image 1,1,282,
5,,Surface,6,Image 1,1,283,
3,,Surface,6,Image 1,1,284,
3,,Surface,6,Image 1,1,285,
0,,Surface,6,Image 1,1,286,
7,,Surface,6,Image 1,1,287,
7,,Surface,6,Image 1,1,288,
3,,Surface,6,Image 1,1,289,
1,,Surface,6,Image 1,1,290,
5,,Surface,6,Image 1,1,291,
5,,Surface,6,Image 1,1,292,
5,,Surface,6,Image 1,1,293,
5,,Surface,6,Image 1,1,294,
3,,Surface,6,Image 1,1,295,
5,,Surface,6,Image 1,1,296,
7,,Surface,6,Image 1,1,297,
7,,Surface,6,Image 1,1,298,
3,,Surface,6,Image 1,1,299,
0,,Surface,6,Image 1,1,300,
0,,Surface,6,Image 1,1,301,
9,,Surface,6,Image 1,1,302,
1,,Surface,6,Image 1,1,303,
9,,Surface,6,Image 1,1,304,
3,,Surface,6,Image 1,1,305,
12,,Surface,6,Image 1,1,306,
