
Intensity StdDev Ch=2 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
10.7892,,Surface,2,Image 1,1,238,
9.59944,,Surface,2,Image 1,1,239,
16.9438,,Surface,2,Image 1,1,240,
7.26393,,Surface,2,Image 1,1,241,
5.6265,,Surface,2,Image 1,1,242,
12.917,,Surface,2,Image 1,1,243,
9.50612,,Surface,2,Image 1,1,244,
14.0038,,Surface,2,Image 1,1,245,
8.43191,,Surface,2,Image 1,1,246,
15.8235,,Surface,2,Image 1,1,247,
10.5892,,Surface,2,Image 1,1,248,
9.21244,,Surface,2,Image 1,1,249,
11.3062,,Surface,2,Image 1,1,250,
10.49,,Surface,2,Image 1,1,251,
9.35218,,Surface,2,Image 1,1,252,
11.2179,,Surface,2,Image 1,1,253,
11.3138,,Surface,2,Image 1,1,254,
10.665,,Surface,2,Image 1,1,255,
8.63177,,Surface,2,Image 1,1,256,
6.71457,,Surface,2,Image 1,1,257,
7.24495,,Surface,2,Image 1,1,258,
6.30439,,Surface,2,Image 1,1,259,
10.8916,,Surface,2,Image 1,1,260,
11.6516,,Surface,2,Image 1,1,261,
6.08533,,Surface,2,Image 1,1,262,
8.15211,,Surface,2,Image 1,1,263,
10.8551,,Surface,2,Image 1,1,264,
8.23495,,Surface,2,Image 1,1,265,
13.8651,,Surface,2,Image 1,1,266,
10.8533,,Surface,2,Image 1,1,267,
6.41756,,Surface,2,Image 1,1,268,
16.4082,,Surface,2,Image 1,1,269,
6.46226,,Surface,2,Image 1,1,270,
20.546,,Surface,2,Image 1,1,271,
21.3345,,Surface,2,Image 1,1,272,
10.9515,,Surface,2,Image 1,1,273,
12.2607,,Surface,2,Image 1,1,274,
26.7755,,Surface,2,Image 1,1,275,
10.7959,,Surface,2,Image 1,1,276,
13.3146,,Surface,2,Image 1,1,277,
13.4642,,Surface,2,Image 1,1,278,
13.4864,,Surface,2,Image 1,1,279,
7.9799,,Surface,2,Image 1,1,280,
9.61776,,Surface,2,Image 1,1,281,
7.31082,,Surface,2,Image 1,1,282,
15.568,,Surface,2,Image 1,1,283,
12.0079,,Surface,2,Image 1,1,284,
9.49408,,Surface,2,Image 1,1,285,
12.5917,,Surface,2,Image 1,1,286,
10.6655,,Surface,2,Image 1,1,287,
7.06338,,Surface,2,Image 1,1,288,
7.05726,,Surface,2,Image 1,1,289,
