
Ellipsoid Axis C
 ==================== 
Ellipsoid Axis C X,Ellipsoid Axis C Y,Ellipsoid Axis C Z,Unit,Category,Collection,Time,ID,
0.886912,0.461938,-2.5738e-13,um,Surface,Ellipsoid Axis C,1,311,
-0.268147,-0.963378,-1.58187e-12,um,Surface,Ellipsoid Axis C,1,312,
-0.431542,0.902093,-2.48029e-12,um,Surface,Ellipsoid Axis C,1,313,
0.916244,0.400621,4.02195e-12,um,Surface,Ellipsoid Axis C,1,314,
-0.966079,0.258247,3.04179e-11,um,Surface,Ellipsoid Axis C,1,315,
0.504919,-0.863167,4.16908e-12,um,Surface,Ellipsoid Axis C,1,316,
0.0286944,-0.999588,2.58657e-13,um,Surface,Ellipsoid Axis C,1,317,
0.882817,-0.469718,-1.45568e-12,um,Surface,Ellipsoid Axis C,1,318,
0.832948,-0.553351,-3.81285e-11,um,Surface,Ellipsoid Axis C,1,319,
-0.330967,0.943642,-4.86483e-12,um,Surface,Ellipsoid Axis C,1,320,
-0.11181,0.99373,3.07627e-13,um,Surface,Ellipsoid Axis C,1,321,
-0.460492,-0.887664,3.87782e-12,um,Surface,Ellipsoid Axis C,1,322,
-0.235296,-0.971924,-4.89012e-12,um,Surface,Ellipsoid Axis C,1,323,
0.470529,-0.882384,1.5519e-12,um,Surface,Ellipsoid Axis C,1,324,
-0.480229,0.877143,8.48944e-12,um,Surface,Ellipsoid Axis C,1,325,
0.0848003,-0.996398,-1.54966e-12,um,Surface,Ellipsoid Axis C,1,326,
0.66491,-0.746924,4.67073e-12,um,Surface,Ellipsoid Axis C,1,327,
0.999222,0.0394433,-1.13039e-11,um,Surface,Ellipsoid Axis C,1,328,
-0.744618,0.667491,-8.30715e-12,um,Surface,Ellipsoid Axis C,1,329,
-0.4202,0.907431,-2.50133e-11,um,Surface,Ellipsoid Axis C,1,330,
0.614263,-0.789101,5.34607e-12,um,Surface,Ellipsoid Axis C,1,331,
0.112693,0.99363,2.80423e-13,um,Surface,Ellipsoid Axis C,1,332,
0.857699,-0.514152,2.23848e-12,um,Surface,Ellipsoid Axis C,1,333,
0.798803,-0.601592,-1.13573e-11,um,Surface,Ellipsoid Axis C,1,334,
-0.929865,0.367901,-1.79056e-11,um,Surface,Ellipsoid Axis C,1,335,
0.959884,-0.280397,-5.99671e-11,um,Surface,Ellipsoid Axis C,1,336,
0.980138,0.198317,-9.12953e-12,um,Surface,Ellipsoid Axis C,1,337,
0.707323,0.70689,0,um,Surface,Ellipsoid Axis C,1,338,
0.671814,-0.74072,-9.16246e-13,um,Surface,Ellipsoid Axis C,1,339,
-0.996301,0.0859296,-1.44156e-11,um,Surface,Ellipsoid Axis C,1,340,
-0.316184,0.948698,0,um,Surface,Ellipsoid Axis C,1,341,
0.846333,-0.532654,3.00423e-12,um,Surface,Ellipsoid Axis C,1,342,
-0.578624,0.815595,0,um,Surface,Ellipsoid Axis C,1,343,
-0.550148,0.835067,-7.04791e-12,um,Surface,Ellipsoid Axis C,1,344,
0.907389,0.420292,-1.33029e-13,um,Surface,Ellipsoid Axis C,1,345,
-0.703554,-0.710642,-1.40051e-12,um,Surface,Ellipsoid Axis C,1,346,
0.93487,-0.354991,0,um,Surface,Ellipsoid Axis C,1,347,
-0.818861,0.573992,-3.23242e-11,um,Surface,Ellipsoid Axis C,1,348,
-0.70697,-0.707244,-1.2174e-11,um,Surface,Ellipsoid Axis C,1,349,
0.460136,-0.887848,1.02275e-11,um,Surface,Ellipsoid Axis C,1,350,
0.475081,-0.879942,5.70336e-13,um,Surface,Ellipsoid Axis C,1,351,
-0.161144,-0.986931,-5.0329e-12,um,Surface,Ellipsoid Axis C,1,352,
0.801278,-0.598293,1.14707e-11,um,Surface,Ellipsoid Axis C,1,353,
0.913168,0.407583,2.9198e-13,um,Surface,Ellipsoid Axis C,1,354,
0.933441,-0.358731,-9.30162e-13,um,Surface,Ellipsoid Axis C,1,355,
0.988767,0.149468,2.19473e-13,um,Surface,Ellipsoid Axis C,1,356,
0.420493,0.907296,3.65961e-12,um,Surface,Ellipsoid Axis C,1,357,
0.251345,0.967897,-7.00041e-13,um,Surface,Ellipsoid Axis C,1,358,
-0.402724,-0.915321,-1.91e-12,um,Surface,Ellipsoid Axis C,1,359,
0.182185,-0.983264,4.00169e-13,um,Surface,Ellipsoid Axis C,1,360,
0.207773,0.978177,1.59698e-12,um,Surface,Ellipsoid Axis C,1,361,
0.732297,-0.680986,-3.42001e-11,um,Surface,Ellipsoid Axis C,1,362,
0.421247,0.906946,-4.74042e-13,um,Surface,Ellipsoid Axis C,1,363,
-0.0226624,0.999743,-2.68624e-12,um,Surface,Ellipsoid Axis C,1,364,
0.531471,0.847077,-1.48788e-12,um,Surface,Ellipsoid Axis C,1,365,
0.622433,0.782673,-7.95064e-12,um,Surface,Ellipsoid Axis C,1,366,
-0.494947,-0.868923,3.71006e-12,um,Surface,Ellipsoid Axis C,1,367,
-0.950647,0.310274,1.32972e-11,um,Surface,Ellipsoid Axis C,1,368,
0.0328597,-0.99946,4.80724e-13,um,Surface,Ellipsoid Axis C,1,369,
0.118067,-0.993006,-1.1074e-12,um,Surface,Ellipsoid Axis C,1,370,
-0.16194,-0.986801,-1.12899e-12,um,Surface,Ellipsoid Axis C,1,371,
-0.447374,-0.894347,-4.69299e-12,um,Surface,Ellipsoid Axis C,1,372,
0.0363711,0.999338,1.8973e-14,um,Surface,Ellipsoid Axis C,1,373,
-0.561465,-0.8275,1.21881e-11,um,Surface,Ellipsoid Axis C,1,374,
-0.89285,-0.450355,-2.11226e-12,um,Surface,Ellipsoid Axis C,1,375,
0.396403,-0.918077,1.96402e-12,um,Surface,Ellipsoid Axis C,1,376,
0.884144,-0.467215,9.21942e-12,um,Surface,Ellipsoid Axis C,1,377,
0.742605,0.66973,-3.22559e-12,um,Surface,Ellipsoid Axis C,1,378,
-0.96998,0.243183,-1.21586e-11,um,Surface,Ellipsoid Axis C,1,379,
0.658948,-0.752188,7.25111e-12,um,Surface,Ellipsoid Axis C,1,380,
0.0252159,0.999682,-7.32411e-12,um,Surface,Ellipsoid Axis C,1,381,
-0.962396,0.271651,-1.54999e-12,um,Surface,Ellipsoid Axis C,1,382,
0.999863,0.0165755,-2.20047e-12,um,Surface,Ellipsoid Axis C,1,383,
-0.456424,-0.889762,-3.25222e-12,um,Surface,Ellipsoid Axis C,1,384,
0.89653,0.442984,-2.00635e-11,um,Surface,Ellipsoid Axis C,1,385,
0.165137,-0.986271,-8.4495e-15,um,Surface,Ellipsoid Axis C,1,386,
0.551304,0.834304,-2.45503e-13,um,Surface,Ellipsoid Axis C,1,387,
-0.385382,-0.922757,1.49575e-12,um,Surface,Ellipsoid Axis C,1,388,
-0.250376,0.968149,5.01133e-12,um,Surface,Ellipsoid Axis C,1,389,
0.514948,0.857221,-1.59345e-11,um,Surface,Ellipsoid Axis C,1,390,
0.93233,0.361608,-1.38578e-13,um,Surface,Ellipsoid Axis C,1,391,
-0.999588,0.0286996,-3.40587e-12,um,Surface,Ellipsoid Axis C,1,392,
-0.0922179,0.995739,-4.30992e-12,um,Surface,Ellipsoid Axis C,1,393,
0.448883,0.893591,2.26236e-15,um,Surface,Ellipsoid Axis C,1,394,
-0.0948616,0.99549,1.60624e-13,um,Surface,Ellipsoid Axis C,1,395,
-0.999768,-0.0215262,6.09648e-12,um,Surface,Ellipsoid Axis C,1,396,
0.602376,0.798212,1.56775e-12,um,Surface,Ellipsoid Axis C,1,397,
0.348766,0.93721,-4.26036e-12,um,Surface,Ellipsoid Axis C,1,398,
-0.887867,-0.4601,6.86952e-12,um,Surface,Ellipsoid Axis C,1,399,
-0.335495,0.942042,0,um,Surface,Ellipsoid Axis C,1,400,
-0.998765,-0.0496784,8.94433e-12,um,Surface,Ellipsoid Axis C,1,401,
0.446551,0.894758,-3.7552e-12,um,Surface,Ellipsoid Axis C,1,402,
-0.995283,0.0970122,-2.52161e-11,um,Surface,Ellipsoid Axis C,1,403,
-0.0948279,0.995494,4.80096e-12,um,Surface,Ellipsoid Axis C,1,404,
-0.975421,-0.220351,3.29979e-12,um,Surface,Ellipsoid Axis C,1,405,
0.215482,-0.976508,2.99603e-13,um,Surface,Ellipsoid Axis C,1,406,
-0.840663,-0.541559,1.62891e-12,um,Surface,Ellipsoid Axis C,1,407,
0.960201,0.279309,8.42149e-11,um,Surface,Ellipsoid Axis C,1,408,
0.890108,0.455749,2.92205e-12,um,Surface,Ellipsoid Axis C,1,409,
-0.543206,0.839599,-7.38808e-13,um,Surface,Ellipsoid Axis C,1,410,
0.779027,-0.626991,-1.70716e-11,um,Surface,Ellipsoid Axis C,1,411,
0.844123,-0.536149,3.30541e-12,um,Surface,Ellipsoid Axis C,1,412,
-0.988985,0.148017,-2.66665e-12,um,Surface,Ellipsoid Axis C,1,413,
-0.197362,0.980331,5.78485e-12,um,Surface,Ellipsoid Axis C,1,414,
-0.0253848,0.999678,-1.63916e-12,um,Surface,Ellipsoid Axis C,1,415,
0.926342,-0.376683,1.59471e-11,um,Surface,Ellipsoid Axis C,1,416,
0.17999,0.983668,4.86517e-14,um,Surface,Ellipsoid Axis C,1,417,
0.262228,0.965006,-1.44026e-12,um,Surface,Ellipsoid Axis C,1,418,
0.868807,-0.495151,-6.2299e-13,um,Surface,Ellipsoid Axis C,1,419,
0.701813,0.712361,2.31016e-12,um,Surface,Ellipsoid Axis C,1,420,
-0.1556,0.98782,-1.56464e-12,um,Surface,Ellipsoid Axis C,1,421,
0.990691,0.136132,-6.63527e-12,um,Surface,Ellipsoid Axis C,1,422,
0.452917,-0.891552,-5.30473e-12,um,Surface,Ellipsoid Axis C,1,423,
0.984927,-0.172969,4.17042e-13,um,Surface,Ellipsoid Axis C,1,424,
-0.0633724,0.99799,-5.30274e-12,um,Surface,Ellipsoid Axis C,1,425,
0.591801,0.806084,8.49196e-14,um,Surface,Ellipsoid Axis C,1,426,
-0.578816,-0.815458,2.88932e-11,um,Surface,Ellipsoid Axis C,1,427,
