
Intensity Center Ch=3 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,ID,
23,,Surface,3,Image 1,1,238,
16,,Surface,3,Image 1,1,239,
9,,Surface,3,Image 1,1,240,
19,,Surface,3,Image 1,1,241,
5,,Surface,3,Image 1,1,242,
8,,Surface,3,Image 1,1,243,
4,,Surface,3,Image 1,1,244,
6,,Surface,3,Image 1,1,245,
13,,Surface,3,Image 1,1,246,
7,,Surface,3,Image 1,1,247,
59,,Surface,3,Image 1,1,248,
9,,Surface,3,Image 1,1,249,
4,,Surface,3,Image 1,1,250,
13,,Surface,3,Image 1,1,251,
10,,Surface,3,Image 1,1,252,
5,,Surface,3,Image 1,1,253,
4,,Surface,3,Image 1,1,254,
32,,Surface,3,Image 1,1,255,
9,,Surface,3,Image 1,1,256,
7,,Surface,3,Image 1,1,257,
64,,Surface,3,Image 1,1,258,
14,,Surface,3,Image 1,1,259,
14,,Surface,3,Image 1,1,260,
19,,Surface,3,Image 1,1,261,
3,,Surface,3,Image 1,1,262,
19,,Surface,3,Image 1,1,263,
19,,Surface,3,Image 1,1,264,
43,,Surface,3,Image 1,1,265,
21,,Surface,3,Image 1,1,266,
21,,Surface,3,Image 1,1,267,
2,,Surface,3,Image 1,1,268,
9,,Surface,3,Image 1,1,269,
25,,Surface,3,Image 1,1,270,
2,,Surface,3,Image 1,1,271,
36,,Surface,3,Image 1,1,272,
21,,Surface,3,Image 1,1,273,
11,,Surface,3,Image 1,1,274,
11,,Surface,3,Image 1,1,275,
3,,Surface,3,Image 1,1,276,
13,,Surface,3,Image 1,1,277,
4,,Surface,3,Image 1,1,278,
10,,Surface,3,Image 1,1,279,
10,,Surface,3,Image 1,1,280,
10,,Surface,3,Image 1,1,281,
7,,Surface,3,Image 1,1,282,
6,,Surface,3,Image 1,1,283,
9,,Surface,3,Image 1,1,284,
20,,Surface,3,Image 1,1,285,
15,,Surface,3,Image 1,1,286,
10,,Surface,3,Image 1,1,287,
1,,Surface,3,Image 1,1,288,
4,,Surface,3,Image 1,1,289,
8,,Surface,3,Image 1,1,290,
0,,Surface,3,Image 1,1,291,
34,,Surface,3,Image 1,1,292,
6,,Surface,3,Image 1,1,293,
10,,Surface,3,Image 1,1,294,
53,,Surface,3,Image 1,1,295,
21,,Surface,3,Image 1,1,296,
3,,Surface,3,Image 1,1,297,
14,,Surface,3,Image 1,1,298,
8,,Surface,3,Image 1,1,299,
16,,Surface,3,Image 1,1,300,
24,,Surface,3,Image 1,1,301,
11,,Surface,3,Image 1,1,302,
13,,Surface,3,Image 1,1,303,
7,,Surface,3,Image 1,1,304,
2,,Surface,3,Image 1,1,305,
11,,Surface,3,Image 1,1,306,
5,,Surface,3,Image 1,1,307,
5,,Surface,3,Image 1,1,308,
17,,Surface,3,Image 1,1,309,
5,,Surface,3,Image 1,1,310,
13,,Surface,3,Image 1,1,311,
14,,Surface,3,Image 1,1,312,
1,,Surface,3,Image 1,1,313,
0,,Surface,3,Image 1,1,314,
34,,Surface,3,Image 1,1,315,
2,,Surface,3,Image 1,1,316,
7,,Surface,3,Image 1,1,317,
5,,Surface,3,Image 1,1,318,
5,,Surface,3,Image 1,1,319,
2,,Surface,3,Image 1,1,320,
6,,Surface,3,Image 1,1,321,
13,,Surface,3,Image 1,1,322,
2,,Surface,3,Image 1,1,323,
5,,Surface,3,Image 1,1,324,
17,,Surface,3,Image 1,1,325,
13,,Surface,3,Image 1,1,326,
10,,Surface,3,Image 1,1,327,
32,,Surface,3,Image 1,1,328,
31,,Surface,3,Image 1,1,329,
11,,Surface,3,Image 1,1,330,
2,,Surface,3,Image 1,1,331,
15,,Surface,3,Image 1,1,332,
7,,Surface,3,Image 1,1,333,
24,,Surface,3,Image 1,1,334,
24,,Surface,3,Image 1,1,335,
22,,Surface,3,Image 1,1,336,
23,,Surface,3,Image 1,1,337,
18,,Surface,3,Image 1,1,338,
12,,Surface,3,Image 1,1,339,
13,,Surface,3,Image 1,1,340,
3,,Surface,3,Image 1,1,341,
13,,Surface,3,Image 1,1,342,
4,,Surface,3,Image 1,1,343,
26,,Surface,3,Image 1,1,344,
26,,Surface,3,Image 1,1,345,
32,,Surface,3,Image 1,1,346,
19,,Surface,3,Image 1,1,347,
4,,Surface,3,Image 1,1,348,
2,,Surface,3,Image 1,1,349,
6,,Surface,3,Image 1,1,350,
1,,Surface,3,Image 1,1,351,
17,,Surface,3,Image 1,1,352,
1,,Surface,3,Image 1,1,353,
5,,Surface,3,Image 1,1,354,
15,,Surface,3,Image 1,1,355,
24,,Surface,3,Image 1,1,356,
23,,Surface,3,Image 1,1,357,
8,,Surface,3,Image 1,1,358,
11,,Surface,3,Image 1,1,359,
16,,Surface,3,Image 1,1,360,
8,,Surface,3,Image 1,1,361,
2,,Surface,3,Image 1,1,362,
16,,Surface,3,Image 1,1,363,
7,,Surface,3,Image 1,1,364,
5,,Surface,3,Image 1,1,365,
4,,Surface,3,Image 1,1,366,
15,,Surface,3,Image 1,1,367,
23,,Surface,3,Image 1,1,368,
0,,Surface,3,Image 1,1,369,
20,,Surface,3,Image 1,1,370,
26,,Surface,3,Image 1,1,371,
7,,Surface,3,Image 1,1,372,
47,,Surface,3,Image 1,1,373,
10,,Surface,3,Image 1,1,374,
36,,Surface,3,Image 1,1,375,
23,,Surface,3,Image 1,1,376,
29,,Surface,3,Image 1,1,377,
5,,Surface,3,Image 1,1,378,
4,,Surface,3,Image 1,1,379,
19,,Surface,3,Image 1,1,380,
8,,Surface,3,Image 1,1,381,
0,,Surface,3,Image 1,1,382,
11,,Surface,3,Image 1,1,383,
14,,Surface,3,Image 1,1,384,
13,,Surface,3,Image 1,1,385,
7,,Surface,3,Image 1,1,386,
8,,Surface,3,Image 1,1,387,
1,,Surface,3,Image 1,1,388,
10,,Surface,3,Image 1,1,389,
18,,Surface,3,Image 1,1,390,
15,,Surface,3,Image 1,1,391,
8,,Surface,3,Image 1,1,392,
12,,Surface,3,Image 1,1,393,
14,,Surface,3,Image 1,1,394,
18,,Surface,3,Image 1,1,395,
6,,Surface,3,Image 1,1,396,
2,,Surface,3,Image 1,1,397,
15,,Surface,3,Image 1,1,398,
