
Center of Image Mass Ch=2 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,ID,
102515,35138.7,0.5,um,Surface,2,Center of Image Mass,Image 1,1,318,
102467,35127.8,0.5,um,Surface,2,Center of Image Mass,Image 1,1,319,
102605,34993.2,0.5,um,Surface,2,Center of Image Mass,Image 1,1,320,
102689,34878.2,0.5,um,Surface,2,Center of Image Mass,Image 1,1,321,
102896,34654.8,0.5,um,Surface,2,Center of Image Mass,Image 1,1,322,
102874,34685.5,0.5,um,Surface,2,Center of Image Mass,Image 1,1,323,
102841,34717.8,0.5,um,Surface,2,Center of Image Mass,Image 1,1,324,
102465,35096.8,0.5,um,Surface,2,Center of Image Mass,Image 1,1,325,
102637,34897.4,0.5,um,Surface,2,Center of Image Mass,Image 1,1,326,
102558,34960.5,0.5,um,Surface,2,Center of Image Mass,Image 1,1,327,
102474,35052.6,0.5,um,Surface,2,Center of Image Mass,Image 1,1,328,
102483,35046.3,0.5,um,Surface,2,Center of Image Mass,Image 1,1,329,
102864,34666.6,0.5,um,Surface,2,Center of Image Mass,Image 1,1,330,
102667,34811.1,0.5,um,Surface,2,Center of Image Mass,Image 1,1,331,
102691,34787.3,0.5,um,Surface,2,Center of Image Mass,Image 1,1,332,
102530,34962.3,0.5,um,Surface,2,Center of Image Mass,Image 1,1,333,
102531,34893.5,0.5,um,Surface,2,Center of Image Mass,Image 1,1,334,
102467,34958.3,0.5,um,Surface,2,Center of Image Mass,Image 1,1,335,
102754,34683.6,0.5,um,Surface,2,Center of Image Mass,Image 1,1,336,
102708,34745.4,0.5,um,Surface,2,Center of Image Mass,Image 1,1,337,
102487,34965.8,0.5,um,Surface,2,Center of Image Mass,Image 1,1,338,
102828,34634.3,0.5,um,Surface,2,Center of Image Mass,Image 1,1,339,
102701,34701.6,0.5,um,Surface,2,Center of Image Mass,Image 1,1,340,
102611,34794.6,0.5,um,Surface,2,Center of Image Mass,Image 1,1,341,
102710,34702.4,0.5,um,Surface,2,Center of Image Mass,Image 1,1,342,
102520,34896.9,0.5,um,Surface,2,Center of Image Mass,Image 1,1,343,
102506,34913.8,0.5,um,Surface,2,Center of Image Mass,Image 1,1,344,
102521,34851.4,0.5,um,Surface,2,Center of Image Mass,Image 1,1,345,
102616,34757.8,0.5,um,Surface,2,Center of Image Mass,Image 1,1,346,
102604,34770,0.5,um,Surface,2,Center of Image Mass,Image 1,1,347,
102530,34847.9,0.5,um,Surface,2,Center of Image Mass,Image 1,1,348,
