
Intensity Mean Ch=4 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,ID,
139.611,,Surface,4,Image 1,1,238,
145.804,,Surface,4,Image 1,1,239,
161.901,,Surface,4,Image 1,1,240,
167.038,,Surface,4,Image 1,1,241,
151.358,,Surface,4,Image 1,1,242,
157.804,,Surface,4,Image 1,1,243,
164.105,,Surface,4,Image 1,1,244,
165.32,,Surface,4,Image 1,1,245,
167.768,,Surface,4,Image 1,1,246,
157.989,,Surface,4,Image 1,1,247,
158.597,,Surface,4,Image 1,1,248,
161.782,,Surface,4,Image 1,1,249,
158.116,,Surface,4,Image 1,1,250,
159.828,,Surface,4,Image 1,1,251,
151.512,,Surface,4,Image 1,1,252,
147.606,,Surface,4,Image 1,1,253,
143.554,,Surface,4,Image 1,1,254,
155.273,,Surface,4,Image 1,1,255,
161.843,,Surface,4,Image 1,1,256,
159.467,,Surface,4,Image 1,1,257,
154.856,,Surface,4,Image 1,1,258,
166.92,,Surface,4,Image 1,1,259,
159.963,,Surface,4,Image 1,1,260,
161.225,,Surface,4,Image 1,1,261,
167.488,,Surface,4,Image 1,1,262,
164.27,,Surface,4,Image 1,1,263,
155.178,,Surface,4,Image 1,1,264,
155.219,,Surface,4,Image 1,1,265,
149.075,,Surface,4,Image 1,1,266,
155.754,,Surface,4,Image 1,1,267,
156.831,,Surface,4,Image 1,1,268,
154.114,,Surface,4,Image 1,1,269,
157.044,,Surface,4,Image 1,1,270,
154.163,,Surface,4,Image 1,1,271,
156.193,,Surface,4,Image 1,1,272,
152.705,,Surface,4,Image 1,1,273,
160.967,,Surface,4,Image 1,1,274,
153.364,,Surface,4,Image 1,1,275,
158.389,,Surface,4,Image 1,1,276,
141.669,,Surface,4,Image 1,1,277,
152.159,,Surface,4,Image 1,1,278,
150.281,,Surface,4,Image 1,1,279,
154.346,,Surface,4,Image 1,1,280,
156.203,,Surface,4,Image 1,1,281,
159.009,,Surface,4,Image 1,1,282,
148.896,,Surface,4,Image 1,1,283,
156.425,,Surface,4,Image 1,1,284,
156.04,,Surface,4,Image 1,1,285,
155.308,,Surface,4,Image 1,1,286,
155.328,,Surface,4,Image 1,1,287,
155.175,,Surface,4,Image 1,1,288,
153.581,,Surface,4,Image 1,1,289,
148.516,,Surface,4,Image 1,1,290,
147.386,,Surface,4,Image 1,1,291,
158.01,,Surface,4,Image 1,1,292,
156.967,,Surface,4,Image 1,1,293,
153.73,,Surface,4,Image 1,1,294,
146.066,,Surface,4,Image 1,1,295,
153.301,,Surface,4,Image 1,1,296,
153.94,,Surface,4,Image 1,1,297,
161.62,,Surface,4,Image 1,1,298,
158.805,,Surface,4,Image 1,1,299,
159.118,,Surface,4,Image 1,1,300,
158.604,,Surface,4,Image 1,1,301,
161.948,,Surface,4,Image 1,1,302,
154.296,,Surface,4,Image 1,1,303,
148.855,,Surface,4,Image 1,1,304,
138.997,,Surface,4,Image 1,1,305,
150.265,,Surface,4,Image 1,1,306,
146.046,,Surface,4,Image 1,1,307,
156.558,,Surface,4,Image 1,1,308,
157.633,,Surface,4,Image 1,1,309,
160.256,,Surface,4,Image 1,1,310,
157.051,,Surface,4,Image 1,1,311,
151.566,,Surface,4,Image 1,1,312,
142.5,,Surface,4,Image 1,1,313,
142.232,,Surface,4,Image 1,1,314,
147.288,,Surface,4,Image 1,1,315,
143.949,,Surface,4,Image 1,1,316,
145.607,,Surface,4,Image 1,1,317,
155.998,,Surface,4,Image 1,1,318,
153.214,,Surface,4,Image 1,1,319,
157.843,,Surface,4,Image 1,1,320,
150.647,,Surface,4,Image 1,1,321,
146.5,,Surface,4,Image 1,1,322,
142.494,,Surface,4,Image 1,1,323,
151.639,,Surface,4,Image 1,1,324,
153.534,,Surface,4,Image 1,1,325,
148.236,,Surface,4,Image 1,1,326,
154.847,,Surface,4,Image 1,1,327,
151.082,,Surface,4,Image 1,1,328,
150.044,,Surface,4,Image 1,1,329,
150.129,,Surface,4,Image 1,1,330,
158.348,,Surface,4,Image 1,1,331,
147.162,,Surface,4,Image 1,1,332,
155.089,,Surface,4,Image 1,1,333,
156.649,,Surface,4,Image 1,1,334,
159.516,,Surface,4,Image 1,1,335,
155.02,,Surface,4,Image 1,1,336,
147.466,,Surface,4,Image 1,1,337,
158.327,,Surface,4,Image 1,1,338,
151.642,,Surface,4,Image 1,1,339,
148.591,,Surface,4,Image 1,1,340,
156.905,,Surface,4,Image 1,1,341,
133.75,,Surface,4,Image 1,1,342,
158.906,,Surface,4,Image 1,1,343,
154.851,,Surface,4,Image 1,1,344,
150.823,,Surface,4,Image 1,1,345,
144.706,,Surface,4,Image 1,1,346,
147.646,,Surface,4,Image 1,1,347,
155.82,,Surface,4,Image 1,1,348,
151.644,,Surface,4,Image 1,1,349,
156.113,,Surface,4,Image 1,1,350,
140.927,,Surface,4,Image 1,1,351,
148.029,,Surface,4,Image 1,1,352,
144.582,,Surface,4,Image 1,1,353,
138.281,,Surface,4,Image 1,1,354,
152.151,,Surface,4,Image 1,1,355,
147.114,,Surface,4,Image 1,1,356,
151.644,,Surface,4,Image 1,1,357,
152.65,,Surface,4,Image 1,1,358,
149.951,,Surface,4,Image 1,1,359,
151.706,,Surface,4,Image 1,1,360,
147.774,,Surface,4,Image 1,1,361,
151.272,,Surface,4,Image 1,1,362,
149.622,,Surface,4,Image 1,1,363,
146.701,,Surface,4,Image 1,1,364,
156.346,,Surface,4,Image 1,1,365,
148.991,,Surface,4,Image 1,1,366,
145.223,,Surface,4,Image 1,1,367,
155.071,,Surface,4,Image 1,1,368,
139.946,,Surface,4,Image 1,1,369,
155.559,,Surface,4,Image 1,1,370,
154.31,,Surface,4,Image 1,1,371,
143.25,,Surface,4,Image 1,1,372,
151.059,,Surface,4,Image 1,1,373,
160.31,,Surface,4,Image 1,1,374,
153.024,,Surface,4,Image 1,1,375,
158.638,,Surface,4,Image 1,1,376,
145.136,,Surface,4,Image 1,1,377,
144.137,,Surface,4,Image 1,1,378,
142.974,,Surface,4,Image 1,1,379,
157.032,,Surface,4,Image 1,1,380,
148.387,,Surface,4,Image 1,1,381,
154.933,,Surface,4,Image 1,1,382,
149.764,,Surface,4,Image 1,1,383,
145.449,,Surface,4,Image 1,1,384,
145.933,,Surface,4,Image 1,1,385,
148.4,,Surface,4,Image 1,1,386,
146.035,,Surface,4,Image 1,1,387,
139.226,,Surface,4,Image 1,1,388,
151.955,,Surface,4,Image 1,1,389,
151.846,,Surface,4,Image 1,1,390,
142.645,,Surface,4,Image 1,1,391,
150.267,,Surface,4,Image 1,1,392,
146.012,,Surface,4,Image 1,1,393,
148.557,,Surface,4,Image 1,1,394,
135.094,,Surface,4,Image 1,1,395,
142.966,,Surface,4,Image 1,1,396,
144.763,,Surface,4,Image 1,1,397,
126.977,,Surface,4,Image 1,1,398,
145.897,,Surface,4,Image 1,1,399,
138.708,,Surface,4,Image 1,1,400,
140.402,,Surface,4,Image 1,1,401,
147.981,,Surface,4,Image 1,1,402,
138.925,,Surface,4,Image 1,1,403,
133.352,,Surface,4,Image 1,1,404,
144.449,,Surface,4,Image 1,1,405,
145.262,,Surface,4,Image 1,1,406,
139.842,,Surface,4,Image 1,1,407,
150.833,,Surface,4,Image 1,1,408,
145.25,,Surface,4,Image 1,1,409,
147.82,,Surface,4,Image 1,1,410,
