
Intensity Min Ch=5 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
79,,Surface,5,Image 1,1,403,
77,,Surface,5,Image 1,1,404,
54,,Surface,5,Image 1,1,405,
70,,Surface,5,Image 1,1,406,
56,,Surface,5,Image 1,1,407,
49,,Surface,5,Image 1,1,408,
81,,Surface,5,Image 1,1,409,
52,,Surface,5,Image 1,1,410,
65,,Surface,5,Image 1,1,411,
59,,Surface,5,Image 1,1,412,
51,,Surface,5,Image 1,1,413,
40,,Surface,5,Image 1,1,414,
66,,Surface,5,Image 1,1,415,
21,,Surface,5,Image 1,1,416,
61,,Surface,5,Image 1,1,417,
46,,Surface,5,Image 1,1,418,
66,,Surface,5,Image 1,1,419,
66,,Surface,5,Image 1,1,420,
57,,Surface,5,Image 1,1,421,
54,,Surface,5,Image 1,1,422,
59,,Surface,5,Image 1,1,423,
55,,Surface,5,Image 1,1,424,
53,,Surface,5,Image 1,1,425,
50,,Surface,5,Image 1,1,426,
58,,Surface,5,Image 1,1,427,
