
Intensity Min Ch=4 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,ID,
97,,Surface,4,Image 1,1,238,
98,,Surface,4,Image 1,1,239,
113,,Surface,4,Image 1,1,240,
128,,Surface,4,Image 1,1,241,
113,,Surface,4,Image 1,1,242,
129,,Surface,4,Image 1,1,243,
119,,Surface,4,Image 1,1,244,
114,,Surface,4,Image 1,1,245,
128,,Surface,4,Image 1,1,246,
100,,Surface,4,Image 1,1,247,
101,,Surface,4,Image 1,1,248,
110,,Surface,4,Image 1,1,249,
125,,Surface,4,Image 1,1,250,
105,,Surface,4,Image 1,1,251,
109,,Surface,4,Image 1,1,252,
108,,Surface,4,Image 1,1,253,
95,,Surface,4,Image 1,1,254,
119,,Surface,4,Image 1,1,255,
126,,Surface,4,Image 1,1,256,
125,,Surface,4,Image 1,1,257,
120,,Surface,4,Image 1,1,258,
138,,Surface,4,Image 1,1,259,
110,,Surface,4,Image 1,1,260,
108,,Surface,4,Image 1,1,261,
131,,Surface,4,Image 1,1,262,
139,,Surface,4,Image 1,1,263,
95,,Surface,4,Image 1,1,264,
120,,Surface,4,Image 1,1,265,
112,,Surface,4,Image 1,1,266,
104,,Surface,4,Image 1,1,267,
105,,Surface,4,Image 1,1,268,
95,,Surface,4,Image 1,1,269,
104,,Surface,4,Image 1,1,270,
101,,Surface,4,Image 1,1,271,
105,,Surface,4,Image 1,1,272,
109,,Surface,4,Image 1,1,273,
116,,Surface,4,Image 1,1,274,
126,,Surface,4,Image 1,1,275,
115,,Surface,4,Image 1,1,276,
101,,Surface,4,Image 1,1,277,
106,,Surface,4,Image 1,1,278,
101,,Surface,4,Image 1,1,279,
117,,Surface,4,Image 1,1,280,
123,,Surface,4,Image 1,1,281,
130,,Surface,4,Image 1,1,282,
112,,Surface,4,Image 1,1,283,
121,,Surface,4,Image 1,1,284,
118,,Surface,4,Image 1,1,285,
120,,Surface,4,Image 1,1,286,
131,,Surface,4,Image 1,1,287,
92,,Surface,4,Image 1,1,288,
118,,Surface,4,Image 1,1,289,
109,,Surface,4,Image 1,1,290,
110,,Surface,4,Image 1,1,291,
131,,Surface,4,Image 1,1,292,
114,,Surface,4,Image 1,1,293,
117,,Surface,4,Image 1,1,294,
98,,Surface,4,Image 1,1,295,
124,,Surface,4,Image 1,1,296,
117,,Surface,4,Image 1,1,297,
138,,Surface,4,Image 1,1,298,
127,,Surface,4,Image 1,1,299,
137,,Surface,4,Image 1,1,300,
113,,Surface,4,Image 1,1,301,
125,,Surface,4,Image 1,1,302,
107,,Surface,4,Image 1,1,303,
111,,Surface,4,Image 1,1,304,
101,,Surface,4,Image 1,1,305,
105,,Surface,4,Image 1,1,306,
110,,Surface,4,Image 1,1,307,
124,,Surface,4,Image 1,1,308,
104,,Surface,4,Image 1,1,309,
