
Intensity StdDev Ch=6 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,ID,
43.3984,,Surface,6,Image 1,1,381,
35.4363,,Surface,6,Image 1,1,382,
34.7781,,Surface,6,Image 1,1,383,
19.0298,,Surface,6,Image 1,1,384,
24.8246,,Surface,6,Image 1,1,385,
21.84,,Surface,6,Image 1,1,386,
36.2346,,Surface,6,Image 1,1,387,
40.4002,,Surface,6,Image 1,1,388,
67.6459,,Surface,6,Image 1,1,389,
39.5699,,Surface,6,Image 1,1,390,
43.5813,,Surface,6,Image 1,1,391,
17.9709,,Surface,6,Image 1,1,392,
46.422,,Surface,6,Image 1,1,393,
57.153,,Surface,6,Image 1,1,394,
24.3983,,Surface,6,Image 1,1,395,
27.6157,,Surface,6,Image 1,1,396,
39.8718,,Surface,6,Image 1,1,397,
17.5137,,Surface,6,Image 1,1,398,
28.5995,,Surface,6,Image 1,1,399,
23.9309,,Surface,6,Image 1,1,400,
32.4431,,Surface,6,Image 1,1,401,
28.5377,,Surface,6,Image 1,1,402,
36.7176,,Surface,6,Image 1,1,403,
26.7352,,Surface,6,Image 1,1,404,
22.3993,,Surface,6,Image 1,1,405,
19.4646,,Surface,6,Image 1,1,406,
51.1778,,Surface,6,Image 1,1,407,
28.1317,,Surface,6,Image 1,1,408,
16.4979,,Surface,6,Image 1,1,409,
47.0985,,Surface,6,Image 1,1,410,
18.1832,,Surface,6,Image 1,1,411,
39.8109,,Surface,6,Image 1,1,412,
30.0913,,Surface,6,Image 1,1,413,
63.4275,,Surface,6,Image 1,1,414,
48.8237,,Surface,6,Image 1,1,415,
27.7892,,Surface,6,Image 1,1,416,
25.2732,,Surface,6,Image 1,1,417,
33.5484,,Surface,6,Image 1,1,418,
22.5716,,Surface,6,Image 1,1,419,
54.5134,,Surface,6,Image 1,1,420,
35.9261,,Surface,6,Image 1,1,421,
56.7468,,Surface,6,Image 1,1,422,
32.3515,,Surface,6,Image 1,1,423,
38.3834,,Surface,6,Image 1,1,424,
70.5738,,Surface,6,Image 1,1,425,
49.5007,,Surface,6,Image 1,1,426,
72.6909,,Surface,6,Image 1,1,427,
