
Center of Image Mass Ch=3 Img=1
 ==================== 
Center of Image Mass X,Center of Image Mass Y,Center of Image Mass Z,Unit,Category,Channel,Collection,Image,Time,ID,
102905,35431.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,238,
102896,35444.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,239,
103004,35345.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,240,
102958,35385.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,241,
102891,35457.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,242,
103051,35305.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,243,
102965,35414,0.5,um,Surface,3,Center of Image Mass,Image 1,1,244,
102979,35413.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,245,
102972,35423.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,246,
103013,35401.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,247,
102848,35583.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,248,
102866,35584.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,249,
102887,35564.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,250,
102898,35566.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,251,
102963,35512.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,252,
102967,35520.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,253,
102960,35530.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,254,
102913,35600.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,255,
102897,35431.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,256,
102836,35495.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,257,
102879,35423.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,258,
102977,35300.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,259,
103049,35212.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,260,
103010,35257.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,261,
102966,35279.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,262,
102971,35229.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,263,
103039,35163.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,264,
103059,35159.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,265,
103055,35105.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,266,
103034,35146.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,267,
103013,35162.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,268,
102997,35187.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,269,
103014,35138.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,270,
102973,35183.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,271,
102991,35034.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,272,
102962,35125.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,273,
102981,35157.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,274,
102955,34934,0.5,um,Surface,3,Center of Image Mass,Image 1,1,275,
102953,34953,0.5,um,Surface,3,Center of Image Mass,Image 1,1,276,
102862,34971.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,277,
102939,34911.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,278,
102850,35001.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,279,
102925,34932.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,280,
102951,34916.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,281,
102915,34902.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,282,
102930,34890.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,283,
102624,35209.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,284,
102982,34852.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,285,
102882,34948.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,286,
102603,35195.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,287,
102951,34850.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,288,
102857,34947.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,289,
102953,34857.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,290,
102590,35221.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,291,
102890,34884.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,292,
102557,35214.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,293,
102563,35222.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,294,
102889,34859.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,295,
102883,34868.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,296,
102947,34819.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,297,
102822,34900.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,298,
102863,34860.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,299,
102856,34874.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,300,
102913,34822.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,301,
102728,34985.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,302,
102788,34935.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,303,
102668,35024.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,304,
102607,35093.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,305,
102678,35020.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,306,
102907,34793.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,307,
102646,35058,0.5,um,Surface,3,Center of Image Mass,Image 1,1,308,
102535,35170,0.5,um,Surface,3,Center of Image Mass,Image 1,1,309,
102688,35020.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,310,
102518,35147.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,311,
102728,34938.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,312,
102922,34747.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,313,
102876,34825.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,314,
102906,34706.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,315,
102475,35142.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,316,
102609,35011.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,317,
102516,35137.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,318,
102466,35127.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,319,
102604,34994,0.5,um,Surface,3,Center of Image Mass,Image 1,1,320,
102689,34878.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,321,
102896,34655.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,322,
102874,34683.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,323,
102841,34717.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,324,
102465,35096.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,325,
102637,34897.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,326,
102558,34959.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,327,
102475,35053.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,328,
102483,35046.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,329,
102865,34665.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,330,
102667,34811.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,331,
102691,34787.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,332,
102530,34962.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,333,
102531,34893.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,334,
102466,34958.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,335,
102753,34684.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,336,
102707,34745.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,337,
102486,34965.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,338,
102828,34634.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,339,
102701,34702.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,340,
102611,34794.5,0.5,um,Surface,3,Center of Image Mass,Image 1,1,341,
102708,34703.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,342,
102520,34896.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,343,
102506,34913.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,344,
102521,34851.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,345,
102616,34756.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,346,
102604,34770.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,347,
102529,34847.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,348,
102692,34688.2,0.5,um,Surface,3,Center of Image Mass,Image 1,1,349,
102542,34843.4,0.5,um,Surface,3,Center of Image Mass,Image 1,1,350,
102618,34740,0.5,um,Surface,3,Center of Image Mass,Image 1,1,351,
102634,34724.8,0.5,um,Surface,3,Center of Image Mass,Image 1,1,352,
102758,34616.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,353,
102622,34715.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,354,
102542,34814.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,355,
102615,34727.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,356,
102511,34836.9,0.5,um,Surface,3,Center of Image Mass,Image 1,1,357,
102552,34800.1,0.5,um,Surface,3,Center of Image Mass,Image 1,1,358,
102809,34488,0.5,um,Surface,3,Center of Image Mass,Image 1,1,359,
102816,34482.7,0.5,um,Surface,3,Center of Image Mass,Image 1,1,360,
102466,34838.6,0.5,um,Surface,3,Center of Image Mass,Image 1,1,361,
102643,34655.3,0.5,um,Surface,3,Center of Image Mass,Image 1,1,362,
