
Intensity Max Ch=2 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,ID,
42,,Surface,2,Image 1,1,238,
46,,Surface,2,Image 1,1,239,
109,,Surface,2,Image 1,1,240,
38,,Surface,2,Image 1,1,241,
28,,Surface,2,Image 1,1,242,
71,,Surface,2,Image 1,1,243,
62,,Surface,2,Image 1,1,244,
88,,Surface,2,Image 1,1,245,
41,,Surface,2,Image 1,1,246,
83,,Surface,2,Image 1,1,247,
63,,Surface,2,Image 1,1,248,
46,,Surface,2,Image 1,1,249,
58,,Surface,2,Image 1,1,250,
52,,Surface,2,Image 1,1,251,
56,,Surface,2,Image 1,1,252,
68,,Surface,2,Image 1,1,253,
57,,Surface,2,Image 1,1,254,
62,,Surface,2,Image 1,1,255,
52,,Surface,2,Image 1,1,256,
34,,Surface,2,Image 1,1,257,
37,,Surface,2,Image 1,1,258,
29,,Surface,2,Image 1,1,259,
65,,Surface,2,Image 1,1,260,
65,,Surface,2,Image 1,1,261,
28,,Surface,2,Image 1,1,262,
54,,Surface,2,Image 1,1,263,
56,,Surface,2,Image 1,1,264,
40,,Surface,2,Image 1,1,265,
47,,Surface,2,Image 1,1,266,
74,,Surface,2,Image 1,1,267,
38,,Surface,2,Image 1,1,268,
80,,Surface,2,Image 1,1,269,
38,,Surface,2,Image 1,1,270,
102,,Surface,2,Image 1,1,271,
109,,Surface,2,Image 1,1,272,
53,,Surface,2,Image 1,1,273,
58,,Surface,2,Image 1,1,274,
121,,Surface,2,Image 1,1,275,
53,,Surface,2,Image 1,1,276,
64,,Surface,2,Image 1,1,277,
88,,Surface,2,Image 1,1,278,
68,,Surface,2,Image 1,1,279,
38,,Surface,2,Image 1,1,280,
49,,Surface,2,Image 1,1,281,
35,,Surface,2,Image 1,1,282,
83,,Surface,2,Image 1,1,283,
65,,Surface,2,Image 1,1,284,
56,,Surface,2,Image 1,1,285,
70,,Surface,2,Image 1,1,286,
51,,Surface,2,Image 1,1,287,
39,,Surface,2,Image 1,1,288,
35,,Surface,2,Image 1,1,289,
54,,Surface,2,Image 1,1,290,
102,,Surface,2,Image 1,1,291,
62,,Surface,2,Image 1,1,292,
86,,Surface,2,Image 1,1,293,
142,,Surface,2,Image 1,1,294,
55,,Surface,2,Image 1,1,295,
41,,Surface,2,Image 1,1,296,
61,,Surface,2,Image 1,1,297,
23,,Surface,2,Image 1,1,298,
51,,Surface,2,Image 1,1,299,
46,,Surface,2,Image 1,1,300,
56,,Surface,2,Image 1,1,301,
53,,Surface,2,Image 1,1,302,
72,,Surface,2,Image 1,1,303,
79,,Surface,2,Image 1,1,304,
84,,Surface,2,Image 1,1,305,
37,,Surface,2,Image 1,1,306,
66,,Surface,2,Image 1,1,307,
58,,Surface,2,Image 1,1,308,
55,,Surface,2,Image 1,1,309,
67,,Surface,2,Image 1,1,310,
111,,Surface,2,Image 1,1,311,
136,,Surface,2,Image 1,1,312,
46,,Surface,2,Image 1,1,313,
101,,Surface,2,Image 1,1,314,
56,,Surface,2,Image 1,1,315,
87,,Surface,2,Image 1,1,316,
106,,Surface,2,Image 1,1,317,
70,,Surface,2,Image 1,1,318,
138,,Surface,2,Image 1,1,319,
38,,Surface,2,Image 1,1,320,
49,,Surface,2,Image 1,1,321,
63,,Surface,2,Image 1,1,322,
108,,Surface,2,Image 1,1,323,
67,,Surface,2,Image 1,1,324,
69,,Surface,2,Image 1,1,325,
135,,Surface,2,Image 1,1,326,
120,,Surface,2,Image 1,1,327,
57,,Surface,2,Image 1,1,328,
105,,Surface,2,Image 1,1,329,
81,,Surface,2,Image 1,1,330,
105,,Surface,2,Image 1,1,331,
130,,Surface,2,Image 1,1,332,
43,,Surface,2,Image 1,1,333,
31,,Surface,2,Image 1,1,334,
40,,Surface,2,Image 1,1,335,
123,,Surface,2,Image 1,1,336,
81,,Surface,2,Image 1,1,337,
30,,Surface,2,Image 1,1,338,
73,,Surface,2,Image 1,1,339,
76,,Surface,2,Image 1,1,340,
40,,Surface,2,Image 1,1,341,
86,,Surface,2,Image 1,1,342,
44,,Surface,2,Image 1,1,343,
44,,Surface,2,Image 1,1,344,
56,,Surface,2,Image 1,1,345,
81,,Surface,2,Image 1,1,346,
42,,Surface,2,Image 1,1,347,
54,,Surface,2,Image 1,1,348,
66,,Surface,2,Image 1,1,349,
65,,Surface,2,Image 1,1,350,
72,,Surface,2,Image 1,1,351,
128,,Surface,2,Image 1,1,352,
128,,Surface,2,Image 1,1,353,
122,,Surface,2,Image 1,1,354,
91,,Surface,2,Image 1,1,355,
42,,Surface,2,Image 1,1,356,
72,,Surface,2,Image 1,1,357,
49,,Surface,2,Image 1,1,358,
56,,Surface,2,Image 1,1,359,
56,,Surface,2,Image 1,1,360,
70,,Surface,2,Image 1,1,361,
85,,Surface,2,Image 1,1,362,
76,,Surface,2,Image 1,1,363,
117,,Surface,2,Image 1,1,364,
34,,Surface,2,Image 1,1,365,
80,,Surface,2,Image 1,1,366,
61,,Surface,2,Image 1,1,367,
40,,Surface,2,Image 1,1,368,
94,,Surface,2,Image 1,1,369,
160,,Surface,2,Image 1,1,370,
55,,Surface,2,Image 1,1,371,
60,,Surface,2,Image 1,1,372,
124,,Surface,2,Image 1,1,373,
90,,Surface,2,Image 1,1,374,
88,,Surface,2,Image 1,1,375,
119,,Surface,2,Image 1,1,376,
109,,Surface,2,Image 1,1,377,
71,,Surface,2,Image 1,1,378,
63,,Surface,2,Image 1,1,379,
44,,Surface,2,Image 1,1,380,
161,,Surface,2,Image 1,1,381,
48,,Surface,2,Image 1,1,382,
83,,Surface,2,Image 1,1,383,
141,,Surface,2,Image 1,1,384,
116,,Surface,2,Image 1,1,385,
27,,Surface,2,Image 1,1,386,
86,,Surface,2,Image 1,1,387,
100,,Surface,2,Image 1,1,388,
83,,Surface,2,Image 1,1,389,
35,,Surface,2,Image 1,1,390,
78,,Surface,2,Image 1,1,391,
48,,Surface,2,Image 1,1,392,
53,,Surface,2,Image 1,1,393,
79,,Surface,2,Image 1,1,394,
36,,Surface,2,Image 1,1,395,
56,,Surface,2,Image 1,1,396,
116,,Surface,2,Image 1,1,397,
69,,Surface,2,Image 1,1,398,
55,,Surface,2,Image 1,1,399,
39,,Surface,2,Image 1,1,400,
196,,Surface,2,Image 1,1,401,
66,,Surface,2,Image 1,1,402,
98,,Surface,2,Image 1,1,403,
105,,Surface,2,Image 1,1,404,
126,,Surface,2,Image 1,1,405,
102,,Surface,2,Image 1,1,406,
70,,Surface,2,Image 1,1,407,
125,,Surface,2,Image 1,1,408,
88,,Surface,2,Image 1,1,409,
80,,Surface,2,Image 1,1,410,
77,,Surface,2,Image 1,1,411,
49,,Surface,2,Image 1,1,412,
38,,Surface,2,Image 1,1,413,
69,,Surface,2,Image 1,1,414,
43,,Surface,2,Image 1,1,415,
59,,Surface,2,Image 1,1,416,
109,,Surface,2,Image 1,1,417,
53,,Surface,2,Image 1,1,418,
31,,Surface,2,Image 1,1,419,
159,,Surface,2,Image 1,1,420,
77,,Surface,2,Image 1,1,421,
58,,Surface,2,Image 1,1,422,
41,,Surface,2,Image 1,1,423,
130,,Surface,2,Image 1,1,424,
50,,Surface,2,Image 1,1,425,
78,,Surface,2,Image 1,1,426,
61,,Surface,2,Image 1,1,427,
